ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9472656,-0.3056641,0.08740234,0.9677734,0.4550781,0.5517578,2,-4,-1,-2,-1,-2,-1,-3,-9,-35,2,38,-4,-31,-17,-16,0.6875,0.6875,0.6875,26.625,26.625,26.625,2.919437,3.020463,8.875479,5.93251,3.428072,1.321947,-0.1549864,-0.4905445,1.387035,0.2016904,-0.4543387,1.322606,0.06435141,0.2689934,1.48638,-0.1941142,-0.4837082,1.385302,0.2139586,-0.4361655,1.2835,0.04640125,-0.1684539,1.490327,0.04494951,-0.4710358,1.466731,-0.1192204,0.01442868,1.471425,-0.02478803,-0.4604514,1.430439,-0.1567545,-0.2377891,1.464492,0.2468145,-0.2326445,1.475943,NA,NA,NotTracked,Unknown,
0.9423828,-0.3115234,0.08984375,0.6816406,0.3735352,0.7919922,4,10,1,0,-2,-1,0,-1,75,-3,-23,-33,-8,-5,-8,75,-2.375,-2.375,-2.375,7.6875,7.6875,7.6875,2.908097,3.018856,8.882294,5.808662,3.84517,1.496871,-0.1560113,-0.4934464,1.386894,0.1738122,-0.3770717,1.317774,0.06412216,0.2690613,1.486305,-0.1938525,-0.503629,1.382333,0.172102,-0.4361241,1.336182,0.0452593,-0.1682416,1.489867,0.04257496,-0.4706094,1.465876,-0.1193651,0.01455102,1.471142,-0.02703045,-0.4598478,1.429703,-0.1571524,-0.2377847,1.4642,0.2589661,-0.2113644,1.480991,NA,NA,NotTracked,Lasso,
0.9477539,-0.3032227,0.08935547,0.418457,0.5014648,0.7709961,0,-1,-1,-3,-2,-2,-2,0,-1,0,0,-6,20,33,-12,13,-2,-2,-2,22.5625,22.5625,22.5625,2.901921,3.0185,8.88753,5.807867,4.220067,1.581325,-0.1570149,-0.4938881,1.385912,0.153936,-0.3015146,1.283742,0.06404667,0.2691157,1.486309,-0.1949531,-0.4891002,1.382665,0.1301456,-0.3477299,1.30932,0.04500731,-0.168093,1.489772,0.04190028,-0.4703516,1.465566,-0.1194625,0.01456547,1.470998,-0.02751737,-0.4596482,1.429496,-0.1573851,-0.2374597,1.464053,0.2701999,-0.1954025,1.478271,NA,NA,NotTracked,Unknown,
0.9462891,-0.3007813,0.0859375,0.06494141,0.5146484,0.8452148,-1,2,-1,0,0,0,0,0,-14,22,-10,9,-12,24,14,-16,1.875,1.875,1.875,10.25,10.25,10.25,2.893591,3.019696,8.894471,5.796291,4.625905,1.650749,-0.1579449,-0.4928918,1.386426,0.1451841,-0.2040502,1.281504,0.06405477,0.2691955,1.486302,-0.197104,-0.5050607,1.386857,0.1068031,-0.2306821,1.310657,0.04501759,-0.1679199,1.489775,0.04200613,-0.4700023,1.46565,-0.1194912,0.01460098,1.470823,-0.0273707,-0.4593706,1.429589,-0.1576962,-0.237397,1.463739,0.2874128,-0.1892157,1.467291,NA,NA,NotTracked,Unknown,
0.9511719,-0.3120117,0.09179688,-0.2036133,0.4711914,0.8588867,1,-1,0,-1,-1,-1,-2,-1,15,-18,-14,-12,-9,13,-20,-30,-1.75,-1.75,-1.75,37.4375,37.4375,37.4375,2.893559,3.022788,8.893696,5.827503,5.016738,1.709359,-0.1588635,-0.490427,1.385124,0.1432197,-0.1170165,1.283554,0.06408899,0.2691641,1.486447,-0.1889668,-0.4827268,1.369364,0.113108,-0.08357387,1.314667,0.04496399,-0.1679008,1.489866,0.04198487,-0.4699076,1.465794,-0.1195197,0.01461538,1.470736,-0.027303,-0.4593056,1.430043,-0.1578958,-0.2374294,1.463659,0.2978511,-0.1845469,1.437893,NA,NA,NotTracked,Closed,
0.9467773,-0.3046875,0.08105469,-0.3662109,0.5019531,0.7724609,0,0,0,-2,-1,0,-3,-1,25,69,48,23,59,-12,19,-15,1.5,1.5,1.5,65.8125,65.8125,65.8125,2.901752,3.027159,8.890904,5.975923,5.544926,1.807495,-0.1584389,-0.4894955,1.384603,0.1376646,-0.03548568,1.302951,0.06421332,0.2692856,1.486591,-0.1967044,-0.4773574,1.385261,0.125188,-0.0135791,1.334849,0.04500362,-0.1677506,1.489973,0.04205461,-0.4696888,1.465956,-0.1227643,0.01400543,1.47163,-0.02721495,-0.4592365,1.43048,-0.1581695,-0.2369253,1.463404,0.2943536,-0.1737254,1.400313,NA,NA,NotTracked,Unknown,
0.9394531,-0.3154297,0.08398438,-0.5527344,0.4521484,0.6660156,-3,-4,-2,-3,-1,-1,0,0,-10,-16,-34,-23,-33,-16,-20,7,-1.8125,-1.8125,-1.8125,72.875,72.875,72.875,2.898975,3.026334,8.890485,6.148794,5.919757,1.946481,-0.1584299,-0.48946,1.384221,0.1082633,0.05159631,1.320646,0.06402772,0.2690193,1.486916,-0.1970709,-0.477062,1.3875,0.09373278,0.04341304,1.337222,0.04424394,-0.1676892,1.490208,0.04204567,-0.4697211,1.466016,-0.1262494,0.01346543,1.472706,-0.02738816,-0.4597384,1.431709,-0.1581779,-0.2368459,1.463292,0.3137517,-0.1605042,1.402009,NA,NA,NotTracked,Lasso,
0.9467773,-0.3144531,0.08398438,-0.5488281,0.421875,0.5097656,-1,1,-2,1,-1,-1,-1,-1,60,-10,-11,-5,-13,-47,23,-3,-1.875,-1.875,-1.875,46.25,46.25,46.25,2.894542,3.025546,8.893843,6.33621,6.20881,2.116326,-0.1583135,-0.4895185,1.384545,0.1214699,0.089207,1.340071,0.06391227,0.2696769,1.487402,-0.1935668,-0.5033293,1.380333,0.1018911,0.07035755,1.360308,0.04347088,-0.1681358,1.489866,0.04192257,-0.470145,1.466201,-0.1243801,0.01433051,1.472733,-0.02803184,-0.4609029,1.434166,-0.1581065,-0.2367787,1.463262,0.3070724,-0.1463608,1.359734,NA,NA,NotTracked,Unknown,
0.9428711,-0.3144531,0.08398438,-0.6113281,0.4785156,0.390625,2,4,0,-1,0,-1,1,-1,31,-19,-14,-29,28,41,30,16,1.3125,1.3125,1.3125,10.75,10.75,10.75,2.892965,3.025858,8.8969,6.493681,6.385701,2.280235,-0.1578912,-0.4899713,1.385281,0.09452587,0.1557034,1.369909,0.06408121,0.2699939,1.487703,-0.1955516,-0.4898428,1.385072,0.05229788,0.1517409,1.38,0.04300169,-0.1681532,1.489886,0.04182539,-0.4703783,1.46643,-0.1241937,0.01431276,1.473263,-0.02837138,-0.4612731,1.435475,-0.157985,-0.2365111,1.463371,0.3099216,-0.1394671,1.348388,NA,NA,NotTracked,NotTracked,
0.9360352,-0.3183594,0.07861328,-0.6494141,0.5068359,0.4033203,-3,-6,-4,-3,-1,0,0,-2,-2,16,14,9,60,55,3,21,5.75,5.75,5.75,-2.625,-2.625,-2.625,2.897981,3.028129,8.898315,6.509536,6.397388,2.300394,-0.1571774,-0.4899073,1.385188,0.1791845,0.05646629,1.33313,0.06467823,0.2724293,1.486875,-0.1959112,-0.4818496,1.389572,0.1746915,0.06980726,1.299828,0.04347108,-0.1677343,1.489634,0.0418173,-0.4704597,1.466534,-0.1255223,0.01387493,1.473833,-0.02851029,-0.4613441,1.436151,-0.1578121,-0.2364275,1.463424,0.3092152,-0.1295192,1.331448,NA,NA,NotTracked,Unknown,
0.9423828,-0.309082,0.08056641,-0.6474609,0.5366211,0.4599609,-1,-2,-1,-2,-1,0,-2,-3,-15,-11,5,9,8,57,-10,1,7,7,7,-8.4375,-8.4375,-8.4375,2.905747,3.028996,8.903567,6.470503,6.339805,2.279441,-0.1572848,-0.4900738,1.386025,0.08684218,0.1666298,1.365619,0.0649316,0.2724221,1.487025,-0.1937147,-0.4869943,1.386131,0.1140276,0.1854946,1.39366,0.04323682,-0.1677606,1.489671,0.0417698,-0.4707715,1.466792,-0.1262203,0.0135722,1.474258,-0.0286608,-0.4616973,1.436978,-0.1576263,-0.2363111,1.463697,0.3074877,-0.1218645,1.318458,NA,NA,NotTracked,NotTracked,
0.9458008,-0.3129883,0.07519531,-0.7666016,0.5585938,0.4736328,-2,0,0,-1,0,-1,-2,-1,-16,-2,-6,-2,-2,-35,3,25,7.0625,7.0625,7.0625,-10.875,-10.875,-10.875,2.906438,3.027867,8.914251,6.475949,6.300368,2.316818,-0.1568422,-0.4911363,1.387794,0.08613534,0.1568216,1.366491,0.06517701,0.2724458,1.487395,-0.1934347,-0.4868161,1.383883,0.1088889,0.1749287,1.392637,0.04299165,-0.1678438,1.489649,0.04180742,-0.4711087,1.467011,-0.1267643,0.01332805,1.47466,-0.02864758,-0.4621162,1.437856,-0.1571823,-0.2365259,1.464185,0.3073065,-0.1211556,1.316585,NA,NA,NotTracked,NotTracked,
0.9467773,-0.3144531,0.08251953,-0.8764648,0.565918,0.3759766,1,5,-1,-2,0,-3,-3,0,-38,5,17,1,-20,-20,4,20,0.375,0.375,0.375,1.5,1.5,1.5,2.900189,3.020409,8.930902,6.497015,6.346783,2.351191,-0.1567154,-0.4920418,1.390708,0.07634421,0.1752364,1.383148,0.06524083,0.2720622,1.487684,-0.1887223,-0.5105932,1.384429,0.0581459,0.1369663,1.401833,0.04263371,-0.1680209,1.489671,0.04175715,-0.4712992,1.467211,-0.1272926,0.01316184,1.475113,-0.02872928,-0.4623923,1.438558,-0.1566941,-0.2370786,1.46538,0.3073874,-0.1216169,1.317105,NA,NA,NotTracked,NotTracked,
0.9394531,-0.3222656,0.08349609,-0.8999023,0.5043945,0.3100586,-3,-3,-1,-1,0,1,-1,-3,28,12,1,-5,-4,-5,-7,28,-7.25,-7.25,-7.25,9.75,9.75,9.75,2.868849,3.008044,8.954576,6.507233,6.427484,2.340324,-0.1571436,-0.4918804,1.393755,0.08002077,0.1774706,1.381964,0.06582227,0.2737125,1.487047,-0.1918061,-0.4915264,1.386416,0.1189116,0.1898913,1.39672,0.04320091,-0.1678173,1.489501,0.04170152,-0.4713806,1.467487,-0.1275299,0.01307191,1.475395,-0.02883277,-0.4623875,1.439176,-0.1563787,-0.2370293,1.466119,0.3076532,-0.1221215,1.317627,NA,NA,NotTracked,NotTracked,
0.9267578,-0.3354492,0.08886719,-0.7675781,0.4829102,0.3852539,0,0,0,-2,-1,-1,-2,0,-7,-26,8,4,25,64,50,0,-4.5625,-4.5625,-4.5625,-0.625,-0.625,-0.625,2.844135,3.004174,8.969963,6.459226,6.430965,2.265501,-0.1578806,-0.4930246,1.396583,0.07676087,0.1869113,1.376128,0.06632642,0.2734198,1.487191,-0.1928863,-0.490185,1.38923,0.07919088,0.2266282,1.36415,0.04318496,-0.1677705,1.489641,0.04185471,-0.4712788,1.467914,-0.1275657,0.01303124,1.47546,-0.02871462,-0.4621053,1.439721,-0.1560973,-0.2369935,1.466921,0.30753,-0.1200765,1.315012,NA,NA,NotTracked,NotTracked,
0.9492188,-0.3071289,0.08203125,-0.6391602,0.4838867,0.4624023,-3,-1,-3,0,-1,-1,0,-1,-8,-17,0,-1,15,21,-15,4,0.0625,0.0625,0.0625,1.0625,1.0625,1.0625,2.836688,3.004338,8.976825,6.424494,6.370231,2.224368,-0.1573372,-0.4928866,1.394752,0.0761854,0.1847495,1.370158,0.06730901,0.2733765,1.48766,-0.1946612,-0.4761812,1.397583,0.06678303,0.22559,1.347636,0.04316532,-0.1677732,1.489744,0.04183982,-0.4714016,1.468184,-0.1275562,0.01295923,1.475544,-0.02878537,-0.462059,1.43993,-0.1559675,-0.236732,1.46753,0.3070821,-0.1158546,1.308652,NA,NA,NotTracked,NotTracked,
0.9448242,-0.3095703,0.08691406,-0.6835938,0.5073242,0.5136719,-3,-4,-2,-1,-3,-2,0,-3,1,2,5,-1,-8,11,4,65,3.1875,3.1875,3.1875,-3.75,-3.75,-3.75,2.849877,3.011755,8.965961,6.401423,6.267694,2.211279,-0.1562591,-0.4924575,1.39365,0.07366681,0.1682353,1.365291,0.0680147,0.2735321,1.488574,-0.1931825,-0.4899693,1.393475,0.03713948,0.1627889,1.364429,0.04312804,-0.1678703,1.48984,0.04197627,-0.4719343,1.468594,-0.1275801,0.01291678,1.475659,-0.02876152,-0.4623549,1.440373,-0.1558183,-0.2366959,1.467579,0.3069701,-0.1111585,1.300924,NA,NA,NotTracked,NotTracked,
