ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.659668,-0.4790039,0.4697266,0.4985352,0.2167969,0.8125,10,3,-7,-2,-2,1,4,14,3,30,-1,-2,-3,-3,0,-6,81.125,81.125,81.125,-59.8125,-59.8125,-59.8125,3.771973,3.791313,9.494979,5.32889,3.960186,1.083832,-0.02609733,-0.3514978,1.246457,0.1755316,-0.3374164,1.256658,0.1005626,0.26664,1.446627,0.01515507,-0.3863929,1.263182,0.2091019,-0.2996864,1.209489,0.08096978,-0.1690347,1.448155,0.07624786,-0.4711435,1.418418,-0.08411883,0.01537475,1.429214,0.005513933,-0.4603332,1.384566,-0.1217297,-0.2068569,1.429789,0.2798522,-0.2146311,1.430263,NA,NA,Unknown,NotTracked,
0.4848633,-0.6132813,0.5737305,0.3139648,0.04736328,0.8364258,-6,-9,1,-5,-5,-9,-11,-13,-2,-30,-3,6,9,8,7,0,36.6875,36.6875,36.6875,-35.6875,-35.6875,-35.6875,3.912735,4.032981,9.448,5.197423,4.193243,1.082071,-0.0305893,-0.3044288,1.218375,0.1769603,-0.2930101,1.233235,0.100362,0.267257,1.446994,0.02024452,-0.3197654,1.257688,0.2148412,-0.2631308,1.192373,0.08077962,-0.1686499,1.448237,0.07612586,-0.4708368,1.418617,-0.08549187,0.01486983,1.430725,0.005467575,-0.4601256,1.384769,-0.1205736,-0.2027649,1.428076,0.2797274,-0.2062046,1.429036,NA,NA,Unknown,NotTracked,
0.4257813,-0.4936523,0.5913086,0.3696289,0.1704102,0.8378906,-2,-8,-4,3,-6,-3,1,10,17,15,-3,-3,-3,-4,1,3,34.9375,34.9375,34.9375,-15.1875,-15.1875,-15.1875,3.976904,4.178751,9.447847,5.192995,4.30585,1.050964,-0.03367453,-0.2795084,1.188822,0.1887058,-0.2643959,1.207087,0.1001307,0.2674355,1.447345,0.03967793,-0.2811366,1.18,0.219668,-0.2442273,1.149417,0.08059034,-0.1684978,1.44848,0.07608989,-0.470621,1.419019,-0.08625265,0.01455266,1.431514,0.005539157,-0.4599058,1.385144,-0.1189816,-0.1984768,1.423929,0.2766558,-0.2035557,1.42583,NA,NA,Unknown,Unknown,
0.4389648,-0.4580078,0.6987305,0.3999023,0.1025391,0.8276367,-6,1,-6,-8,-5,-4,-11,-16,9,0,-1,0,-14,-4,2,3,32.4375,32.4375,32.4375,13.25,13.25,13.25,4.018055,4.260738,9.458798,5.200965,4.352514,1.029806,-0.04014888,-0.2681814,1.179916,0.19431,-0.2517301,1.195755,0.09999529,0.2675946,1.447789,0.02964168,-0.2635955,1.1635,0.2268836,-0.2339047,1.139219,0.08050048,-0.1682814,1.448852,0.07627446,-0.4702536,1.419638,-0.08642539,0.01451845,1.431767,0.005750213,-0.4596301,1.385536,-0.1182353,-0.1985332,1.420647,0.2750909,-0.2034203,1.423271,NA,NA,Unknown,Unknown,
0.5454102,-0.3984375,0.7075195,0.5864258,0.1118164,0.8706055,-2,-4,12,0,5,3,-4,-2,-3,9,-2,-4,-16,-8,9,0,21.25,21.25,21.25,22.25,22.25,22.25,4.066043,4.273139,9.480455,5.258399,4.316247,1.022834,-0.04602654,-0.2657615,1.192536,0.191352,-0.2539415,1.190978,0.09978812,0.2679212,1.448441,0.01469463,-0.2654297,1.14409,0.2270093,-0.2328137,1.139011,0.08043301,-0.1680573,1.449268,0.07640626,-0.4701092,1.419999,-0.08676258,0.01436601,1.431981,0.005890166,-0.4595444,1.385767,-0.1179756,-0.1988288,1.418962,0.2740237,-0.2033592,1.421018,NA,NA,Unknown,Unknown,
0.5429688,-0.4291992,0.7436523,0.4448242,0.1176758,0.9619141,1,-7,14,0,-2,-3,3,1,3,11,5,7,3,-2,-3,-2,5.5,5.5,5.5,29.375,29.375,29.375,4.095038,4.252005,9.484538,5.275387,4.289866,1.072586,-0.04459307,-0.2702653,1.198754,0.1873526,-0.260317,1.195984,0.09966049,0.26824,1.448952,0.01218532,-0.2709928,1.165059,0.2232959,-0.2377728,1.143908,0.08037803,-0.1679408,1.449395,0.07645506,-0.4700554,1.420071,-0.08712433,0.01426467,1.432196,0.005961125,-0.4595074,1.385814,-0.1179014,-0.1990159,1.418127,0.2739076,-0.203339,1.419257,NA,NA,Unknown,Unknown,
0.3994141,-0.4946289,0.8129883,0.2275391,0.1738281,0.9658203,-2,3,-3,-3,1,-1,-2,-5,-12,4,-2,-4,-3,-5,2,3,6.125,6.125,6.125,28.75,28.75,28.75,4.112014,4.233479,9.456386,5.282856,4.291022,1.17807,-0.03968303,-0.2748464,1.209181,0.1728409,-0.262923,1.206766,0.09950873,0.2687673,1.449594,0.0008386339,-0.2766477,1.210154,0.2039313,-0.2397877,1.153227,0.08035704,-0.1677211,1.449437,0.07653336,-0.4698133,1.420186,-0.08692813,0.01459432,1.431955,0.006111683,-0.4592184,1.385925,-0.1185743,-0.1985434,1.418662,0.2745853,-0.2029812,1.418882,NA,NA,Unknown,Unknown,
0.2363281,-0.5317383,0.8066406,0.1962891,0.2368164,1.001953,5,2,-6,-5,-3,-3,-16,-4,0,20,2,-1,-3,-10,-2,-7,-26,-26,-26,16,16,16,4.124562,4.24724,9.371638,5.284482,4.331803,1.262667,-0.03081175,-0.2725221,1.211823,0.1390128,-0.2677674,1.179454,0.09959929,0.2691217,1.450126,0.03133656,-0.2815088,1.2525,0.1339695,-0.2671793,1.1285,0.08033916,-0.1675906,1.449467,0.07658016,-0.4696645,1.420272,-0.08692933,0.01476381,1.431858,0.006222896,-0.4590625,1.386029,-0.1196584,-0.1981988,1.418912,0.2764044,-0.2026668,1.41806,NA,NA,NotTracked,Unknown,
0.1977539,-0.6000977,0.8286133,0.3686523,0.3105469,0.9873047,1,2,-1,2,1,2,11,15,3,1,1,2,7,-1,1,0,-41.5,-41.5,-41.5,-13.3125,-13.3125,-13.3125,4.096414,4.280814,9.325513,5.299423,4.427695,1.239283,-0.01687223,-0.2661548,1.171347,0.1516249,-0.2529746,1.193396,0.09968802,0.2696164,1.450845,0.04316367,-0.2591507,1.163625,0.1826012,-0.23252,1.145422,0.08031613,-0.1675282,1.449456,0.07660808,-0.4695909,1.420346,-0.0857984,0.01557212,1.430162,0.006298871,-0.4589764,1.386096,-0.1203915,-0.1971493,1.414879,0.2768934,-0.2026715,1.412351,NA,NA,NotTracked,NotTracked,
0.3857422,-0.6025391,0.7832031,0.5009766,0.2597656,0.8911133,-9,-3,-4,-1,-1,-2,13,-1,8,7,6,4,-4,-4,-1,-4,3.375,3.375,3.375,-36,-36,-36,4.06119,4.35147,9.348742,5.290591,4.487498,1.135642,-0.03538692,-0.2514455,1.172086,0.09204124,-0.245827,1.137695,0.09977456,0.2701639,1.451888,0.009000384,-0.2528896,1.1791,0.1124025,-0.2330141,1.0967,0.08036072,-0.1674396,1.449573,0.07660517,-0.4694701,1.420671,-0.08577595,0.01541851,1.429764,0.006340195,-0.4588683,1.386333,-0.1183622,-0.1975651,1.405983,0.2347769,-0.210721,1.361194,NA,NA,NotTracked,NotTracked,
