ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.7792969,-0.6035156,0.230957,0.9267578,0.3007813,0.215332,-1,-2,-1,-1,-2,4,0,-3,-2,-2,-1,-2,0,-1,-1,-1,-97.3125,-97.3125,-97.3125,22.0625,22.0625,22.0625,3.023793,3.286757,0.3404849,6.286432,3.031294,0.01550503,-0.02053903,-0.4373392,1.231917,0.2803034,-0.4787686,1.258789,0.1155874,0.2618272,1.387517,-0.04061784,-0.4620923,1.220719,0.3189457,-0.4744735,1.263247,0.1056661,-0.1706425,1.39826,0.1103892,-0.4718605,1.372831,-0.06093258,0.01532329,1.373808,0.03788893,-0.4634762,1.338691,-0.0853862,-0.2156589,1.342721,0.2954427,-0.2358129,1.357799,NA,NA,Unknown,NotTracked,
0.7583008,-0.5961914,0.3393555,0.9682617,0.3432617,0.2338867,-4,-1,-13,-3,-2,-3,0,-1,-3,-2,1,1,0,-1,1,0,-90.625,-90.625,-90.625,42.0625,42.0625,42.0625,3.106313,3.416348,0.073301,6.355871,3.047531,0.006314015,0.02859303,-0.4291495,1.212784,0.2836586,-0.478511,1.256676,0.1156323,0.2621865,1.387729,0.001354669,-0.445243,1.212259,0.3224342,-0.4736027,1.257488,0.1056895,-0.1705826,1.398427,0.1099149,-0.4718876,1.374059,-0.06035283,0.01521815,1.369993,0.03758226,-0.4632631,1.339329,-0.08326697,-0.2063829,1.328415,0.2959301,-0.235734,1.358,NA,NA,Unknown,Unknown,
0.7983398,-0.605957,0.3076172,0.9946289,0.3857422,0.3598633,44,5,2,4,6,11,-8,7,6,4,-2,1,0,6,0,11,-168.0625,-168.0625,-168.0625,17.25,17.25,17.25,3.084402,3.582004,9.721277,6.396763,3.141635,0.02610293,0.1046088,-0.4276467,1.213034,0.28676,-0.4746727,1.249029,0.1153806,0.2626091,1.388062,0.06206349,-0.4581447,1.233546,0.3259471,-0.4740384,1.246966,0.1039751,-0.1706617,1.399884,0.1047039,-0.4729079,1.378833,-0.05991691,0.01524071,1.362375,0.03380254,-0.4635137,1.342283,-0.07763345,-0.2017483,1.309026,0.2983111,-0.2349698,1.357268,NA,NA,Unknown,NotTracked,
0.8476563,-0.5102539,0.3276367,1.000977,0.4799805,0.4746094,71,-1,-44,-9,-7,-42,-18,-12,-4,-3,0,19,-17,-7,2,5,-185.3125,-185.3125,-185.3125,42.5,42.5,42.5,2.983677,3.692387,9.4677,6.371654,3.300239,0.1172063,0.1480592,-0.3920648,1.220915,0.2820517,-0.4684654,1.217629,0.1147123,0.2630547,1.388331,0.1163261,-0.4336358,1.236357,0.3260628,-0.4620585,1.225308,0.10263,-0.1707687,1.400658,0.10123,-0.4734075,1.381028,-0.05768,0.01451535,1.360319,0.0309472,-0.4635031,1.343686,-0.05936088,-0.1969848,1.278582,0.3044613,-0.2262886,1.352582,NA,NA,NotTracked,NotTracked,
0.7324219,-0.5722656,0.284668,0.9555664,0.4399414,0.6845703,-74,-45,-1,-5,-17,-6,2,-8,-4,-13,-16,-56,-34,-2,-6,-31,-133.375,-133.375,-133.375,53.5,53.5,53.5,2.886911,3.761129,9.235109,6.3061,3.540624,0.285511,0.1542931,-0.3778359,1.235572,0.2679091,-0.4269333,1.179769,0.112966,0.2643668,1.388772,0.1260122,-0.4234744,1.25051,0.3174518,-0.4553449,1.200286,0.09976713,-0.1700394,1.401422,0.09734716,-0.472333,1.382753,-0.05323372,0.01415396,1.346946,0.02764131,-0.4624493,1.344007,-0.04097418,-0.1979617,1.263572,0.3115464,-0.2108077,1.343696,NA,NA,NotTracked,NotTracked,
0.7407227,-0.5366211,0.2202148,0.6464844,0.5336914,0.828125,-13,-3,-36,-9,4,-26,0,9,-8,0,-1,14,-11,1,-1,-11,-29.4375,-29.4375,-29.4375,88,88,88,2.922249,3.813581,9.060036,6.240481,3.999832,0.6436018,0.1737752,-0.3489791,1.226026,0.2175846,-0.3653932,1.132814,0.1107048,0.265337,1.389007,0.1504661,-0.3731128,1.228,0.250056,-0.3800247,1.120373,0.0959917,-0.1689688,1.401629,0.08965228,-0.4700896,1.383448,-0.0521501,0.01383671,1.343038,0.0194075,-0.4589771,1.342637,-0.02551013,-0.1998354,1.25586,0.3229716,-0.1897083,1.325446,NA,NA,NotTracked,NotTracked,
0.7402344,-0.4902344,0.2197266,0.3447266,0.5317383,0.8491211,-61,-5,33,-1,6,6,-12,1,-3,-20,-4,-26,-11,-11,-8,-6,-39.1875,-39.1875,-39.1875,66.5625,66.5625,66.5625,2.943237,3.816618,8.980082,6.222355,4.400105,0.9405026,0.1541608,-0.2853445,1.111067,0.1589449,-0.2667829,1.117621,0.1086357,0.2664766,1.388764,0.1413926,-0.314288,1.109375,0.169316,-0.3083157,1.126555,0.09377525,-0.1680952,1.401831,0.08729359,-0.4685532,1.384528,-0.05195398,0.01378584,1.343511,0.017581,-0.4573556,1.342507,-0.01659061,-0.198985,1.252942,0.3270033,-0.1789408,1.301482,NA,NA,NotTracked,NotTracked,
0.7509766,-0.6733398,0.1811523,0.1196289,0.5258789,0.7871094,103,-3,7,9,1,-8,8,19,-17,-20,-3,-1,14,3,1,1,-33.8125,-33.8125,-33.8125,67.625,67.625,67.625,2.92512,3.798416,8.8341,6.249859,4.790921,1.247428,0.1884586,-0.1480936,1.160992,0.08413935,-0.1681961,1.127995,0.106732,0.2668939,1.388146,0.1936536,-0.1621681,1.142273,0.07336172,-0.2249289,1.15695,0.09384445,-0.16749,1.401873,0.08900833,-0.4660066,1.385882,-0.04767172,0.01440457,1.335374,0.01932393,-0.4551456,1.342791,-0.01688146,-0.1887858,1.249231,0.3313907,-0.1562706,1.266491,NA,NA,NotTracked,NotTracked,
0.7197266,-0.6791992,0.2080078,0.008300781,0.4389648,0.6591797,20,2,30,-1,-2,-13,-12,7,-7,-7,2,2,-5,1,3,0,-12.4375,-12.4375,-12.4375,72.625,72.625,72.625,2.935917,3.773696,8.755397,6.351135,5.111784,1.537913,0.2266089,-0.08045389,1.18712,-0.008866985,-0.0822232,1.165322,0.1056706,0.2680246,1.3872,0.2255354,-0.08121435,1.15225,-0.0129217,-0.06245393,1.126218,0.09405343,-0.1666597,1.401641,0.09001273,-0.4633472,1.387619,-0.04807068,0.01504943,1.334926,0.02029432,-0.4531248,1.343355,0.001000007,-0.1780734,1.225048,0.2744233,-0.1360371,1.216091,NA,NA,NotTracked,NotTracked,
0.7041016,-0.7319336,0.2060547,0.1020508,0.4760742,0.5610352,-20,6,55,19,6,-13,-12,15,-4,5,1,-4,-43,-32,2,28,-0.25,-0.25,-0.25,20.75,20.75,20.75,2.950863,3.763157,8.725363,6.483581,5.340425,1.875455,0.1970008,-0.05766634,1.18252,-0.02933067,-0.04638295,1.204181,0.1052936,0.2680742,1.386618,0.1956126,-0.07379857,1.145909,-0.0114751,0.001181922,1.167122,0.09417917,-0.1662833,1.401755,0.09071952,-0.4624749,1.388824,-0.04687098,0.01558488,1.328798,0.02083146,-0.452677,1.343583,0.00942811,-0.2029587,1.246486,0.2529102,-0.121436,1.200529,NA,NA,NotTracked,NotTracked,
0.7216797,-0.6899414,0.2089844,0.08007813,0.7412109,0.4760742,-10,-22,30,5,-13,-19,6,16,-1,27,-2,-2,1,-8,-6,-16,-2.0625,-2.0625,-2.0625,14.125,14.125,14.125,2.957001,3.766761,8.718626,6.568964,5.382119,2.056421,0.1956152,-0.05158609,1.187462,-0.03730655,-0.01933475,1.221192,0.1051401,0.2682626,1.385473,0.2241439,-0.07561283,1.167444,-0.03096308,0.03288854,1.203408,0.09425236,-0.1660691,1.401732,0.09137824,-0.4621481,1.38978,-0.04400979,0.01353559,1.315781,0.02140673,-0.4526011,1.343893,0.009419043,-0.2028069,1.246546,0.2294448,-0.1078517,1.189295,NA,NA,NotTracked,NotTracked,
