ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9570313,-0.2983398,0.06787109,0.9404297,0.1831055,0.2026367,-2,-1,-2,0,-2,0,2,2,-1,1,0,1,0,1,-2,0,1.5625,1.5625,1.5625,3.125,3.125,3.125,2.866557,2.992095,1.654716,6.127718,2.93033,9.54529,-0.1220809,-0.481895,1.321009,0.2369466,-0.504146,1.286462,0.09147528,0.2847475,1.435056,-0.08227535,-0.4740279,1.302777,0.2003554,-0.4940643,1.266251,0.07458957,-0.1644765,1.419611,0.06838278,-0.4721271,1.398334,-0.09079279,0.01571901,1.398057,-0.001965844,-0.4623275,1.366513,-0.1266152,-0.2405005,1.39039,0.2579422,-0.2410627,1.373535,NA,NA,NotTracked,NotTracked,
0.9526367,-0.2973633,0.06396484,0.9492188,0.1630859,0.1826172,-5,-2,-6,-2,-3,-3,1,-7,-4,-5,-1,-2,0,1,1,-1,-0.0625,-0.0625,-0.0625,0.75,0.75,0.75,2.865381,2.991559,1.65559,6.126138,2.927791,9.544886,-0.1226922,-0.481543,1.321279,0.2360442,-0.5023733,1.287316,0.09078228,0.2846317,1.435143,-0.08175613,-0.472584,1.306286,0.2006874,-0.4950956,1.265519,0.07419971,-0.1645404,1.419754,0.06807714,-0.47216,1.398294,-0.09143709,0.01553193,1.39841,-0.002245175,-0.4623983,1.366518,-0.1273187,-0.2406057,1.390795,0.2573873,-0.2412717,1.373773,NA,NA,NotTracked,NotTracked,
0.9443359,-0.3007813,0.07617188,0.9399414,0.1757813,0.2143555,-2,-1,0,-1,-2,-2,-1,-2,-8,-1,-1,-1,-2,-9,-2,-3,-0.3125,-0.3125,-0.3125,0.75,0.75,0.75,2.855827,2.994115,1.663142,6.112309,2.929667,9.556688,-0.1233069,-0.4809827,1.321369,0.2357239,-0.5023098,1.286696,0.09013784,0.2845713,1.435287,-0.08239847,-0.4745864,1.30436,0.1997102,-0.4944469,1.266202,0.07367539,-0.1645718,1.419898,0.06766845,-0.4721178,1.398309,-0.0920756,0.01550062,1.398835,-0.002607248,-0.4623919,1.366549,-0.1279965,-0.2406429,1.390921,0.2568548,-0.2413717,1.374129,NA,NA,NotTracked,NotTracked,
0.9516602,-0.2797852,0.06835938,0.9448242,0.1982422,0.2197266,-2,1,-1,-1,0,-3,5,2,-10,-8,-2,-2,-1,2,0,-1,0.75,0.75,0.75,3,3,3,2.851353,2.995816,1.670919,6.106062,2.940245,9.569327,-0.1237892,-0.4811388,1.320254,0.233726,-0.5013896,1.283937,0.08960935,0.2845259,1.435331,-0.08313631,-0.4763659,1.303154,0.1982484,-0.4928359,1.264218,0.07311777,-0.1646703,1.419886,0.06713765,-0.4721633,1.398188,-0.09259043,0.01544163,1.399035,-0.00310476,-0.4624872,1.366478,-0.1286064,-0.240619,1.391101,0.2561818,-0.2412052,1.374407,NA,NA,NotTracked,NotTracked,
0.953125,-0.2861328,0.07519531,0.9663086,0.1650391,0.2080078,-1,-2,-2,0,-1,-2,0,3,3,18,1,-16,-3,-26,-6,-2,0.625,0.625,0.625,-3.9375,-3.9375,-3.9375,2.849327,2.996024,1.672181,6.063967,2.963378,9.601475,-0.1247714,-0.4811346,1.320165,0.2318253,-0.4998382,1.280882,0.08912802,0.2844468,1.435368,-0.08309437,-0.4746622,1.304645,0.1952628,-0.4917904,1.262121,0.07258691,-0.1647569,1.41991,0.06639557,-0.4722351,1.398076,-0.09292901,0.01535102,1.399179,-0.003816137,-0.4626061,1.366389,-0.1289995,-0.2407066,1.391043,0.2556307,-0.2411202,1.374282,NA,NA,NotTracked,NotTracked,
0.949707,-0.2954102,0.08105469,1.080566,0.1445313,0.2504883,-1,-2,2,0,-1,-2,-4,-7,-9,-5,-1,-24,-3,-19,-10,-3,0.25,0.25,0.25,19.9375,19.9375,19.9375,2.852542,2.99585,1.669982,5.982379,3.01036,9.70948,-0.1246914,-0.4831029,1.319551,0.2270581,-0.4957591,1.2734,0.0886415,0.2843449,1.435371,-0.08309123,-0.4756418,1.303969,0.190411,-0.4873416,1.251135,0.0719918,-0.1648954,1.419982,0.06560437,-0.4722851,1.397924,-0.09358611,0.01512035,1.399445,-0.004582308,-0.4627382,1.366403,-0.129274,-0.2407306,1.391045,0.2551308,-0.2409918,1.374122,NA,NA,NotTracked,NotTracked,
0.9472656,-0.2880859,0.07080078,1.094727,0.2993164,0.4140625,-2,-3,-1,-1,-1,-3,-1,0,-1,-33,-3,23,-13,-81,-24,-4,1.1875,1.1875,1.1875,1,1,1,2.85997,2.996386,1.665228,5.863908,3.170412,9.861477,-0.1248569,-0.4828583,1.320591,0.2087938,-0.4769264,1.253747,0.08784413,0.2841445,1.435251,-0.08283772,-0.475087,1.304442,0.1792242,-0.458414,1.230987,0.07077315,-0.1649984,1.420042,0.06366667,-0.4721319,1.397534,-0.09384165,0.01499662,1.399661,-0.00652731,-0.4626105,1.36626,-0.129471,-0.2407835,1.391065,0.2545348,-0.2391167,1.37413,NA,NA,NotTracked,Unknown,
0.9375,-0.3041992,0.07421875,0.8842773,0.4311523,0.7050781,-1,-4,0,-2,-3,-1,4,-3,-29,-26,-4,-35,18,62,20,7,-2.4375,-2.4375,-2.4375,-29.375,-29.375,-29.375,2.8628,2.995843,1.660498,5.650158,3.591413,0.04918538,-0.1250937,-0.4835094,1.321874,0.1668786,-0.440675,1.21153,0.08685052,0.2836003,1.435004,-0.08371168,-0.4752365,1.304257,0.1493715,-0.4172457,1.191867,0.06931677,-0.165159,1.420141,0.05981581,-0.4717372,1.397121,-0.09428777,0.01490732,1.400032,-0.01057464,-0.4617259,1.366142,-0.1297019,-0.2408852,1.391117,0.2544902,-0.2330008,1.374966,NA,NA,NotTracked,Unknown,
0.9545898,-0.3051758,0.08007813,0.703125,0.2709961,0.8706055,-4,-5,-5,-2,-2,-3,-6,-10,15,-6,-16,-1,1,53,5,1,-8,-8,-8,-66,-66,-66,2.860669,2.9933,1.651324,5.491864,4.02607,0.1328488,-0.1245387,-0.4821477,1.322429,0.1309856,-0.3655175,1.185438,0.08568062,0.2828335,1.43422,-0.08467905,-0.4754381,1.303499,0.1298065,-0.3358714,1.151305,0.06880034,-0.1653901,1.420454,0.05941777,-0.4718518,1.397251,-0.09467429,0.01473505,1.400365,-0.01091604,-0.4616695,1.366336,-0.1298817,-0.2410622,1.391311,0.2545211,-0.2246373,1.372706,NA,NA,NotTracked,Lasso,
0.9550781,-0.3022461,0.06298828,0.3989258,0.206543,0.9423828,-1,-3,-3,-1,-2,0,-3,-3,11,3,37,25,1,9,4,3,-4,-4,-4,-39.375,-39.375,-39.375,2.855559,2.993633,1.64652,5.39599,4.51661,0.1739882,-0.1248365,-0.4827012,1.323455,0.1022675,-0.2681551,1.143213,0.08479062,0.281988,1.433315,-0.08394513,-0.4755428,1.304249,0.1128137,-0.2402703,1.118663,0.06872801,-0.1656798,1.421251,0.05983824,-0.4718226,1.39786,-0.09511765,0.01442896,1.401035,-0.0101753,-0.4616862,1.366964,-0.1299761,-0.2412895,1.391577,0.2515817,-0.2088161,1.362729,NA,NA,NotTracked,Unknown,
