ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9633789,-0.2172852,-0.1279297,0.8989258,0.3813477,0.02587891,-2,-1,-2,0,-3,-1,-2,-2,-2,-2,-1,1,0,0,-2,1,0.375,0.375,0.375,0.4375,0.4375,0.4375,1.643968,2.910563,7.657631,7.402581,3.13108,0.1778352,-0.1328482,-0.5081857,1.743798,0.2879587,-0.4746272,1.735345,0.0721167,0.3154107,1.809445,-0.09740851,-0.4783484,1.700112,0.2761948,-0.4727646,1.696272,0.06621601,-0.1296487,1.817561,0.07232288,-0.4231091,1.794246,-0.113681,0.05361279,1.836992,-0.0003983088,-0.4177021,1.762149,-0.1465198,-0.2151261,1.864948,0.2839953,-0.2163193,1.871361,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2177734,-0.1235352,0.894043,0.3725586,0.02441406,0,0,-2,-2,-2,-1,-2,-3,1,-1,-2,-4,-1,0,-1,-2,-0.125,-0.125,-0.125,-0.25,-0.25,-0.25,1.643968,2.910563,7.657631,7.402581,3.13108,0.1778352,-0.1324952,-0.5070547,1.74185,0.2894139,-0.475052,1.735811,0.07218418,0.3154242,1.809501,-0.09781803,-0.4943832,1.692091,0.2757955,-0.4716395,1.69621,0.06633939,-0.1295902,1.817385,0.07237124,-0.4230826,1.794244,-0.1136776,0.05360493,1.836995,-0.0003494635,-0.4176758,1.762148,-0.146601,-0.2150976,1.864924,0.2840067,-0.2163626,1.871375,NA,NA,NotTracked,NotTracked,
0.9604492,-0.2231445,-0.1318359,0.8994141,0.3842773,0.02587891,0,0,0,0,0,-1,0,-3,-1,1,1,4,1,-1,-1,-2,-0.0625,-0.0625,-0.0625,-0.125,-0.125,-0.125,1.64419,2.910694,7.657428,7.402233,3.131671,0.177839,-0.1329829,-0.5068223,1.743966,0.2877799,-0.4825032,1.729554,0.07224178,0.3154522,1.809511,-0.09734427,-0.4732979,1.701546,0.272932,-0.4718217,1.695384,0.06637283,-0.1294925,1.816766,0.0723236,-0.4230722,1.794185,-0.1136752,0.05361534,1.836987,-0.0004159882,-0.4176674,1.762059,-0.1466001,-0.2152966,1.864884,0.2840112,-0.2162164,1.87133,NA,NA,NotTracked,NotTracked,
0.9619141,-0.222168,-0.1235352,0.8964844,0.3847656,0.02392578,0,0,-1,-2,-1,0,-2,-1,-3,1,-2,-2,-1,0,-1,-2,-0.6875,-0.6875,-0.6875,0.1875,0.1875,0.1875,1.64419,2.910694,7.657428,7.401892,3.131778,0.178275,-0.1326265,-0.5034348,1.743788,0.2885643,-0.481937,1.73169,0.07227799,0.3154671,1.809508,-0.0971895,-0.4733344,1.701609,0.2771322,-0.5148422,1.685353,0.06635334,-0.1295222,1.816878,0.07230689,-0.4230552,1.794119,-0.1136643,0.05360717,1.836969,-0.0004199861,-0.4176526,1.761978,-0.1466673,-0.215543,1.864648,0.2839975,-0.2163236,1.871252,NA,NA,NotTracked,NotTracked,
0.9575195,-0.2211914,-0.1303711,0.8930664,0.3701172,0.02246094,-4,-1,-3,-5,-1,1,0,-3,1,-3,-1,-2,-1,1,-1,-2,-0.125,-0.125,-0.125,-0.1875,-0.1875,-0.1875,1.64419,2.910694,7.657428,7.401776,3.131423,0.1777402,-0.1327374,-0.5035495,1.743893,0.2833439,-0.4534471,1.740277,0.07233383,0.3154466,1.809461,-0.09733224,-0.4751255,1.700106,0.2781247,-0.4734646,1.689179,0.06642334,-0.1294845,1.816672,0.07233903,-0.4230395,1.794092,-0.1136535,0.05362964,1.83696,-0.0003941242,-0.41763,1.76194,-0.1465032,-0.2157308,1.8646,0.2840028,-0.2164108,1.871224,NA,NA,NotTracked,NotTracked,
0.9663086,-0.2216797,-0.1181641,0.90625,0.3852539,0.02539063,-1,-1,-4,0,0,-1,-2,-2,-2,-1,0,-4,-1,-1,-3,-1,1.5625,1.5625,1.5625,-0.25,-0.25,-0.25,1.646802,2.9099,7.655948,7.401417,3.131717,0.1780358,-0.1333077,-0.5070308,1.74358,0.2852684,-0.4773138,1.729034,0.07234924,0.3153683,1.809472,-0.09731172,-0.4701429,1.7027,0.2650383,-0.4549251,1.700377,0.06642587,-0.12948,1.816589,0.07233534,-0.4230439,1.794093,-0.1136424,0.05361834,1.836958,-0.0004040353,-0.4176422,1.761933,-0.146485,-0.2156018,1.86457,0.2839972,-0.216439,1.871312,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2202148,-0.1313477,0.894043,0.371582,0.02099609,1,-1,0,-1,0,-1,-1,-1,-2,2,2,-1,0,0,0,-2,-0.3125,-0.3125,-0.3125,0.3125,0.3125,0.3125,1.647402,2.90974,7.656017,7.402388,3.131216,0.1774887,-0.1326846,-0.5067275,1.742532,0.2874737,-0.4773145,1.732121,0.07231486,0.3153256,1.80947,-0.09701173,-0.475424,1.6995,0.2673092,-0.4592417,1.699058,0.06644081,-0.1295247,1.816381,0.07230803,-0.4230757,1.794036,-0.1136343,0.05361859,1.836942,-0.0004443343,-0.4176731,1.7618,-0.1464409,-0.2155355,1.864533,0.2839999,-0.2163881,1.871276,NA,NA,NotTracked,NotTracked,
0.9628906,-0.2192383,-0.1293945,0.8950195,0.3818359,0.02685547,-1,-1,-1,-2,-1,-1,-1,0,-4,-3,-2,0,-2,-2,0,-2,1.625,1.625,1.625,-1.5,-1.5,-1.5,1.649319,2.909863,7.655602,7.401433,3.132102,0.1766038,-0.1324353,-0.5066087,1.742428,0.2880083,-0.4780362,1.731748,0.07230437,0.3153775,1.809411,-0.09712423,-0.4774714,1.69881,0.2692502,-0.4629149,1.697187,0.06640209,-0.1295346,1.816502,0.0722905,-0.4230552,1.794002,-0.11361,0.0536433,1.836932,-0.0004636587,-0.4176261,1.761767,-0.1464915,-0.2154409,1.864434,0.284003,-0.216462,1.871299,NA,NA,NotTracked,NotTracked,
0.965332,-0.2236328,-0.1298828,0.894043,0.3857422,0.02001953,-1,1,-1,-2,-1,0,2,5,1,0,1,-4,-1,0,0,-1,0.5625,0.5625,0.5625,-2.0625,-2.0625,-2.0625,1.649596,2.910044,7.655453,7.400367,3.133154,0.1752103,-0.1327145,-0.5064285,1.743203,0.2778778,-0.474402,1.723696,0.07229558,0.3153932,1.809381,-0.09699195,-0.4733534,1.701609,0.2635066,-0.4905067,1.675429,0.06634628,-0.1295068,1.816341,0.07226576,-0.4230363,1.793974,-0.1136084,0.05362472,1.836918,-0.000492201,-0.4176082,1.761739,-0.1464752,-0.2153742,1.864421,0.2840168,-0.2164904,1.871315,NA,NA,NotTracked,NotTracked,
0.9609375,-0.230957,-0.1293945,0.8916016,0.3847656,0.02783203,-1,-2,-1,0,-2,0,-1,-3,2,1,2,-3,0,0,0,0,-0.6875,-0.6875,-0.6875,-0.4375,-0.4375,-0.4375,1.649146,2.909713,7.655443,7.399788,3.134036,0.1737387,-0.1330917,-0.5075834,1.7433,0.2786971,-0.4737642,1.725087,0.07229277,0.315373,1.809366,-0.09793542,-0.489529,1.695132,0.2650744,-0.4870332,1.677818,0.06634594,-0.1295802,1.816592,0.07230408,-0.4230448,1.794015,-0.1136043,0.05364848,1.836935,-0.0004505574,-0.4176065,1.761777,-0.1466743,-0.2150842,1.864482,0.2840385,-0.2164685,1.871406,NA,NA,NotTracked,NotTracked,
