ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9511719,-0.2373047,-0.1586914,0.9291992,0.2998047,-0.02734375,0,0,-1,-3,-2,1,1,0,-2,0,1,2,-2,-2,-1,0,0.1875,0.1875,0.1875,0.3125,0.3125,0.3125,1.576934,2.959481,7.362265,7.658859,2.9769,0.8178465,-0.1369031,-0.5153295,1.739554,0.2778395,-0.5037147,1.731176,0.0743089,0.3238404,1.85271,-0.1045562,-0.5114234,1.686836,0.3255126,-0.5406476,1.76111,0.06241531,-0.1251261,1.838947,0.06569524,-0.4210601,1.80616,-0.1112655,0.05318774,1.861724,-0.007599,-0.4147408,1.774535,-0.149197,-0.2219923,1.864415,0.2810149,-0.2263596,1.855803,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,0.9282227,0.2866211,-0.03271484,0,0,-1,-3,-2,1,1,0,-1,-1,1,3,0,-1,1,1,0.1875,0.1875,0.1875,-3.875,-3.875,-3.875,1.576934,2.959481,7.362265,7.656113,2.977365,0.8171111,-0.1376595,-0.5159219,1.739174,0.2779216,-0.5035248,1.730188,0.07433545,0.3238428,1.852679,-0.1039723,-0.5003136,1.691259,0.3255224,-0.5422288,1.76011,0.06245484,-0.1250776,1.839008,0.0657286,-0.4210376,1.806172,-0.1112524,0.05335838,1.861977,-0.00755141,-0.4146967,1.774519,-0.1491094,-0.2220995,1.864422,0.2810103,-0.2263331,1.855841,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,0.9355469,0.2924805,-0.03076172,0,0,-1,-3,-2,1,1,0,2,-1,-2,5,-2,-1,-1,0,0.1875,0.1875,0.1875,1.625,1.625,1.625,1.576934,2.959481,7.362265,7.657917,2.976321,0.8150538,-0.1381205,-0.5158711,1.740858,0.2732157,-0.4992991,1.732242,0.07438266,0.323792,1.852638,-0.1040011,-0.5008382,1.691185,0.3161519,-0.5363445,1.74825,0.06246369,-0.1250841,1.839012,0.0657412,-0.4210562,1.806191,-0.1111933,0.05336771,1.862049,-0.007535188,-0.414716,1.774492,-0.1492103,-0.2217376,1.864696,0.2810774,-0.226412,1.85599,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,0.9301758,0.2958984,-0.03466797,0,0,-1,-3,-2,1,1,0,0,-1,-1,6,-1,0,0,-1,0.1875,0.1875,0.1875,1.5,1.5,1.5,1.576934,2.959481,7.362265,7.659026,2.97646,0.8172527,-0.1379749,-0.514913,1.739715,0.2762479,-0.5071332,1.727576,0.07438935,0.3236737,1.852491,-0.1036018,-0.4907829,1.69579,0.3156093,-0.5354201,1.74525,0.06254598,-0.125072,1.838976,0.06578878,-0.4210375,1.806126,-0.1111862,0.05330545,1.86213,-0.007502028,-0.4146958,1.774468,-0.148919,-0.2222398,1.864689,0.2810583,-0.2264699,1.855959,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,0.9311523,0.2788086,-0.0234375,0,0,-1,-3,-2,1,1,0,-1,-3,0,0,-1,-2,0,-2,0.1875,0.1875,0.1875,1.0625,1.0625,1.0625,1.576934,2.959481,7.362265,7.659528,2.975772,0.8189476,-0.1377791,-0.5154068,1.739832,0.2765219,-0.5070122,1.727414,0.07442044,0.3237168,1.852089,-0.1041825,-0.4988209,1.692623,0.3203957,-0.5367326,1.75302,0.06259688,-0.124977,1.838952,0.06579956,-0.4209625,1.806116,-0.1111379,0.05341895,1.862115,-0.007483059,-0.414576,1.774449,-0.1487311,-0.2224411,1.864749,0.2811431,-0.2262839,1.855903,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,0.9267578,0.2871094,-0.02001953,0,0,-1,-3,-2,1,1,0,1,0,1,0,0,-1,1,0,0.1875,0.1875,0.1875,-0.875,-0.875,-0.875,1.576934,2.959481,7.362265,7.659528,2.975772,0.8189476,-0.137796,-0.5153237,1.739727,0.2766373,-0.5054637,1.728829,0.07440054,0.3236752,1.851466,-0.1043555,-0.4994072,1.692771,0.3236827,-0.5381197,1.757787,0.06264567,-0.1249148,1.838955,0.06581701,-0.4208677,1.806138,-0.1110595,0.0535229,1.86223,-0.007474951,-0.4144619,1.774502,-0.1486736,-0.2223729,1.864805,0.2810208,-0.2260511,1.855971,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,0.9458008,0.2963867,-0.04248047,0,0,-1,-3,-2,1,1,0,3,2,2,2,1,2,1,-1,0.1875,0.1875,0.1875,-0.875,-0.875,-0.875,1.576934,2.959481,7.362265,7.657624,2.975899,0.8203244,-0.1377837,-0.5157712,1.740453,0.2765052,-0.5055283,1.729946,0.07436735,0.3236035,1.851223,-0.1041895,-0.4986707,1.692714,0.3208272,-0.5374858,1.75389,0.06265278,-0.1249039,1.838968,0.06581666,-0.4208447,1.806172,-0.1110184,0.05352202,1.862308,-0.007474569,-0.4144423,1.774535,-0.1487666,-0.2223284,1.864943,0.2810406,-0.2260213,1.856008,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,0.9443359,0.2729492,-0.06005859,0,0,-1,-3,-2,1,1,0,0,7,1,0,0,-1,-2,3,0.1875,0.1875,0.1875,14.0625,14.0625,14.0625,1.576934,2.959481,7.362265,7.626626,2.990596,0.8620275,-0.1374851,-0.5157837,1.738653,0.2775741,-0.5053381,1.727975,0.07421639,0.3234075,1.850523,-0.1040933,-0.4981877,1.692297,0.321945,-0.5415971,1.756168,0.06266949,-0.1249104,1.838927,0.06585561,-0.4208106,1.806142,-0.1109821,0.05356156,1.862318,-0.007430093,-0.4143661,1.77447,-0.1487298,-0.2219498,1.865084,0.2811149,-0.2260188,1.856086,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,1.072266,0.3139648,0.03173828,0,0,-1,-3,-2,1,1,0,-2,-8,2,-2,1,0,-1,11,0.1875,0.1875,0.1875,-7.4375,-7.4375,-7.4375,1.576934,2.959481,7.362265,7.558703,3.036862,0.9284186,-0.137288,-0.5157593,1.738359,0.2746566,-0.4995826,1.717483,0.07409208,0.3233976,1.850321,-0.1041252,-0.4983069,1.692422,0.3204216,-0.53716,1.752574,0.0627104,-0.1248626,1.838946,0.06591017,-0.4206923,1.806109,-0.1109764,0.05365593,1.862431,-0.007369967,-0.4142557,1.774412,-0.148662,-0.2217402,1.865089,0.2820363,-0.2257668,1.857242,NA,NA,NotTracked,NotTracked,
0.9511719,-0.2373047,-0.1586914,0.9213867,0.5727539,-0.01660156,0,0,-1,-3,-2,1,1,0,-14,-12,-3,-1,7,0,-5,-22,0.1875,0.1875,0.1875,81.75,81.75,81.75,1.576934,2.959481,7.362265,7.486979,3.159184,1.116192,-0.1373357,-0.5147275,1.738221,0.2601007,-0.500961,1.679013,0.07401279,0.3235067,1.850185,-0.1040376,-0.4982587,1.692485,0.293118,-0.4951209,1.678687,0.06270284,-0.1247788,1.838945,0.06560016,-0.4204745,1.805967,-0.1109811,0.05359172,1.862444,-0.007667442,-0.4139644,1.77423,-0.1485354,-0.222287,1.865122,0.283561,-0.2244419,1.858585,NA,NA,NotTracked,NotTracked,
