ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9702148,-0.07519531,-0.1450195,0.9287109,0.3291016,-0.02392578,0,-1,-4,-4,-11,-5,-1,0,-3,-2,0,0,1,1,0,0,-2.75,-2.75,-2.75,-2.375,-2.375,-2.375,0.7808211,2.771146,8.949771,7.704231,3.021936,0.9432592,-0.2011966,-0.467071,1.744862,0.2407409,-0.4664465,1.731709,0.05153836,0.3283355,1.818552,-0.1714762,-0.4488271,1.707109,0.206447,-0.4545696,1.68619,0.02103735,-0.1395015,1.828183,0.006788188,-0.4631096,1.837948,-0.1182159,0.07326958,1.805454,-0.06562433,-0.4515965,1.796608,-0.2077094,-0.2112478,1.844552,0.2530794,-0.2241397,1.86866,NA,NA,NotTracked,NotTracked,
0.984375,-0.07958984,-0.1503906,0.9145508,0.3183594,-0.03808594,-3,-2,0,-2,-12,-3,-1,-2,-1,0,-2,-1,0,0,-1,-1,-3.9375,-3.9375,-3.9375,-3.0625,-3.0625,-3.0625,0.7769178,2.769371,8.950237,7.694897,3.017624,0.948352,-0.2002285,-0.4666373,1.74398,0.2408945,-0.4659334,1.732065,0.052623,0.327801,1.814872,-0.1732481,-0.4521335,1.706077,0.2079017,-0.4687533,1.678093,0.02120476,-0.1401169,1.827909,0.006706066,-0.4632768,1.837989,-0.1182134,0.07309772,1.805179,-0.06563862,-0.4516915,1.796624,-0.207366,-0.2116502,1.843698,0.2532101,-0.2240796,1.869207,NA,NA,NotTracked,NotTracked,
0.9746094,-0.07373047,-0.1367188,0.9243164,0.2827148,-0.04443359,-1,0,-3,-5,3,-2,-1,0,-3,-2,-2,-1,-1,0,-3,-1,-4.6875,-4.6875,-4.6875,-4.25,-4.25,-4.25,0.7662086,2.764634,8.948993,7.691863,3.010434,0.9397854,-0.2101356,-0.4555366,1.758474,0.2409439,-0.4656637,1.73205,0.05361426,0.3272407,1.811059,-0.1883151,-0.4655661,1.708963,0.2065721,-0.4682051,1.680633,0.02151095,-0.1405881,1.827458,0.006724892,-0.4633016,1.837994,-0.1182109,0.07299768,1.804842,-0.06558785,-0.4516892,1.796618,-0.2071098,-0.2118384,1.843325,0.2532368,-0.2237809,1.869781,NA,NA,NotTracked,NotTracked,
0.9814453,-0.05859375,-0.1298828,0.9228516,0.3081055,-0.04199219,0,-1,-4,-3,2,-1,-3,-2,-2,-1,-2,-2,-1,-1,1,-1,-4.5,-4.5,-4.5,-2,-2,-2,0.7536474,2.759006,8.954719,7.693718,3.009168,0.9331268,-0.2096705,-0.4557328,1.758696,0.240963,-0.465376,1.732674,0.05429636,0.3267663,1.807987,-0.1836784,-0.4552256,1.712397,0.2055481,-0.4556189,1.685866,0.021806,-0.141002,1.827084,0.006759676,-0.4633286,1.838002,-0.1182108,0.07281206,1.804455,-0.06557128,-0.4517036,1.796617,-0.2069208,-0.2120912,1.8429,0.2531565,-0.2237708,1.869911,NA,NA,NotTracked,NotTracked,
0.9902344,-0.06884766,-0.1298828,0.9257813,0.3125,-0.04003906,1,1,-2,-2,-9,-1,-1,-2,-3,0,-1,-1,0,-2,-3,-1,-3.875,-3.875,-3.875,-0.1875,-0.1875,-0.1875,0.7436338,2.754314,8.957591,7.695119,3.008901,0.9296458,-0.2105099,-0.4456409,1.764801,0.2407957,-0.4658723,1.732615,0.05461394,0.326279,1.805099,-0.1663453,-0.4231504,1.739259,0.2062547,-0.4573609,1.68519,0.02211066,-0.1416161,1.826361,0.006799829,-0.4633883,1.837988,-0.1181691,0.0727143,1.803888,-0.06550626,-0.4517393,1.796597,-0.2074916,-0.1696527,1.849128,0.2530256,-0.2235837,1.870147,NA,NA,NotTracked,NotTracked,
0.9814453,-0.05957031,-0.1289063,0.918457,0.2993164,-0.04150391,-1,-2,-2,2,2,-1,-2,-1,-1,-2,-1,-2,0,-2,-1,-1,-4.4375,-4.4375,-4.4375,3.3125,3.3125,3.3125,0.7289641,2.74981,8.96597,7.699226,3.006031,0.9295159,-0.2008802,-0.4638207,1.74551,0.2409996,-0.4651469,1.732576,0.05451565,0.3257301,1.801803,-0.1692291,-0.4418558,1.71352,0.2058168,-0.4555053,1.685198,0.02240069,-0.1422379,1.825531,0.006900091,-0.4634867,1.837872,-0.1181765,0.07254248,1.803314,-0.06540455,-0.4518199,1.796459,-0.2112812,-0.2107829,1.842451,0.2529938,-0.2236097,1.870161,NA,NA,NotTracked,NotTracked,
0.9829102,-0.05664063,-0.1298828,1.026367,0.2954102,-0.06982422,0,-2,-4,-2,-3,-3,-1,-2,-2,-3,-2,-2,0,0,-2,-3,-4.5625,-4.5625,-4.5625,-3.125,-3.125,-3.125,0.7163155,2.74672,8.973356,7.703339,3.004098,0.9270605,-0.2010296,-0.4640506,1.744999,0.2410559,-0.4656523,1.732231,0.05376318,0.3253076,1.799246,-0.1695423,-0.4433849,1.712034,0.2065138,-0.4572134,1.684552,0.02257959,-0.1425822,1.824836,0.007246242,-0.4635233,1.837725,-0.1182104,0.07249831,1.802772,-0.06508727,-0.4519217,1.7963,-0.2103132,-0.2113686,1.840931,0.2530507,-0.2232741,1.870256,NA,NA,NotTracked,NotTracked,
0.9892578,-0.06640625,-0.1220703,1.137207,0.144043,-0.2807617,-1,-1,-3,-1,-5,-1,-1,-2,-2,-1,3,0,-2,-2,0,1,-4.375,-4.375,-4.375,14.5,14.5,14.5,0.7012133,2.738559,8.977995,7.695252,3.022038,0.9529674,-0.2009204,-0.4669503,1.744405,0.2408313,-0.4642255,1.731918,0.05245553,0.3247408,1.796293,-0.1678272,-0.4454844,1.711889,0.2048263,-0.453244,1.688008,0.0223938,-0.1431527,1.823973,0.007325137,-0.4636528,1.837626,-0.1183396,0.07259916,1.802188,-0.06497872,-0.4520629,1.796125,-0.2110669,-0.2109625,1.840825,0.2535522,-0.2229522,1.870404,NA,NA,NotTracked,NotTracked,
0.9765625,-0.0390625,-0.1040039,0.9692383,0.5239258,-0.1635742,-2,-2,4,5,5,-2,1,-1,0,-3,2,2,-8,1,0,-1,5.5,5.5,5.5,40.5,40.5,40.5,0.7020746,2.734631,8.980636,7.727989,3.143507,0.9855638,-0.2122204,-0.4452247,1.764851,0.2573602,-0.4995969,1.749341,0.05079493,0.3241392,1.793575,-0.1658179,-0.423158,1.74025,0.2101977,-0.5227292,1.707154,0.02234308,-0.14359,1.823283,0.007437472,-0.4636572,1.837556,-0.1184811,0.07250903,1.801613,-0.06488707,-0.4521132,1.796002,-0.2127287,-0.1711538,1.844229,0.25901,-0.2139675,1.876553,NA,NA,NotTracked,NotTracked,
0.9707031,-0.046875,-0.112793,0.7817383,0.7480469,-0.02197266,-1,-2,7,5,9,0,-2,0,1,-15,-8,-26,2,4,4,1,6.75,6.75,6.75,40.25,40.25,40.25,0.72379,2.734594,8.970244,7.774635,3.340717,1.013292,-0.2099077,-0.4562575,1.756706,0.2502786,-0.4632056,1.730803,0.04872483,0.3240625,1.790937,-0.1767415,-0.4425794,1.72174,0.210284,-0.4812837,1.697161,0.02223735,-0.1438334,1.822574,0.007674709,-0.4635545,1.837428,-0.1186159,0.07242955,1.801075,-0.06468337,-0.4521266,1.795808,-0.211316,-0.2111294,1.839771,0.2716659,-0.1951883,1.884313,NA,NA,NotTracked,NotTracked,
