ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8730469,-0.2719727,-0.390625,0.5073242,0.9814453,-0.3735352,1,-1,-9,-9,5,-3,0,-3,-9,-18,-11,-2,-2,2,-1,0,59.25,59.25,59.25,15.6875,15.6875,15.6875,1.123656,3.240266,8.373503,7.997116,4.109591,0.484465,-0.2368697,-0.3108477,1.680289,0.3305142,-0.1997587,1.557982,0.05171597,0.4387516,1.713416,-0.2799438,-0.3028489,1.668942,0.2783871,-0.2148534,1.5821,0.03583507,-0.03316428,1.73807,0.03154896,-0.3556746,1.7326,-0.1334426,0.1735717,1.724936,-0.05003095,-0.3469114,1.694142,-0.233879,-0.06253759,1.784687,0.3327987,-0.02621206,1.798036,NA,NA,NotTracked,Unknown,
0.8261719,-0.3276367,-0.3696289,0.09814453,1.185059,-0.3530273,-2,-5,-3,18,19,-1,-3,0,4,6,6,7,3,1,3,5,-4.1875,-4.1875,-4.1875,40.625,40.625,40.625,1.062538,3.287088,8.46246,8.071493,4.702449,0.5060373,-0.2524469,-0.3089588,1.673296,0.3364178,-0.09065995,1.490084,0.05167552,0.4385742,1.714054,-0.2950024,-0.3035635,1.663293,0.2951238,-0.08907104,1.517692,0.03560577,-0.03292453,1.738729,0.03166362,-0.355366,1.732672,-0.1335121,0.1740063,1.725321,-0.04994323,-0.3465977,1.693825,-0.2387328,-0.05757814,1.784446,0.3499319,-0.01618605,1.794073,NA,NA,NotTracked,Open,
0.8911133,-0.2998047,-0.2519531,-0.1030273,1.101074,-0.3789063,1,-1,-3,-3,9,1,-1,0,-12,-11,-10,-8,-2,-3,-2,-5,-20.1875,-20.1875,-20.1875,76.75,76.75,76.75,1.05744,3.271096,8.436117,8.177779,5.198565,0.5709711,-0.2607073,-0.3146506,1.664548,0.3344142,0.04604558,1.445021,0.05244569,0.4373512,1.715226,-0.3015798,-0.3085784,1.653769,0.3026413,0.02441252,1.436909,0.03543223,-0.03317159,1.739772,0.03179185,-0.3553437,1.732709,-0.1323959,0.1743115,1.725564,-0.0498061,-0.3465469,1.693341,-0.2424928,-0.05580822,1.781519,0.3768011,-0.02056447,1.744107,NA,NA,Unknown,Unknown,
0.9189453,-0.2578125,-0.2597656,-0.2285156,0.9970703,-0.3217773,0,-6,-2,5,-2,-1,-2,-3,2,-5,-2,0,0,-2,-1,0,-39.25,-39.25,-39.25,90.875,90.875,90.875,1.070182,3.21548,8.364278,8.343904,5.657578,0.6740609,-0.2572408,-0.3189041,1.6547,0.3264801,0.1748293,1.455725,0.0541583,0.4356294,1.716759,-0.2986419,-0.3309572,1.64231,0.2929305,0.1906962,1.46,0.0351465,-0.03346276,1.740829,0.03185842,-0.3553703,1.732848,-0.1323719,0.1743074,1.72557,-0.04970873,-0.3464218,1.692824,-0.2445475,-0.05516908,1.774493,0.429574,-0.005401784,1.712563,NA,NA,Closed,Unknown,
0.9707031,-0.253418,-0.1894531,-0.3974609,0.6953125,-0.324707,0,1,-2,-6,-3,0,1,-2,2,0,0,-1,-3,-4,-13,-1,-15.8125,-15.8125,-15.8125,50.9375,50.9375,50.9375,1.157456,3.17481,8.224436,8.596811,6.159984,0.8785611,-0.2429952,-0.3191356,1.650104,0.3004054,0.2795499,1.484789,0.05588154,0.4344586,1.717587,-0.2815044,-0.3349752,1.631103,0.255316,0.303444,1.49325,0.03511423,-0.03351989,1.742017,0.03192102,-0.3551748,1.732864,-0.1312672,0.1746506,1.72557,-0.04964,-0.3456764,1.691883,-0.2441438,-0.05556522,1.76916,0.4471625,0.04240065,1.693235,NA,NA,Unknown,Unknown,
0.9545898,-0.2460938,-0.2485352,-0.5297852,0.465332,-0.3500977,-2,1,-2,-3,-2,-1,0,1,0,-8,-5,-2,-2,-2,-9,3,-14.0625,-14.0625,-14.0625,39.1875,39.1875,39.1875,1.312184,3.138034,8.026798,8.834365,6.449103,1.108856,-0.2259265,-0.3176751,1.649593,0.2733938,0.3531778,1.520172,0.05745376,0.4331233,1.718461,-0.263789,-0.3394039,1.632706,0.2439213,0.3300205,1.541867,0.03531635,-0.03346534,1.74318,0.03209085,-0.3547668,1.732942,-0.1295316,0.1750748,1.725816,-0.0494415,-0.3448924,1.691315,-0.2402271,-0.05737308,1.766377,0.45134,0.09459847,1.660535,NA,NA,NotTracked,Lasso,
0.9418945,-0.2773438,-0.2617188,-0.5424805,0.2880859,-0.3510742,1,-2,-2,14,4,1,0,-1,1,1,-2,9,10,0,9,4,-3,-3,-3,-0.5625,-0.5625,-0.5625,1.444298,3.125675,7.872416,9.211866,6.697935,1.536993,-0.2083879,-0.3171476,1.652935,0.2532622,0.395066,1.561331,0.05883294,0.4311662,1.718941,-0.2449813,-0.3400127,1.639842,0.219659,0.3832996,1.597714,0.03565226,-0.03355853,1.74378,0.0323672,-0.3542517,1.732793,-0.1284321,0.1753762,1.726122,-0.04923889,-0.3441595,1.690674,-0.2333213,-0.06253498,1.765772,0.4508636,0.1161163,1.644373,NA,NA,NotTracked,Lasso,
0.9165039,-0.2885742,-0.2680664,-0.1318359,0.03759766,0.02197266,-3,-3,0,-11,-3,-1,-1,1,-7,-3,-4,-8,-11,-34,-89,-8,-1.125,-1.125,-1.125,-9.375,-9.375,-9.375,1.556945,3.120703,7.744913,9.578486,6.801155,1.951194,-0.1948607,-0.3147847,1.659754,0.2372896,0.4135838,1.598357,0.0613442,0.4284541,1.718755,-0.2351507,-0.3386511,1.6585,0.2219738,0.3827604,1.6272,0.0363557,-0.03354266,1.743554,0.03339906,-0.3531998,1.732333,-0.1273787,0.1756208,1.726551,-0.0485011,-0.3434017,1.690172,-0.2259692,-0.0701876,1.768444,0.4461683,0.1320588,1.62769,NA,NA,NotTracked,Unknown,
0.9023438,-0.2939453,-0.2768555,-0.7641602,0.01367188,-0.425293,1,0,0,2,-1,-1,-1,-1,-4,-2,-5,-8,-4,-5,-7,-6,0.3125,0.3125,0.3125,-16.75,-16.75,-16.75,1.629604,3.118638,7.662735,9.861458,6.829298,2.283859,-0.1858933,-0.3208706,1.662742,0.2091567,0.4244691,1.627494,0.06515969,0.4272624,1.718382,-0.222186,-0.3389772,1.652,0.2085975,0.3840502,1.652333,0.03749973,-0.03365719,1.743656,0.03405526,-0.3524993,1.731824,-0.124526,0.1763552,1.72702,-0.04806148,-0.3428419,1.689824,-0.2216164,-0.071918,1.771056,0.4196875,0.2026961,1.608054,NA,NA,NotTracked,Closed,
0.9072266,-0.3759766,-0.3183594,-0.7070313,-0.03173828,-0.402832,-2,-4,-1,-1,1,-5,-3,-2,2,-4,-4,-1,-1,1,-3,3,19.5625,19.5625,19.5625,-15.9375,-15.9375,-15.9375,1.629984,3.138889,7.681948,9.919774,6.809159,2.380194,-0.1832258,-0.3185246,1.663222,0.1662784,0.4311269,1.637147,0.06805846,0.4266772,1.71756,-0.2224963,-0.3416633,1.661902,0.143548,0.4011041,1.682314,0.03796108,-0.03351092,1.743533,0.03456606,-0.3516496,1.731338,-0.1206763,0.1767611,1.727734,-0.04765674,-0.3419087,1.689267,-0.2187476,-0.07269358,1.774056,0.4193425,0.2047429,1.606196,NA,NA,NotTracked,Unknown,
