ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.965332,-0.1855469,-0.1333008,0.878418,0.4086914,-0.04394531,0,-1,1,1,0,-1,-2,-3,0,1,0,-14,-1,-2,0,0,-2.3125,-2.3125,-2.3125,11.5,11.5,11.5,1.483693,2.883434,7.886611,7.705319,3.172178,0.3833273,-0.1611836,-0.3341601,1.678625,0.281788,-0.3427255,1.650249,0.06845976,0.4432401,1.722527,-0.1972623,-0.3397822,1.681616,0.3079219,-0.3544666,1.640819,0.05528361,-0.03096433,1.735842,0.05951886,-0.3541828,1.725319,-0.1208996,0.1722249,1.726298,-0.02289043,-0.3473274,1.685833,-0.1817375,-0.08118002,1.755333,0.2908999,-0.09784629,1.78994,NA,NA,NotTracked,NotTracked,
0.965332,-0.1855469,-0.1333008,0.8979492,0.3989258,-0.04150391,0,-1,1,1,0,-1,-2,-3,0,0,-2,1,-2,1,0,0,-2.3125,-2.3125,-2.3125,8.625,8.625,8.625,1.483693,2.883434,7.886611,7.697423,3.171423,0.4090781,-0.1560701,-0.3418825,1.673674,0.2822499,-0.3423904,1.646718,0.06905798,0.4431138,1.721533,-0.1954852,-0.3378757,1.675396,0.3103291,-0.3494603,1.642974,0.05558915,-0.03094933,1.735421,0.0593223,-0.3541237,1.725091,-0.1196351,0.1725653,1.727169,-0.02314632,-0.3472126,1.685876,-0.1804361,-0.08124452,1.757031,0.2932132,-0.09759596,1.786163,NA,NA,NotTracked,NotTracked,
0.965332,-0.1855469,-0.1333008,0.8779297,0.3740234,-0.046875,0,-1,1,1,0,-1,-2,-3,-1,0,1,-5,-4,-5,-2,-1,-2.3125,-2.3125,-2.3125,7.0625,7.0625,7.0625,1.483693,2.883434,7.886611,7.697546,3.17146,0.428633,-0.1553726,-0.3407054,1.67782,0.2817341,-0.3436587,1.646139,0.06955079,0.4429347,1.720332,-0.1955182,-0.3253793,1.684389,0.3119361,-0.349769,1.63938,0.05613743,-0.03098075,1.735304,0.05933376,-0.3540979,1.725091,-0.1179989,0.1730875,1.728646,-0.02311907,-0.3471153,1.68626,-0.1788396,-0.08042023,1.759543,0.2948231,-0.09760773,1.783831,NA,NA,NotTracked,NotTracked,
0.965332,-0.1855469,-0.1333008,0.8862305,0.3769531,-0.0625,0,-1,1,1,0,-1,-2,-3,-1,0,-4,-9,6,-4,-1,0,-2.3125,-2.3125,-2.3125,5.5,5.5,5.5,1.483693,2.883434,7.886611,7.691431,3.165868,0.4478025,-0.1550196,-0.3426701,1.679207,0.2811662,-0.3432053,1.644837,0.07039133,0.4426907,1.719241,-0.1963586,-0.3310406,1.692727,0.3139487,-0.3419592,1.638409,0.05691395,-0.03096249,1.735086,0.05940177,-0.3540129,1.725065,-0.1165023,0.1734721,1.729917,-0.02307137,-0.3469659,1.686582,-0.1769191,-0.08083688,1.762293,0.2970958,-0.09660617,1.78174,NA,NA,NotTracked,NotTracked,
0.965332,-0.1855469,-0.1333008,0.8920898,0.3789063,-0.07763672,0,-1,1,1,0,-1,-2,-3,-3,1,-2,-18,2,3,-1,-2,-2.3125,-2.3125,-2.3125,19,19,19,1.483693,2.883434,7.886611,7.697204,3.160252,0.4667031,-0.1547175,-0.342204,1.680778,0.2817836,-0.343273,1.643078,0.07117777,0.4423957,1.718138,-0.1970453,-0.3196862,1.693857,0.3124244,-0.3482072,1.636459,0.05782319,-0.03099522,1.734929,0.05943228,-0.3540007,1.725065,-0.114702,0.1737364,1.731337,-0.02296655,-0.346882,1.686946,-0.1746143,-0.08112433,1.764961,0.2994964,-0.09598821,1.779057,NA,NA,NotTracked,NotTracked,
0.965332,-0.1855469,-0.1333008,0.9160156,0.3432617,-0.1611328,0,-1,1,1,0,-1,-2,-3,-1,-4,-3,1,-19,-12,-3,0,-2.3125,-2.3125,-2.3125,41.5625,41.5625,41.5625,1.483693,2.883434,7.886611,7.731512,3.152631,0.4872071,-0.1536827,-0.3406844,1.683733,0.2821831,-0.3434052,1.643491,0.07181992,0.4422867,1.71783,-0.1915039,-0.3309041,1.688634,0.3099339,-0.3579926,1.630042,0.05856436,-0.03099871,1.735006,0.05946846,-0.3539448,1.725225,-0.113235,0.1741021,1.732662,-0.02283144,-0.3467066,1.687864,-0.1730344,-0.08098878,1.767317,0.3043732,-0.0947955,1.776317,NA,NA,NotTracked,NotTracked,
0.965332,-0.1855469,-0.1333008,0.9829102,0.3540039,-0.5073242,0,-1,1,1,0,-1,-2,-3,1,1,-7,-3,-5,-6,2,1,-2.3125,-2.3125,-2.3125,113.375,113.375,113.375,1.483693,2.883434,7.886611,7.832091,3.17335,0.6018615,-0.1527579,-0.3393801,1.684663,0.2883778,-0.3346613,1.638997,0.0726549,0.4422653,1.71789,-0.1926272,-0.3304101,1.693163,0.3196286,-0.3529033,1.633715,0.05948272,-0.03095828,1.734976,0.05952013,-0.3538998,1.7253,-0.1125068,0.1742905,1.732992,-0.02274329,-0.346549,1.688263,-0.1724392,-0.08138771,1.768194,0.3204907,-0.08748295,1.76961,NA,NA,NotTracked,NotTracked,
0.965332,-0.1855469,-0.1333008,0.8076172,0.7504883,-0.2944336,0,-1,1,1,0,-1,-2,-3,2,-3,-3,5,0,-1,-1,-1,-2.3125,-2.3125,-2.3125,124.375,124.375,124.375,1.483693,2.883434,7.886611,7.901836,3.238957,0.6843603,-0.1530459,-0.3393287,1.682723,0.2939871,-0.3231315,1.620939,0.07395067,0.4424377,1.718394,-0.1971954,-0.3205367,1.70425,0.3269936,-0.3468741,1.599721,0.06051344,-0.03086862,1.735289,0.05960669,-0.3538211,1.725417,-0.1118361,0.1747084,1.733154,-0.0225825,-0.3462542,1.688543,-0.1722811,-0.08147717,1.768252,0.3471417,-0.06991817,1.758937,NA,NA,NotTracked,NotTracked,
0.965332,-0.1855469,-0.1333008,0.5957031,0.9331055,-0.1293945,0,-1,1,1,0,-1,-2,-3,12,14,4,-7,-1,-2,3,0,-2.3125,-2.3125,-2.3125,52.75,52.75,52.75,1.483693,2.883434,7.886611,8.085882,3.569127,0.7236953,-0.1541539,-0.3401656,1.678559,0.3210041,-0.2923442,1.585299,0.07560762,0.4423924,1.719819,-0.1950862,-0.3241583,1.691804,0.3527034,-0.306344,1.557041,0.06140654,-0.03071323,1.735779,0.05988325,-0.3536237,1.725679,-0.1115333,0.174806,1.73331,-0.02231754,-0.3459857,1.688774,-0.1722019,-0.08161996,1.768103,0.367692,-0.04841271,1.740532,NA,NA,NotTracked,Unknown,
0.965332,-0.1855469,-0.1333008,0.5869141,0.8461914,-0.1977539,0,-1,1,1,0,-1,-2,-3,3,7,5,69,8,-5,-7,-6,-2.3125,-2.3125,-2.3125,22.875,22.875,22.875,1.483693,2.883434,7.886611,8.19028,3.874916,0.6540357,-0.1548568,-0.3381105,1.675749,0.3327843,-0.2274754,1.495508,0.07701613,0.4424,1.721938,-0.1943984,-0.3235038,1.678222,0.3637097,-0.2191126,1.4632,0.06200032,-0.0304493,1.736507,0.06017648,-0.3533444,1.725918,-0.111177,0.1748014,1.733391,-0.02213364,-0.345589,1.68891,-0.1720881,-0.0814762,1.767509,0.3819515,-0.02376481,1.720578,NA,NA,NotTracked,Unknown,
