ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9663086,-0.2006836,-0.1386719,0.8911133,0.3706055,-0.004394531,-1,-3,7,-1,-4,-1,-1,-1,3,-2,0,-1,5,6,14,9,-1.75,-1.75,-1.75,0.625,0.625,0.625,1.546349,2.887717,6.949966,7.522095,3.127497,0.3004269,-0.1623184,-0.3269924,1.693738,0.2626674,-0.3581143,1.667195,0.06243905,0.4416982,1.736974,-0.1187978,-0.3192519,1.65165,0.2220568,-0.3303408,1.642513,0.05639179,-0.03531123,1.754325,0.05644798,-0.3617257,1.752136,-0.1173966,0.1724468,1.739721,-0.02594131,-0.3542708,1.711377,-0.1823981,-0.07995144,1.776895,0.2841178,-0.09550989,1.825958,NA,NA,NotTracked,NotTracked,
0.9672852,-0.2016602,-0.1386719,0.8945313,0.3618164,-0.009277344,-1,0,8,4,2,-2,-1,2,-3,-3,-1,-2,-10,-11,-12,-8,-1.5,-1.5,-1.5,-0.5625,-0.5625,-0.5625,1.547933,2.888395,6.947604,7.523058,3.127629,0.2992916,-0.1609066,-0.3356314,1.683856,0.2626063,-0.3587143,1.663237,0.06068144,0.4412223,1.735106,-0.1233796,-0.3356583,1.636436,0.2217472,-0.3440139,1.633033,0.05583601,-0.03570807,1.752577,0.05641047,-0.3619789,1.750196,-0.118725,0.1716865,1.738281,-0.02596484,-0.3547342,1.709895,-0.1829956,-0.07986072,1.775477,0.283875,-0.09598612,1.822917,NA,NA,NotTracked,NotTracked,
0.9677734,-0.2070313,-0.1333008,0.8994141,0.3710938,-0.001953125,-1,1,-4,2,2,-1,-2,-1,-2,0,-2,1,6,-1,1,4,-1.625,-1.625,-1.625,-1.0625,-1.0625,-1.0625,1.551515,2.893729,6.939208,7.526538,3.129025,0.2944702,-0.1625436,-0.3335765,1.679051,0.2628803,-0.3592205,1.658279,0.05918168,0.4411722,1.731983,-0.12098,-0.3172362,1.646595,0.2219816,-0.3466267,1.625677,0.05520601,-0.03583327,1.749502,0.05650183,-0.3618797,1.746599,-0.1199863,0.1714702,1.735794,-0.02588133,-0.3548452,1.70678,-0.1838588,-0.07957719,1.772841,0.2838368,-0.09609063,1.819593,NA,NA,NotTracked,NotTracked,
0.9726563,-0.1987305,-0.1347656,0.9077148,0.3642578,-0.005859375,-3,-1,8,5,1,0,0,-1,2,1,-1,-1,-3,3,11,6,-2.9375,-2.9375,-2.9375,-4.9375,-4.9375,-4.9375,1.54592,2.895875,6.940472,7.52178,3.131243,0.2901323,-0.1627441,-0.3344857,1.676365,0.2625491,-0.3584773,1.656601,0.05822517,0.441176,1.729921,-0.1287111,-0.3435684,1.621979,0.220691,-0.3517201,1.622233,0.05468854,-0.03569621,1.746965,0.05640871,-0.3615897,1.743583,-0.1209015,0.171356,1.732914,-0.02591651,-0.3547064,1.703413,-0.1840335,-0.07945202,1.769623,0.2838602,-0.09583952,1.817186,NA,NA,NotTracked,NotTracked,
0.9726563,-0.1987305,-0.125,0.9008789,0.371582,-0.008789063,-1,0,10,5,4,-1,0,-3,0,-2,-1,-2,-3,-4,4,7,-4.25,-4.25,-4.25,-5.5625,-5.5625,-5.5625,1.53264,2.89719,6.945665,7.518397,3.13233,0.2851847,-0.1640527,-0.3341129,1.670265,0.2629186,-0.3587482,1.653795,0.05766534,0.4412807,1.726977,-0.1287659,-0.3391196,1.619341,0.2225673,-0.3464949,1.62297,0.05437344,-0.03570815,1.743089,0.05674378,-0.3615758,1.73874,-0.1212907,0.1709276,1.729181,-0.02561851,-0.3547486,1.698253,-0.1847921,-0.07974838,1.764396,0.2830751,-0.09572527,1.814175,NA,NA,NotTracked,NotTracked,
0.9589844,-0.2045898,-0.1328125,0.894043,0.3671875,-0.01416016,-2,1,7,4,-1,0,0,-1,-3,-3,-2,-1,9,-5,-3,-2,-4.75,-4.75,-4.75,-5.5625,-5.5625,-5.5625,1.523127,2.898963,6.947773,7.514369,3.135255,0.2795599,-0.1634572,-0.3336271,1.665299,0.2619772,-0.3580987,1.649984,0.05746664,0.4410419,1.724437,-0.1279002,-0.3380595,1.613898,0.2226718,-0.3410943,1.622546,0.05417658,-0.03593112,1.739595,0.0565077,-0.3616993,1.734568,-0.1217037,0.1705591,1.725384,-0.02588269,-0.3547897,1.693936,-0.1853628,-0.07949229,1.759489,0.282605,-0.09548394,1.812243,NA,NA,NotTracked,NotTracked,
0.9692383,-0.1982422,-0.1391602,1.08252,0.3564453,-0.1655273,-2,-3,2,-2,-2,-1,0,-2,2,0,-2,0,-1,-1,0,0,-5.125,-5.125,-5.125,-29.5,-29.5,-29.5,1.511527,2.900891,6.951516,7.489527,3.152064,0.2718718,-0.1632593,-0.3357574,1.659248,0.2615514,-0.3580456,1.64754,0.05755465,0.440953,1.721907,-0.1261469,-0.3350805,1.611577,0.2212888,-0.3454066,1.61542,0.05388028,-0.03621883,1.735875,0.05647648,-0.361988,1.730279,-0.1218196,0.1704867,1.720694,-0.02595993,-0.3550655,1.689119,-0.1863396,-0.08031069,1.753339,0.2819822,-0.09607694,1.810431,NA,NA,NotTracked,NotTracked,
0.9584961,-0.2094727,-0.128418,0.9321289,0.5595703,-0.2011719,0,0,0,0,-1,2,-1,-3,3,-5,-2,4,3,-1,-1,-2,-5.375,-5.375,-5.375,-23.4375,-23.4375,-23.4375,1.493184,2.89909,6.957514,7.491817,3.261557,0.2334626,-0.1643575,-0.33449,1.653275,0.2639469,-0.345138,1.644701,0.05739345,0.4412006,1.719708,-0.1296194,-0.3425837,1.599553,0.2230241,-0.3311527,1.613654,0.05341238,-0.03583332,1.732477,0.05579131,-0.3617223,1.726015,-0.1225316,0.1708818,1.716435,-0.02658534,-0.3547528,1.684979,-0.1864101,-0.08077931,1.748824,0.2824363,-0.09506604,1.809756,NA,NA,NotTracked,NotTracked,
0.9633789,-0.1484375,-0.1049805,0.6420898,0.8994141,-0.1665039,-1,-1,-2,-2,-2,-1,-2,-1,-2,1,11,-9,-1,-2,-2,-2,2.75,2.75,2.75,53,53,53,1.484548,2.900537,6.968014,7.596745,3.49256,0.1762841,-0.1643639,-0.3342777,1.646397,0.2625171,-0.3229154,1.63215,0.0570441,0.4415981,1.716714,-0.1285261,-0.336051,1.598942,0.2033134,-0.283697,1.608333,0.05276615,-0.03549433,1.728066,0.05431513,-0.3614067,1.720225,-0.1230225,0.1709285,1.711997,-0.02791672,-0.3542292,1.678684,-0.1868461,-0.08039709,1.743383,0.2880591,-0.08600394,1.808163,NA,NA,NotTracked,NotTracked,
0.9633789,-0.1367188,-0.1274414,0.4829102,0.9477539,-0.08837891,-2,0,-1,-1,-1,-2,0,-2,-7,-1,-1,1,2,-2,1,-10,-2.9375,-2.9375,-2.9375,39.375,39.375,39.375,1.448354,2.896405,7.001084,7.682181,3.803611,0.1323554,-0.166012,-0.3358979,1.643214,0.2858906,-0.2798605,1.606982,0.05693546,0.4417312,1.715916,-0.127776,-0.3348323,1.599549,0.2250277,-0.2886697,1.627572,0.05231073,-0.0352227,1.725713,0.05312032,-0.3609542,1.716667,-0.1233952,0.1706634,1.710287,-0.02901263,-0.353606,1.674738,-0.1877778,-0.08031085,1.739661,0.3026376,-0.06092989,1.801187,NA,NA,NotTracked,NotTracked,
