ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9736328,-0.1469727,-0.1103516,0.9101563,0.3569336,-0.04589844,-2,-4,-3,-3,1,0,-3,-1,-2,-1,-2,-1,-1,0,-1,1,0.3125,0.3125,0.3125,0.25,0.25,0.25,1.455204,2.814918,6.569426,7.614533,3.110153,0.2323838,-0.1925083,-0.325599,1.676303,0.2405926,-0.3501923,1.645772,0.04333027,0.436689,1.695863,-0.1405659,-0.3079974,1.630081,0.2011647,-0.3361244,1.610833,0.0228489,-0.03908259,1.717904,0.02042181,-0.3642342,1.711458,-0.1452698,0.1727441,1.712803,-0.05880766,-0.3549859,1.672745,-0.2114934,-0.07709599,1.754135,0.2664459,-0.1000651,1.775665,NA,NA,NotTracked,NotTracked,
0.9697266,-0.1586914,-0.1123047,0.9736328,0.3623047,-0.08056641,-1,-3,1,5,-1,-1,0,-1,-4,-4,-2,-1,-3,-5,-1,-2,1.1875,1.1875,1.1875,1.3125,1.3125,1.3125,1.468333,2.818077,6.557931,7.621411,3.112604,0.2292046,-0.1931239,-0.3270841,1.676837,0.2405409,-0.349243,1.645014,0.04261345,0.4366534,1.696787,-0.1425842,-0.2984154,1.642,0.2014731,-0.3355746,1.612483,0.02257376,-0.03907375,1.718403,0.02029155,-0.3642088,1.711892,-0.1453753,0.172756,1.712838,-0.05892852,-0.3549679,1.673146,-0.2115017,-0.07703952,1.754707,0.2664778,-0.1000234,1.775935,NA,NA,NotTracked,NotTracked,
0.9604492,-0.1547852,-0.1137695,0.8598633,0.3916016,-0.015625,-1,-5,-2,0,-2,0,-3,-1,-2,1,-2,0,-2,1,1,0,1.125,1.125,1.125,16.8125,16.8125,16.8125,1.478569,2.820637,6.549718,7.630307,3.123035,0.2480128,-0.1923609,-0.325925,1.676419,0.2405097,-0.348832,1.644491,0.04186632,0.4364752,1.697348,-0.141125,-0.3036271,1.634857,0.2016454,-0.3364163,1.608403,0.02243154,-0.03911402,1.718811,0.02034559,-0.3642325,1.712202,-0.1455336,0.1726704,1.712936,-0.05884255,-0.3550753,1.673696,-0.2116507,-0.07725804,1.755434,0.2666807,-0.09978461,1.776241,NA,NA,NotTracked,NotTracked,
0.972168,-0.1469727,-0.1142578,0.8623047,0.390625,0.01757813,0,5,0,2,10,-1,-1,1,0,0,0,-1,-1,-2,0,-1,2.625,2.625,2.625,11.625,11.625,11.625,1.4869,2.822089,6.543985,7.630275,3.123966,0.2720391,-0.1925445,-0.3269894,1.677579,0.2405778,-0.348427,1.645687,0.04103425,0.43641,1.697913,-0.1407807,-0.3030513,1.636781,0.2006294,-0.3297908,1.619613,0.02235251,-0.03915038,1.719602,0.02062947,-0.3642219,1.713204,-0.1458365,0.1724952,1.713056,-0.05853561,-0.3551944,1.674633,-0.2115912,-0.07717659,1.756244,0.2676754,-0.09842529,1.777148,NA,NA,NotTracked,NotTracked,
0.9746094,-0.1455078,-0.1005859,0.9584961,0.3461914,-0.06152344,-1,3,0,-2,2,-1,-2,-2,-5,-6,-2,1,1,3,-1,-1,-0.0625,-0.0625,-0.0625,5.3125,5.3125,5.3125,1.49565,2.822544,6.535935,7.631258,3.12055,0.2839036,-0.1923274,-0.3259794,1.679366,0.2407828,-0.3475654,1.64617,0.04000301,0.436234,1.698394,-0.1421709,-0.3292364,1.631188,0.2014869,-0.3348662,1.611885,0.02219845,-0.03920162,1.72013,0.02070835,-0.3641988,1.713633,-0.146382,0.1720999,1.713671,-0.05845261,-0.355243,1.675193,-0.2117894,-0.0775651,1.756978,0.2687238,-0.09731731,1.777634,NA,NA,NotTracked,NotTracked,
0.9985352,-0.184082,-0.09765625,1.054199,0.3208008,-0.2280273,-1,-5,-2,-3,1,0,0,-2,1,-2,-9,-7,0,1,-1,1,4.3125,4.3125,4.3125,-3,-3,-3,1.515314,2.824225,6.522732,7.638103,3.164429,0.2972817,-0.1918718,-0.3278534,1.680303,0.2406959,-0.3439586,1.64329,0.03893432,0.4363489,1.698775,-0.1407051,-0.2990313,1.63972,0.2014716,-0.3336163,1.612102,0.02217275,-0.03924849,1.720479,0.02084833,-0.3642178,1.714028,-0.1467833,0.1718875,1.714297,-0.05829505,-0.3554032,1.675909,-0.2117247,-0.07773701,1.757706,0.2706142,-0.09593939,1.778542,NA,NA,NotTracked,NotTracked,
0.9926758,-0.1699219,-0.1235352,0.8774414,0.7529297,-0.1269531,2,0,0,0,-1,-1,1,-1,-1,-10,-3,-30,-1,3,3,2,13.3125,13.3125,13.3125,45.25,45.25,45.25,1.527539,2.82671,6.532455,7.678584,3.357681,0.2911514,-0.1916341,-0.3256202,1.681105,0.2367484,-0.3312007,1.630696,0.03772981,0.4365842,1.699313,-0.1413158,-0.3034728,1.638797,0.1851934,-0.2852158,1.6132,0.02208987,-0.03923326,1.720756,0.02085411,-0.3641851,1.714161,-0.1472559,0.1719235,1.714891,-0.0583307,-0.3554653,1.67619,-0.2115213,-0.0776291,1.758857,0.2771794,-0.09056444,1.781656,NA,NA,NotTracked,NotTracked,
0.9345703,-0.1044922,-0.1469727,0.5756836,0.8388672,-0.1455078,-2,5,-1,-4,3,0,-1,0,-13,1,-9,-19,-3,0,-2,-6,5.8125,5.8125,5.8125,37.25,37.25,37.25,1.494037,2.828826,6.582082,7.722505,3.616958,0.3146782,-0.1904989,-0.3250453,1.680284,0.2475474,-0.2994215,1.613072,0.03729163,0.4366504,1.699694,-0.1359283,-0.300835,1.630308,0.198619,-0.2807874,1.627616,0.02199076,-0.03906854,1.721216,0.02075146,-0.3639144,1.714499,-0.1475329,0.172075,1.715424,-0.05852207,-0.3551862,1.676736,-0.2112393,-0.07779314,1.759542,0.2924165,-0.07178219,1.784996,NA,NA,NotTracked,NotTracked,
0.9711914,-0.1811523,-0.1450195,0.4907227,0.8916016,-0.1572266,-1,0,-3,-5,-3,0,1,-2,2,-11,0,-16,-21,0,-2,-3,-4.8125,-4.8125,-4.8125,48.5,48.5,48.5,1.455269,2.831531,6.61854,7.745996,3.810958,0.3565734,-0.1912282,-0.3242747,1.679526,0.2488365,-0.2436384,1.582865,0.0372187,0.4366529,1.700012,-0.1365716,-0.2971002,1.632779,0.1972538,-0.2813701,1.620365,0.02186404,-0.03897022,1.721531,0.02044676,-0.3636871,1.714688,-0.1477675,0.1720072,1.715909,-0.0589895,-0.3548964,1.676998,-0.2111958,-0.07812694,1.760018,0.3049311,-0.05089446,1.77872,NA,NA,NotTracked,NotTracked,
0.9702148,-0.175293,-0.1274414,0.1806641,1.006348,0.02392578,-1,1,1,-1,-1,-3,1,-1,5,0,1,-17,-11,2,-1,6,-4.5625,-4.5625,-4.5625,31.6875,31.6875,31.6875,1.440326,2.836533,6.62821,7.776693,4.378984,0.4575339,-0.1936967,-0.3238297,1.680265,0.2277176,-0.1602827,1.530486,0.03738859,0.4365123,1.700772,-0.1402719,-0.3033955,1.636182,0.1746735,-0.1849722,1.575313,0.02167156,-0.03876461,1.722352,0.01984851,-0.3632579,1.715158,-0.1477926,0.172011,1.716635,-0.05961224,-0.3544125,1.677211,-0.2112815,-0.07808589,1.760332,0.3182466,-0.0317255,1.766393,NA,NA,NotTracked,Unknown,
