ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9433594,-0.2431641,-0.1416016,0.887207,0.3979492,0.04101563,-1,2,1,-4,-3,-2,-2,-1,-3,-5,1,18,0,7,1,-4,-1.625,-1.625,-1.625,3.0625,3.0625,3.0625,1.578861,2.977096,6.941271,7.328979,3.197619,9.89778,-0.1840989,-0.3412591,1.670506,0.1932222,-0.3662224,1.62677,0.03124938,0.4439088,1.736459,-0.1547323,-0.3478857,1.631081,0.1578876,-0.3477412,1.607231,0.01598153,-0.03255608,1.743861,0.0129138,-0.3577012,1.730939,-0.1530932,0.1732468,1.744473,-0.06829041,-0.3484683,1.693524,-0.19195,-0.08528145,1.755576,0.223626,-0.1012039,1.760639,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2338867,-0.1494141,0.8881836,0.3935547,0.05712891,-2,-3,-3,1,-6,-3,-2,0,-1,-1,-1,-5,-7,-7,-1,-3,-1.125,-1.125,-1.125,0.1875,0.1875,0.1875,1.585545,2.980142,6.93299,7.33027,3.197355,9.898344,-0.1835978,-0.3406313,1.664433,0.1921332,-0.3657432,1.621339,0.03063386,0.4437937,1.732504,-0.1562901,-0.3491415,1.619036,0.1557564,-0.3633581,1.589643,0.01560994,-0.03254861,1.739614,0.01224172,-0.3576288,1.72621,-0.1535054,0.1734268,1.741287,-0.06892215,-0.3483703,1.689008,-0.1921274,-0.08586978,1.751881,0.2231508,-0.1011875,1.756632,NA,NA,NotTracked,NotTracked,
0.9648438,-0.2441406,-0.1606445,0.8774414,0.3969727,0.03662109,-3,-2,-7,-4,-3,0,-1,-1,0,0,0,1,-3,4,-1,0,-2.5625,-2.5625,-2.5625,-3.4375,-3.4375,-3.4375,1.584281,2.981505,6.931846,7.328478,3.197672,9.895208,-0.1841474,-0.340705,1.660265,0.1914634,-0.3682318,1.617412,0.02979505,0.4438206,1.729029,-0.155286,-0.3445694,1.617088,0.1566937,-0.3569315,1.592798,0.01530722,-0.03229902,1.735449,0.01212022,-0.3573796,1.721725,-0.154142,0.1729991,1.737175,-0.06913422,-0.3482757,1.684562,-0.1923789,-0.08651075,1.748108,0.2230411,-0.1009614,1.753622,NA,NA,NotTracked,NotTracked,
0.9545898,-0.2319336,-0.159668,0.890625,0.4072266,0.0390625,-1,0,1,1,2,-2,-2,1,-1,-2,2,1,11,-8,-2,0,-2.4375,-2.4375,-2.4375,-2.625,-2.625,-2.625,1.580348,2.983547,6.931128,7.327659,3.19866,9.891423,-0.184207,-0.3427082,1.655315,0.1924917,-0.3637359,1.61386,0.02939593,0.4445359,1.725146,-0.1564586,-0.3525773,1.610379,0.1585763,-0.3597386,1.579967,0.01495543,-0.03197309,1.731554,0.0118611,-0.3570817,1.717546,-0.1542209,0.1735954,1.733448,-0.06938595,-0.3479494,1.680534,-0.1928484,-0.08650444,1.743988,0.2229499,-0.1007587,1.750332,NA,NA,NotTracked,NotTracked,
0.9526367,-0.246582,-0.152832,0.8876953,0.3930664,0.04052734,-1,-2,3,0,-1,0,-1,0,-2,0,0,1,-10,2,1,0,-4.0625,-4.0625,-4.0625,-3.9375,-3.9375,-3.9375,1.575505,2.986351,6.929482,7.323518,3.200196,9.889402,-0.1839052,-0.3422162,1.650456,0.1911635,-0.3636933,1.610985,0.02904085,0.4444275,1.722393,-0.1566104,-0.3511834,1.606212,0.1554666,-0.3627606,1.577,0.01443255,-0.03203025,1.728459,0.01133841,-0.3570861,1.714066,-0.1545771,0.1736629,1.730774,-0.06992643,-0.347845,1.677028,-0.1930592,-0.08711161,1.740398,0.2228543,-0.100449,1.748469,NA,NA,NotTracked,NotTracked,
0.9487305,-0.2392578,-0.1484375,0.8886719,0.4067383,0.04736328,-3,-2,1,-4,-7,0,0,-1,-1,0,-4,-1,7,6,1,0,-4.75,-4.75,-4.75,-4.3125,-4.3125,-4.3125,1.569817,2.988756,6.922778,7.317834,3.202004,9.887647,-0.1860669,-0.3403893,1.648698,0.1913421,-0.3665261,1.60913,0.02877087,0.444157,1.719979,-0.161139,-0.3588558,1.599765,0.1543932,-0.3617004,1.576241,0.01435403,-0.03223097,1.725847,0.01106514,-0.3572612,1.71128,-0.1546131,0.1734505,1.727793,-0.07013053,-0.3479876,1.674149,-0.1934588,-0.08748912,1.736866,0.222701,-0.1006526,1.746862,NA,NA,NotTracked,NotTracked,
0.9516602,-0.2329102,-0.1542969,0.8828125,0.4082031,0.03710938,-2,-2,-2,0,2,-1,-1,-2,1,2,0,-1,0,-5,0,0,-4.6875,-4.6875,-4.6875,-5.875,-5.875,-5.875,1.563191,2.98812,6.921935,7.313099,3.205401,9.880294,-0.1841922,-0.3409265,1.643313,0.1916443,-0.3664127,1.607245,0.02882629,0.4440317,1.718152,-0.1557027,-0.3497981,1.600667,0.1567213,-0.3580662,1.579503,0.01421581,-0.03226219,1.723672,0.01061339,-0.3572265,1.708631,-0.1547866,0.1734633,1.72502,-0.07053512,-0.3479515,1.671324,-0.1940399,-0.08732348,1.734375,0.2225248,-0.1007585,1.745311,NA,NA,NotTracked,NotTracked,
0.9643555,-0.2382813,-0.1699219,0.9375,0.3994141,-0.0009765625,-5,-3,-3,-3,-3,-6,-5,-1,2,4,2,-5,2,-1,4,4,-4.125,-4.125,-4.125,-5.6875,-5.6875,-5.6875,1.557201,2.986998,6.920336,7.305691,3.210428,9.879783,-0.1852582,-0.3408384,1.642402,0.1994309,-0.341418,1.614115,0.0289997,0.444288,1.71578,-0.1566121,-0.3513717,1.596508,0.1658583,-0.3323641,1.586517,0.0141176,-0.03224238,1.721835,0.01043958,-0.3572012,1.706818,-0.1546903,0.1737489,1.721921,-0.07062043,-0.3479185,1.669337,-0.1942236,-0.08721254,1.731735,0.2223512,-0.1005352,1.744166,NA,NA,NotTracked,NotTracked,
0.9628906,-0.2138672,-0.1899414,1.00293,0.4692383,-0.046875,-1,-3,-6,-10,-4,1,-4,-2,13,16,-1,2,2,1,2,9,1.625,1.625,1.625,42.25,42.25,42.25,1.566174,2.998415,6.908736,7.297717,3.236134,9.933134,-0.1862207,-0.3380331,1.639327,0.1981625,-0.3411508,1.610081,0.02926633,0.4443458,1.71468,-0.1589503,-0.3464593,1.593893,0.1655837,-0.3272051,1.584946,0.01402329,-0.032192,1.720286,0.01043974,-0.3570768,1.705149,-0.1548248,0.174029,1.720193,-0.0705217,-0.3477669,1.666952,-0.1946207,-0.08610537,1.730143,0.2221736,-0.1004044,1.743401,NA,NA,NotTracked,NotTracked,
1.019531,-0.1137695,-0.2001953,0.8286133,0.7788086,0.1586914,-3,0,2,0,17,4,2,-2,-8,-4,2,2,-7,-11,-4,-11,0.8125,0.8125,0.8125,35.1875,35.1875,35.1875,1.633523,3.040578,6.849062,7.222177,3.419967,0.1082315,-0.1728507,-0.3332974,1.615753,0.1784086,-0.3524903,1.583225,0.02929021,0.4441381,1.713548,-0.143745,-0.341926,1.570375,0.1481319,-0.3365113,1.552822,0.01404011,-0.03220461,1.718426,0.01078033,-0.3570413,1.702596,-0.1549609,0.1741825,1.718367,-0.07014464,-0.3477768,1.664327,-0.195006,-0.08540846,1.729668,0.2225879,-0.09966569,1.743598,NA,NA,NotTracked,NotTracked,
