ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9482422,-0.2231445,-0.2094727,0.8789063,0.3989258,-0.04052734,-6,-2,-3,6,1,0,-1,-2,-2,-2,-1,0,-2,-3,-5,0,5.3125,5.3125,5.3125,-1.3125,-1.3125,-1.3125,1.310431,2.961882,5.539842,7.662064,3.165449,8.261543,-0.1705139,-0.3361092,1.682781,0.2743409,-0.3571263,1.662928,0.07223058,0.4388642,1.699431,-0.1278043,-0.3431838,1.648636,0.2406176,-0.3563327,1.62408,0.05876955,-0.03423249,1.728384,0.0617966,-0.3576957,1.723474,-0.1140526,0.1784333,1.723582,-0.01908326,-0.3504367,1.684971,-0.1735978,-0.07567536,1.750165,0.2849901,-0.09356387,1.797632,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.8789063,0.4086914,-0.04589844,-6,-2,-3,6,1,0,-1,-2,1,-1,0,-1,-1,-1,-5,-1,5.3125,5.3125,5.3125,0.375,0.375,0.375,1.310431,2.961882,5.539842,7.66362,3.165675,8.25975,-0.1710988,-0.3360072,1.687045,0.2742777,-0.359448,1.665753,0.07206027,0.4386623,1.700155,-0.1272127,-0.3370261,1.653144,0.2412514,-0.3464107,1.628065,0.05891695,-0.03438723,1.73079,0.06190064,-0.3577386,1.726762,-0.1141867,0.1784255,1.726085,-0.01910925,-0.3505681,1.688098,-0.1737089,-0.07542463,1.752555,0.2847148,-0.0928288,1.800464,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.8754883,0.4042969,-0.04101563,-6,-2,-3,6,1,0,-1,-2,-1,-1,-1,-3,5,0,-1,-7,5.3125,5.3125,5.3125,1.875,1.875,1.875,1.310431,2.961882,5.539842,7.663234,3.166815,8.261106,-0.1719503,-0.3340432,1.689687,0.2710444,-0.3584277,1.665331,0.07196067,0.4385117,1.700925,-0.1268582,-0.3371206,1.655947,0.2353066,-0.3417677,1.631741,0.05878187,-0.03449168,1.733203,0.06193308,-0.3578317,1.729581,-0.1140177,0.1784181,1.727799,-0.0192562,-0.3506517,1.690939,-0.1736654,-0.07535728,1.755028,0.2848911,-0.09263215,1.803204,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.8774414,0.4116211,-0.04638672,-6,-2,-3,6,1,0,-1,-2,0,-1,-3,0,1,-2,6,1,5.3125,5.3125,5.3125,3.375,3.375,3.375,1.310431,2.961882,5.539842,7.663492,3.170639,8.267834,-0.1712037,-0.3338718,1.691682,0.271861,-0.3575629,1.666227,0.07173297,0.4382554,1.70198,-0.1277756,-0.3402357,1.656628,0.2374614,-0.3512622,1.627766,0.05859802,-0.03465412,1.735118,0.06165513,-0.3579074,1.731396,-0.1147089,0.1783136,1.730204,-0.01956846,-0.3507502,1.692888,-0.1736757,-0.07501987,1.757269,0.2849019,-0.09249838,1.804621,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.8774414,0.4052734,-0.03857422,-6,-2,-3,6,1,0,-1,-2,-1,-1,-1,-1,-2,-3,3,-1,5.3125,5.3125,5.3125,6.3125,6.3125,6.3125,1.310431,2.961882,5.539842,7.659894,3.175071,8.284364,-0.1718184,-0.3347942,1.694326,0.2724559,-0.3576736,1.667427,0.07138935,0.4378614,1.70387,-0.1279712,-0.339375,1.659366,0.2368452,-0.3405967,1.634968,0.05837674,-0.03460177,1.737056,0.06084913,-0.3576795,1.733629,-0.1145171,0.178771,1.732859,-0.0202308,-0.3504085,1.695178,-0.1736021,-0.07529585,1.760595,0.2850378,-0.09236948,1.805698,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.8779297,0.3989258,-0.03076172,-6,-2,-3,6,1,0,-1,-2,-2,0,2,0,1,-3,0,0,5.3125,5.3125,5.3125,4.1875,4.1875,4.1875,1.310431,2.961882,5.539842,7.65498,3.178926,8.298917,-0.1719717,-0.3352404,1.696062,0.2717634,-0.3578532,1.667366,0.07108099,0.4377589,1.706714,-0.1285724,-0.3401198,1.661142,0.2383305,-0.3451003,1.630355,0.05810941,-0.03471622,1.739271,0.06014644,-0.3579172,1.735479,-0.1146892,0.1787091,1.735978,-0.02094006,-0.3506111,1.697512,-0.1736362,-0.07518715,1.763941,0.2851612,-0.09249486,1.806392,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.9624023,0.4135742,-0.09472656,-6,-2,-3,6,1,0,-1,-2,5,6,4,1,-2,1,3,5,5.3125,5.3125,5.3125,-0.875,-0.875,-0.875,1.310431,2.961882,5.539842,7.648509,3.185079,8.311594,-0.1718197,-0.3351399,1.696242,0.2720294,-0.3575171,1.666671,0.07076228,0.4377214,1.709137,-0.1283843,-0.3407336,1.660276,0.2383599,-0.3437015,1.630606,0.05775075,-0.0346101,1.740534,0.05951511,-0.3577818,1.73633,-0.1148359,0.1785503,1.738128,-0.02147759,-0.3503778,1.698467,-0.1736784,-0.07512362,1.76554,0.2852833,-0.09252129,1.806692,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.9960938,0.4023438,-0.2094727,-6,-2,-3,6,1,0,-1,-2,-6,-11,-10,-5,-8,-4,-2,-3,5.3125,5.3125,5.3125,-2.875,-2.875,-2.875,1.310431,2.961882,5.539842,7.618094,3.208307,8.348198,-0.1720072,-0.3334801,1.696739,0.2725738,-0.3556234,1.662434,0.07005268,0.4379684,1.712282,-0.1282455,-0.337117,1.661888,0.2373061,-0.3396445,1.62975,0.05737325,-0.03447422,1.741636,0.0589067,-0.3576914,1.736785,-0.1151134,0.1787242,1.740165,-0.02200488,-0.3502402,1.698893,-0.1736674,-0.07492482,1.766897,0.2859329,-0.09222639,1.807684,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.8974609,0.7197266,-0.1035156,-6,-2,-3,6,1,0,-1,-2,-9,-8,-5,6,1,0,-1,0,5.3125,5.3125,5.3125,71.625,71.625,71.625,1.310431,2.961882,5.539842,7.61933,3.356912,8.417753,-0.1715832,-0.3345035,1.696115,0.2795461,-0.3439449,1.652595,0.06883781,0.4386259,1.715685,-0.1280342,-0.3371454,1.661516,0.2339435,-0.3328499,1.629758,0.05722904,-0.03425082,1.742391,0.0585563,-0.3575041,1.736906,-0.11535,0.1787126,1.741733,-0.02230764,-0.3500513,1.699097,-0.173864,-0.07488143,1.767379,0.290023,-0.09050255,1.807901,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2231445,-0.2094727,0.6499023,0.8359375,-0.1738281,-6,-2,-3,6,1,0,-1,-2,20,20,3,10,-4,0,1,2,5.3125,5.3125,5.3125,35.5,35.5,35.5,1.310431,2.961882,5.539842,7.684481,3.608609,8.474093,-0.1727318,-0.3356215,1.695317,0.2949479,-0.3002601,1.636848,0.06750678,0.4395147,1.719349,-0.1284277,-0.3343475,1.663361,0.2419432,-0.3135263,1.640492,0.05678808,-0.03385454,1.743374,0.05794288,-0.357235,1.73712,-0.1157457,0.1785943,1.742908,-0.02291424,-0.3496851,1.699395,-0.1740431,-0.07488433,1.767809,0.3015174,-0.07421507,1.806618,NA,NA,NotTracked,NotTracked,
