ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8950195,-0.3671875,0.2436523,0.8681641,0.3422852,0.3154297,-2,0,-3,0,-1,1,-1,-1,0,-1,0,-1,-1,-2,-1,0,0.1875,0.1875,0.1875,-0.75,-0.75,-0.75,3.437087,3.229277,4.435783,6.30462,3.282198,7.470045,0.04472581,-0.4970993,1.605015,0.40599,-0.4976093,1.583228,0.2481622,0.3325543,1.695172,0.003653128,-0.4982086,1.60999,0.3628899,-0.481877,1.571422,0.2362578,-0.1167076,1.70719,0.2284355,-0.4259858,1.690946,0.06882562,0.06477167,1.700937,0.1510041,-0.416638,1.660207,0.03276756,-0.1983676,1.702507,0.4470907,-0.1954373,1.68393,NA,NA,NotTracked,NotTracked,
0.9052734,-0.3657227,0.2431641,0.8867188,0.3422852,0.2949219,-2,-2,0,-2,-2,-1,0,0,26,7,3,-1,1,0,0,1,0.3125,0.3125,0.3125,-3.125,-3.125,-3.125,3.437604,3.229443,4.435623,6.306035,3.283045,7.463995,0.04477584,-0.4969578,1.604393,0.4052223,-0.4981253,1.582226,0.2482212,0.332604,1.69518,0.003448316,-0.4995758,1.609812,0.3634505,-0.4833567,1.571922,0.2362651,-0.1166866,1.70707,0.228451,-0.4260211,1.690642,0.06886804,0.06474537,1.70093,0.1510325,-0.4166391,1.659904,0.03298701,-0.1985401,1.702227,0.4471476,-0.195466,1.683774,NA,NA,NotTracked,NotTracked,
0.9042969,-0.3681641,0.2397461,0.9375,0.3525391,0.2290039,-1,-1,-2,1,-1,-1,0,0,-16,-39,-20,-6,-6,-2,2,1,2,2,2,-35.3125,-35.3125,-35.3125,3.43789,3.230623,4.437345,6.303053,3.299655,7.425061,0.04474294,-0.496492,1.603687,0.4073321,-0.489589,1.578651,0.2482453,0.3325792,1.695283,0.00380759,-0.4988455,1.609037,0.3653142,-0.4781796,1.568146,0.2363052,-0.1167427,1.706852,0.2283385,-0.4262231,1.690154,0.06904219,0.06468369,1.700797,0.1509112,-0.4167818,1.659407,0.03322832,-0.1989692,1.702036,0.4472056,-0.1956073,1.683679,NA,NA,NotTracked,NotTracked,
0.9013672,-0.3725586,0.2441406,1.011719,0.5068359,0.3344727,1,-1,-2,-2,-1,-1,-1,0,13,29,16,-1,0,0,-3,0,3,3,3,-60.5625,-60.5625,-60.5625,3.435293,3.234979,4.445736,6.289738,3.413704,7.313726,0.0443857,-0.4967179,1.60453,0.4020337,-0.4852332,1.554,0.2482438,0.3326476,1.695643,0.003180711,-0.5008794,1.608909,0.362971,-0.473098,1.545086,0.2362232,-0.1168019,1.706496,0.2278365,-0.4264348,1.689713,0.06907764,0.0646542,1.700768,0.1503626,-0.4168316,1.658922,0.03327192,-0.1990534,1.701914,0.4476575,-0.1956521,1.6844,NA,NA,NotTracked,NotTracked,
0.8969727,-0.378418,0.2539063,0.8745117,0.5698242,0.6293945,0,0,-3,0,-1,0,-1,0,-17,-36,-42,-36,-13,-7,-2,-2,-2.875,-2.875,-2.875,-63.375,-63.375,-63.375,3.428372,3.235832,4.450939,6.235628,3.607163,7.249135,0.04422443,-0.4962975,1.603139,0.4023573,-0.4343803,1.501828,0.2481792,0.3327583,1.696032,0.001553934,-0.5040041,1.607288,0.3677199,-0.422563,1.519158,0.2355829,-0.1166991,1.706255,0.2259447,-0.4264182,1.689163,0.06904851,0.06462421,1.700695,0.1483788,-0.4163746,1.658231,0.03322286,-0.1989245,1.701785,0.4498455,-0.1939784,1.687948,NA,NA,NotTracked,NotTracked,
0.9003906,-0.387207,0.2504883,0.8491211,0.6186523,0.6396484,-2,-2,-2,-2,-1,1,-1,0,9,-19,-30,-11,4,-8,-3,-1,-7.6875,-7.6875,-7.6875,-54.1875,-54.1875,-54.1875,3.411521,3.238818,4.456834,6.21683,3.698103,7.234314,0.04359214,-0.4995061,1.602532,0.4088653,-0.3424222,1.43593,0.2481579,0.3330244,1.696666,0.001730633,-0.4999819,1.608012,0.3662168,-0.3275297,1.4385,0.2343539,-0.1164031,1.705861,0.2215811,-0.4256639,1.688831,0.06904034,0.06466573,1.700643,0.1438868,-0.4151998,1.658273,0.03287353,-0.1981093,1.701585,0.4588403,-0.1767656,1.696927,NA,NA,NotTracked,Unknown,
0.8881836,-0.3823242,0.25,0.2744141,0.8271484,0.8798828,0,-1,-1,-2,-3,-3,-2,-1,-8,28,19,-3,-8,-11,-6,4,-11.9375,-11.9375,-11.9375,-27.4375,-27.4375,-27.4375,3.401394,3.24114,4.451541,6.168488,4.373611,7.177276,0.04327124,-0.4998834,1.601884,0.4123145,-0.2089009,1.360749,0.2481966,0.3332663,1.697583,0.001885813,-0.500092,1.608551,0.3625404,-0.1954571,1.318875,0.2331347,-0.1160153,1.705624,0.218954,-0.424933,1.688351,0.0690225,0.06471703,1.700601,0.1412551,-0.414456,1.658454,0.0327691,-0.1974392,1.70129,0.4627306,-0.1350204,1.702634,NA,NA,NotTracked,Unknown,
0.9023438,-0.3730469,0.246582,-0.2592773,0.8486328,0.878418,0,-1,-1,-1,-1,0,0,0,11,-18,1,18,20,5,-16,-14,-16.0625,-16.0625,-16.0625,72.3125,72.3125,72.3125,3.388174,3.239883,4.430651,6.230086,5.197708,7.206329,0.04326306,-0.4995644,1.600229,0.416238,-0.03622727,1.379026,0.2482824,0.3334574,1.698551,0.002187061,-0.4971101,1.60719,0.4208123,-0.05584563,1.321308,0.2324063,-0.1158195,1.7055,0.2174986,-0.4244998,1.688084,0.06910317,0.06490502,1.700157,0.1396818,-0.4139721,1.658611,0.03236021,-0.1965557,1.70044,0.4581363,-0.1298173,1.677332,NA,NA,NotTracked,Unknown,
0.8920898,-0.3740234,0.2358398,-0.5253906,0.6923828,0.7763672,-1,-2,0,-1,-1,-4,-3,-3,28,3,-19,-8,-18,-7,-5,3,-14.75,-14.75,-14.75,87.625,87.625,87.625,3.378396,3.240806,4.412836,6.424175,5.854449,7.394396,0.04335159,-0.4988832,1.598763,0.4049405,0.109056,1.42293,0.2486638,0.3338016,1.700791,0.001073603,-0.4990388,1.604318,0.4093738,0.1013277,1.356811,0.2317789,-0.1156251,1.705722,0.216097,-0.4242736,1.688001,0.06935409,0.06515082,1.699766,0.1382239,-0.4135417,1.658507,0.03195356,-0.1952903,1.69932,0.48661,-0.1158545,1.623448,NA,NA,NotTracked,Unknown,
0.8969727,-0.3691406,0.2426758,-0.6660156,0.4741211,0.5546875,-1,-1,-2,0,3,-2,0,-3,-51,-36,-19,-9,-2,-4,-1,-7,-11.5,-11.5,-11.5,65.1875,65.1875,65.1875,3.367013,3.244205,4.402781,6.850187,6.35174,7.858359,0.04303068,-0.4983492,1.597272,0.3664937,0.2126732,1.479935,0.2486558,0.3343799,1.704429,0.0004852737,-0.4965352,1.59973,0.3764511,0.2145882,1.405416,0.2316782,-0.1146248,1.706166,0.2155049,-0.4220809,1.687733,0.07621945,0.06737053,1.696838,0.1371662,-0.4104625,1.658062,0.03139557,-0.1866798,1.697531,0.509894,-0.04970768,1.528027,NA,NA,NotTracked,Unknown,
