ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8979492,-0.4389648,0.2939453,0.8696289,0.3535156,0.3139648,1,4,13,2,3,1,6,10,-1,0,-1,-1,-1,0,2,-1,-15.5625,-15.5625,-15.5625,-1.4375,-1.4375,-1.4375,3.451977,3.295763,3.096981,6.312447,3.296512,7.323204,0.06376939,-0.4812174,1.599471,0.4173744,-0.49683,1.578,0.2652267,0.3292285,1.699455,0.09506799,-0.470751,1.569513,0.4541144,-0.5012994,1.570355,0.2529312,-0.1210328,1.708305,0.2458914,-0.4314058,1.693075,0.08632823,0.06279902,1.697838,0.1676832,-0.420938,1.660775,0.04864709,-0.1970723,1.701993,0.4539585,-0.2026141,1.674358,NA,NA,NotTracked,NotTracked,
0.8691406,-0.5053711,0.3076172,0.8569336,0.3496094,0.3154297,1,1,-8,0,3,-9,-4,0,-1,-2,-1,1,-3,0,0,0,-11.4375,-11.4375,-11.4375,-0.9375,-0.9375,-0.9375,3.470753,3.367965,3.049223,6.311808,3.300124,7.320334,0.06831323,-0.4770384,1.584803,0.417761,-0.4999961,1.577846,0.2653987,0.329367,1.700293,0.100139,-0.464563,1.5546,0.4551736,-0.5016282,1.570796,0.2532735,-0.1210125,1.708274,0.2469546,-0.4314485,1.692432,0.08641529,0.06267209,1.697624,0.1686703,-0.4210613,1.659977,0.04824552,-0.1954905,1.69962,0.4541196,-0.2029686,1.674453,NA,NA,NotTracked,NotTracked,
0.8515625,-0.5522461,0.3725586,0.859375,0.3608398,0.3222656,-4,-2,-13,6,17,4,11,0,0,1,-1,-2,-1,0,0,-2,-7.5,-7.5,-7.5,0.4375,0.4375,0.4375,3.510848,3.482476,2.982431,6.316721,3.305922,7.316697,0.07838301,-0.4614177,1.556556,0.4175022,-0.495884,1.575714,0.2655198,0.3294119,1.700848,0.1118268,-0.4433782,1.530714,0.4548643,-0.4995001,1.569346,0.2543588,-0.1209669,1.707986,0.2509634,-0.4312985,1.690464,0.0865784,0.06256583,1.697104,0.1722304,-0.421528,1.657923,0.04738349,-0.1928064,1.695479,0.4546482,-0.2041124,1.674242,NA,NA,Unknown,NotTracked,
0.7709961,-0.5864258,0.5297852,0.8632813,0.3569336,0.3222656,5,2,9,4,7,5,15,1,-1,0,-2,0,0,0,-3,-2,-25.75,-25.75,-25.75,1.8125,1.8125,1.8125,3.584855,3.694822,2.845617,6.320078,3.309269,7.314644,0.09458686,-0.4251092,1.524434,0.4180647,-0.4986224,1.575342,0.2661462,0.3299528,1.703099,0.120297,-0.3990309,1.538238,0.4547154,-0.5009818,1.569604,0.256833,-0.1204151,1.70776,0.2567708,-0.4306193,1.689296,0.08672806,0.06269046,1.696995,0.1773822,-0.4221873,1.656582,0.04563296,-0.1825376,1.690854,0.4548844,-0.2037434,1.674358,NA,NA,Unknown,NotTracked,
0.6469727,-0.640625,0.6025391,0.8769531,0.3735352,0.3393555,3,3,-13,-9,-11,-4,12,-4,1,3,3,4,0,-2,-4,-1,2.75,2.75,2.75,1.375,1.375,1.375,3.640931,3.90929,2.746089,6.323654,3.323147,7.316107,0.132504,-0.3884245,1.48776,0.419203,-0.4909075,1.57365,0.2664124,0.3305256,1.704731,0.1742189,-0.3748044,1.536375,0.4557004,-0.4959735,1.566718,0.2592467,-0.1203765,1.708149,0.2613015,-0.4314305,1.690185,0.0871295,0.06310821,1.696682,0.1824,-0.424502,1.657361,0.04048839,-0.1658489,1.68355,0.4553317,-0.2036442,1.674263,NA,NA,Unknown,NotTracked,
0.519043,-0.7265625,0.6420898,0.8740234,0.390625,0.2910156,-10,4,35,8,-1,17,27,8,0,-5,-7,0,-1,0,4,-1,3.0625,3.0625,3.0625,-2.9375,-2.9375,-2.9375,3.687994,4.239958,2.652834,6.319558,3.344681,7.322242,0.1622788,-0.336101,1.448579,0.4168392,-0.4889899,1.567808,0.2665597,0.3306416,1.706801,0.1977619,-0.3026508,1.512934,0.4527261,-0.4964433,1.561332,0.2597632,-0.1204872,1.709104,0.2612235,-0.4319412,1.69189,0.08748569,0.06332272,1.696367,0.1826747,-0.4249198,1.658776,0.03723249,-0.1532361,1.676192,0.4556963,-0.203545,1.674249,NA,NA,Unknown,NotTracked,
0.4575195,-0.6870117,0.6875,0.8725586,0.3876953,0.3701172,11,5,-9,2,10,-2,-35,2,1,3,10,3,1,-2,-9,-3,16.4375,16.4375,16.4375,-0.75,-0.75,-0.75,3.71537,4.415163,2.620907,6.292885,3.401702,7.338107,0.2094454,-0.2850069,1.40404,0.4134733,-0.4819862,1.559503,0.266703,0.3308084,1.709161,0.1853549,-0.3233619,1.453,0.4428003,-0.4973943,1.543793,0.2582484,-0.1203393,1.711309,0.256565,-0.4319805,1.6948,0.08827702,0.06346476,1.695935,0.1790729,-0.423319,1.661207,0.03842096,-0.1435973,1.664489,0.4562864,-0.2037265,1.67438,NA,NA,Unknown,NotTracked,
0.175293,-0.5981445,0.671875,0.8325195,0.4072266,0.3862305,-20,0,-19,-10,-8,1,-1,-43,-1,2,7,0,0,2,3,-3,4.8125,4.8125,4.8125,-0.5625,-0.5625,-0.5625,3.754832,4.754404,2.591224,6.276795,3.442844,7.357598,0.2211389,-0.2080066,1.385808,0.4083874,-0.4650799,1.549969,0.2667177,0.3309834,1.711557,0.1986959,-0.2412041,1.388,0.4320072,-0.421591,1.531461,0.2575865,-0.1198181,1.711734,0.2530553,-0.4301718,1.69528,0.0892707,0.06385378,1.695082,0.1751799,-0.4202839,1.661606,0.03357627,-0.1362822,1.65187,0.4565358,-0.2036754,1.674573,NA,NA,Unknown,NotTracked,
0.1821289,-0.5927734,0.5620117,0.7587891,0.3920898,0.4414063,8,44,4,6,2,2,-34,20,5,3,1,0,-4,0,9,6,-12.9375,-12.9375,-12.9375,4.5,4.5,4.5,3.737194,4.903957,2.600891,6.228509,3.53173,7.415146,0.2251998,-0.1600593,1.37303,0.4006592,-0.4564853,1.53749,0.2665583,0.3311073,1.713318,0.211079,-0.1962111,1.374556,0.3954927,-0.4545573,1.500049,0.2567599,-0.1188766,1.712414,0.250906,-0.4277228,1.694965,0.09055774,0.06482748,1.693746,0.1727337,-0.4168268,1.660929,0.02805724,-0.1312362,1.638076,0.4574428,-0.2016258,1.674992,NA,NA,Unknown,Unknown,
0.206543,-0.6352539,0.6669922,0.7548828,0.4438477,0.4760742,-5,-13,-24,0,-5,-12,-7,-4,2,-6,-3,-2,2,0,-5,3,-18.1875,-18.1875,-18.1875,1.125,1.125,1.125,3.712391,4.932659,2.614764,6.189659,3.618913,7.472615,0.2215088,-0.145064,1.363362,0.3913961,-0.4445817,1.529068,0.2664266,0.3311503,1.71517,0.2043857,-0.1831277,1.3664,0.3924006,-0.4460405,1.493534,0.2558973,-0.1178645,1.713,0.2482112,-0.4253189,1.694736,0.09160834,0.06560154,1.692884,0.1700565,-0.4135932,1.66058,0.02748893,-0.1271966,1.625514,0.4597937,-0.1972277,1.675888,NA,NA,Unknown,Unknown,
0.1357422,-0.6884766,0.7075195,0.7958984,0.4838867,0.4804688,-6,-12,-15,0,4,5,-11,6,-5,-3,-5,17,-3,1,6,5,-8.625,-8.625,-8.625,6.875,6.875,6.875,3.696569,4.906959,2.620227,6.168914,3.688551,7.514085,0.221596,-0.1459571,1.359541,0.3773927,-0.4301559,1.518585,0.2664487,0.3311102,1.716505,0.2099162,-0.1831799,1.359038,0.3737684,-0.4359852,1.476217,0.2546499,-0.1171413,1.713351,0.2453214,-0.4238064,1.694282,0.09262319,0.06620832,1.692278,0.1671047,-0.4115097,1.660212,0.02555729,-0.1242275,1.62008,0.4630821,-0.1886322,1.680319,NA,NA,Unknown,Unknown,
0.0390625,-0.7397461,0.7119141,0.7661133,0.6142578,0.5546875,5,2,-8,-5,-2,-1,5,2,-10,5,4,3,-3,1,-1,-6,-3.625,-3.625,-3.625,22.5625,22.5625,22.5625,3.691248,4.88814,2.63152,6.161796,3.835508,7.585629,0.2185581,-0.1483618,1.358871,0.3596215,-0.3959335,1.507465,0.2663761,0.3310058,1.717574,0.1985142,-0.187395,1.361869,0.3549491,-0.403618,1.461083,0.2528332,-0.1165284,1.714189,0.2416395,-0.422559,1.693944,0.09311241,0.06663009,1.691995,0.1634612,-0.4094238,1.659832,0.02475434,-0.1230398,1.618755,0.4659028,-0.1804173,1.683538,NA,NA,Unknown,Closed,
0.02832031,-0.7485352,0.7089844,0.7407227,0.6865234,0.6655273,14,16,-1,5,5,-2,10,18,5,4,9,1,-3,-26,6,6,1.125,1.125,1.125,24.125,24.125,24.125,3.690999,4.881268,2.66306,6.15811,3.951641,7.638169,0.2170817,-0.1492339,1.355119,0.3358956,-0.3409534,1.498555,0.2662342,0.3307613,1.717561,0.1939217,-0.1886864,1.353783,0.3281007,-0.3209194,1.461017,0.2520408,-0.1162463,1.713615,0.239783,-0.4221663,1.693451,0.09329338,0.06691258,1.691594,0.1617694,-0.4089338,1.65966,0.007537136,-0.1405321,1.586678,0.4714555,-0.1677155,1.683972,NA,NA,Unknown,Closed,
0.04199219,-0.7441406,0.706543,0.3481445,0.8139648,0.7875977,1,4,-1,-4,-4,2,1,5,9,34,14,17,9,4,6,13,2.125,2.125,2.125,20,20,20,3.692192,4.881504,2.687945,6.16018,4.300784,7.728354,0.2160174,-0.152425,1.351769,0.3326518,-0.2565916,1.481228,0.2658785,0.3301525,1.716816,0.2013943,-0.190764,1.348692,0.3377198,-0.2359893,1.451426,0.2515261,-0.1161185,1.713921,0.2393024,-0.4217657,1.69329,0.09345513,0.06721374,1.69155,0.1614439,-0.4087338,1.659787,0.007233529,-0.1435118,1.568304,0.4778649,-0.1439364,1.685433,NA,NA,Unknown,Unknown,
0.07080078,-0.7319336,0.7148438,-0.1450195,0.7119141,0.7856445,-2,3,10,6,0,-9,-7,4,0,9,-13,-17,-3,5,-7,1,2.625,2.625,2.625,54.0625,54.0625,54.0625,3.698022,4.881484,2.70693,6.210835,4.817782,7.792898,0.2094633,-0.1553712,1.347257,0.2116525,-0.1503699,1.345804,0.2655148,0.329448,1.716285,0.2195784,-0.1973601,1.3524,0.2478461,-0.1510981,1.314465,0.2514539,-0.1160106,1.713707,0.2392562,-0.4216251,1.693304,0.09414048,0.06730233,1.691595,0.1614234,-0.4087422,1.660144,0.007634557,-0.143997,1.570179,0.4952016,-0.1319327,1.685503,NA,NA,NotTracked,NotTracked,
0.08789063,-0.7250977,0.7055664,-0.2543945,0.7275391,0.703125,0,10,-17,-1,2,-4,-24,-10,-12,7,2,-24,-64,-20,-9,-9,5.0625,5.0625,5.0625,66.0625,66.0625,66.0625,3.70791,4.883588,2.71607,6.322014,5.273846,7.850342,0.2034219,-0.1546917,1.346493,0.277413,-0.04675809,1.457223,0.2649232,0.3286097,1.71495,0.2123187,-0.1970888,1.353052,0.290327,-0.04027297,1.415416,0.2512086,-0.1157066,1.713764,0.2391694,-0.4200924,1.693752,0.09503604,0.06736284,1.691634,0.1615775,-0.4078557,1.660764,0.003901005,-0.1447142,1.579124,0.4702981,-0.1347805,1.597916,NA,NA,NotTracked,NotTracked,
0.1010742,-0.7324219,0.7006836,-0.3569336,0.6420898,0.6547852,7,12,-26,-2,0,0,13,2,42,45,29,28,32,23,10,12,5.4375,5.4375,5.4375,69.8125,69.8125,69.8125,3.715116,4.8847,2.718345,6.408104,5.579167,7.897036,0.1920265,-0.1552972,1.349472,0.2115223,-0.1558244,1.345265,0.2641855,0.3277271,1.713773,0.2048859,-0.195297,1.353349,0.1731092,-0.1134621,1.336889,0.2510566,-0.1156671,1.713641,0.2389042,-0.4202348,1.693898,0.0953878,0.06749028,1.691496,0.1610358,-0.4084951,1.661854,0.005059215,-0.1455491,1.584673,0.4642643,-0.1232167,1.574343,NA,NA,NotTracked,NotTracked,
