ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9018555,-0.3754883,0.234375,0.8701172,0.3237305,0.3237305,0,-2,-1,0,2,-1,1,0,1,-1,-2,-3,-3,0,-1,0,0.75,0.75,0.75,0.375,0.375,0.375,3.393769,3.227799,9.242582,6.294534,3.242617,2.93095,0.04867573,-0.5009919,1.619976,0.416541,-0.4994471,1.58917,0.2656179,0.3298908,1.706802,0.08776969,-0.4896602,1.598443,0.3759134,-0.4885242,1.58097,0.249108,-0.1196133,1.715783,0.2371563,-0.4292237,1.700539,0.08613523,0.06326436,1.707845,0.1591598,-0.4187585,1.671043,0.04210401,-0.2041789,1.715646,0.456283,-0.2030603,1.68736,NA,NA,NotTracked,NotTracked,
0.8959961,-0.3710938,0.230957,0.875,0.3227539,0.3398438,0,-2,-2,-2,-2,-2,0,-1,-1,-2,-1,-1,0,0,-1,-1,0.75,0.75,0.75,0.9375,0.9375,0.9375,3.393769,3.227799,9.242582,6.294456,3.243063,2.931026,0.04883552,-0.5014885,1.62088,0.4172306,-0.4998169,1.590094,0.2656458,0.3299215,1.706838,0.08765002,-0.4911486,1.598681,0.3759189,-0.4901708,1.580246,0.249291,-0.1195561,1.71559,0.2376353,-0.4291724,1.7,0.08625335,0.06319176,1.707786,0.1595766,-0.418753,1.670563,0.04217288,-0.2041951,1.715656,0.4563554,-0.2031367,1.687248,NA,NA,NotTracked,NotTracked,
0.8964844,-0.3730469,0.2358398,0.8706055,0.3178711,0.3203125,0,0,-1,0,0,-1,2,-2,1,1,-2,0,-1,-2,-2,-1,0.4375,0.4375,0.4375,0,0,0,3.393769,3.227799,9.242582,6.29579,3.242569,2.929124,0.0491726,-0.5013254,1.62055,0.4172673,-0.4998966,1.589598,0.2656709,0.3298959,1.706805,0.08807035,-0.49726,1.594744,0.3762255,-0.4883667,1.581367,0.2494663,-0.1195809,1.715289,0.2379967,-0.429206,1.699541,0.08639584,0.06318387,1.707704,0.1598625,-0.4187919,1.670162,0.04227562,-0.2042013,1.715668,0.4565731,-0.2032196,1.687049,NA,NA,NotTracked,NotTracked,
0.8964844,-0.3725586,0.2353516,0.8745117,0.315918,0.3217773,-2,0,-2,-1,-1,-3,-3,-1,-1,-1,-1,0,-1,0,0,-1,-0.3125,-0.3125,-0.3125,-0.125,-0.125,-0.125,3.393769,3.227799,9.242582,6.294757,3.242011,2.93135,0.04943245,-0.5009028,1.620192,0.417176,-0.4992226,1.588721,0.265682,0.3299286,1.706765,0.08822557,-0.4925585,1.597275,0.3757743,-0.4886738,1.580689,0.2497423,-0.1195472,1.714984,0.2383128,-0.4291236,1.699262,0.0864928,0.06321675,1.707673,0.160143,-0.4187378,1.669979,0.04243295,-0.2041106,1.715597,0.456743,-0.2032273,1.686886,NA,NA,NotTracked,NotTracked,
0.9179688,-0.3886719,0.2280273,0.8720703,0.3261719,0.3320313,0,-1,3,5,6,2,-5,1,-1,4,-1,1,0,-3,1,0,-4.875,-4.875,-4.875,0.5625,0.5625,0.5625,3.391708,3.227936,9.239166,6.293044,3.242644,2.932605,0.05024679,-0.5013352,1.620678,0.4172477,-0.4995342,1.589278,0.265719,0.3299187,1.706768,0.08840507,-0.4945622,1.596736,0.3762366,-0.4884054,1.581548,0.2498489,-0.1195733,1.714882,0.2385185,-0.4292312,1.699091,0.08656262,0.06314387,1.707674,0.1603921,-0.4188948,1.669648,0.04255501,-0.2040666,1.715626,0.4568821,-0.2032911,1.686752,NA,NA,NotTracked,NotTracked,
0.9121094,-0.472168,0.2470703,0.8969727,0.3876953,0.2827148,0,3,15,0,-1,-9,-6,1,17,54,29,18,1,10,0,10,-3,-3,-3,-11.25,-11.25,-11.25,3.398946,3.266629,9.215894,6.295574,3.249045,2.923619,0.05138046,-0.4993922,1.617162,0.4159243,-0.4975882,1.584908,0.2657481,0.3298899,1.706774,0.08937659,-0.4918386,1.596041,0.3752156,-0.4849768,1.577296,0.2499029,-0.1196658,1.714715,0.2385571,-0.4293346,1.698856,0.08662487,0.06306815,1.707556,0.1603973,-0.4189423,1.669538,0.04265116,-0.2040032,1.715525,0.4570412,-0.2031188,1.686619,NA,NA,NotTracked,NotTracked,
0.9550781,-0.5048828,0.2319336,0.9814453,0.3876953,0.2001953,2,7,11,5,36,30,12,2,4,5,4,-3,4,-6,1,7,-47.75,-47.75,-47.75,-16.5,-16.5,-16.5,3.413594,3.330525,9.140348,6.288794,3.289025,2.88998,0.05338675,-0.4968105,1.603065,0.4073333,-0.4700982,1.561205,0.2657483,0.3299369,1.706777,0.08674413,-0.4859462,1.576646,0.373821,-0.4446604,1.568457,0.2497105,-0.1195109,1.714396,0.2380019,-0.4291353,1.698497,0.08678304,0.06317154,1.707221,0.1597532,-0.4186059,1.669166,0.04240606,-0.2025866,1.715146,0.4578315,-0.2029724,1.686661,NA,NA,NotTracked,NotTracked,
0.8710938,-0.7211914,0.4545898,0.8637695,0.6713867,0.7163086,0,11,-2,2,11,8,21,2,-9,-32,-55,-13,-39,-33,-12,-10,-78.0625,-78.0625,-78.0625,-31.625,-31.625,-31.625,3.487571,3.478782,8.898146,6.197501,3.542953,2.943151,0.08230988,-0.4772699,1.563632,0.3878254,-0.4091384,1.490627,0.265692,0.3300094,1.706958,0.1157324,-0.448267,1.551349,0.347459,-0.4135091,1.4903,0.2499095,-0.119058,1.713634,0.2392852,-0.4274493,1.695782,0.08674382,0.06342369,1.706992,0.1603512,-0.4168922,1.66628,0.03812667,-0.1917231,1.712291,0.4597906,-0.1989642,1.686829,NA,NA,Unknown,Unknown,
0.5454102,-0.8110352,0.6391602,0.3535156,0.7929688,0.9658203,-4,1,52,-4,-22,-31,-8,-6,-2,28,27,13,22,-7,3,13,-155.0625,-155.0625,-155.0625,-22.875,-22.875,-22.875,3.586476,3.796882,8.372596,6.128135,4.169617,2.956215,0.1311739,-0.3941675,1.543557,0.3642963,-0.2816293,1.396389,0.2657498,0.3301579,1.707335,0.140361,-0.3766251,1.510127,0.3265748,-0.2767087,1.4074,0.2507241,-0.1180609,1.712551,0.2418766,-0.4249175,1.692451,0.08686843,0.06439131,1.706513,0.1619031,-0.4157282,1.663413,0.02240695,-0.1606319,1.703888,0.4653327,-0.1652562,1.680341,NA,NA,Unknown,Unknown,
0.4003906,-0.6982422,0.6977539,-0.1918945,0.7436523,1.034668,2,6,-9,-8,-14,-6,23,4,-2,40,13,-12,7,13,2,-3,-150.25,-150.25,-150.25,-10.375,-10.375,-10.375,3.56984,4.093476,7.998308,6.104455,4.847239,2.945568,0.2252989,-0.3407954,1.512913,0.3512186,-0.1030488,1.349686,0.2660483,0.3303464,1.708598,0.1780979,-0.3844695,1.558267,0.3186624,-0.08646141,1.349,0.2505423,-0.1178367,1.713328,0.2412019,-0.4248101,1.693924,0.08757488,0.06601203,1.705047,0.1614505,-0.415303,1.665477,0.01365459,-0.136402,1.683697,0.4942585,-0.1285663,1.61512,NA,NA,Unknown,Unknown,
