ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8989258,-0.3564453,0.2416992,0.840332,0.4541016,0.5239258,-1,-1,-3,-2,1,1,-4,-1,3,8,13,3,10,1,-1,0,-0.8125,-0.8125,-0.8125,-13.25,-13.25,-13.25,3.436558,3.2039,0.6352019,6.194066,3.561049,4.935879,-0.06308009,-0.4943012,1.522272,0.2646914,-0.44011,1.454648,0.1371514,0.3312463,1.616009,-0.01847376,-0.4929773,1.506544,0.2689778,-0.4311002,1.410575,0.12333,-0.1211028,1.630331,0.1124454,-0.4347793,1.618117,-0.04170693,0.06445104,1.611327,0.03676827,-0.4232636,1.585698,-0.0794992,-0.1951649,1.614261,0.3351306,-0.1898785,1.617286,NA,NA,NotTracked,Unknown,
0.9077148,-0.3632813,0.2456055,0.7446289,0.5214844,0.6674805,-3,0,0,0,-2,-2,-2,-1,-2,-2,17,-11,-19,-3,-1,-1,-3.3125,-3.3125,-3.3125,0.3125,0.3125,0.3125,3.434486,3.204358,0.6322264,6.126596,3.747777,5.014139,-0.06292049,-0.4966662,1.521343,0.2362044,-0.3832067,1.438648,0.1367767,0.3314326,1.616803,-0.01587104,-0.4749589,1.510125,0.2738763,-0.3557649,1.405537,0.1218784,-0.1210934,1.630246,0.1085946,-0.4350447,1.61781,-0.04176988,0.06436125,1.611206,0.03294421,-0.4220834,1.585519,-0.07959715,-0.1946611,1.614147,0.3396638,-0.1779628,1.622577,NA,NA,NotTracked,Closed,
0.9018555,-0.3608398,0.2412109,0.4941406,0.5776367,0.7885742,0,-2,-1,-1,-1,0,-2,1,7,20,16,12,5,1,-2,0,-6.4375,-6.4375,-6.4375,-14.625,-14.625,-14.625,3.42843,3.20511,0.6256526,6.052299,4.093069,5.099065,-0.06324365,-0.498907,1.519488,0.2124808,-0.3103035,1.404546,0.1366009,0.3318424,1.61758,-0.01679613,-0.4828038,1.508242,0.2298149,-0.3833134,1.439312,0.1207129,-0.1203467,1.630162,0.1062354,-0.4337896,1.617445,-0.04177118,0.06438807,1.611136,0.03085972,-0.4205609,1.585436,-0.07963926,-0.1941585,1.613771,0.3416168,-0.1630537,1.623307,NA,NA,NotTracked,Closed,
0.9072266,-0.3608398,0.2329102,0.2973633,0.5864258,0.8007813,-1,-1,0,-1,-1,-1,-3,-1,1,11,9,7,8,-2,0,3,-6.375,-6.375,-6.375,-7.625,-7.625,-7.625,3.422081,3.206705,0.6206663,6.00758,4.419841,5.15359,-0.06344574,-0.4969911,1.520051,0.1877109,-0.2211191,1.362791,0.1366936,0.332377,1.618952,-0.02100348,-0.4901728,1.504345,0.1553876,-0.1931943,1.418154,0.1204854,-0.1200168,1.630181,0.1058948,-0.4333566,1.617393,-0.04052809,0.06471451,1.612339,0.03069062,-0.4204477,1.585425,-0.0796755,-0.1936481,1.613259,0.3418867,-0.1472861,1.618807,NA,NA,NotTracked,Closed,
0.9052734,-0.3623047,0.2338867,0.02197266,0.6323242,0.7900391,-1,0,-1,0,-2,0,0,-1,7,9,-12,-12,-7,-3,-2,-5,-8.5,-8.5,-8.5,23.375,23.375,23.375,3.417184,3.208556,0.6123253,6.026592,4.903426,5.223525,-0.06339613,-0.497402,1.519578,0.1684101,-0.1311322,1.349666,0.1370383,0.3325561,1.619976,-0.01957153,-0.490584,1.505143,0.1326924,-0.1538637,1.35405,0.1203322,-0.1193597,1.630451,0.1058917,-0.4319041,1.617569,-0.04053203,0.06472724,1.612243,0.03079979,-0.4197994,1.585541,-0.0796304,-0.1933431,1.612899,0.3817155,-0.1610751,1.558311,NA,NA,NotTracked,Unknown,
0.9082031,-0.3632813,0.2202148,0.02490234,0.6699219,0.7397461,-3,-3,-2,-2,-2,0,0,0,-10,-16,-14,-2,11,0,-3,-5,-6,-6,-6,41.375,41.375,41.375,3.407528,3.211865,0.6043007,6.09329,5.248922,5.290202,-0.06083731,-0.4962952,1.516942,0.1640656,-0.04614424,1.355105,0.1374659,0.3328133,1.621172,-0.01952372,-0.4904676,1.501172,0.1346607,-0.02621143,1.413,0.1201788,-0.1189587,1.630677,0.1059071,-0.4308324,1.61754,-0.04046782,0.06454097,1.612099,0.03093615,-0.4191395,1.585456,-0.07962451,-0.1933095,1.612601,0.3508036,-0.1434392,1.557545,NA,NA,NotTracked,Unknown,
0.9023438,-0.3696289,0.2353516,-0.550293,0.6396484,0.590332,-3,0,-3,0,-2,-1,1,0,10,20,31,13,13,2,-2,14,-1.1875,-1.1875,-1.1875,50.75,50.75,50.75,3.40127,3.21631,0.6068635,6.191397,5.561983,5.385866,-0.06058947,-0.4934309,1.517379,0.1611407,0.0233807,1.367734,0.1377476,0.3329082,1.622494,-0.01827565,-0.4862438,1.503618,0.1178969,0.02760771,1.396909,0.1202312,-0.1188973,1.630916,0.1059651,-0.430773,1.617555,-0.03971967,0.06475661,1.613417,0.03099212,-0.4191136,1.585513,-0.07952253,-0.1931657,1.612459,0.3399039,-0.1404171,1.525934,NA,NA,NotTracked,Unknown,
0.8989258,-0.3735352,0.230957,-0.1396484,0.6782227,0.8227539,-1,0,0,-1,0,-1,-1,1,8,-11,5,-6,5,1,2,0,0.6875,0.6875,0.6875,43.75,43.75,43.75,3.393958,3.21953,0.6151679,6.32657,5.8345,5.511449,-0.0609294,-0.4933824,1.517627,0.1602965,0.07961231,1.386931,0.1378447,0.3335029,1.62404,-0.01880616,-0.4892983,1.503459,0.1885307,0.09699146,1.399,0.1204139,-0.1191008,1.631291,0.1059686,-0.4313845,1.617662,-0.03865299,0.06565714,1.61562,0.03075267,-0.420395,1.587099,-0.07935367,-0.1930119,1.612351,0.3404962,-0.1332371,1.515861,NA,NA,NotTracked,Unknown,
0.9018555,-0.3833008,0.2270508,-0.6040039,0.5361328,0.5327148,-1,-1,-1,-2,-2,-1,0,-3,11,5,10,2,3,2,2,-3,2.3125,2.3125,2.3125,22.5,22.5,22.5,3.380424,3.222865,0.6344419,6.531758,6.158121,5.753204,-0.06082585,-0.4932118,1.51796,0.1668153,0.1155535,1.415241,0.1376812,0.3368033,1.625565,-0.01845629,-0.489682,1.502788,0.1861692,0.1330576,1.4256,0.1198482,-0.1198677,1.630679,0.1054568,-0.4326389,1.617671,-0.03852409,0.06612893,1.616574,0.02966729,-0.4221262,1.58903,-0.07919819,-0.1929556,1.612378,0.3513603,-0.1324656,1.490687,NA,NA,NotTracked,Unknown,
0.8969727,-0.3764648,0.2333984,-0.6391602,0.5244141,0.3740234,0,1,-1,-1,1,-1,-2,0,12,7,0,-4,-11,-2,-2,-6,1.9375,1.9375,1.9375,3.8125,3.8125,3.8125,3.375627,3.225542,0.6442264,6.760674,6.386424,6.044729,-0.06100063,-0.493437,1.518649,0.1673264,0.145233,1.439246,0.1374819,0.3385949,1.626404,-0.01701182,-0.4837143,1.505799,0.241221,0.1165434,1.476,0.1194038,-0.1211221,1.630147,0.1051219,-0.4338793,1.617577,-0.03863039,0.06611365,1.616668,0.02893541,-0.423647,1.590579,-0.0791289,-0.192843,1.612425,0.3352223,-0.1079812,1.476567,NA,NA,Unknown,Unknown,
