ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8828125,-0.3754883,0.2529297,0.9042969,0.4023438,0.2773438,-1,-2,-2,0,-1,-2,-3,-1,-6,4,-2,-1,-2,-2,-1,-1,2.5,2.5,2.5,-10.125,-10.125,-10.125,3.440375,3.261934,1.158877,6.365495,3.326261,6.180696,-0.04777572,-0.4905512,1.546389,0.2971834,-0.4787238,1.51387,0.1536242,0.3305054,1.643833,-0.09302921,-0.4914613,1.547939,0.3409378,-0.4770005,1.508625,0.1376205,-0.1228387,1.654773,0.1267856,-0.4369703,1.639841,-0.02672109,0.06383561,1.63985,0.05122234,-0.4256479,1.607628,-0.0651385,-0.1974427,1.643326,0.3391921,-0.1954488,1.61839,NA,NA,NotTracked,NotTracked,
0.9013672,-0.3754883,0.2661133,0.8598633,0.4316406,0.2983398,-1,-3,-2,-1,-2,-3,0,0,-13,-26,-8,-1,-1,-1,-3,-2,2.1875,2.1875,2.1875,-7.8125,-7.8125,-7.8125,3.444838,3.264491,1.159771,6.359417,3.343866,6.177904,-0.04797871,-0.4905784,1.547209,0.2972095,-0.4763494,1.508018,0.1535329,0.3305231,1.644425,-0.09298195,-0.4919876,1.547425,0.3516224,-0.4580038,1.505,0.1376427,-0.1228539,1.65482,0.1267774,-0.4369403,1.639857,-0.02676688,0.06389765,1.639992,0.05120414,-0.4256197,1.607694,-0.06521466,-0.197525,1.643436,0.3398339,-0.1951082,1.618918,NA,NA,NotTracked,NotTracked,
0.9003906,-0.362793,0.2529297,0.9355469,0.4711914,0.2763672,0,-2,-2,-1,0,-2,-1,0,-3,-4,17,1,-1,-2,-1,-1,2.5625,2.5625,2.5625,-38.5,-38.5,-38.5,3.446208,3.265867,1.162017,6.355116,3.376875,6.147875,-0.04819835,-0.4910343,1.547811,0.2951703,-0.4668849,1.489406,0.1533489,0.3306373,1.644832,-0.09296708,-0.4917739,1.547281,0.3283061,-0.4324509,1.470984,0.1375505,-0.1227662,1.655,0.1267005,-0.4367318,1.639991,-0.02690725,0.06394526,1.640394,0.05113762,-0.4253651,1.607828,-0.06518251,-0.1974857,1.643532,0.3415895,-0.1944637,1.62095,NA,NA,NotTracked,NotTracked,
0.8808594,-0.3886719,0.2714844,0.9023438,0.5092773,0.4643555,-1,0,-1,-1,-2,-1,0,0,-6,-4,-2,-3,10,-1,1,-1,-7.375,-7.375,-7.375,-53.1875,-53.1875,-53.1875,3.443434,3.263472,1.153739,6.278716,3.542984,6.098044,-0.04808293,-0.4911291,1.54677,0.2981823,-0.4291983,1.444947,0.1531549,0.3305864,1.645157,-0.09287095,-0.491797,1.547141,0.306154,-0.4289328,1.40796,0.1374665,-0.122752,1.655105,0.1265378,-0.4365858,1.639972,-0.02701572,0.06392958,1.640525,0.05094759,-0.425185,1.607749,-0.06522273,-0.1974704,1.643617,0.3447066,-0.1930281,1.623227,NA,NA,NotTracked,Lasso,
0.8837891,-0.3925781,0.2739258,0.7763672,0.5859375,0.7241211,-2,-1,-2,-1,0,0,-3,0,1,10,-6,1,-17,-4,-1,0,-8.0625,-8.0625,-8.0625,-31.5625,-31.5625,-31.5625,3.436902,3.261634,1.146464,6.210489,3.779217,6.099826,-0.04789138,-0.4912747,1.547859,0.2902718,-0.3668407,1.392393,0.1530351,0.3305261,1.645334,-0.0929068,-0.4921308,1.547625,0.2478695,-0.4193305,1.45475,0.13723,-0.1226951,1.655258,0.1252355,-0.4360838,1.64018,-0.02706131,0.06390871,1.64056,0.04958861,-0.4243522,1.60793,-0.06531043,-0.1972309,1.643758,0.3545729,-0.176181,1.628552,NA,NA,NotTracked,Unknown,
0.9018555,-0.3857422,0.2607422,0.3974609,0.8266602,0.8735352,-1,0,-1,-1,-2,-1,-1,-2,3,10,-8,22,-5,6,2,2,-11.9375,-11.9375,-11.9375,1.1875,1.1875,1.1875,3.426391,3.258476,1.133943,6.198288,4.395244,6.094903,-0.04832942,-0.493496,1.54618,0.2822682,-0.2635686,1.32006,0.1529465,0.3304658,1.645455,-0.09260959,-0.4905344,1.546409,0.2455855,-0.2435164,1.333643,0.1364461,-0.1224269,1.655561,0.1228671,-0.4351202,1.640186,-0.02706746,0.06393735,1.640564,0.04726128,-0.423221,1.607955,-0.06542955,-0.1967551,1.643781,0.3623765,-0.1457358,1.628365,NA,NA,NotTracked,Unknown,
0.8759766,-0.3813477,0.2597656,-0.2172852,0.7299805,0.8745117,-2,0,-2,0,0,-2,-2,-2,-3,-4,25,27,1,2,2,0,-18.0625,-18.0625,-18.0625,19.625,19.625,19.625,3.417369,3.255369,1.113756,6.192013,4.932671,6.092538,-0.04745911,-0.492539,1.545564,0.2693481,-0.1163922,1.278761,0.1531583,0.3303829,1.64556,-0.09276739,-0.4919825,1.546571,0.2374392,-0.0825057,1.2926,0.1358595,-0.1220553,1.655943,0.1220565,-0.4345916,1.640235,-0.02674507,0.06404436,1.640293,0.04639615,-0.4226031,1.607952,-0.06576341,-0.1961004,1.643498,0.3918669,-0.1195446,1.578169,NA,NA,NotTracked,Unknown,
0.8881836,-0.3691406,0.2529297,-0.3041992,0.7749023,0.800293,-1,-1,0,-2,-2,-3,-2,1,0,20,33,9,4,2,0,3,-12.9375,-12.9375,-12.9375,49.875,49.875,49.875,3.409075,3.255711,1.105374,6.219904,5.133387,6.108098,-0.04811396,-0.4922926,1.543453,0.2822056,0.04836125,1.312816,0.1539443,0.3300982,1.645566,-0.09317301,-0.4932024,1.545786,0.2591896,0.09222479,1.318,0.1356118,-0.1222601,1.656245,0.1213406,-0.4354169,1.640104,-0.02593945,0.06430557,1.639599,0.04565695,-0.4232861,1.607889,-0.06637795,-0.1954842,1.642765,0.3776001,-0.1344552,1.533122,NA,NA,NotTracked,Unknown,
0.8950195,-0.3706055,0.2348633,-0.5429688,0.7124023,0.6772461,-1,-2,-2,0,0,-1,1,-1,7,37,76,26,21,6,-5,0,-0.5,-0.5,-0.5,74.8125,74.8125,74.8125,3.392291,3.262623,1.108985,6.413683,5.942888,6.230421,-0.04822256,-0.4895957,1.542262,0.2711519,0.1738383,1.381586,0.1545199,0.3299349,1.645712,-0.0934626,-0.4900242,1.544762,0.2384566,0.1644691,1.412435,0.1358647,-0.1217526,1.656493,0.1202959,-0.4345137,1.639702,-0.02350656,0.06615533,1.639123,0.04394706,-0.4222113,1.60768,-0.06689107,-0.1874231,1.641475,0.3938772,-0.09369448,1.506257,NA,NA,NotTracked,Unknown,
0.8837891,-0.3774414,0.2475586,-0.6157227,0.4716797,0.340332,0,-1,-1,-2,0,-1,-3,-1,12,12,1,5,1,-5,9,48,8.1875,8.1875,8.1875,52.8125,52.8125,52.8125,3.389152,3.272598,1.126609,7.037386,6.689819,6.79599,-0.04844355,-0.4882861,1.53915,0.2743724,0.2320111,1.441244,0.155158,0.3292315,1.645898,-0.09373878,-0.4860201,1.535263,0.2674955,0.2406709,1.473833,0.1359005,-0.1216876,1.656588,0.1201631,-0.4337567,1.639198,-0.01784428,0.06795592,1.63796,0.04353908,-0.4213193,1.606964,-0.067242,-0.1835392,1.64077,0.4020982,-0.06612266,1.479104,NA,NA,NotTracked,Unknown,
