ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9174805,-0.340332,0.2114258,0.8789063,0.3662109,0.2807617,-1,0,0,-3,-2,1,-1,-2,1,-8,-5,0,-2,-1,0,50,-0.375,-0.375,-0.375,-6.3125,-6.3125,-6.3125,3.386848,3.15431,7.499373,6.31883,3.31808,9.901031,0.0549867,-0.5055172,1.576609,0.4142765,-0.4906192,1.525259,0.2593248,0.329417,1.656494,0.09181375,-0.4955778,1.55759,0.3723467,-0.4756918,1.51663,0.2497598,-0.1182694,1.666456,0.2405474,-0.4270581,1.652817,0.08409782,0.06092742,1.657902,0.1619686,-0.4169634,1.625411,0.04931698,-0.1991832,1.663681,0.4527095,-0.1968483,1.630681,NA,NA,NotTracked,NotTracked,
0.918457,-0.3447266,0.2114258,0.9511719,0.4248047,0.2099609,-1,0,-2,-1,-1,-1,-1,-2,1,-4,1,5,1,2,1,5,0,0,0,-45.625,-45.625,-45.625,3.384041,3.15545,7.502827,6.310508,3.362437,9.809433,0.05505174,-0.5060658,1.57716,0.4128056,-0.4872774,1.516725,0.2592932,0.3295084,1.656465,0.09088062,-0.4963289,1.556275,0.3724483,-0.4795366,1.508857,0.2497861,-0.1182528,1.6664,0.2405446,-0.4270806,1.652766,0.08414134,0.06092348,1.657649,0.1619677,-0.4169793,1.625376,0.04937071,-0.1992364,1.663489,0.4539776,-0.196876,1.63199,NA,NA,NotTracked,NotTracked,
0.9208984,-0.3388672,0.2128906,0.9755859,0.4575195,0.3261719,-1,0,-1,-1,-1,-1,-1,-1,-6,-14,-34,-2,-3,-2,1,0,-1.625,-1.625,-1.625,-49.1875,-49.1875,-49.1875,3.381034,3.155937,7.505258,6.297102,3.450145,9.728595,0.05530518,-0.5047917,1.576683,0.4119575,-0.4694412,1.495052,0.2592272,0.329538,1.656505,0.09233752,-0.4937403,1.558591,0.3756981,-0.4585693,1.488976,0.2496905,-0.118233,1.666208,0.2404078,-0.4270949,1.652546,0.08417736,0.06088812,1.657166,0.1618124,-0.4169703,1.625156,0.04932288,-0.1993433,1.663046,0.45961,-0.1942612,1.63853,NA,NA,NotTracked,NotTracked,
0.9179688,-0.347168,0.2211914,0.9267578,0.5253906,0.4418945,0,-3,-1,-1,-1,-1,0,-1,0,6,38,6,0,15,5,-1,-4.25,-4.25,-4.25,-36.3125,-36.3125,-36.3125,3.365867,3.156958,7.513533,6.291279,3.545189,9.684206,0.05521019,-0.5080777,1.575766,0.4250805,-0.4141834,1.461755,0.2589882,0.3297801,1.656703,0.09155976,-0.4962303,1.556856,0.394004,-0.40453,1.482556,0.2493406,-0.1181713,1.665974,0.2396698,-0.4270843,1.652227,0.08433556,0.0609124,1.656363,0.1610408,-0.4168305,1.624797,0.0491277,-0.1992305,1.662507,0.4710532,-0.1851205,1.650056,NA,NA,NotTracked,Unknown,
0.9111328,-0.3496094,0.2270508,0.6762695,0.7167969,0.7358398,-1,4,1,-3,-2,0,-3,1,4,10,28,24,0,30,3,6,-10.0625,-10.0625,-10.0625,-10.125,-10.125,-10.125,3.358784,3.157913,7.507825,6.290397,3.9217,9.608513,0.05472716,-0.5051663,1.576122,0.432326,-0.337419,1.424791,0.258827,0.3299294,1.656906,0.09136946,-0.4958749,1.557116,0.4091751,-0.3984684,1.413375,0.248546,-0.1177889,1.66565,0.237349,-0.4264574,1.651986,0.08419075,0.06101374,1.656067,0.1586715,-0.4159985,1.624621,0.04906997,-0.1991943,1.662286,0.4861081,-0.1606977,1.664043,NA,NA,NotTracked,Unknown,
0.9106445,-0.3540039,0.2216797,0.2734375,0.6987305,0.8388672,-1,-2,-1,0,0,-2,-1,-1,21,2,9,-17,-20,-20,-3,0,-17.6875,-17.6875,-17.6875,-7.875,-7.875,-7.875,3.352535,3.156216,7.487186,6.28041,4.272195,9.591251,0.05418088,-0.5076367,1.573344,0.4278601,-0.2375649,1.383497,0.2586887,0.3300964,1.65763,0.09139827,-0.494368,1.555635,0.3923231,-0.2703557,1.391286,0.2478423,-0.1173958,1.665552,0.235786,-0.4258698,1.651931,0.08428998,0.06139653,1.655143,0.1571591,-0.4152572,1.624547,0.04905114,-0.1992818,1.661065,0.493643,-0.1407908,1.668746,NA,NA,NotTracked,Unknown,
0.9194336,-0.3510742,0.2241211,-0.1152344,0.7167969,0.7749023,-1,0,-1,0,-2,0,-4,-2,2,2,-13,-12,-36,-1,-2,-3,-21.3125,-21.3125,-21.3125,33.5625,33.5625,33.5625,3.348022,3.156554,7.44268,6.31372,4.731187,9.600339,0.05498023,-0.5070861,1.572431,0.4346906,-0.1166124,1.376386,0.2587684,0.3304833,1.658446,0.09162138,-0.4950082,1.556458,0.4191998,-0.07067066,1.377917,0.2474997,-0.1171579,1.665456,0.2350364,-0.425649,1.651796,0.08458278,0.06154853,1.653739,0.1563365,-0.415019,1.624326,0.04876816,-0.1994572,1.659599,0.5212029,-0.105349,1.656004,NA,NA,NotTracked,Unknown,
0.9233398,-0.3481445,0.2167969,-0.3657227,0.7983398,0.7895508,0,-3,0,-1,-1,0,1,-1,-8,6,-23,-3,-2,12,0,0,-19.375,-19.375,-19.375,59.8125,59.8125,59.8125,3.344099,3.161153,7.409806,6.408247,5.262319,9.656605,0.05498455,-0.5033857,1.568184,0.4365005,0.01138334,1.395948,0.2592193,0.3307558,1.659197,0.08739872,-0.4983568,1.541279,0.3880207,0.04396984,1.427818,0.247297,-0.1169811,1.665406,0.2348465,-0.4254913,1.651537,0.0854705,0.06213249,1.651217,0.1560582,-0.4148232,1.623817,0.04848894,-0.1983204,1.656829,0.5508355,-0.1656677,1.667789,NA,NA,NotTracked,Unknown,
0.9086914,-0.3183594,0.2084961,-0.5463867,0.659668,0.6523438,-2,-1,-2,-1,-1,0,-1,-1,9,12,7,32,81,22,4,2,-14.5625,-14.5625,-14.5625,53.5625,53.5625,53.5625,3.343843,3.171115,7.381864,6.543527,5.815093,9.792863,0.05630501,-0.5025528,1.563942,0.4356447,0.09257267,1.430398,0.2601887,0.3314979,1.660999,0.08982491,-0.4973699,1.538232,0.4749637,0.1038344,1.447556,0.2473357,-0.1168546,1.665502,0.2347609,-0.4257382,1.651172,0.08694942,0.06313649,1.649282,0.1558506,-0.4150209,1.623144,0.04842842,-0.1962343,1.653288,0.5234869,-0.09286579,1.562193,NA,NA,NotTracked,Unknown,
0.9130859,-0.3129883,0.2197266,-0.5439453,0.4682617,0.3691406,2,-2,0,-1,-1,-1,1,-2,-11,-12,-7,-20,-24,-8,-4,-11,5.5,5.5,5.5,20.875,20.875,20.875,3.355651,3.195751,7.362343,6.887269,6.444203,0.2035338,0.05784608,-0.5004728,1.556655,0.3843637,0.1964197,1.485835,0.260756,0.331765,1.662781,0.09281073,-0.490968,1.53334,0.42152,0.2325128,1.51227,0.2482125,-0.114827,1.665952,0.2351489,-0.4222125,1.65015,0.0894656,0.06411149,1.647663,0.1556792,-0.4111413,1.621023,0.04857229,-0.1859497,1.649417,0.5288875,-0.07689194,1.540932,NA,NA,NotTracked,Unknown,
