ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.909668,-0.3623047,0.2246094,0.8686523,0.3388672,0.3266602,-1,-1,-1,-1,-1,0,-2,0,0,-1,0,0,1,-1,-1,0,-0.875,-0.875,-0.875,-0.125,-0.125,-0.125,3.378365,3.198163,0.1936995,6.295827,3.291106,5.516117,-0.01112644,-0.4984523,1.520613,0.3592522,-0.4943753,1.490536,0.1939928,0.3297073,1.611549,0.03116237,-0.4933524,1.501867,0.3137851,-0.459219,1.481917,0.1832422,-0.1236017,1.619696,0.1738928,-0.4381247,1.60442,0.01509713,0.06109765,1.607998,0.09730784,-0.4278248,1.57554,-0.01994973,-0.2018316,1.607935,0.3909807,-0.2028288,1.592242,NA,NA,NotTracked,NotTracked,
0.9042969,-0.3603516,0.2197266,0.8657227,0.3378906,0.3271484,-1,-1,-1,-1,-1,-1,-1,0,-2,0,-1,1,0,-1,-1,0,-0.875,-0.875,-0.875,-0.3125,-0.3125,-0.3125,3.378365,3.198163,0.1936995,6.29526,3.291072,5.516648,-0.01117885,-0.4982464,1.521107,0.3594477,-0.4937893,1.490945,0.1942389,0.3297178,1.611653,0.03144033,-0.4912414,1.503038,0.3169783,-0.4711924,1.486664,0.1833882,-0.1234657,1.619766,0.1739888,-0.4380078,1.604467,0.01519176,0.06112602,1.608071,0.09741033,-0.4276361,1.57559,-0.01988653,-0.2017262,1.607981,0.390994,-0.2028929,1.592397,NA,NA,NotTracked,NotTracked,
0.9077148,-0.355957,0.2197266,0.8676758,0.3393555,0.3183594,-3,0,0,1,0,0,-1,-2,0,-3,-2,-1,-2,1,-2,0,-0.6875,-0.6875,-0.6875,0.3125,0.3125,0.3125,3.378365,3.198163,0.1936995,6.29526,3.291072,5.516648,-0.01080941,-0.498478,1.521422,0.3594273,-0.4940531,1.491093,0.1944003,0.3298344,1.611806,0.03050171,-0.4954957,1.501274,0.3161035,-0.4739372,1.48544,0.1834619,-0.1233853,1.619846,0.1740297,-0.4378835,1.604527,0.01529567,0.06114551,1.608167,0.09744763,-0.4274507,1.575623,-0.01980853,-0.2014733,1.608121,0.3910511,-0.202743,1.592568,NA,NA,NotTracked,NotTracked,
0.9047852,-0.3652344,0.2255859,0.8652344,0.3388672,0.3261719,-1,0,-1,-1,-1,-2,0,-2,1,1,-1,-1,-1,1,0,-1,0.8125,0.8125,0.8125,0,0,0,3.378365,3.198163,0.1936995,6.29526,3.291072,5.516648,-0.01091165,-0.4980308,1.520959,0.3587033,-0.4948853,1.490786,0.1945871,0.3298305,1.612007,0.03113788,-0.4927604,1.502058,0.3159315,-0.4736673,1.485348,0.1835184,-0.1234674,1.619819,0.1741269,-0.4380361,1.604489,0.01549482,0.06105479,1.608195,0.09752952,-0.4276204,1.575524,-0.01966878,-0.2008845,1.608031,0.3910425,-0.2028081,1.592624,NA,NA,NotTracked,NotTracked,
0.9052734,-0.359375,0.2226563,0.8676758,0.3354492,0.3276367,0,-2,-1,-1,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,0,0.0625,0.0625,0.0625,0.25,0.25,0.25,3.378365,3.198163,0.1936995,6.294807,3.291205,5.516806,-0.01112504,-0.4982206,1.520882,0.3594187,-0.4948008,1.491413,0.1947201,0.3297357,1.612179,0.03109293,-0.494234,1.501816,0.3161379,-0.4737061,1.485686,0.1835371,-0.1234897,1.619875,0.1741626,-0.4380186,1.604514,0.01558641,0.06102662,1.608247,0.09756649,-0.4275856,1.575541,-0.01961485,-0.2012235,1.608083,0.3910752,-0.202948,1.592799,NA,NA,NotTracked,NotTracked,
0.9047852,-0.3598633,0.2260742,0.8706055,0.3413086,0.3173828,0,-2,-2,0,0,-1,0,-2,-2,-9,-8,-5,-3,-1,0,-2,0.375,0.375,0.375,-0.9375,-0.9375,-0.9375,3.378365,3.198163,0.1936995,6.294807,3.291205,5.516806,-0.01095752,-0.4976699,1.52061,0.359142,-0.4937496,1.489119,0.1948172,0.3297704,1.612327,0.03102783,-0.4941035,1.501665,0.3162758,-0.4723108,1.485717,0.1836086,-0.1235012,1.619927,0.1741814,-0.438027,1.604536,0.01572005,0.06093536,1.608245,0.09758903,-0.4276417,1.575536,-0.0195889,-0.2014609,1.60818,0.3911005,-0.20294,1.59301,NA,NA,NotTracked,NotTracked,
0.9023438,-0.3754883,0.2250977,0.9624023,0.4267578,0.2519531,-1,-2,-1,0,-1,0,-1,-2,-2,-4,-10,-13,5,-3,4,-2,3.875,3.875,3.875,-46.8125,-46.8125,-46.8125,3.376282,3.204417,0.2022154,6.27881,3.350761,5.450207,-0.01054848,-0.4977185,1.521049,0.3559844,-0.4844497,1.474526,0.1949355,0.3299246,1.612621,0.03094383,-0.492249,1.50244,0.3193508,-0.4548257,1.487714,0.1836185,-0.1233947,1.620024,0.1741463,-0.4378693,1.6046,0.01573738,0.06098993,1.608544,0.0975492,-0.4273869,1.575615,-0.01952479,-0.2013104,1.608265,0.3914703,-0.2028026,1.594192,NA,NA,NotTracked,NotTracked,
0.9125977,-0.3754883,0.2319336,0.9506836,0.5913086,0.4418945,0,0,1,-1,-1,1,1,0,1,-3,23,-5,23,-14,-4,7,-2.125,-2.125,-2.125,-73.0625,-73.0625,-73.0625,3.373482,3.20695,0.2060555,6.27461,3.486601,5.344824,-0.01116511,-0.4973028,1.519945,0.3448089,-0.4443724,1.434937,0.1949845,0.3299632,1.612814,0.03115405,-0.4912768,1.502283,0.3081836,-0.4358098,1.466353,0.183533,-0.1233255,1.620059,0.1736172,-0.4376441,1.604647,0.01571783,0.06110635,1.608644,0.09695636,-0.4270393,1.575599,-0.01954323,-0.2012825,1.60826,0.3934551,-0.2010259,1.59767,NA,NA,NotTracked,NotTracked,
0.9057617,-0.3823242,0.2426758,0.7348633,0.578125,0.9995117,-1,1,-1,1,0,-2,-1,-2,11,4,-6,2,-73,-22,-1,-1,-11.75,-11.75,-11.75,-110.3125,-110.3125,-110.3125,3.366942,3.205387,0.1934818,6.068208,3.838599,5.306502,-0.01115443,-0.495848,1.521543,0.3608448,-0.3411716,1.386257,0.1951482,0.3300139,1.613369,0.0310904,-0.4912245,1.502304,0.2984231,-0.3661493,1.3938,0.1827431,-0.1230419,1.620463,0.1700207,-0.4365664,1.605115,0.01580399,0.06117787,1.608702,0.09325958,-0.4252023,1.575985,-0.01982756,-0.1999809,1.608561,0.3971931,-0.1802998,1.607632,NA,NA,NotTracked,Unknown,
0.8945313,-0.3793945,0.2333984,0.21875,0.6386719,1.155273,0,0,-2,-1,-1,-3,0,0,-43,-29,-1,-4,-9,-1,-1,-10,-17.5625,-17.5625,-17.5625,-127.5625,-127.5625,-127.5625,3.360476,3.203953,0.17193,5.857075,4.319459,5.338525,-0.0111192,-0.495754,1.520307,0.3452054,-0.2016073,1.312664,0.1954604,0.3301479,1.614473,0.03130104,-0.4906701,1.502753,0.3328907,-0.1315682,1.288115,0.18225,-0.1227362,1.620794,0.1689164,-0.4360882,1.60532,0.01601169,0.0612568,1.608636,0.09217689,-0.4247698,1.576253,-0.01986802,-0.1991572,1.608215,0.3969542,-0.1321907,1.607556,NA,NA,NotTracked,Unknown,
