ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9282227,-0.3339844,0.2114258,0.8803711,0.3286133,0.2919922,-6,-3,-3,-3,-4,-16,-38,-8,-3,-9,-5,-3,-3,1,-1,-3,-0.5625,-0.5625,-0.5625,-0.3125,-0.3125,-0.3125,3.441863,3.156767,6.912291,6.309162,3.218045,7.38901,0.002070326,-0.4944715,1.601723,0.3630448,-0.4906354,1.565634,0.2091662,0.3333196,1.662673,-0.04048294,-0.500052,1.610359,0.4103779,-0.4738512,1.576137,0.1932321,-0.1190062,1.674804,0.1815362,-0.4316388,1.663809,0.02745664,0.06800579,1.668718,0.1058509,-0.4208456,1.634638,-0.009483098,-0.1960656,1.688936,0.3995538,-0.1973783,1.651627,NA,NA,NotTracked,NotTracked,
0.9975586,-0.3603516,0.168457,0.9892578,0.375,0.1547852,1,-1,-5,-2,6,8,-4,7,-11,-13,-2,-7,-3,-2,-3,-4,19.3125,19.3125,19.3125,-41.5625,-41.5625,-41.5625,3.46058,3.175155,6.906603,6.311331,3.238596,7.354709,0.001898514,-0.4910055,1.599193,0.3615717,-0.4894359,1.560606,0.2090832,0.3331805,1.663448,-0.03990926,-0.4988341,1.608506,0.4059961,-0.4842719,1.572428,0.1932527,-0.1190117,1.674788,0.1817143,-0.4316407,1.66344,0.02749226,0.06800079,1.668762,0.1060061,-0.4208564,1.634232,-0.009582877,-0.1961216,1.689681,0.3996448,-0.1973871,1.651903,NA,NA,NotTracked,NotTracked,
1.044922,-0.3759766,0.1650391,1.0625,0.3251953,0.2236328,5,-6,0,-13,-4,2,12,2,30,-18,-3,-1,11,0,0,3,92.5,92.5,92.5,-68.1875,-68.1875,-68.1875,3.522702,3.252338,6.980037,6.273098,3.300206,7.287775,0.003952937,-0.4885072,1.585388,0.3565945,-0.4831078,1.541465,0.2090194,0.3333619,1.664112,-0.03550452,-0.4854839,1.583464,0.387914,-0.4947712,1.537611,0.1933021,-0.1189589,1.674735,0.1819823,-0.431603,1.662957,0.02751138,0.06801208,1.669062,0.1062492,-0.4208487,1.633777,-0.01046958,-0.1965723,1.693429,0.40132,-0.1972636,1.655255,NA,NA,NotTracked,NotTracked,
0.9736328,-0.5483398,0.4936523,0.9287109,0.4716797,0.5576172,-2,2,27,-3,-5,-3,6,4,5,19,15,3,17,3,3,8,49.6875,49.6875,49.6875,-63.5625,-63.5625,-63.5625,3.647727,3.392334,7.001385,6.185666,3.468599,7.210435,-0.001177471,-0.4562362,1.564873,0.3582799,-0.435711,1.520174,0.2090894,0.3335464,1.66471,-0.01501118,-0.4343827,1.528201,0.3386064,-0.4781139,1.5385,0.19341,-0.1187872,1.674618,0.1824185,-0.4314142,1.662639,0.02802164,0.06829241,1.669484,0.1066672,-0.4208089,1.633451,-0.01539297,-0.195312,1.704488,0.4056881,-0.1940542,1.666769,NA,NA,NotTracked,NotTracked,
0.7729492,-0.3964844,0.5371094,0.7524414,0.4375,0.7133789,4,12,-2,-6,5,8,11,14,-17,-7,-1,-6,-2,-13,-6,-12,63.0625,63.0625,63.0625,-75.375,-75.375,-75.375,3.809701,3.560235,6.945272,6.064629,3.6646,7.204851,-0.009754446,-0.4157149,1.547686,0.3580406,-0.3955342,1.505216,0.2091047,0.3336037,1.664782,-0.02485158,-0.3846794,1.498241,0.3326093,-0.4066668,1.529543,0.1934552,-0.1184574,1.674388,0.1824055,-0.4307855,1.662106,0.02861861,0.06901448,1.670869,0.1065805,-0.4202233,1.632995,-0.02178635,-0.1859316,1.717579,0.4101813,-0.1863586,1.677326,NA,NA,NotTracked,NotTracked,
0.7480469,-0.3647461,0.5908203,0.6113281,0.4443359,0.6704102,1,2,13,7,2,6,-5,2,-33,-26,-21,-27,-1,-6,-10,-24,61.0625,61.0625,61.0625,-33.4375,-33.4375,-33.4375,3.958093,3.802591,6.91642,5.972292,3.873515,7.220435,0.002211976,-0.3808122,1.532449,0.3391289,-0.3512038,1.472761,0.209116,0.3336784,1.66478,-0.04239999,-0.3293273,1.492488,0.2918419,-0.3911498,1.510709,0.1934276,-0.1177133,1.673738,0.1822735,-0.4290108,1.660402,0.02920527,0.07058526,1.672408,0.1062446,-0.4188015,1.631664,-0.03027529,-0.1607498,1.735982,0.4179085,-0.1686961,1.687709,NA,NA,NotTracked,NotTracked,
0.6738281,-0.3261719,0.574707,0.6484375,0.3540039,0.6811523,-2,-7,-26,-1,0,4,11,6,-8,-3,-5,15,3,-14,1,14,76.3125,76.3125,76.3125,-45.375,-45.375,-45.375,4.020118,3.985249,7.004089,5.89455,4.120776,7.179408,-0.02907948,-0.3062965,1.500379,0.3717664,-0.2765348,1.445275,0.2091354,0.3337443,1.664761,-0.06412379,-0.2678051,1.482588,0.3165054,-0.2951601,1.4175,0.1936353,-0.1168492,1.673349,0.1826867,-0.4272552,1.659555,0.03020776,0.07234151,1.673857,0.1064326,-0.4171287,1.630939,-0.03313064,-0.1469416,1.745012,0.4227321,-0.1538655,1.693621,NA,NA,Unknown,Unknown,
0.3955078,-0.4257813,0.5625,0.4301758,0.418457,0.6289063,1,-4,-12,-7,-1,-4,-15,10,30,20,5,7,3,-11,-2,-2,52.8125,52.8125,52.8125,-57.8125,-57.8125,-57.8125,4.017986,4.137415,7.19072,5.880322,4.278321,7.018628,-0.07324711,-0.2381532,1.509976,0.4267054,-0.220181,1.433112,0.2091537,0.3338108,1.664456,-0.1258928,-0.2107209,1.4826,0.3519573,-0.2331175,1.4139,0.1937108,-0.1159021,1.672722,0.1827637,-0.4252497,1.658646,0.03167368,0.07518873,1.674893,0.1061984,-0.4151711,1.630386,-0.03120595,-0.1345361,1.754638,0.4243394,-0.1458929,1.697985,NA,NA,Unknown,Unknown,
0.1791992,-0.2543945,0.737793,0.2485352,0.3696289,0.6518555,-1,3,-15,-3,1,7,2,-4,-31,-14,-4,-9,-8,-6,2,-6,21.75,21.75,21.75,-25.8125,-25.8125,-25.8125,4.000958,4.150559,7.397366,5.919076,4.343131,6.788697,-0.1171533,-0.2162818,1.525808,0.4714433,-0.2033072,1.453527,0.2088686,0.33412,1.663578,-0.1754673,-0.1839885,1.509905,0.5231318,-0.1659355,1.420964,0.1936859,-0.1145627,1.671351,0.1823062,-0.4230632,1.657279,0.03275586,0.07771551,1.675964,0.1056258,-0.4131471,1.629845,-0.03039602,-0.1267636,1.764081,0.429019,-0.1370618,1.70856,NA,NA,Unknown,Unknown,
0.3803711,-0.3198242,0.8027344,0.08007813,0.1376953,0.8803711,-3,4,-42,-6,-4,-3,3,28,21,7,9,6,-1,14,6,7,8.4375,8.4375,8.4375,7.5,7.5,7.5,4.072978,4.058342,7.357102,5.962894,4.279496,6.614738,-0.1259569,-0.2397403,1.54042,0.4888108,-0.2264027,1.461317,0.2087254,0.3342361,1.663235,-0.1840695,-0.2118137,1.526829,0.5446542,-0.1878513,1.430679,0.1936776,-0.1135637,1.670595,0.1821537,-0.4213221,1.656381,0.0336501,0.0796168,1.677038,0.1053755,-0.4113765,1.629215,-0.02912721,-0.1256332,1.769549,0.4310664,-0.1374164,1.712713,NA,NA,Unknown,Unknown,
