ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8896484,-0.4833984,0.1162109,0.8666992,0.4145508,0.1694336,-5,-2,-18,-5,-7,8,-1,-24,2,2,-1,-1,2,-1,-2,1,-2.375,-2.375,-2.375,-3.8125,-3.8125,-3.8125,2.838284,3.314028,5.23123,7.048541,3.252717,3.617229,-0.1553567,-0.3999709,1.611851,0.3585036,-0.4412589,1.5521,0.1241037,0.3952757,1.724071,-0.1869907,-0.3997482,1.583938,0.3920211,-0.4404389,1.538465,0.1072854,-0.07553553,1.73113,0.09360929,-0.4027869,1.709564,-0.06344404,0.1230081,1.736423,0.007914359,-0.3936343,1.679917,-0.1305698,-0.1279342,1.754645,0.3431793,-0.1486186,1.69071,NA,NA,NotTracked,Unknown,
0.8461914,-0.4731445,0.1523438,0.84375,0.4492188,0.1640625,3,1,33,-7,-8,-16,-8,6,-1,-2,0,1,2,-1,1,-1,-1.25,-1.25,-1.25,2.5625,2.5625,2.5625,2.851138,3.314012,5.225371,7.054287,3.253262,3.614984,-0.1545442,-0.3988475,1.612298,0.3597506,-0.4387619,1.551457,0.1244626,0.3957699,1.724859,-0.1905684,-0.393333,1.604259,0.3916807,-0.4381589,1.535042,0.1073793,-0.07534134,1.731581,0.09370992,-0.4026026,1.709954,-0.06335191,0.123174,1.736745,0.008043961,-0.3934781,1.680283,-0.1307328,-0.1267102,1.754922,0.3434044,-0.1484727,1.690952,NA,NA,NotTracked,Unknown,
0.887207,-0.4418945,0.07470703,0.8833008,0.4023438,0.1337891,2,-4,-16,-14,-1,-4,5,29,1,-3,0,1,1,-2,-4,-2,2.625,2.625,2.625,-3.6875,-3.6875,-3.6875,2.852544,3.31013,5.227545,7.063118,3.246403,3.597249,-0.1551845,-0.3998531,1.614654,0.3601905,-0.4399978,1.553014,0.124623,0.3962358,1.725384,-0.1900707,-0.3942923,1.60482,0.3917991,-0.4398016,1.534952,0.1075055,-0.07497431,1.731977,0.09378917,-0.4022465,1.71027,-0.06309415,0.1236741,1.737151,0.008111846,-0.3930993,1.680571,-0.1307846,-0.1246275,1.755818,0.3436847,-0.1472336,1.691233,NA,NA,NotTracked,Unknown,
0.8920898,-0.4951172,0.04589844,0.8793945,0.4150391,0.125,5,-2,16,-9,1,-4,-17,-19,-1,1,-2,3,-1,5,1,1,-8,-8,-8,3.0625,3.0625,3.0625,2.803283,3.305791,5.261142,7.08106,3.234855,3.579633,-0.1602412,-0.4025994,1.617449,0.3615081,-0.4425451,1.555807,0.1247363,0.3964436,1.726048,-0.1948306,-0.393523,1.606342,0.3938343,-0.4393724,1.54232,0.1076912,-0.0747603,1.732514,0.09403527,-0.4021159,1.710586,-0.06278551,0.1237152,1.737861,0.008308748,-0.3929469,1.680944,-0.1316893,-0.12386,1.756154,0.3437313,-0.1473899,1.691306,NA,NA,NotTracked,Unknown,
0.8657227,-0.4526367,0.0859375,0.878418,0.4277344,0.1445313,30,3,11,-2,-3,1,10,33,-1,-6,-4,-3,-5,5,4,-1,13.875,13.875,13.875,1.6875,1.6875,1.6875,2.785276,3.308774,5.302776,7.082775,3.234303,3.581927,-0.1671254,-0.4018239,1.619825,0.3616871,-0.4430616,1.556757,0.1248948,0.3961481,1.727405,-0.2068229,-0.3965805,1.618917,0.3934687,-0.4394577,1.543498,0.1078273,-0.07492178,1.73323,0.09418185,-0.4022662,1.711078,-0.062433,0.1233613,1.738892,0.008421623,-0.3930518,1.681369,-0.1335106,-0.1238696,1.75766,0.3439494,-0.14765,1.691605,NA,NA,NotTracked,Unknown,
0.8544922,-0.519043,0.1518555,0.9711914,0.4101563,0.1298828,0,-3,11,0,0,1,11,-4,0,0,4,9,3,-2,2,-1,-3.875,-3.875,-3.875,-8.3125,-8.3125,-8.3125,2.768622,3.312152,5.317708,7.043565,3.247949,3.615561,-0.1683065,-0.3985821,1.616608,0.3602987,-0.4405407,1.556455,0.1249133,0.3960857,1.728172,-0.2002429,-0.3965783,1.580158,0.393184,-0.4398656,1.541773,0.1077653,-0.07495394,1.733776,0.09423093,-0.4023016,1.711403,-0.06214418,0.123479,1.739696,0.008465366,-0.3930551,1.6816,-0.1352388,-0.1226869,1.759853,0.344233,-0.147789,1.692257,NA,NA,NotTracked,Unknown,
0.9912109,-0.5927734,0.2294922,0.9414063,0.487793,0.2827148,0,-4,-5,1,9,-7,-4,-5,-5,-12,6,8,1,1,-5,-2,25.0625,25.0625,25.0625,18.8125,18.8125,18.8125,2.876704,3.38933,5.248308,6.878942,3.340188,3.810966,-0.1558934,-0.3786397,1.586083,0.3493513,-0.4261012,1.544393,0.124815,0.3963447,1.728526,-0.188553,-0.3725986,1.550091,0.3822269,-0.4320342,1.521267,0.1079648,-0.074612,1.734163,0.09465761,-0.4019219,1.711842,-0.06212141,0.1241845,1.74102,0.008848644,-0.3927621,1.682056,-0.1361675,-0.1210343,1.761953,0.3455067,-0.1470532,1.693866,NA,NA,NotTracked,Unknown,
0.7993164,-0.8095703,0.4580078,0.8554688,0.6074219,0.3291016,4,7,29,5,14,-5,8,-4,0,4,7,3,-2,5,2,1,-7.375,-7.375,-7.375,32.25,32.25,32.25,3.04164,3.572211,5.066838,6.762216,3.494704,4.008745,-0.1112316,-0.3407653,1.555256,0.328433,-0.3963555,1.523522,0.1245987,0.3965414,1.728648,-0.1408709,-0.3201095,1.491585,0.3540256,-0.4124891,1.488124,0.1080747,-0.07429384,1.73463,0.09489903,-0.4015457,1.712463,-0.06194011,0.1248278,1.742233,0.009082409,-0.3923973,1.682721,-0.1350317,-0.1149806,1.763169,0.3479129,-0.1424315,1.698469,NA,NA,Unknown,NotTracked,
0.5600586,-0.7587891,0.375,0.7700195,0.6801758,0.3354492,11,2,20,6,-4,24,26,12,14,-18,-11,18,4,-1,-11,-4,-12.4375,-12.4375,-12.4375,26.125,26.125,26.125,3.216911,3.929937,4.817434,6.701584,3.713276,4.151186,-0.08350316,-0.2766066,1.49174,0.2932159,-0.3616138,1.505387,0.1242009,0.3965031,1.729146,-0.03777498,-0.296616,1.484105,0.3243259,-0.3260997,1.494924,0.1083695,-0.07419233,1.735415,0.09568535,-0.4013267,1.713445,-0.06228139,0.1249483,1.743837,0.01001901,-0.3923178,1.683609,-0.1302112,-0.102017,1.761005,0.3496414,-0.1315534,1.706844,NA,NA,Unknown,NotTracked,
0.6938477,-0.7797852,0.4179688,0.5708008,0.8222656,0.4956055,6,-5,4,9,11,22,11,5,-25,-22,-16,-8,-5,-3,10,-12,18.125,18.125,18.125,13.6875,13.6875,13.6875,3.311578,4.210726,4.683611,6.680312,4.09009,4.259821,-0.0497937,-0.2085892,1.457969,0.2663598,-0.2970484,1.473783,0.123688,0.3960926,1.729962,0.01066998,-0.2401555,1.567,0.2811742,-0.286521,1.428891,0.1079998,-0.07440398,1.736207,0.09502202,-0.4014244,1.714216,-0.06234358,0.1249607,1.74462,0.009584211,-0.3923945,1.684361,-0.1238191,-0.09022284,1.754886,0.3530971,-0.1136246,1.713108,NA,NA,Closed,Closed,
