ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9345703,-0.3295898,0.1074219,0.9448242,0.2563477,0.1416016,0,-2,0,1,0,-1,0,-2,-1,4,2,0,-3,-7,-1,-1,-1,-1,-1,-0.5625,-0.5625,-0.5625,3.067531,3.072519,4.465815,6.918527,2.974946,1.06261,-0.08975271,-0.4273183,1.632259,0.2923963,-0.4366179,1.608611,0.1316872,0.4040307,1.704534,-0.13305,-0.4316172,1.635,0.3289502,-0.4071779,1.6132,0.1147782,-0.06479327,1.713272,0.1029215,-0.3931454,1.6966,-0.05934683,0.1333153,1.705714,0.01703921,-0.3838229,1.665747,-0.1001697,-0.1418501,1.724695,0.3331724,-0.1297897,1.687567,NA,NA,NotTracked,NotTracked,
0.934082,-0.331543,0.1152344,0.9223633,0.2529297,0.1186523,-1,-1,4,0,-2,0,-1,2,-3,-1,-1,-6,-4,-4,4,-2,-1.0625,-1.0625,-1.0625,-20.8125,-20.8125,-20.8125,3.06578,3.071926,4.466389,6.926201,2.972825,1.026763,-0.08996564,-0.4264318,1.632192,0.2924964,-0.4376301,1.608792,0.1317252,0.4040017,1.704482,-0.1322594,-0.4172131,1.638008,0.3248545,-0.4358685,1.611273,0.1147005,-0.06480666,1.7131,0.1028186,-0.3931103,1.696455,-0.05941745,0.133339,1.705484,0.01691566,-0.3837843,1.665622,-0.1001503,-0.1417262,1.724524,0.3329857,-0.1298579,1.687401,NA,NA,NotTracked,NotTracked,
0.9257813,-0.3256836,0.109375,0.9614258,0.2734375,0.1328125,-3,-1,-1,-1,-2,-2,-1,-2,1,-1,-2,-1,-4,-2,-2,2,-0.625,-0.625,-0.625,1.9375,1.9375,1.9375,3.065811,3.072436,4.467091,6.938763,2.960381,1.005511,-0.09005846,-0.4266097,1.631149,0.2929475,-0.4379192,1.608474,0.1318592,0.4040049,1.704126,-0.1343803,-0.4166901,1.641377,0.3226118,-0.4550894,1.6013,0.1146376,-0.06480591,1.712989,0.1027277,-0.3931139,1.696388,-0.05943798,0.133428,1.705349,0.01684816,-0.3837696,1.665577,-0.1000356,-0.1423375,1.723952,0.3329783,-0.1297394,1.687264,NA,NA,NotTracked,NotTracked,
0.925293,-0.3129883,0.1245117,0.9355469,0.2094727,0.1103516,-1,1,1,-4,-3,-3,0,-2,0,1,2,0,0,-2,0,-3,-1.4375,-1.4375,-1.4375,-20,-20,-20,3.065969,3.071112,4.465899,6.925185,2.954008,0.9855776,-0.08999978,-0.4272333,1.631863,0.2931843,-0.438742,1.610273,0.1319233,0.4040066,1.703958,-0.1354139,-0.4431714,1.646,0.3251466,-0.4426396,1.608072,0.114601,-0.064775,1.712811,0.1026265,-0.3930879,1.69617,-0.0594392,0.1335647,1.704981,0.01671437,-0.3837399,1.665253,-0.1000554,-0.1423831,1.723699,0.3325469,-0.13034,1.687336,NA,NA,NotTracked,NotTracked,
0.9472656,-0.3349609,0.1162109,0.9350586,0.4506836,0.05224609,-2,-2,-3,-1,-2,-2,0,-1,5,-7,-8,-7,-11,1,0,4,2.8125,2.8125,2.8125,-1.375,-1.375,-1.375,3.065467,3.069374,4.46973,6.958403,2.961569,0.9688632,-0.09009078,-0.4267613,1.631401,0.2929698,-0.437948,1.60976,0.1320175,0.4039429,1.703572,-0.1328364,-0.4240338,1.633818,0.3240407,-0.4431231,1.606,0.1145825,-0.06475174,1.712552,0.1025782,-0.393075,1.695996,-0.05945594,0.1335734,1.70472,0.01666864,-0.3837173,1.665122,-0.1000003,-0.1423933,1.723555,0.3321215,-0.130565,1.687405,NA,NA,NotTracked,NotTracked,
0.9296875,-0.3408203,0.1147461,1.166992,0.4428711,0.1074219,-2,-2,-3,-2,-1,-1,-1,0,-2,6,31,3,9,1,11,16,-0.5625,-0.5625,-0.5625,-107.375,-107.375,-107.375,3.06214,3.06718,4.473789,6.782139,3.124399,0.984468,-0.08933973,-0.4331483,1.631003,0.2925292,-0.436864,1.604941,0.132066,0.4039623,1.703373,-0.1342057,-0.4222398,1.642429,0.3298046,-0.4026681,1.606,0.1145437,-0.064748,1.712348,0.1024993,-0.3930786,1.6959,-0.05945808,0.1335472,1.704154,0.01657837,-0.383695,1.664966,-0.1000495,-0.1424443,1.723424,0.3321952,-0.130583,1.687316,NA,NA,NotTracked,NotTracked,
0.9418945,-0.3398438,0.1264648,0.8686523,0.7001953,0.4267578,-2,2,-1,-4,-1,-1,-1,0,-13,-12,-12,18,-2,-5,10,2,3.25,3.25,3.25,93.125,93.125,93.125,3.063288,3.069785,4.474895,6.728646,3.400575,1.049809,-0.09011296,-0.4287609,1.629907,0.2743375,-0.4297816,1.561318,0.1321684,0.4038743,1.702844,-0.1333593,-0.4242411,1.633077,0.3109615,-0.4095294,1.546931,0.1141732,-0.06473029,1.711755,0.1019848,-0.3930974,1.695422,-0.0596749,0.1334931,1.703448,0.01582469,-0.3834965,1.663978,-0.1001133,-0.1426685,1.722972,0.3387979,-0.1265398,1.685021,NA,NA,NotTracked,NotTracked,
0.9169922,-0.3515625,0.1289063,0.512207,0.8876953,0.5209961,-3,-7,-1,-1,-2,1,-1,-1,7,-1,-25,8,-2,-8,1,1,-17.625,-17.625,-17.625,-30.625,-30.625,-30.625,3.062501,3.059033,4.456233,6.790989,4.010927,1.106249,-0.08998082,-0.429597,1.630243,0.222647,-0.3561153,1.491357,0.1322553,0.4038225,1.702335,-0.1335963,-0.4184366,1.638982,0.2382718,-0.3539127,1.451124,0.1117086,-0.06472047,1.710952,0.0942969,-0.3928797,1.694311,-0.05959026,0.1334895,1.702664,0.007773161,-0.381653,1.662612,-0.1002805,-0.1421847,1.722516,0.3540184,-0.09813537,1.676051,NA,NA,NotTracked,Unknown,
0.9213867,-0.3574219,0.1538086,0.2216797,0.7006836,0.496582,-1,2,-6,-1,-1,0,0,-1,9,7,-6,-7,13,22,7,12,-16.9375,-16.9375,-16.9375,46.4375,46.4375,46.4375,3.056652,3.057185,4.442055,6.747476,4.489913,1.230748,-0.09006339,-0.4264698,1.629279,0.1508688,-0.2497941,1.452634,0.1322764,0.403807,1.702285,-0.1339059,-0.4180123,1.639168,0.1580788,-0.2273186,1.404658,0.1112775,-0.06464098,1.710794,0.09355012,-0.3928331,1.694099,-0.0594689,0.133246,1.701825,0.007089302,-0.3812818,1.662489,-0.1003572,-0.1402048,1.721638,0.3624995,-0.1130492,1.633722,NA,NA,NotTracked,Unknown,
0.9614258,-0.2617188,0.1254883,0.078125,0.9125977,0.5458984,-2,-3,-7,-2,0,0,0,0,-11,-4,4,-17,-17,3,-17,-33,4.5625,4.5625,4.5625,18.25,18.25,18.25,3.086318,3.073897,4.411312,6.774623,4.897747,1.38107,-0.08857015,-0.4245703,1.625902,0.1183501,-0.1261124,1.443288,0.1323125,0.4038039,1.702325,-0.1272905,-0.4386446,1.6222,0.1134164,-0.1765471,1.513654,0.111421,-0.0643397,1.710915,0.09444141,-0.3920594,1.69415,-0.05830722,0.1330551,1.700759,0.008035159,-0.3809043,1.662817,-0.1001139,-0.1388505,1.720689,0.3625591,-0.0892463,1.633128,NA,NA,NotTracked,Unknown,
