ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9462891,-0.3305664,0.078125,0.9091797,0.3520508,0.15625,-2,1,-2,0,0,0,-3,-2,-4,-2,-1,0,-2,-2,0,-2,-0.625,-0.625,-0.625,0.1875,0.1875,0.1875,2.888356,3.045711,7.611711,6.827703,3.140008,3.389503,-0.09401201,-0.4367409,1.631781,0.2978256,-0.4469432,1.569981,0.1541116,0.4046682,1.720026,-0.04293428,-0.4263751,1.611341,0.3362365,-0.4421634,1.553119,0.1263759,-0.06578761,1.727143,0.111426,-0.3974172,1.709107,-0.04188083,0.1329194,1.703742,0.02555166,-0.3866287,1.676826,-0.09169111,-0.1410274,1.717689,0.3418516,-0.1407165,1.681084,NA,NA,NotTracked,Unknown,
0.9399414,-0.3261719,0.07763672,0.8945313,0.355957,0.1577148,-2,-2,-2,-1,-3,-1,-2,-1,1,6,-1,-1,-1,-1,0,-2,-0.3125,-0.3125,-0.3125,-0.6875,-0.6875,-0.6875,2.885484,3.04319,7.613527,6.82614,3.140252,3.391904,-0.09415393,-0.4374542,1.632175,0.2973632,-0.447237,1.569439,0.1539231,0.4046387,1.719307,-0.04283346,-0.4338255,1.611839,0.3427467,-0.4329765,1.567589,0.1262969,-0.06581434,1.726848,0.1114194,-0.3974419,1.709042,-0.04198035,0.1330739,1.703255,0.02552966,-0.3866497,1.676747,-0.09168721,-0.1408306,1.717555,0.3418746,-0.1407481,1.680774,NA,NA,NotTracked,Unknown,
0.9404297,-0.331543,0.08154297,0.9008789,0.355957,0.1582031,-1,-1,-2,-2,-1,0,-1,-1,1,-3,-2,-3,-3,-1,0,-1,-0.9375,-0.9375,-0.9375,-0.4375,-0.4375,-0.4375,2.882298,3.041078,7.61609,6.825997,3.140752,3.392045,-0.09470495,-0.437652,1.634244,0.2969786,-0.447577,1.56928,0.153855,0.4043402,1.718642,-0.04284451,-0.4279137,1.611524,0.3338597,-0.4390353,1.550188,0.1262438,-0.06586489,1.726693,0.1113894,-0.3974692,1.708976,-0.04211045,0.1330955,1.703006,0.02547608,-0.3867058,1.676657,-0.09170863,-0.140837,1.717545,0.3418606,-0.1407791,1.680451,NA,NA,NotTracked,Unknown,
0.9384766,-0.3276367,0.08056641,0.8984375,0.3486328,0.1542969,0,-1,-1,-2,-1,0,-2,-4,-1,-2,-1,0,0,1,0,1,-0.1875,-0.1875,-0.1875,-0.5,-0.5,-0.5,2.87866,3.039936,7.61885,6.826578,3.140376,3.391475,-0.09484509,-0.437761,1.634082,0.2972411,-0.446914,1.569502,0.1536989,0.4042554,1.717991,-0.04314634,-0.4421562,1.612222,0.3429761,-0.4318459,1.569706,0.1260562,-0.06586609,1.726453,0.1113089,-0.3974621,1.708905,-0.04227669,0.1332666,1.702501,0.02538917,-0.3867184,1.676609,-0.09185138,-0.1408747,1.717376,0.3417811,-0.1411952,1.679873,NA,NA,NotTracked,Unknown,
0.9389648,-0.3339844,0.08300781,0.8950195,0.3554688,0.1572266,-3,-1,-3,-2,-1,-2,-1,-2,-1,-1,-3,0,1,-1,-2,1,-0.25,-0.25,-0.25,-0.0625,-0.0625,-0.0625,2.87763,3.040316,7.619326,6.826215,3.141329,3.391007,-0.09523072,-0.4357855,1.633,0.2961237,-0.4465097,1.56766,0.1535412,0.4044246,1.71737,-0.04290738,-0.4217502,1.609744,0.3415115,-0.4374739,1.565139,0.1258592,-0.06573462,1.726101,0.1112421,-0.3974091,1.708783,-0.04233903,0.1335874,1.701867,0.02529352,-0.3866768,1.676479,-0.09211209,-0.140945,1.717187,0.3417092,-0.140974,1.679497,NA,NA,NotTracked,Unknown,
0.9423828,-0.3178711,0.078125,0.9038086,0.3344727,0.1625977,-2,-1,-1,-1,-2,-3,-2,-1,-1,0,-2,0,0,-2,-1,-1,-0.6875,-0.6875,-0.6875,-2,-2,-2,2.875818,3.040955,7.620874,6.823828,3.141682,3.390164,-0.09564281,-0.4362999,1.635052,0.2967964,-0.4448372,1.569705,0.1535173,0.4044659,1.717047,-0.04314356,-0.42781,1.612832,0.3406492,-0.4367895,1.56454,0.1257323,-0.06562149,1.725996,0.1111103,-0.3972737,1.708796,-0.0425395,0.1339339,1.701593,0.02516017,-0.3865535,1.67648,-0.09228465,-0.140968,1.717049,0.3416878,-0.1408863,1.679248,NA,NA,NotTracked,Unknown,
0.9306641,-0.331543,0.07763672,0.8984375,0.3579102,0.1499023,-3,0,-4,-3,-1,-2,-2,0,1,-1,-1,-2,1,0,0,0,1.5625,1.5625,1.5625,-0.625,-0.625,-0.625,2.871189,3.042657,7.624702,6.828228,3.143177,3.387186,-0.09628994,-0.4368684,1.634384,0.2963203,-0.4456397,1.569633,0.1534233,0.4044543,1.716836,-0.04333278,-0.4237831,1.612469,0.3408436,-0.4435509,1.564927,0.1255828,-0.06556435,1.725883,0.1109852,-0.3971677,1.708776,-0.04276751,0.1341433,1.70153,0.02502984,-0.3864693,1.676457,-0.09249081,-0.1409159,1.716983,0.3415596,-0.1408497,1.679138,NA,NA,NotTracked,Unknown,
0.9365234,-0.3242188,0.0859375,0.9057617,0.3603516,0.15625,1,1,-1,0,0,-1,1,-2,3,-1,0,0,1,1,-1,0,-2.75,-2.75,-2.75,-0.75,-0.75,-0.75,2.868055,3.04355,7.626873,6.827408,3.144755,3.385644,-0.09700036,-0.4367442,1.634732,0.2962993,-0.4459203,1.569154,0.1533888,0.4043872,1.716717,-0.04350437,-0.422739,1.612719,0.3418785,-0.4395064,1.566861,0.1254809,-0.06559817,1.725872,0.1107922,-0.3972255,1.708833,-0.04281134,0.134157,1.7015,0.02482529,-0.3865494,1.676508,-0.09273414,-0.1408121,1.716857,0.3414095,-0.1408617,1.678993,NA,NA,NotTracked,Unknown,
0.9375,-0.3183594,0.06933594,0.8935547,0.3481445,0.1499023,-1,-3,-2,-1,-2,-2,-1,0,-4,1,-1,-2,-1,0,0,-5,-0.4375,-0.4375,-0.4375,-1.3125,-1.3125,-1.3125,2.869833,3.043206,7.626637,6.824906,3.145012,3.385054,-0.09726506,-0.4367295,1.634257,0.2958938,-0.4451634,1.568586,0.1533919,0.4043745,1.716646,-0.04383974,-0.4281256,1.612108,0.3391153,-0.4293674,1.563218,0.125384,-0.06559777,1.725827,0.1106789,-0.3971952,1.708807,-0.04290726,0.1343188,1.701407,0.02466249,-0.3864991,1.676449,-0.09296835,-0.1406926,1.716779,0.3413024,-0.140628,1.6789,NA,NA,NotTracked,Unknown,
0.9331055,-0.3300781,0.07666016,0.8959961,0.3579102,0.1616211,-2,-4,-3,0,-3,-2,-2,0,4,-1,-1,-1,-1,-1,0,2,-1.8125,-1.8125,-1.8125,0.25,0.25,0.25,2.869942,3.043255,7.623285,6.824906,3.145012,3.385054,-0.09745666,-0.4358483,1.635162,0.2963204,-0.4452,1.569613,0.1533697,0.4044381,1.716589,-0.04356538,-0.4259607,1.612788,0.3428943,-0.4402856,1.571461,0.1253643,-0.06555048,1.725803,0.1104896,-0.3970843,1.70882,-0.0429523,0.1344406,1.70128,0.0244322,-0.3863319,1.676394,-0.09324462,-0.1405865,1.716656,0.3412048,-0.1405665,1.678833,NA,NA,NotTracked,Unknown,
