ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9238281,-0.34375,0.1513672,0.9179688,0.3149414,0.1445313,-1,-2,0,-1,-2,-2,0,-1,1,-1,1,-1,1,4,-3,2,0.125,0.125,0.125,-1.75,-1.75,-1.75,3.159605,3.102854,6.954427,6.771119,3.066512,3.687433,-0.03394112,-0.4162977,1.673291,0.3308428,-0.4198585,1.649532,0.1763541,0.4080747,1.777275,-0.08304954,-0.4388082,1.685883,0.3765696,-0.4284261,1.639685,0.1610492,-0.05444765,1.780354,0.15382,-0.3835178,1.765252,-0.01382143,0.1402031,1.756332,0.06649449,-0.3747001,1.735138,-0.05282475,-0.1323708,1.764113,0.3702877,-0.1222951,1.739191,NA,NA,NotTracked,NotTracked,
0.9243164,-0.3457031,0.1538086,0.9165039,0.3198242,0.1445313,0,-1,-1,-1,-3,-2,0,-1,-3,0,-3,-3,-1,6,-2,0,-0.9375,-0.9375,-0.9375,-1.75,-1.75,-1.75,3.159868,3.103374,6.954164,6.771319,3.067524,3.685524,-0.03439942,-0.4161966,1.672886,0.3308653,-0.4192995,1.648378,0.176351,0.4080786,1.777291,-0.0835712,-0.4267753,1.688101,0.3757768,-0.4311488,1.636711,0.1610481,-0.05448,1.780331,0.1538529,-0.3835728,1.765151,-0.01404994,0.139848,1.75652,0.06652713,-0.374788,1.735031,-0.05282191,-0.1324193,1.764116,0.3702321,-0.1221084,1.739332,NA,NA,NotTracked,NotTracked,
0.9238281,-0.3427734,0.1435547,0.9277344,0.2993164,0.144043,-2,-1,0,-1,-1,-1,0,-2,-1,-1,-1,1,-1,5,-1,0,-0.0625,-0.0625,-0.0625,1.75,1.75,1.75,3.159868,3.103374,6.954164,6.77124,3.068106,3.685697,-0.03402118,-0.4162744,1.673137,0.3306398,-0.4195449,1.648993,0.1763368,0.4081235,1.777391,-0.08400752,-0.434758,1.690915,0.3763375,-0.4297177,1.637887,0.1610318,-0.05450476,1.780388,0.153864,-0.3835874,1.765177,-0.01403626,0.1398483,1.75651,0.06652842,-0.3748037,1.735062,-0.05278896,-0.1325951,1.7642,0.3702246,-0.1218067,1.739691,NA,NA,NotTracked,NotTracked,
0.9296875,-0.3383789,0.1547852,0.9111328,0.2963867,0.1499023,-1,-2,-1,-2,-1,-1,-1,0,-1,-1,0,0,-2,-4,-2,-2,-0.4375,-0.4375,-0.4375,0.1875,0.1875,0.1875,3.159646,3.104024,6.953686,6.770183,3.069269,3.689858,-0.03336238,-0.4189333,1.672443,0.3306726,-0.4193129,1.648953,0.1763977,0.4081054,1.777494,-0.08282618,-0.4343464,1.683183,0.3760085,-0.4307402,1.637612,0.1610036,-0.05456308,1.780417,0.1538385,-0.3836371,1.765199,-0.01403067,0.1398609,1.756529,0.06650712,-0.3748508,1.735081,-0.05279773,-0.1326519,1.76419,0.3702333,-0.1218322,1.739911,NA,NA,NotTracked,NotTracked,
0.9326172,-0.3349609,0.1469727,0.9174805,0.3046875,0.1474609,0,-1,1,-1,1,1,-2,-1,-1,-1,-2,0,-1,1,-2,-2,1.1875,1.1875,1.1875,-2.875,-2.875,-2.875,3.161486,3.103139,6.953522,6.76931,3.067535,3.687846,-0.03365088,-0.4188754,1.672367,0.330843,-0.4197912,1.649496,0.1764022,0.4081315,1.77755,-0.08223058,-0.442792,1.682615,0.3765291,-0.431315,1.638647,0.1610056,-0.05458141,1.780418,0.1538405,-0.3836404,1.765198,-0.01402843,0.139962,1.756612,0.06651316,-0.3748503,1.735074,-0.0528324,-0.1326103,1.764229,0.3702864,-0.1221768,1.740089,NA,NA,NotTracked,NotTracked,
0.921875,-0.3442383,0.1479492,0.9223633,0.3139648,0.1318359,-1,0,0,-1,0,-2,0,1,0,3,0,0,0,-2,-3,-4,0.4375,0.4375,0.4375,-2.75,-2.75,-2.75,3.161887,3.10275,6.953252,6.767233,3.067454,3.685127,-0.03337913,-0.4185804,1.672673,0.3307349,-0.4196683,1.649349,0.1764317,0.408125,1.777545,-0.08107216,-0.4286084,1.682039,0.3754171,-0.4285127,1.637109,0.1609515,-0.05460928,1.780365,0.1538095,-0.383639,1.76517,-0.01391201,0.14002,1.756478,0.06648001,-0.3748521,1.735036,-0.0528713,-0.1329661,1.764132,0.3703147,-0.1225405,1.740238,NA,NA,NotTracked,NotTracked,
0.9267578,-0.359375,0.1513672,1.012207,0.2929688,0.04394531,2,-2,-1,-1,-1,-2,1,-1,-6,-5,-13,-5,0,0,5,-2,0.6875,0.6875,0.6875,-57.75,-57.75,-57.75,3.158228,3.102777,6.955521,6.72104,3.115911,3.655412,-0.0337819,-0.4187679,1.673218,0.3296576,-0.4192331,1.648005,0.1764797,0.4081442,1.777759,-0.08197231,-0.4300618,1.682517,0.3758328,-0.4301247,1.637565,0.16097,-0.05465969,1.78041,0.1538114,-0.3836543,1.765191,-0.01386306,0.1400537,1.756508,0.06648119,-0.3748571,1.735056,-0.05278731,-0.1332683,1.764138,0.3706695,-0.1227943,1.740885,NA,NA,NotTracked,NotTracked,
0.9360352,-0.3383789,0.1416016,1.019043,0.4916992,0.3378906,-1,-2,0,-1,-1,-2,-2,-3,-5,-13,4,2,-1,3,6,1,2.5,2.5,2.5,-24.5625,-24.5625,-24.5625,3.160343,3.106171,6.957906,6.650072,3.234375,3.670803,-0.03351344,-0.4192738,1.671188,0.3180917,-0.4061892,1.633324,0.1765293,0.4081528,1.777729,-0.08224833,-0.4334897,1.682412,0.3578129,-0.4177469,1.611364,0.1609005,-0.05473043,1.780407,0.1534928,-0.3838089,1.765132,-0.01403076,0.1396117,1.756713,0.06617903,-0.3749685,1.735011,-0.05294438,-0.1316596,1.764106,0.3728855,-0.1210806,1.742039,NA,NA,NotTracked,NotTracked,
0.9267578,-0.3422852,0.1523438,0.8251953,0.6147461,0.4599609,-1,-1,-2,-1,0,-1,-3,-1,-9,14,8,5,2,-4,-6,2,-3.3125,-3.3125,-3.3125,0.3125,0.3125,0.3125,3.157677,3.104336,6.957756,6.541926,3.561991,3.756135,-0.03359544,-0.4190861,1.672858,0.2923549,-0.3772238,1.604535,0.1765472,0.4081552,1.777714,-0.08206515,-0.4349918,1.683228,0.3111163,-0.4332803,1.611,0.160121,-0.0547591,1.780453,0.1508056,-0.383909,1.764997,-0.01397881,0.1396305,1.7567,0.06322561,-0.3746365,1.734886,-0.0527167,-0.131651,1.764285,0.3809276,-0.1129573,1.745513,NA,NA,NotTracked,NotTracked,
0.9233398,-0.359375,0.1533203,0.6137695,0.7211914,0.519043,0,0,-1,-1,-1,0,-2,0,-3,0,16,9,2,0,-3,0,-5.75,-5.75,-5.75,-20.375,-20.375,-20.375,3.148677,3.099952,6.958188,6.511857,3.910245,3.781121,-0.0343257,-0.4199893,1.673778,0.2438785,-0.3144361,1.59616,0.1766161,0.4081061,1.777635,-0.08192562,-0.43133,1.682674,0.2771803,-0.3860611,1.621241,0.1588013,-0.05467233,1.780371,0.146625,-0.3833963,1.764703,-0.01388823,0.1396447,1.756665,0.05897389,-0.373354,1.734708,-0.05263603,-0.1307022,1.764452,0.3905015,-0.09308771,1.747493,NA,NA,NotTracked,Unknown,
