ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9443359,-0.2978516,0.09814453,0.9101563,0.3320313,0.1621094,0,-4,-1,-3,-2,-3,-3,-2,0,-1,0,-1,0,-2,0,-2,0.125,0.125,0.125,-0.375,-0.375,-0.375,2.98294,3.012521,7.203393,6.783176,3.094532,3.678983,-0.007689548,-0.4034117,1.578832,0.3422067,-0.4374179,1.512127,0.2099692,0.4122353,1.672971,0.03228579,-0.4052458,1.536344,0.3864296,-0.4380425,1.509585,0.1916644,-0.05886944,1.660508,0.1826509,-0.3896206,1.643006,0.01690649,0.1323867,1.64032,0.09465813,-0.3793617,1.612512,-0.02210821,-0.1345595,1.653195,0.3928905,-0.1271974,1.615358,NA,NA,NotTracked,NotTracked,
0.9433594,-0.3041992,0.1054688,0.9145508,0.3203125,0.15625,0,0,-2,-1,-2,-1,-2,0,1,0,-2,-3,-1,0,-1,0,2,2,2,-1.125,-1.125,-1.125,2.985017,3.013158,7.202705,6.778644,3.094955,3.680823,-0.007611222,-0.3999357,1.578869,0.3417377,-0.436733,1.511153,0.2100227,0.4121574,1.672627,0.03150858,-0.3858652,1.539,0.3868145,-0.446077,1.507976,0.191673,-0.05888613,1.660423,0.1826,-0.3896393,1.643055,0.01688735,0.1323043,1.640119,0.09456852,-0.379344,1.612623,-0.02212691,-0.1346712,1.653171,0.3928963,-0.127267,1.615278,NA,NA,NotTracked,NotTracked,
0.9545898,-0.2944336,0.08007813,0.9072266,0.3232422,0.1557617,-7,-21,-6,-4,-3,-5,-5,-3,-2,1,-2,-1,-1,0,0,1,-0.625,-0.625,-0.625,-1.375,-1.375,-1.375,2.984543,3.012579,7.203179,6.777616,3.09544,3.681308,-0.007219881,-0.4159406,1.577433,0.341666,-0.4343044,1.511865,0.2101198,0.4121641,1.67221,0.03112105,-0.4156417,1.534794,0.3866505,-0.4461254,1.509364,0.1916847,-0.05896907,1.660223,0.1825915,-0.3896749,1.643045,0.01669441,0.1321564,1.640157,0.0945472,-0.3793645,1.612586,-0.0221085,-0.1348684,1.653084,0.3928495,-0.1272326,1.615093,NA,NA,NotTracked,NotTracked,
0.9487305,-0.2929688,0.09082031,0.9155273,0.3168945,0.1533203,0,16,2,-1,-1,-1,-1,-1,-2,-3,-1,0,-1,-3,-2,-1,-0.875,-0.875,-0.875,0.75,0.75,0.75,2.984346,3.011923,7.202671,6.777594,3.095137,3.680912,-0.006536989,-0.4116077,1.577568,0.3410132,-0.4341166,1.511823,0.2101668,0.4122097,1.671982,0.03343279,-0.4022765,1.536667,0.3768714,-0.4333768,1.493511,0.1916583,-0.058994,1.660179,0.1825624,-0.3896936,1.643057,0.01670275,0.1323139,1.63981,0.09452354,-0.3793833,1.612591,-0.02217562,-0.1344137,1.653054,0.3928114,-0.1272414,1.615045,NA,NA,NotTracked,NotTracked,
0.9433594,-0.2919922,0.1020508,0.9106445,0.3208008,0.1499023,1,-5,-1,-1,-1,-1,2,-1,0,-2,-1,-1,0,0,0,0,0.5,0.5,0.5,-1.4375,-1.4375,-1.4375,2.984026,3.011308,7.202428,6.777359,3.094744,3.680404,-0.007607099,-0.4076466,1.577554,0.3412886,-0.4352486,1.51075,0.2102003,0.4122603,1.671811,0.03214298,-0.39577,1.536286,0.385618,-0.4291858,1.513,0.1916295,-0.05900753,1.660126,0.1825392,-0.3897333,1.643059,0.01646472,0.1321149,1.640085,0.09449826,-0.3794341,1.612581,-0.0221472,-0.1343907,1.653017,0.3927607,-0.1273555,1.614914,NA,NA,NotTracked,NotTracked,
0.9482422,-0.3037109,0.09716797,0.9135742,0.3569336,0.1279297,0,1,0,-1,-1,-2,1,1,3,1,1,1,2,0,0,1,0,0,0,-1.5,-1.5,-1.5,2.984827,3.011342,7.201628,6.779022,3.095746,3.677659,-0.007372721,-0.4076127,1.578767,0.3415363,-0.4357807,1.512036,0.2102118,0.4122987,1.671689,0.03253865,-0.4026285,1.536427,0.3808293,-0.4316005,1.502256,0.1916389,-0.05899009,1.66007,0.1825892,-0.3896981,1.643059,0.0162601,0.1319275,1.640272,0.09455536,-0.3794166,1.612565,-0.0222112,-0.1344523,1.652928,0.3927441,-0.1273822,1.614907,NA,NA,NotTracked,NotTracked,
0.9487305,-0.296875,0.09716797,1.04248,0.4423828,0.02246094,-2,-2,-3,0,-1,0,3,0,-7,6,0,-1,-2,2,3,-1,-0.5,-0.5,-0.5,-126.375,-126.375,-126.375,2.984827,3.011342,7.201628,6.71424,3.144438,3.612111,-0.007337399,-0.404031,1.578979,0.3405904,-0.4333226,1.510157,0.2102218,0.4123076,1.67133,0.03248331,-0.3998673,1.537537,0.3810834,-0.4314816,1.501816,0.1916312,-0.05899945,1.660029,0.1825804,-0.3897051,1.643078,0.01616444,0.131808,1.640374,0.09454753,-0.3794164,1.612587,-0.02227117,-0.13497,1.652866,0.3927542,-0.1272706,1.615098,NA,NA,NotTracked,NotTracked,
0.9560547,-0.2944336,0.09326172,1.021973,0.5332031,0.2490234,-4,-6,-1,-3,-1,-2,-4,0,-7,-10,-21,-2,0,-2,-8,-2,0.625,0.625,0.625,-52.875,-52.875,-52.875,2.984351,3.010761,7.202104,6.597448,3.281672,3.581956,-0.006844394,-0.4039456,1.578229,0.3334946,-0.4210907,1.493439,0.2102853,0.4122879,1.670946,0.03273886,-0.4140355,1.534627,0.3697445,-0.4565187,1.469167,0.1916409,-0.05900311,1.659911,0.182543,-0.3896938,1.643085,0.01637371,0.1320478,1.63984,0.09447964,-0.3794053,1.612532,-0.02227032,-0.1351418,1.652726,0.3941769,-0.1261996,1.61687,NA,NA,NotTracked,NotTracked,
0.9321289,-0.2924805,0.0859375,0.8759766,0.777832,0.5541992,-4,-4,-3,-1,-1,0,2,-2,6,28,30,8,-3,-5,-6,-6,-2.5625,-2.5625,-2.5625,-2.875,-2.875,-2.875,2.991146,3.0093,7.198496,6.566714,3.665079,3.55425,-0.00625847,-0.4197307,1.577676,0.3255798,-0.3792051,1.438883,0.2103223,0.4122435,1.670615,0.03170921,-0.4294677,1.534914,0.3298678,-0.3819396,1.387038,0.1914366,-0.05899368,1.659875,0.1819344,-0.3895633,1.643279,0.01610859,0.1320164,1.63995,0.09367274,-0.379074,1.612568,-0.0223175,-0.1351039,1.652693,0.3985969,-0.1218215,1.619673,NA,NA,NotTracked,Lasso,
0.9316406,-0.3105469,0.1025391,0.5786133,0.8657227,0.6455078,-1,-5,0,-1,-2,-1,-1,1,-2,2,-2,7,5,-1,7,0,-5.6875,-5.6875,-5.6875,-1.25,-1.25,-1.25,2.990714,3.008204,7.189576,6.592998,4.092416,3.510821,-0.007151959,-0.4237026,1.577149,0.3063496,-0.2931978,1.372883,0.2102839,0.4121895,1.67027,0.03104785,-0.4215835,1.535258,0.2932432,-0.2725702,1.342,0.1908626,-0.05904051,1.659874,0.1800943,-0.3896629,1.64362,0.01602749,0.1319041,1.639976,0.09173624,-0.3786707,1.612574,-0.02247744,-0.1349942,1.652575,0.4105434,-0.1023711,1.621086,NA,NA,NotTracked,Closed,
0.9555664,-0.2880859,0.1123047,0.03808594,0.8701172,0.5336914,-2,0,-2,-1,-1,-2,-2,-3,10,42,24,5,-3,0,-2,1,-5.8125,-5.8125,-5.8125,9.5,9.5,9.5,2.998835,3.009815,7.166419,6.605615,4.779654,3.485093,-0.006287258,-0.4156991,1.576432,0.2887957,-0.1754354,1.303772,0.2102483,0.4120907,1.669718,0.03080269,-0.4279724,1.534541,0.2521928,-0.1482705,1.2935,0.1903991,-0.05896163,1.659907,0.1792741,-0.3895291,1.643768,0.01584651,0.1317516,1.639971,0.09103319,-0.378509,1.612515,-0.02259809,-0.1339596,1.652477,0.4197287,-0.08899546,1.613265,NA,NA,NotTracked,Unknown,
0.9648438,-0.2749023,0.09521484,-0.2587891,0.9306641,0.5107422,-2,-6,-1,-2,-1,-2,0,1,3,-1,-13,-7,1,-1,2,-1,-4.75,-4.75,-4.75,45.625,45.625,45.625,3.00704,3.008941,7.150686,6.670197,5.325133,3.505934,-0.007055961,-0.4077097,1.577928,0.2739948,-0.0258875,1.289991,0.2099203,0.4117711,1.669024,0.0315103,-0.4016916,1.538486,0.2492142,0.00342562,1.275,0.1904735,-0.05892772,1.660107,0.1798042,-0.3891436,1.64437,0.01579702,0.1315061,1.639922,0.09180176,-0.3784716,1.613671,-0.02253088,-0.1337268,1.652318,0.4142824,-0.08119204,1.546876,NA,NA,NotTracked,Unknown,
0.953125,-0.2807617,0.08886719,-0.4589844,0.7836914,0.421875,-7,-8,0,0,-1,0,3,-2,0,5,5,3,2,-3,-4,-3,-1.25,-1.25,-1.25,44.0625,44.0625,44.0625,3.009126,3.008021,7.14232,6.760066,5.836233,3.574631,-0.003742081,-0.4329867,1.57477,0.2822229,0.1020134,1.320919,0.2095882,0.4114985,1.667777,0.03083226,-0.432966,1.535727,0.2681352,0.1426331,1.304,0.1904499,-0.05950231,1.660585,0.1810368,-0.3904578,1.645383,0.01700818,0.131355,1.638975,0.09296306,-0.3804034,1.615075,-0.02242486,-0.1328633,1.652006,0.4087653,-0.06958269,1.504272,NA,NA,NotTracked,Unknown,
0.9423828,-0.2749023,0.09814453,-0.5424805,0.7172852,0.3110352,-2,1,2,1,0,0,0,0,1,0,0,-4,-5,-11,-3,0,5.1875,5.1875,5.1875,61.5,61.5,61.5,3.013516,3.007709,7.143509,7.034277,6.36775,3.784233,-0.009056952,-0.405148,1.580835,0.2842667,0.2088725,1.358229,0.2077915,0.411231,1.665838,0.02210368,-0.4137338,1.538097,0.2953474,0.2551086,1.367462,0.1908918,-0.05882251,1.661129,0.181163,-0.3899845,1.646384,0.0174646,0.131346,1.639186,0.09244839,-0.3797762,1.617041,-0.02146153,-0.1283792,1.652829,0.4114576,-0.04769176,1.47188,NA,NA,NotTracked,Unknown,
0.9384766,-0.3046875,0.09619141,-0.5654297,0.4804688,0.2133789,-2,-2,-1,-1,1,-1,-2,-2,3,-6,-5,-3,-2,2,12,-1,6.75,6.75,6.75,42.875,42.875,42.875,3.012453,3.010452,7.153783,7.340403,6.630276,4.065903,-0.007934307,-0.401613,1.581405,0.2968798,0.2516524,1.399378,0.2063004,0.4105017,1.663452,0.02683248,-0.4008651,1.541745,0.2852918,0.240295,1.457667,0.1917374,-0.05832865,1.664036,0.181124,-0.3895609,1.647187,0.02000256,0.1320831,1.640045,0.09183091,-0.3789974,1.618176,-0.02073898,-0.1231199,1.653403,0.4172049,-0.02124825,1.441226,NA,NA,NotTracked,Unknown,
0.9477539,-0.2988281,0.1020508,-0.6181641,0.4052734,0.1152344,3,4,-1,-1,0,0,-4,-1,6,-3,-3,-17,-7,2,13,-2,10.3125,10.3125,10.3125,23.9375,23.9375,23.9375,3.013198,3.016881,7.174847,7.658309,6.767211,4.369546,-0.007921638,-0.402793,1.58318,0.2931859,0.300038,1.432037,0.2059137,0.4088874,1.660182,0.02759412,-0.4072668,1.54093,0.2806772,0.2879631,1.478055,0.192135,-0.05827539,1.66687,0.1812112,-0.3891163,1.647737,0.02231789,0.1324072,1.641306,0.091476,-0.3783508,1.619156,-0.02064574,-0.1222555,1.65407,0.4179302,0.01533481,1.412528,NA,NA,NotTracked,Unknown,
0.9458008,-0.3168945,0.09423828,-0.6860352,0.2753906,0.02197266,4,-15,-3,-2,-3,-3,-4,0,1,-2,-3,-1,-7,3,14,0,9.3125,9.3125,9.3125,0.25,0.25,0.25,3.012,3.02167,7.192272,7.878039,6.838915,4.603078,-0.007968961,-0.4025056,1.584298,0.291455,0.3149127,1.45049,0.2058742,0.407506,1.658014,0.02845873,-0.4092545,1.541603,0.2817572,0.3035226,1.510167,0.1921514,-0.05815189,1.668456,0.1811098,-0.3885887,1.648062,0.02345876,0.1330967,1.642884,0.09101134,-0.3776035,1.619811,-0.02067239,-0.1219864,1.65482,0.4184902,0.03775096,1.400384,NA,NA,NotTracked,Unknown,
