ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9428711,-0.3129883,0.1137695,0.9199219,0.2851563,0.137207,-1,-1,-1,-1,-2,-1,-2,-2,-2,2,-2,-1,0,-6,-6,1,-0.8125,-0.8125,-0.8125,0.125,0.125,0.125,3.030157,3.038985,7.710862,6.768293,3.041662,3.914794,-0.0006795676,-0.4225302,1.60579,0.3651547,-0.4029115,1.580859,0.2218234,0.4060026,1.698398,-0.04521611,-0.43108,1.629567,0.319938,-0.3719612,1.552761,0.2036748,-0.05793288,1.693863,0.1956855,-0.3823796,1.681054,0.03003425,0.1312997,1.677754,0.1086304,-0.3732847,1.650514,-0.01214844,-0.1383324,1.693199,0.4086044,-0.1261714,1.671621,NA,NA,NotTracked,NotTracked,
0.9423828,-0.3076172,0.1088867,0.9335938,0.2851563,0.15625,-2,-2,-3,-1,1,1,0,0,-14,-4,-3,1,2,6,1,2,-1.125,-1.125,-1.125,0.3125,0.3125,0.3125,3.029757,3.038266,7.710804,6.767133,3.04164,3.915948,-0.0009203369,-0.4219787,1.605745,0.3657781,-0.4033277,1.58159,0.2219863,0.406049,1.697904,-0.04512644,-0.4293388,1.628817,0.3193074,-0.3811586,1.551691,0.2036342,-0.05795549,1.693552,0.1957053,-0.3823764,1.680835,0.03000797,0.1312799,1.677365,0.1086255,-0.3732682,1.650251,-0.01213059,-0.1384988,1.692953,0.4087216,-0.1261562,1.671197,NA,NA,NotTracked,NotTracked,
0.949707,-0.3149414,0.1196289,0.9169922,0.2822266,0.1469727,-2,-2,-2,-2,-2,0,-3,-3,-8,1,-2,0,-3,9,-1,-1,-0.6875,-0.6875,-0.6875,-0.4375,-0.4375,-0.4375,3.029611,3.038134,7.709511,6.766685,3.041672,3.916223,-0.0007163783,-0.4223628,1.606207,0.3658316,-0.4031619,1.581973,0.2221961,0.4060513,1.697389,-0.04468753,-0.4282163,1.627569,0.3195893,-0.3827847,1.550934,0.2036486,-0.05789681,1.693336,0.1957413,-0.382308,1.680624,0.02995331,0.1314203,1.677129,0.1086488,-0.3731781,1.649935,-0.01210695,-0.1385586,1.692758,0.4087764,-0.1261539,1.670978,NA,NA,NotTracked,NotTracked,
0.9360352,-0.3085938,0.1044922,0.925293,0.2924805,0.1479492,-2,-1,-2,-1,-1,0,0,-1,-11,0,-1,-1,1,5,2,1,-0.875,-0.875,-0.875,0.0625,0.0625,0.0625,3.029696,3.037971,7.709562,6.766143,3.04121,3.916823,-0.0008605201,-0.4225451,1.606552,0.3657276,-0.4031247,1.581724,0.2222929,0.4060677,1.697238,-0.04548924,-0.4375259,1.62885,0.3196396,-0.3792843,1.551646,0.2036443,-0.05788836,1.693086,0.1957668,-0.3823015,1.680411,0.02996748,0.1314176,1.676959,0.1086622,-0.3731837,1.649808,-0.01197399,-0.1387223,1.692394,0.4088695,-0.1261554,1.670696,NA,NA,NotTracked,NotTracked,
0.9375,-0.309082,0.1069336,0.8886719,0.3251953,0.1459961,0,-3,-3,-2,0,-1,-1,-1,11,-3,-5,-2,0,4,2,11,-1.375,-1.375,-1.375,-4.875,-4.875,-4.875,3.028304,3.036914,7.709337,6.768286,3.04359,3.911673,-0.0003327105,-0.4222651,1.607121,0.3661481,-0.4031557,1.582859,0.2223684,0.4060234,1.697208,-0.04574555,-0.4305194,1.636549,0.3195301,-0.3872955,1.550387,0.2036773,-0.05794639,1.693045,0.1957907,-0.3823609,1.680372,0.03006738,0.1314604,1.676841,0.1086574,-0.3732393,1.649736,-0.01194285,-0.1387358,1.692334,0.4089886,-0.1261202,1.670669,NA,NA,NotTracked,NotTracked,
0.940918,-0.3168945,0.1176758,0.9702148,0.3598633,0.09326172,-2,-1,-1,0,-1,-1,1,-2,38,4,-3,-3,-4,1,5,8,-1.4375,-1.4375,-1.4375,-117.125,-117.125,-117.125,3.028098,3.037201,7.70884,6.718841,3.080893,3.827558,-0.0004019575,-0.4224083,1.60503,0.3666849,-0.4019181,1.579965,0.2225209,0.4060133,1.696768,-0.04562493,-0.4525837,1.6315,0.319666,-0.3980342,1.546174,0.2036608,-0.05790834,1.692813,0.1957671,-0.3823371,1.680115,0.03001687,0.1314747,1.676627,0.1086371,-0.3732026,1.64948,-0.01178253,-0.138631,1.691844,0.4090815,-0.126124,1.670436,NA,NA,NotTracked,NotTracked,
0.9658203,-0.3061523,0.1098633,1.019531,0.5219727,0.1933594,-2,-2,-1,0,-2,-2,-2,-1,3,-9,-16,-4,0,2,-5,-3,2.25,2.25,2.25,-42.5,-42.5,-42.5,3.030347,3.039107,7.708815,6.642563,3.195782,3.76466,-0.0005328532,-0.4219491,1.60543,0.3599185,-0.4272868,1.563266,0.222639,0.4059821,1.696679,-0.0427379,-0.4050026,1.621343,0.313649,-0.4129351,1.541388,0.2037424,-0.05792335,1.692654,0.1958149,-0.3823654,1.679997,0.0300469,0.1315176,1.676485,0.1086599,-0.3732338,1.649338,-0.01187753,-0.138743,1.691512,0.4094275,-0.1262418,1.670456,NA,NA,NotTracked,NotTracked,
0.9135742,-0.3168945,0.1030273,0.9506836,0.8041992,0.4389648,-2,-1,-2,-2,-1,-2,-1,0,12,-12,-15,1,1,-1,-1,-4,-6.25,-6.25,-6.25,-41.9375,-41.9375,-41.9375,3.032423,3.039179,7.699868,6.61646,3.43623,3.731305,-0.0004075143,-0.4222441,1.605855,0.3521359,-0.4086106,1.519956,0.2227519,0.4059426,1.696484,-0.0446049,-0.417335,1.626947,0.3171292,-0.4162532,1.542593,0.2037918,-0.05790901,1.692478,0.1958333,-0.3822995,1.679727,0.03002075,0.1316327,1.676341,0.1086226,-0.3730899,1.648821,-0.01183315,-0.1386965,1.691459,0.4102076,-0.1257651,1.670416,NA,NA,NotTracked,NotTracked,
0.9130859,-0.3129883,0.121582,0.6318359,0.8579102,0.5830078,-2,-1,-3,-1,0,-1,-1,-1,13,-28,13,-7,-10,10,0,3,-9.75,-9.75,-9.75,15.1875,15.1875,15.1875,3.030085,3.038691,7.688453,6.606323,3.96564,3.723503,-0.0009907793,-0.4179456,1.605119,0.3380855,-0.3464664,1.424795,0.2228444,0.4059098,1.696449,-0.04553465,-0.4348986,1.627857,0.3203359,-0.3750409,1.536091,0.2036547,-0.05789101,1.692415,0.1952362,-0.3821197,1.679371,0.03001995,0.1316244,1.676211,0.1078644,-0.3726461,1.648075,-0.01210712,-0.1373435,1.690829,0.4121092,-0.1154537,1.669273,NA,NA,NotTracked,Unknown,
0.9213867,-0.3286133,0.1503906,0.4174805,0.9438477,0.6376953,-1,-2,-2,-2,-1,1,0,1,-1,26,9,0,0,2,-2,3,-10.1875,-10.1875,-10.1875,18.375,18.375,18.375,3.02971,3.042276,7.676818,6.648405,4.458942,3.70784,-0.0005596349,-0.421504,1.602407,0.3223923,-0.2347742,1.336841,0.2228984,0.405857,1.696382,-0.04531125,-0.4354869,1.626307,0.3422297,-0.2471069,1.330125,0.2033192,-0.0578106,1.692466,0.1939426,-0.381712,1.679107,0.03000167,0.13158,1.676164,0.1067126,-0.3722788,1.647725,-0.01223762,-0.1374186,1.690574,0.4131681,-0.0958062,1.659197,NA,NA,NotTracked,Unknown,
