ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9345703,-0.3095703,0.1000977,0.8920898,0.3623047,0.1860352,1,-1,-1,1,-1,-2,0,1,-1,0,-1,0,0,-1,-2,-1,0.375,0.375,0.375,-0.375,-0.375,-0.375,3.004659,3.028155,6.63395,6.733013,3.185575,4.092338,0.02679779,-0.4385769,1.679359,0.3683097,-0.4489948,1.633288,0.2473054,0.3975191,1.781398,0.06784018,-0.4338061,1.643464,0.4109414,-0.4594195,1.636326,0.2247102,-0.06854262,1.775478,0.2123483,-0.3918582,1.755993,0.05201766,0.118705,1.77049,0.1258891,-0.3828963,1.72728,0.01548704,-0.1439827,1.77766,0.4279159,-0.1464671,1.741284,NA,NA,NotTracked,NotTracked,
0.9433594,-0.315918,0.1040039,0.8999023,0.3696289,0.1967773,2,-3,0,0,0,-2,1,-2,0,-2,0,0,0,-1,1,0,0.375,0.375,0.375,3.375,3.375,3.375,3.004938,3.028408,6.63312,6.735296,3.185034,4.093414,0.02682815,-0.4410203,1.679147,0.3681739,-0.4486728,1.632819,0.24729,0.3975531,1.781419,0.06810649,-0.4349563,1.643681,0.4112433,-0.4580418,1.637484,0.224674,-0.06854889,1.775457,0.2123161,-0.3918665,1.755954,0.05199598,0.1187434,1.770484,0.1258697,-0.3829053,1.727259,0.01542683,-0.1435592,1.777815,0.4279225,-0.1464084,1.741298,NA,NA,NotTracked,NotTracked,
0.9399414,-0.3051758,0.1025391,0.8867188,0.3447266,0.1831055,-2,8,1,-2,-2,-2,-2,-2,0,-1,0,-2,0,0,-7,-5,1,1,1,4.4375,4.4375,4.4375,3.006192,3.027846,6.631709,6.741087,3.183929,4.092964,0.02676047,-0.4404819,1.678171,0.3681515,-0.4485491,1.632284,0.2472826,0.3975597,1.781414,0.06802696,-0.4318927,1.643538,0.4113182,-0.4568856,1.637662,0.2246666,-0.06854431,1.775439,0.2122836,-0.3918642,1.755924,0.05194578,0.1187719,1.770483,0.1258448,-0.3829077,1.727227,0.01549043,-0.1440353,1.777816,0.427894,-0.1463693,1.741289,NA,NA,NotTracked,NotTracked,
0.9423828,-0.3154297,0.1020508,0.8886719,0.4003906,0.1772461,4,0,-1,-1,0,0,-1,-1,-3,-2,-2,0,1,-6,-2,0,-2.3125,-2.3125,-2.3125,4.0625,4.0625,4.0625,3.004864,3.027255,6.631093,6.76983,3.18329,4.096087,0.02718957,-0.4416514,1.678359,0.3683372,-0.4482069,1.632931,0.2472669,0.3975596,1.781427,0.06883276,-0.4451876,1.641258,0.4114403,-0.4557123,1.638068,0.2246337,-0.06852956,1.775416,0.2122606,-0.391866,1.755904,0.05191552,0.1188388,1.770401,0.1258221,-0.3829101,1.72721,0.01548384,-0.1440434,1.777837,0.4278263,-0.1464154,1.741276,NA,NA,NotTracked,NotTracked,
0.9404297,-0.3066406,0.1079102,0.8901367,0.3442383,0.1831055,-3,0,-2,0,-1,-3,-2,-2,-3,-4,-5,-2,2,5,-1,4,-1,-1,-1,3.5625,3.5625,3.5625,3.005445,3.027424,6.630643,6.761902,3.181468,4.100893,0.02644469,-0.4363852,1.681431,0.3690329,-0.4405102,1.635429,0.2471974,0.3975704,1.781438,0.06796128,-0.4284436,1.645028,0.4113465,-0.4555068,1.637731,0.2245765,-0.06854518,1.775395,0.2122596,-0.391874,1.755879,0.0519462,0.118763,1.770383,0.1258254,-0.3829175,1.727201,0.01518465,-0.1433944,1.777837,0.4277298,-0.1464729,1.74128,NA,NA,NotTracked,NotTracked,
0.9428711,-0.3076172,0.1074219,1.072754,0.296875,0.1577148,5,-2,0,-2,-1,-2,0,-2,29,13,4,2,-2,-2,5,10,1.8125,1.8125,1.8125,-93.1875,-93.1875,-93.1875,3.006943,3.028063,6.630117,6.702481,3.211726,4.084527,0.02698289,-0.4367071,1.680509,0.3679538,-0.4481103,1.632059,0.2471583,0.3976001,1.781442,0.0680681,-0.4347062,1.643364,0.4091268,-0.4583312,1.631571,0.2245814,-0.06853405,1.775365,0.2122667,-0.3918694,1.755863,0.05194701,0.1187503,1.770381,0.1258272,-0.3829173,1.727197,0.01511339,-0.1433914,1.777829,0.4277116,-0.1464379,1.741297,NA,NA,NotTracked,NotTracked,
0.9560547,-0.3085938,0.1005859,0.9248047,0.3007813,0.2695313,-3,-3,-1,0,-1,-1,-1,0,-25,-16,1,0,47,29,-34,1,4.875,4.875,4.875,0,0,0,3.011308,3.029465,6.630943,6.555651,3.282503,4.152381,0.02633105,-0.4337994,1.681417,0.3683864,-0.4485123,1.617878,0.2470504,0.3976761,1.781505,0.06795033,-0.4186054,1.645289,0.4168633,-0.4571897,1.621462,0.2245573,-0.06851602,1.77536,0.2122429,-0.3918564,1.755868,0.05188463,0.1187724,1.770433,0.1257765,-0.3828787,1.727203,0.01516628,-0.1437363,1.77789,0.4280538,-0.1462358,1.742813,NA,NA,NotTracked,NotTracked,
0.9370117,-0.2958984,0.08642578,0.8383789,0.7373047,0.4238281,-2,1,-2,-2,-1,-3,-1,-1,6,12,-9,-7,-11,-11,3,-3,3.9375,3.9375,3.9375,-46.875,-46.875,-46.875,3.013076,3.027576,6.637851,6.537852,3.512946,4.15135,0.02724688,-0.4415372,1.679482,0.3598453,-0.4128288,1.593391,0.2469591,0.3976633,1.78146,0.06851119,-0.4467614,1.641667,0.407943,-0.4415,1.568882,0.2242829,-0.06851393,1.775205,0.2116637,-0.3918664,1.75575,0.05180806,0.1187066,1.77044,0.1250214,-0.3826858,1.726989,0.0151383,-0.1438095,1.777875,0.4319124,-0.1410506,1.748785,NA,NA,NotTracked,NotTracked,
0.9189453,-0.3413086,0.1181641,0.5834961,0.5107422,0.453125,-1,0,-3,-1,0,0,-1,0,-57,9,1,-2,13,1,-3,-4,-6,-6,-6,-5.9375,-5.9375,-5.9375,3.004557,3.021759,6.639203,6.505586,3.742438,4.136633,0.02733763,-0.4446663,1.679942,0.3490825,-0.3573936,1.565172,0.2468711,0.3976726,1.781425,0.06844908,-0.4372581,1.643174,0.3486909,-0.3438094,1.4973,0.2239188,-0.06839509,1.775223,0.2105389,-0.3915883,1.756057,0.05180664,0.1187053,1.770422,0.1237248,-0.3821601,1.727261,0.01497532,-0.1434339,1.778223,0.4360403,-0.1339856,1.756077,NA,NA,NotTracked,Unknown,
0.9379883,-0.3173828,0.1245117,0.5366211,0.6870117,0.4169922,0,-6,-1,0,0,0,1,1,14,-11,-10,-2,-8,0,2,8,-4.75,-4.75,-4.75,19.25,19.25,19.25,3.002854,3.023826,6.632882,6.548653,3.952774,4.112609,0.02730884,-0.4466368,1.677618,0.3232686,-0.3196709,1.56448,0.2467819,0.3976737,1.781242,0.06945942,-0.4413188,1.641628,0.3681643,-0.3014367,1.514125,0.223647,-0.06836051,1.775195,0.2100217,-0.3915521,1.756106,0.05174534,0.1186467,1.770345,0.1233097,-0.3820719,1.72729,0.015077,-0.1434139,1.778199,0.4397981,-0.1206291,1.761305,NA,NA,NotTracked,Unknown,
