ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9306641,-0.3583984,0.1445313,0.9438477,0.315918,0.2460938,-1,-1,-1,0,0,0,-1,0,-2,-1,-1,-3,-6,-1,-1,-1,-3.25,-3.25,-3.25,-28.9375,-28.9375,-28.9375,3.105702,3.113934,5.031075,6.590487,3.251215,3.59173,-0.005497189,-0.4296494,1.50275,0.3332866,-0.4290174,1.456828,0.1999133,0.4051495,1.615113,-0.0506926,-0.4333434,1.524594,0.3613278,-0.4679476,1.414357,0.1891527,-0.06438338,1.613303,0.1843455,-0.3906342,1.592872,0.01369405,0.1221271,1.599386,0.09621361,-0.3813336,1.56168,-0.02353086,-0.1383423,1.604491,0.3970686,-0.137271,1.581414,NA,NA,NotTracked,NotTracked,
0.9423828,-0.3505859,0.1298828,0.8569336,0.4770508,0.3305664,-2,-2,-2,-3,-2,-1,0,-1,-4,-12,-14,-2,3,-5,1,-3,0.8125,0.8125,0.8125,15.5625,15.5625,15.5625,3.104788,3.115396,5.030079,6.549521,3.351542,3.654443,-0.004816704,-0.4274115,1.502705,0.3211796,-0.416445,1.445714,0.2004115,0.40524,1.615162,-0.04993744,-0.4340199,1.52213,0.3400235,-0.4742694,1.432375,0.1891995,-0.0643194,1.613067,0.1836215,-0.3904065,1.592488,0.01371954,0.1218803,1.599673,0.09530666,-0.3809309,1.561372,-0.02340824,-0.1382786,1.604617,0.398783,-0.1347062,1.581707,NA,NA,NotTracked,NotTracked,
0.9174805,-0.3544922,0.1416016,0.8222656,0.4204102,0.3637695,-4,-1,6,0,-3,0,-1,-1,1,0,7,0,-2,-2,-1,-2,-1.8125,-1.8125,-1.8125,-26.1875,-26.1875,-26.1875,3.099653,3.119183,5.031523,6.48671,3.519938,3.678945,-0.004740917,-0.4272106,1.501143,0.3070714,-0.3994768,1.434094,0.2007315,0.4051397,1.615185,-0.05027879,-0.4345766,1.522572,0.3269825,-0.4251342,1.395514,0.188949,-0.0642663,1.612817,0.1814232,-0.3900515,1.591868,0.01375926,0.1214942,1.600056,0.09273164,-0.3802859,1.561022,-0.02274555,-0.137979,1.604943,0.4002812,-0.1314666,1.582125,NA,NA,NotTracked,NotTracked,
0.9306641,-0.3579102,0.1259766,0.8066406,0.5874023,0.3842773,0,-2,-1,-1,-1,0,-1,0,8,25,20,4,-3,2,5,3,1.75,1.75,1.75,-8.5625,-8.5625,-8.5625,3.094793,3.121191,5.037457,6.478932,3.658297,3.674006,-0.004438975,-0.4269097,1.501678,0.2920379,-0.3817778,1.415043,0.2010626,0.4050819,1.615615,-0.04909345,-0.4550551,1.516875,0.2722502,-0.4144803,1.440385,0.1888384,-0.06425342,1.61277,0.1801994,-0.3900096,1.591523,0.01391041,0.1212071,1.600642,0.09118266,-0.3798557,1.560606,-0.02242781,-0.1376176,1.604955,0.4013689,-0.1288995,1.582461,NA,NA,NotTracked,Unknown,
0.9179688,-0.3676758,0.1303711,0.7763672,0.6274414,0.4570313,-1,-1,-1,-1,-4,0,-2,0,6,17,20,-10,-15,1,6,2,-4.875,-4.875,-4.875,-23.4375,-23.4375,-23.4375,3.081435,3.119493,5.044903,6.453875,3.823715,3.651869,-0.004705372,-0.4258318,1.502529,0.2760958,-0.3536235,1.388321,0.201118,0.4050806,1.616057,-0.05067188,-0.4457574,1.523553,0.2530755,-0.3701572,1.419526,0.1887666,-0.06428727,1.6128,0.1795999,-0.3901473,1.591588,0.01394597,0.1208548,1.60122,0.09058028,-0.3797667,1.560785,-0.02184115,-0.1379994,1.605189,0.4018477,-0.1259249,1.584057,NA,NA,NotTracked,Unknown,
0.8930664,-0.3432617,0.15625,0.6049805,0.965332,0.6938477,-3,0,-3,-2,-1,0,-1,0,3,-9,7,-4,18,6,7,10,-5.9375,-5.9375,-5.9375,-34.5,-34.5,-34.5,3.08008,3.117557,5.037997,6.425398,4.160561,3.58918,-0.004562627,-0.4262737,1.502897,0.2465799,-0.3038389,1.381196,0.2010672,0.4051091,1.616219,-0.04971492,-0.4392018,1.521334,0.2602333,-0.3771597,1.4174,0.1888705,-0.06436194,1.61283,0.1795761,-0.3902948,1.591645,0.01405472,0.1207853,1.601428,0.09070271,-0.3798099,1.560835,-0.02160388,-0.1375755,1.605102,0.4022346,-0.1222334,1.585744,NA,NA,NotTracked,Closed,
0.9399414,-0.3359375,0.1469727,0.07763672,0.8725586,0.6586914,-1,-2,0,0,-1,-1,-1,-2,5,38,23,16,11,-9,7,9,5.6875,5.6875,5.6875,-64.125,-64.125,-64.125,3.09359,3.117838,5.027792,6.343834,4.577234,3.538562,-0.004268902,-0.4267842,1.503203,0.2373093,-0.1880689,1.339367,0.2010553,0.4051087,1.616245,-0.04893067,-0.4312835,1.527583,0.1967757,-0.1664217,1.425857,0.1894234,-0.06443738,1.612767,0.1804831,-0.3902976,1.591703,0.01408128,0.120725,1.601553,0.09242184,-0.3802704,1.560859,-0.02130694,-0.1379531,1.605239,0.4041281,-0.1109165,1.588829,NA,NA,NotTracked,Unknown,
0.9106445,-0.387207,0.1132813,-0.2700195,0.6210938,0.5922852,-3,-4,-1,-1,0,-1,-1,0,3,-22,-19,-23,1,-12,0,-3,-4.9375,-4.9375,-4.9375,-23.4375,-23.4375,-23.4375,3.08835,3.112887,5.029734,6.255995,5.2713,3.473765,-0.003624231,-0.4238038,1.503687,0.2373259,-0.05939196,1.316757,0.2011513,0.4050603,1.616292,-0.04788309,-0.4381395,1.52016,0.1906083,-0.04155641,1.3326,0.189631,-0.06435849,1.612815,0.181006,-0.3897094,1.592016,0.0168675,0.1222137,1.599132,0.09294385,-0.3799301,1.561162,-0.02105223,-0.1373062,1.605441,0.4027687,-0.1060978,1.552035,NA,NA,NotTracked,Closed,
0.9282227,-0.3813477,0.1474609,-0.4355469,0.6040039,0.5791016,-1,-1,-1,-2,-1,-1,-1,0,41,110,89,51,7,-1,5,0,-9.375,-9.375,-9.375,5.9375,5.9375,5.9375,3.075858,3.111711,5.028902,6.252737,5.748766,3.447806,-0.003584469,-0.4241983,1.503352,0.261238,0.06469809,1.339559,0.2013807,0.4048965,1.616265,-0.04626493,-0.4287657,1.516419,0.2497708,0.1047404,1.344333,0.1898445,-0.06452631,1.612921,0.1816562,-0.3898586,1.592092,0.01702243,0.1216877,1.599414,0.09363591,-0.3804605,1.561167,-0.02106916,-0.1372942,1.605403,0.3741991,-0.09874004,1.48379,NA,NA,NotTracked,Closed,
0.9428711,-0.3681641,0.1464844,-0.3984375,0.5712891,0.6113281,-2,0,-4,-1,-1,-1,-1,-1,4,-65,-50,-38,-5,5,3,12,-6.6875,-6.6875,-6.6875,5.4375,5.4375,5.4375,3.070355,3.115176,5.025591,6.286095,6.111703,3.464875,-0.004497059,-0.424219,1.502162,0.2921802,0.1405352,1.373035,0.2012013,0.4047685,1.616384,-0.04806501,-0.424886,1.519652,0.2665454,0.1662157,1.451167,0.1900229,-0.06495111,1.613023,0.1819929,-0.3908657,1.592103,0.01687808,0.1214736,1.599803,0.09381919,-0.3822871,1.562645,-0.02097743,-0.1363582,1.605169,0.3793562,-0.1002757,1.485479,NA,NA,NotTracked,Closed,
