ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9404297,-0.3183594,0.09375,0.9399414,0.2958984,0.1318359,-3,-3,-2,-1,-2,-2,-3,0,-30,1,3,1,10,4,5,1,-0.625,-0.625,-0.625,15,15,15,2.959965,3.04915,3.197194,6.991281,2.939508,1.660147,0.03323982,-0.4387977,1.530861,0.3825966,-0.4454772,1.529682,0.2337848,0.4057737,1.646104,-0.009719829,-0.4419069,1.540876,0.3331938,-0.4334481,1.499737,0.2164477,-0.06605539,1.649557,0.2114635,-0.3932016,1.628878,0.03726277,0.1146536,1.62249,0.1232296,-0.3842899,1.59675,0.005694719,-0.1375279,1.623486,0.4194809,-0.1386203,1.620775,NA,NA,NotTracked,NotTracked,
0.9291992,-0.3105469,0.09326172,0.9433594,0.2416992,0.05761719,-2,4,0,0,0,-3,-1,-2,31,-5,-8,-4,-6,-6,-1,5,-1.1875,-1.1875,-1.1875,52.3125,52.3125,52.3125,2.958901,3.048098,3.1957,7.05335,2.931009,1.664467,0.03087782,-0.4189376,1.534865,0.3823009,-0.4445989,1.528666,0.2336956,0.4058229,1.645953,-0.01085104,-0.4180485,1.544857,0.3331456,-0.4368748,1.499803,0.2164076,-0.0660673,1.64934,0.2114598,-0.3932801,1.628722,0.03724962,0.1147453,1.622633,0.123221,-0.3843997,1.596586,0.005841758,-0.1386605,1.623196,0.4191403,-0.138384,1.619537,NA,NA,NotTracked,NotTracked,
0.9448242,-0.3212891,0.1074219,0.9580078,0.3295898,0.015625,-1,0,-2,0,-2,-2,-3,0,13,-7,-6,0,16,3,2,-3,-0.3125,-0.3125,-0.3125,-7.5625,-7.5625,-7.5625,2.958242,3.045583,3.193604,7.097035,2.938209,1.65392,0.03086968,-0.4185596,1.534981,0.3809105,-0.4444649,1.527092,0.2335975,0.4058011,1.645775,-0.01039939,-0.4042321,1.540407,0.3323232,-0.4368674,1.499482,0.2163724,-0.06605068,1.649216,0.2114488,-0.3932823,1.62867,0.03750531,0.1154998,1.623461,0.1232184,-0.384411,1.596559,0.005591662,-0.1381485,1.623297,0.4185498,-0.1384795,1.617938,NA,NA,NotTracked,NotTracked,
0.9545898,-0.324707,0.08300781,0.9321289,0.3808594,0.07910156,-2,-2,0,-1,1,0,2,-1,-20,2,4,1,5,3,-7,0,2.4375,2.4375,2.4375,-8.0625,-8.0625,-8.0625,2.959455,3.045149,3.194348,7.082124,2.964468,1.644614,0.03298407,-0.4422336,1.531379,0.3745696,-0.4587216,1.517433,0.2334899,0.4058268,1.64564,-0.006740365,-0.4663278,1.533091,0.327404,-0.4521639,1.4955,0.216323,-0.0660331,1.649155,0.2114177,-0.3932644,1.628657,0.03744297,0.1159076,1.624221,0.1231989,-0.3843895,1.596537,0.005891602,-0.1390094,1.623059,0.4179245,-0.1388503,1.616324,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3217773,0.08886719,1.014648,0.4189453,0.1103516,0,1,0,-2,-1,-1,-2,-1,6,8,9,18,-32,9,-5,-6,-2.125,-2.125,-2.125,-31,-31,-31,2.963297,3.043552,3.18992,7.012501,3.049938,1.675092,0.03297026,-0.4386862,1.532012,0.3624092,-0.4559526,1.500403,0.2333889,0.4059088,1.645409,-0.008078946,-0.4535295,1.535925,0.3221249,-0.4490826,1.480811,0.2161434,-0.0660012,1.649013,0.2111586,-0.3932626,1.628623,0.03709447,0.114774,1.621844,0.1228967,-0.3843969,1.596548,0.005563181,-0.1382805,1.622976,0.4175396,-0.138342,1.613833,NA,NA,NotTracked,NotTracked,
0.9272461,-0.328125,0.112793,0.9941406,0.6123047,0.2724609,-1,-2,0,-1,-1,-1,-1,-6,-24,-4,-12,-27,-52,-2,-1,-6,-6.6875,-6.6875,-6.6875,22.375,22.375,22.375,2.970744,3.043046,3.169978,6.825633,3.306683,1.894946,0.03361843,-0.4378941,1.532788,0.3309023,-0.4106674,1.483277,0.2333171,0.4059062,1.645367,-0.009634354,-0.4417179,1.543875,0.2939801,-0.3886153,1.492173,0.2151891,-0.06567841,1.648856,0.2082532,-0.3923424,1.628533,0.03705752,0.114873,1.621644,0.1195133,-0.3831709,1.596592,0.005174858,-0.1369373,1.623093,0.4187026,-0.1280658,1.608782,NA,NA,NotTracked,Unknown,
0.9433594,-0.3295898,0.1064453,0.7753906,0.6948242,0.5478516,-3,-1,-1,0,0,0,-2,-2,4,0,4,6,-24,-8,33,0,-11.8125,-11.8125,-11.8125,74.8125,74.8125,74.8125,2.976944,3.042748,3.141494,6.709551,3.742957,2.17226,0.03506964,-0.4388717,1.530656,0.2713776,-0.3645583,1.451224,0.2332169,0.4059006,1.645272,-0.008986207,-0.4508471,1.542115,0.2336445,-0.3542202,1.418083,0.2142498,-0.06533356,1.648582,0.20567,-0.3916407,1.628405,0.03708342,0.1147469,1.620925,0.1163341,-0.3818675,1.596568,0.005201964,-0.1352226,1.622494,0.4218574,-0.1094669,1.598365,NA,NA,NotTracked,Unknown,
0.953125,-0.3217773,0.09765625,0.5864258,0.8779297,0.5673828,0,-2,-1,1,-1,-1,0,-1,22,1,-3,-8,44,2,7,5,-11.3125,-11.3125,-11.3125,60.9375,60.9375,60.9375,2.976379,3.041704,3.13463,6.716653,4.146449,2.350661,0.03592,-0.4355821,1.53007,0.2137516,-0.2899775,1.459216,0.2331985,0.4058938,1.645328,-0.002635702,-0.4405758,1.529511,0.1801888,-0.2395785,1.496778,0.2142227,-0.06529271,1.648712,0.2059328,-0.3918411,1.628772,0.03771281,0.1153046,1.621174,0.1170574,-0.3821825,1.596918,0.00537325,-0.1342427,1.621495,0.4250236,-0.1089971,1.584924,NA,NA,NotTracked,Unknown,
0.9472656,-0.3076172,0.09082031,0.1489258,0.8432617,0.5253906,-1,-2,-5,0,0,0,0,-1,0,10,9,-2,-45,-8,1,3,-8.875,-8.875,-8.875,86.9375,86.9375,86.9375,2.974713,3.039616,3.113227,6.78049,4.694485,2.638737,0.03877041,-0.4412926,1.528682,0.161682,-0.1837858,1.465364,0.233253,0.4058576,1.645419,-0.004998526,-0.4480831,1.535585,0.1609938,-0.2447732,1.496485,0.2142101,-0.06509116,1.648819,0.2060019,-0.3913442,1.628935,0.0384947,0.1160589,1.621291,0.1175618,-0.3815213,1.597077,0.006040101,-0.1249944,1.621008,0.417203,-0.1061565,1.555493,NA,NA,NotTracked,Unknown,
0.9350586,-0.2993164,0.09423828,-0.06640625,0.7543945,0.4570313,-2,-2,-2,-2,-1,-3,0,0,-24,-1,-1,-15,-1,-3,-6,-3,-10,-10,-10,88.5,88.5,88.5,2.966093,3.032418,3.10235,6.905365,5.026932,2.875196,0.04101785,-0.4471287,1.5278,0.129152,-0.1176861,1.489349,0.2337505,0.4058451,1.645934,-0.005180833,-0.4602297,1.538235,0.1341268,-0.2016266,1.506,0.2148881,-0.06436831,1.649136,0.2073738,-0.3897132,1.629403,0.04059061,0.1175478,1.62102,0.1193311,-0.3799977,1.597663,0.007055182,-0.1422572,1.602861,0.3958755,-0.09583271,1.517731,NA,NA,NotTracked,Unknown,
0.9594727,-0.2875977,0.08886719,0.06396484,0.6713867,0.3569336,2,-2,-1,-2,-1,-1,0,-3,-3,-3,4,8,-13,-8,8,4,-6.75,-6.75,-6.75,80.6875,80.6875,80.6875,2.949297,3.025737,3.099834,7.058612,5.210257,3.082378,0.04185381,-0.4452857,1.527589,0.09573437,-0.02294733,1.508526,0.2348938,0.4058421,1.646793,-0.003778292,-0.459854,1.538022,0.1204758,-0.1039708,1.525806,0.2155687,-0.0636813,1.649434,0.2081887,-0.3887337,1.629674,0.04090935,0.1179061,1.620621,0.1203695,-0.3791898,1.597922,0.009110245,-0.1302056,1.596747,0.3692526,-0.08655632,1.497459,NA,NA,NotTracked,Unknown,
0.9541016,-0.2827148,0.07128906,0.1630859,0.7133789,0.2700195,-2,-3,-1,-2,0,0,0,-1,0,-6,-6,3,27,-2,29,-1,-3.8125,-3.8125,-3.8125,31,31,31,2.934421,3.020818,3.106624,7.187718,5.245773,3.265358,0.04129199,-0.4186179,1.530905,0.08452835,0.0005181748,1.522279,0.2366131,0.4055325,1.647542,-0.0004273,-0.4319352,1.53268,0.1137623,-0.09938984,1.528949,0.2161425,-0.06329579,1.649711,0.2089184,-0.3882311,1.629905,0.04054558,0.1161012,1.617293,0.1213186,-0.3788849,1.598526,0.0122599,-0.135579,1.604342,0.349847,-0.07335237,1.477388,NA,NA,NotTracked,NotTracked,
0.9467773,-0.293457,0.05029297,0.1303711,0.8666992,0.1977539,-2,2,-2,-1,-2,-3,-1,-2,34,-9,-19,-22,-17,-1,5,4,7.8125,7.8125,7.8125,-10.875,-10.875,-10.875,2.919859,3.018809,3.128411,7.205162,5.211978,3.325966,0.04059695,-0.4181309,1.532532,0.08070683,0.01042098,1.531305,0.2376722,0.4056315,1.648325,-0.002418695,-0.426237,1.540611,0.1127059,-0.08614315,1.533875,0.2165439,-0.06281749,1.649845,0.2095065,-0.3876485,1.630067,0.04068305,0.1156836,1.616363,0.1221049,-0.3784558,1.599081,0.01286135,-0.1370301,1.609338,0.3425057,-0.0693434,1.471843,NA,NA,NotTracked,NotTracked,
