User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM01,About,DT,0.98592,0.875,1,0.93333
DM01,About,SVM,1,1,1,1
DM01,About,NN,1,1,1,1
DM01,And,DT,0.85915,0,0,0
DM01,And,SVM,0.88732,0,0,0
DM01,And,NN,0.90141,0.6,0.375,0.46154
DM01,Can,DT,0.95775,0.8,0.66667,0.72727
DM01,Can,SVM,1,1,1,1
DM01,Can,NN,1,1,1,1
DM01,Cop,DT,0.95775,0.66667,1,0.8
DM01,Cop,SVM,1,1,1,1
DM01,Cop,NN,0.92958,0.54545,1,0.70588
DM01,Deaf,DT,0.91549,0.66667,0.28571,0.4
DM01,Deaf,SVM,0.97183,1,0.71429,0.83333
DM01,Deaf,NN,0.94366,0.66667,0.85714,0.75
DM01,Decide,DT,0.98592,1,0.875,0.93333
DM01,Decide,SVM,1,1,1,1
DM01,Decide,NN,1,1,1,1
DM01,Father,DT,0.94366,0.66667,0.4,0.5
DM01,Father,SVM,0.97183,0.8,0.8,0.8
DM01,Father,NN,0.97183,0.8,0.8,0.8
DM01,Find,DT,0.94366,0.83333,0.625,0.71429
DM01,Find,SVM,0.98592,1,0.875,0.93333
DM01,Find,NN,1,1,1,1
DM01,GoOut,DT,0.90141,1,0.125,0.22222
DM01,GoOut,SVM,0.95775,1,0.625,0.76923
DM01,GoOut,NN,0.88732,0,0,0
DM01,Hearing,DT,0.98592,1,0.875,0.93333
DM01,Hearing,SVM,0.98592,1,0.875,0.93333
DM01,Hearing,NN,0.91549,0.625,0.625,0.625
DM05,About,DT,0.92405,1,0.14286,0.25
DM05,About,SVM,0.91139,0,0,0
DM05,About,NN,0.89873,0.4,0.28571,0.33333
DM05,And,DT,0.93671,0.8,0.5,0.61538
DM05,And,SVM,0.96203,1,0.625,0.76923
DM05,And,NN,0.92405,0.6,0.75,0.66667
DM05,Can,DT,0.94937,0.75,0.75,0.75
DM05,Can,SVM,0.92405,1,0.25,0.4
DM05,Can,NN,0.93671,0.66667,0.75,0.70588
DM05,Cop,DT,0.92405,0.6,0.75,0.66667
DM05,Cop,SVM,0.97468,1,0.75,0.85714
DM05,Cop,NN,0.93671,0.66667,0.75,0.70588
DM05,Deaf,DT,0.92405,0.66667,0.5,0.57143
DM05,Deaf,SVM,0.94937,1,0.5,0.66667
