ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.1308594,-0.8325195,0.5649414,0.02880859,0.8798828,0.5458984,-3,-1,-9,2,-1,-6,-18,16,1,-9,-1,-9,-1,4,4,72,-0.75,-0.75,-0.75,0.0625,0.0625,0.0625,3.429785,4.776682,4.039111,6.616183,4.922846,7.783128,0.01002327,-0.09854022,1.450598,0.1891113,-0.09338405,1.466201,0.1105398,0.4015579,1.712732,0.05626916,-0.127575,1.550198,0.1889349,-0.1063781,1.422881,0.1021211,-0.06602407,1.72843,0.09058063,-0.3888592,1.707504,-0.06658584,0.1323539,1.727527,0.005494792,-0.3800536,1.677162,-0.1310091,-0.08403315,1.715134,0.3470761,-0.08582452,1.681684,NA,NA,NotTracked,NotTracked,
0.144043,-0.8334961,0.5688477,0.01708984,0.8618164,0.5234375,-19,-5,-3,-6,-1,-9,-32,-45,-6,-10,-14,-23,-11,0,-8,-5,-1.3125,-1.3125,-1.3125,2.1875,2.1875,2.1875,3.428175,4.777204,4.036104,6.616143,4.934388,7.778028,0.01028632,-0.0984413,1.45166,0.1888661,-0.09247153,1.468445,0.1105863,0.4015832,1.712659,0.04878468,-0.1335495,1.547,0.1913546,-0.1141416,1.427214,0.1020964,-0.06601299,1.728407,0.0905507,-0.388856,1.707498,-0.06657169,0.1323229,1.727464,0.005459438,-0.380042,1.677141,-0.1310651,-0.0840424,1.715087,0.3469473,-0.08586881,1.681405,NA,NA,NotTracked,NotTracked,
0.1240234,-0.8339844,0.5571289,0.03466797,0.859375,0.5410156,-5,-3,6,-1,1,9,19,37,3,2,2,-14,-8,-3,1,14,0.4375,0.4375,0.4375,-0.25,-0.25,-0.25,3.425758,4.77772,4.034425,6.618495,4.935704,7.774354,0.01179044,-0.09782963,1.451741,0.1890666,-0.09168345,1.465773,0.1106872,0.4015636,1.712536,0.060065,-0.1261227,1.550667,0.1898679,-0.1087056,1.423488,0.1020792,-0.06598296,1.728364,0.09056094,-0.388782,1.707496,-0.06657811,0.13232,1.727458,0.005482596,-0.3799652,1.677165,-0.1315112,-0.08390155,1.715394,0.3469209,-0.0858633,1.681234,NA,NA,NotTracked,NotTracked,
0.1450195,-0.8354492,0.5537109,0.03417969,0.862793,0.5541992,-8,2,10,0,1,-2,-9,-43,3,6,8,8,3,-4,-6,-4,-0.5625,-0.5625,-0.5625,3.3125,3.3125,3.3125,3.425424,4.778264,4.034821,6.620348,4.933198,7.774237,0.01162974,-0.09816911,1.453078,0.1893189,-0.09186779,1.467314,0.1107298,0.4015827,1.712511,0.05394235,-0.1286108,1.546628,0.1904741,-0.1084924,1.42538,0.1020413,-0.0659316,1.728355,0.09055258,-0.3887167,1.707474,-0.06658062,0.1323173,1.727397,0.005458677,-0.3798743,1.677111,-0.1313931,-0.08394343,1.715263,0.3471828,-0.08577617,1.681595,NA,NA,NotTracked,NotTracked,
0.1445313,-0.8486328,0.5483398,0.02490234,0.8657227,0.5419922,0,0,3,3,-8,-4,6,-5,-25,-3,-1,4,-4,1,-8,6,-1,-1,-1,-0.1875,-0.1875,-0.1875,3.424745,4.776845,4.035954,6.618749,4.931284,7.772099,0.01138452,-0.09844927,1.452609,0.1889633,-0.09200044,1.467133,0.1108054,0.4015875,1.712342,0.05712382,-0.1227779,1.548688,0.1907579,-0.1088518,1.424106,0.1020128,-0.06586626,1.728233,0.09054325,-0.3886838,1.707442,-0.06656091,0.1322765,1.727252,0.005464019,-0.3798349,1.67708,-0.1311397,-0.08408023,1.714287,0.3470836,-0.08577983,1.681515,NA,NA,NotTracked,NotTracked,
0.1313477,-0.8334961,0.5693359,0.02929688,0.8642578,0.5395508,-8,-5,-7,0,-3,4,10,11,-5,-3,-7,-4,6,-4,-8,-105,0.125,0.125,0.125,-0.5625,-0.5625,-0.5625,3.426636,4.777745,4.038495,6.617062,4.931259,7.768959,0.01116666,-0.09831124,1.451813,0.188707,-0.09261043,1.466711,0.1108608,0.4016147,1.712236,0.05878807,-0.1193496,1.549727,0.1902802,-0.1088781,1.424515,0.1020093,-0.06587809,1.72818,0.09052458,-0.3886972,1.707404,-0.06657235,0.1322936,1.72717,0.005442798,-0.3798594,1.677032,-0.131327,-0.08400147,1.714507,0.347273,-0.08578075,1.680786,NA,NA,NotTracked,NotTracked,
0.1352539,-0.8305664,0.5576172,0.03662109,0.8671875,0.5292969,-3,1,15,4,-3,-13,-38,-41,7,6,2,14,-8,6,2,26,2.625,2.625,2.625,-0.8125,-0.8125,-0.8125,3.427887,4.778631,4.039334,6.617006,4.930969,7.766224,0.01038725,-0.09813468,1.451456,0.1888095,-0.09225643,1.466075,0.1109022,0.4015936,1.712116,0.05266372,-0.1302316,1.547559,0.1896713,-0.1108894,1.423994,0.1019752,-0.06586373,1.72807,0.09049503,-0.3886937,1.707333,-0.0665232,0.1322147,1.726939,0.005427341,-0.3798569,1.67693,-0.130625,-0.08429794,1.713563,0.3472451,-0.08579899,1.680646,NA,NA,NotTracked,NotTracked,
0.1450195,-0.831543,0.5625,0.03320313,0.8613281,0.5268555,8,-3,5,-5,6,2,-11,-17,-9,-7,-10,-1,3,-10,-5,4,0.9375,0.9375,0.9375,0.3125,0.3125,0.3125,3.4272,4.778304,4.040851,6.619543,4.932939,7.76164,0.01071537,-0.09859484,1.451663,0.1889022,-0.09181879,1.465935,0.1109622,0.4016542,1.711957,0.05605615,-0.1264187,1.546817,0.1908518,-0.1112377,1.426005,0.1019238,-0.0658296,1.72794,0.09047683,-0.3886754,1.707261,-0.06653512,0.1321821,1.726767,0.005401571,-0.3798316,1.676821,-0.1307811,-0.08427893,1.713705,0.3471501,-0.08584537,1.680683,NA,NA,NotTracked,NotTracked,
0.1352539,-0.8276367,0.5644531,0.007324219,0.8706055,0.5380859,-1,0,40,4,2,-1,-6,-7,4,8,12,23,26,7,3,-24,-1.0625,-1.0625,-1.0625,1.8125,1.8125,1.8125,3.427801,4.777286,4.039767,6.622227,4.938258,7.75929,0.01116159,-0.09824423,1.451473,0.1895663,-0.09110143,1.465403,0.1109983,0.401642,1.711566,0.05440981,-0.1285169,1.546515,0.1901747,-0.1086437,1.424446,0.101881,-0.06578542,1.727759,0.0904449,-0.3885739,1.707123,-0.06646875,0.1322613,1.726519,0.005396226,-0.3797424,1.676732,-0.1307077,-0.08421201,1.71315,0.3470444,-0.08584867,1.680229,NA,NA,NotTracked,NotTracked,
0.1289063,-0.8378906,0.5551758,-0.004394531,0.8969727,0.5170898,0,1,4,6,4,10,13,0,1,13,12,15,-9,0,-12,-77,-1.375,-1.375,-1.375,3.3125,3.3125,3.3125,3.426305,4.776012,4.042182,6.626779,4.94543,7.757503,0.01205146,-0.09851512,1.451228,0.1902319,-0.08895665,1.465965,0.1110359,0.4016677,1.711542,0.0579213,-0.1114814,1.55,0.1904226,-0.108547,1.424734,0.1018971,-0.06574139,1.727664,0.09046494,-0.3885066,1.706975,-0.06642115,0.1322847,1.7264,0.005417403,-0.379666,1.676561,-0.130978,-0.08407545,1.713679,0.3474291,-0.08561229,1.679597,NA,NA,NotTracked,NotTracked,
