ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9277344,-0.3500977,0.1328125,0.8916016,0.3876953,0.1640625,-2,-3,-3,-1,2,-1,-1,-1,-1,-1,-1,0,1,-2,-2,1,0.4375,0.4375,0.4375,-1.5625,-1.5625,-1.5625,3.030766,3.107292,4.61108,6.956675,3.183436,1.591806,-0.09045508,-0.4248961,1.64063,0.2735395,-0.4269179,1.581526,0.1281257,0.4057258,1.71641,-0.1331575,-0.3995964,1.646384,0.3200799,-0.4397716,1.5844,0.1108992,-0.06603757,1.721976,0.09844494,-0.3942748,1.701543,-0.06277817,0.1291178,1.71977,0.01233848,-0.3847665,1.670588,-0.1009177,-0.1433835,1.735884,0.3282368,-0.1275086,1.690888,NA,NA,NotTracked,NotTracked,
0.9165039,-0.3457031,0.1303711,0.8833008,0.3842773,0.15625,-3,2,-1,0,0,0,-1,-1,-1,0,0,-4,-3,-1,-1,-2,0.3125,0.3125,0.3125,-0.5625,-0.5625,-0.5625,3.031695,3.107349,4.610084,6.956094,3.182682,1.590756,-0.0908913,-0.4253306,1.642612,0.2738346,-0.4275875,1.582839,0.1280911,0.4057595,1.716719,-0.1352773,-0.4077829,1.653476,0.3196015,-0.4350688,1.583479,0.1108955,-0.06611234,1.722339,0.09844027,-0.3943376,1.701924,-0.06273702,0.1290044,1.720075,0.01236034,-0.3848082,1.671,-0.1008939,-0.1436374,1.736192,0.3279869,-0.1280445,1.691776,NA,NA,NotTracked,NotTracked,
0.9331055,-0.3603516,0.1337891,0.8862305,0.3818359,0.159668,-1,-4,2,1,-1,0,-1,-2,0,1,0,-5,-5,-2,0,-2,-1.375,-1.375,-1.375,-4,-4,-4,3.028806,3.106883,4.611295,6.955872,3.1832,1.587757,-0.09063511,-0.4259757,1.64222,0.2736553,-0.4278493,1.582728,0.1279849,0.4055412,1.717083,-0.1340292,-0.4278164,1.646889,0.3232957,-0.4442999,1.596,0.1109391,-0.0662764,1.722829,0.09845891,-0.3943715,1.702365,-0.06269149,0.1288864,1.720447,0.01237835,-0.3848285,1.671461,-0.1009047,-0.1431811,1.736655,0.3279518,-0.1278772,1.691971,NA,NA,NotTracked,NotTracked,
0.9243164,-0.3388672,0.128418,0.8852539,0.3789063,0.152832,-1,-2,2,0,1,0,-1,-1,1,-4,1,0,-1,-1,-2,-2,1.4375,1.4375,1.4375,1.9375,1.9375,1.9375,3.030612,3.107338,4.610893,6.953298,3.182636,1.587556,-0.0898991,-0.4256228,1.641037,0.273518,-0.4272776,1.581491,0.1279239,0.4054451,1.717224,-0.1338101,-0.4004871,1.652688,0.3193198,-0.4319309,1.582047,0.1109377,-0.06634809,1.722926,0.09843076,-0.3944621,1.702508,-0.06272484,0.1288009,1.72064,0.01239032,-0.3849266,1.67163,-0.1009366,-0.1433242,1.736717,0.327644,-0.1285169,1.692349,NA,NA,NotTracked,NotTracked,
0.9291992,-0.3520508,0.1381836,0.8896484,0.3842773,0.1591797,-2,-4,0,0,-5,-2,0,-2,1,-1,-3,-2,-2,0,-1,-1,0.125,0.125,0.125,-2.875,-2.875,-2.875,3.029369,3.108226,4.610467,6.954638,3.182135,1.581149,-0.09062275,-0.4250681,1.640638,0.2735465,-0.4275361,1.581387,0.1279287,0.4054494,1.71732,-0.1345725,-0.3969829,1.655615,0.3195394,-0.4348037,1.58334,0.1109404,-0.06635426,1.723015,0.0984559,-0.3944833,1.702583,-0.06267482,0.1287891,1.720691,0.01241138,-0.3849458,1.671703,-0.1010044,-0.1432912,1.736805,0.3279126,-0.1277023,1.692419,NA,NA,NotTracked,NotTracked,
0.9277344,-0.3588867,0.1318359,0.8754883,0.3955078,0.1606445,0,4,5,-2,-1,-1,-3,0,-2,-2,2,-1,-1,-4,1,0,-2.8125,-2.8125,-2.8125,0.3125,0.3125,0.3125,3.028097,3.108126,4.60875,6.956157,3.183855,1.577456,-0.0904218,-0.4215055,1.641967,0.2734513,-0.4276516,1.582638,0.1279198,0.4054641,1.717676,-0.1328907,-0.4018679,1.646957,0.3196516,-0.4329063,1.583686,0.1109432,-0.06630265,1.723289,0.09838733,-0.3943694,1.702922,-0.06273762,0.1289166,1.720949,0.01238177,-0.3848116,1.671942,-0.1009806,-0.1430756,1.737009,0.3278953,-0.1275368,1.692719,NA,NA,NotTracked,NotTracked,
0.9228516,-0.3466797,0.1362305,0.8867188,0.4135742,0.1567383,0,-4,-2,-1,-1,-2,-1,0,-1,-2,-1,3,0,-1,-4,-2,-0.6875,-0.6875,-0.6875,-3.1875,-3.1875,-3.1875,3.027633,3.108731,4.608451,6.957747,3.189042,1.571937,-0.09065516,-0.4248437,1.642181,0.2737309,-0.428022,1.582366,0.1279846,0.4054372,1.717987,-0.136236,-0.4074777,1.660493,0.3186268,-0.4342928,1.580377,0.1110843,-0.06643169,1.723538,0.0983666,-0.3944574,1.70309,-0.06270806,0.1287707,1.72109,0.01233125,-0.3848993,1.672118,-0.1009738,-0.1432755,1.737075,0.3278979,-0.1281106,1.69314,NA,NA,NotTracked,NotTracked,
0.9287109,-0.3422852,0.140625,0.8984375,0.4023438,0.1494141,-4,0,3,0,-1,-3,-2,-2,-19,18,11,1,3,-3,-11,-18,-1.8125,-1.8125,-1.8125,-37.3125,-37.3125,-37.3125,3.028383,3.108763,4.606101,6.930342,3.211721,1.552403,-0.09054866,-0.4254151,1.641374,0.2735898,-0.4277791,1.580279,0.1280735,0.405392,1.718294,-0.1306812,-0.4071448,1.644131,0.3166033,-0.4375184,1.577893,0.1111244,-0.06661797,1.723906,0.0983557,-0.3946424,1.703355,-0.06268021,0.1286682,1.721416,0.01233914,-0.3850678,1.672325,-0.100921,-0.1435035,1.737186,0.327965,-0.128523,1.693503,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3476563,0.1230469,1.071289,0.5029297,0.09863281,0,-1,0,-1,-2,-2,-4,0,2,-11,-7,11,20,6,0,1,0.5625,0.5625,0.5625,-17.625,-17.625,-17.625,3.032354,3.109663,4.603552,6.86336,3.308346,1.574456,-0.09052227,-0.4247054,1.642578,0.2710566,-0.4266105,1.572607,0.1281287,0.4053662,1.718597,-0.1337022,-0.4146211,1.651667,0.3150429,-0.4331548,1.565625,0.1112291,-0.06664625,1.724281,0.09828163,-0.3946193,1.703607,-0.06262326,0.1287958,1.721729,0.01229767,-0.3850347,1.672554,-0.1008165,-0.1431646,1.737606,0.3288712,-0.1275181,1.694158,NA,NA,NotTracked,NotTracked,
0.9365234,-0.3476563,0.121582,0.8891602,0.8291016,0.5463867,-4,-2,1,-1,0,-2,2,-1,6,7,7,6,17,3,3,-2,0.375,0.375,0.375,44.625,44.625,44.625,3.028958,3.10846,4.608176,6.776876,3.612752,1.712232,-0.08972149,-0.4211408,1.642362,0.2490276,-0.400391,1.543268,0.1281844,0.4053322,1.718722,-0.1287769,-0.4145837,1.63765,0.2821472,-0.4160582,1.519136,0.1108491,-0.06650396,1.724402,0.09709001,-0.3943234,1.703745,-0.06260729,0.1287531,1.721766,0.01084314,-0.3843988,1.672453,-0.1008294,-0.142975,1.737655,0.3383156,-0.1158495,1.694747,NA,NA,NotTracked,NotTracked,
