ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9370117,-0.3115234,0.1152344,0.894043,0.3984375,0.07958984,-2,-3,0,-1,-1,0,-2,0,-62,-22,-13,-6,-20,-2,-32,-35,-2.0625,-2.0625,-2.0625,-21.5,-21.5,-21.5,3.069567,3.053346,3.870266,6.869783,3.128075,9.002684,0.002306449,-0.4141722,1.467673,0.3612548,-0.4491835,1.421502,0.2099179,0.409118,1.548457,-0.0366631,-0.4050055,1.479476,0.3079544,-0.4241952,1.395718,0.2031945,-0.0604475,1.547727,0.2023082,-0.3857698,1.531289,0.02369552,0.1284179,1.538948,0.1135585,-0.376143,1.498278,-0.01368647,-0.1381077,1.550424,0.4050926,-0.1369728,1.526041,NA,NA,NotTracked,NotTracked,
0.9399414,-0.3203125,0.1240234,0.9570313,0.4384766,0.1567383,-1,-8,-2,-2,1,0,14,-1,25,-29,-19,-7,11,9,2,1,-1.5,-1.5,-1.5,-45.4375,-45.4375,-45.4375,3.068495,3.055146,3.865683,6.801398,3.173892,9.012011,0.002890596,-0.4141936,1.467658,0.3689018,-0.4654448,1.414957,0.2098915,0.4090675,1.549472,-0.03946742,-0.3848459,1.48536,0.3196199,-0.4709231,1.396342,0.2031259,-0.06051062,1.548096,0.2023006,-0.3858193,1.531329,0.02373436,0.128362,1.539794,0.1135618,-0.3761634,1.498285,-0.01374442,-0.1379168,1.550682,0.4051154,-0.1371077,1.525995,NA,NA,NotTracked,NotTracked,
0.9433594,-0.3046875,0.1206055,0.8823242,0.5537109,0.1914063,-1,6,3,-1,0,-1,5,2,5,3,2,0,0,1,-17,-31,1.375,1.375,1.375,-12.8125,-12.8125,-12.8125,3.073685,3.057847,3.863715,6.742691,3.24608,9.029221,0.002983595,-0.411636,1.469258,0.3665175,-0.462334,1.40613,0.2098165,0.4091186,1.550469,-0.03638602,-0.3979018,1.481613,0.318441,-0.4708902,1.396192,0.203114,-0.06054332,1.548399,0.2023133,-0.385865,1.531397,0.02368726,0.1283029,1.540555,0.1135735,-0.3761726,1.498317,-0.01379982,-0.1376849,1.551228,0.4051699,-0.1372071,1.52631,NA,NA,NotTracked,NotTracked,
0.9350586,-0.3227539,0.112793,0.7954102,0.3779297,0.2392578,0,-4,-3,-1,0,1,1,3,-16,-2,-3,-2,-6,-15,10,17,-0.0625,-0.0625,-0.0625,-64.6875,-64.6875,-64.6875,3.072083,3.05705,3.865283,6.646496,3.34689,9.02424,0.003119637,-0.4139389,1.468202,0.3602969,-0.4531288,1.392287,0.2098203,0.4089783,1.551309,-0.04091979,-0.3803847,1.492526,0.314214,-0.4613124,1.395952,0.2028695,-0.06063463,1.548788,0.2020671,-0.3859931,1.531459,0.02379319,0.1282064,1.541058,0.1133577,-0.3762161,1.498316,-0.01357308,-0.137648,1.551835,0.4053597,-0.1371748,1.526613,NA,NA,NotTracked,NotTracked,
0.9375,-0.340332,0.1210938,1.041504,0.5297852,0.2744141,-2,1,0,0,-1,-2,6,2,-10,-46,-17,-11,-13,-6,-10,-4,-5.125,-5.125,-5.125,-60.0625,-60.0625,-60.0625,3.063902,3.058082,3.866711,6.56766,3.474764,9.021633,0.003298485,-0.4146613,1.469554,0.3553979,-0.437028,1.377034,0.209806,0.4091075,1.552547,-0.03847775,-0.393892,1.488209,0.3160921,-0.4422601,1.397353,0.2023624,-0.06045312,1.549914,0.2014365,-0.3858237,1.532077,0.02491237,0.1320532,1.543352,0.1127828,-0.3758504,1.498797,-0.01324831,-0.137982,1.553064,0.4054266,-0.1371922,1.526671,NA,NA,NotTracked,Unknown,
0.949707,-0.2954102,0.1220703,0.8491211,0.6293945,0.5742188,1,21,-4,-2,-3,-3,-9,-6,11,12,28,6,4,2,1,4,3.75,3.75,3.75,0.1875,0.1875,0.1875,3.071918,3.063731,3.859969,6.483906,3.681832,9.06433,0.003795819,-0.413745,1.469364,0.3520977,-0.4046715,1.332613,0.2097273,0.4090155,1.553284,-0.03772864,-0.388423,1.485956,0.3186156,-0.416687,1.377,0.2021616,-0.06056168,1.550324,0.2009478,-0.3859258,1.532193,0.02481682,0.1312907,1.543874,0.1122807,-0.3758458,1.498818,-0.01337323,-0.1380823,1.553683,0.4065885,-0.1342675,1.5278,NA,NA,NotTracked,Lasso,
0.9331055,-0.3134766,0.1069336,0.565918,1.006836,0.5693359,-3,8,7,-1,-3,-2,2,1,50,35,26,5,-15,-4,1,15,-1.5625,-1.5625,-1.5625,54.5,54.5,54.5,3.074111,3.059129,3.859142,6.549583,4.018129,9.100635,0.003957586,-0.4096238,1.471444,0.3326771,-0.3339906,1.280953,0.2097384,0.4089913,1.554073,-0.03264824,-0.4206445,1.4846,0.3555457,-0.3382971,1.249444,0.2014994,-0.06038706,1.551029,0.1992206,-0.3854258,1.532679,0.02460187,0.1306578,1.54434,0.1105119,-0.3752228,1.499086,-0.0131559,-0.1383743,1.554758,0.4084097,-0.1255923,1.530175,NA,NA,NotTracked,Unknown,
0.9375,-0.3691406,0.1391602,0.2050781,0.8876953,0.512207,-1,2,0,1,0,-3,-3,-2,28,1,2,16,14,1,-7,48,-9.75,-9.75,-9.75,36.375,36.375,36.375,3.063391,3.054459,3.857517,6.601486,4.627336,9.135866,0.003239865,-0.410373,1.47276,0.3158022,-0.2143876,1.227209,0.2098691,0.4089339,1.554524,-0.03827103,-0.3901548,1.488042,0.3348489,-0.247302,1.173333,0.2008499,-0.06018993,1.551853,0.1975683,-0.3847938,1.533562,0.02457018,0.1302503,1.54484,0.1088928,-0.374561,1.499895,-0.01301159,-0.1382554,1.555258,0.4086045,-0.1011678,1.531499,NA,NA,NotTracked,Unknown,
0.9384766,-0.3486328,0.1303711,-0.1445313,0.984375,0.4130859,0,-1,4,-2,-3,-5,-22,-3,-88,13,14,-2,-7,-1,2,11,-4.9375,-4.9375,-4.9375,72.4375,72.4375,72.4375,3.061611,3.057278,3.851651,6.704403,5.119111,9.184825,0.002891103,-0.4118986,1.471002,0.2979258,-0.05922213,1.204264,0.2100106,0.408868,1.554882,-0.03460943,-0.4002606,1.479488,0.3140126,-0.07755378,1.1764,0.2003647,-0.06001271,1.552627,0.1964668,-0.3843485,1.534643,0.02464217,0.1299256,1.545043,0.1075884,-0.3742417,1.501367,-0.01298883,-0.1381919,1.555769,0.4478916,-0.08969547,1.49985,NA,NA,NotTracked,Unknown,
0.9375,-0.2841797,0.1132813,-0.4233398,0.8242188,0.3994141,-2,-9,0,1,0,-1,2,-3,-32,2,2,9,14,-3,-7,-23,-1.75,-1.75,-1.75,75.6875,75.6875,75.6875,3.067644,3.061053,3.843524,6.840956,5.561286,9.278182,0.00794029,-0.4342258,1.46482,0.3005328,0.06741335,1.250299,0.2102536,0.4087439,1.555205,-0.03492241,-0.4205664,1.48975,0.3182223,0.07159376,1.189923,0.2000539,-0.05965902,1.553498,0.1961594,-0.3836324,1.535402,0.02490902,0.1297278,1.545298,0.1073574,-0.3738321,1.502187,-0.01292944,-0.1375212,1.556479,0.4124392,-0.0836634,1.438671,NA,NA,NotTracked,Unknown,
