ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9394531,-0.3193359,0.08691406,0.9052734,0.359375,0.1279297,1,0,0,-3,-1,-2,-2,-1,-1,2,-1,-1,1,0,3,3,-0.25,-0.25,-0.25,0.75,0.75,0.75,2.910535,3.036615,7.549254,6.956683,3.128466,3.363689,-0.08874702,-0.4397072,1.696697,0.3009678,-0.4557445,1.631761,0.1586434,0.3971848,1.792621,-0.04170759,-0.445606,1.660553,0.3485771,-0.4510596,1.631168,0.1312993,-0.06982221,1.783552,0.1189049,-0.3984672,1.761355,-0.03816852,0.1266565,1.767328,0.03208632,-0.3882035,1.727613,-0.0857395,-0.1440733,1.782624,0.3422727,-0.1422891,1.742121,NA,NA,NotTracked,NotTracked,
0.9296875,-0.3154297,0.08007813,0.8984375,0.3676758,0.1142578,-3,-1,-3,-2,-1,1,0,-2,6,1,-1,1,0,0,-2,-2,-0.125,-0.125,-0.125,0.0625,0.0625,0.0625,2.910535,3.036615,7.549254,6.963604,3.128348,3.359867,-0.08867727,-0.440484,1.696152,0.3009849,-0.455357,1.630835,0.1586716,0.3971446,1.79267,-0.04046515,-0.4335392,1.661814,0.3484355,-0.446918,1.628369,0.1313297,-0.06984971,1.783591,0.1188793,-0.3984706,1.761334,-0.03810384,0.1267212,1.767374,0.03205147,-0.3882012,1.727611,-0.08581889,-0.1442823,1.782542,0.3424227,-0.1418229,1.742317,NA,NA,NotTracked,NotTracked,
0.9462891,-0.3291016,0.09033203,0.9047852,0.362793,0.1240234,-1,-3,-1,-2,-1,-1,0,-1,-3,-6,-4,-1,-3,-1,0,-6,-0.375,-0.375,-0.375,1.5625,1.5625,1.5625,2.910457,3.036173,7.54848,6.964866,3.128328,3.358457,-0.08821081,-0.4398569,1.695935,0.3013792,-0.4563004,1.630903,0.1587842,0.3971941,1.792798,-0.04096892,-0.4384187,1.661046,0.3485926,-0.4444584,1.627914,0.1312975,-0.06985994,1.783608,0.1187782,-0.3985201,1.761339,-0.03802519,0.1266342,1.767338,0.03197244,-0.38823,1.727624,-0.08573811,-0.1443491,1.782418,0.3424537,-0.1419301,1.742345,NA,NA,NotTracked,NotTracked,
0.9433594,-0.3071289,0.08007813,0.8950195,0.3481445,0.1293945,0,0,-2,-1,-1,-2,-1,-1,3,0,2,-1,2,-3,-3,-2,1,1,1,-0.75,-0.75,-0.75,2.916201,3.035747,7.545821,6.96676,3.128528,3.357553,-0.08820838,-0.4399459,1.695728,0.3009257,-0.4562198,1.630189,0.1587916,0.3971505,1.792817,-0.04042557,-0.4307802,1.660599,0.3480292,-0.4446596,1.625902,0.1312488,-0.06986196,1.783612,0.1186767,-0.3985627,1.761315,-0.03801608,0.1266113,1.767322,0.03190551,-0.3882683,1.727606,-0.08576746,-0.1444241,1.782207,0.3423051,-0.1422679,1.742254,NA,NA,NotTracked,NotTracked,
0.9428711,-0.3276367,0.07958984,0.90625,0.3647461,0.1240234,0,0,0,-1,1,-2,-1,0,-3,-1,-2,1,2,1,4,1,0,0,0,1.8125,1.8125,1.8125,2.91636,3.035234,7.543538,6.967864,3.128319,3.358277,-0.0882801,-0.4400919,1.696138,0.3010219,-0.4560313,1.63056,0.1588177,0.3972126,1.792838,-0.04028682,-0.4335817,1.661302,0.3474008,-0.4465677,1.625519,0.1312287,-0.06982996,1.783609,0.1186583,-0.3985336,1.761319,-0.03800182,0.1266677,1.767375,0.03188813,-0.3882214,1.727633,-0.08575139,-0.1443385,1.782234,0.3423228,-0.1423226,1.742206,NA,NA,NotTracked,NotTracked,
0.9477539,-0.3085938,0.08300781,0.953125,0.4189453,0.08105469,1,-1,-1,-2,-3,-3,-1,0,-4,1,-2,-1,0,-1,-1,-7,-0.0625,-0.0625,-0.0625,-27.8125,-27.8125,-27.8125,2.915912,3.033859,7.54677,6.950251,3.140514,3.360816,-0.08820369,-0.440057,1.6949,0.3003903,-0.4559408,1.628775,0.1588159,0.3972335,1.792782,-0.04054557,-0.4352357,1.660851,0.3478532,-0.4449494,1.625587,0.1312071,-0.06981332,1.783531,0.118642,-0.3985043,1.76127,-0.03806766,0.1266465,1.767301,0.0318601,-0.3882087,1.727604,-0.08587883,-0.1446408,1.782049,0.3424883,-0.1421468,1.741999,NA,NA,NotTracked,NotTracked,
0.9462891,-0.315918,0.078125,1.001953,0.3530273,0.125,-2,-1,-3,0,0,-1,0,-2,4,-1,10,2,3,-2,0,-1,2.1875,2.1875,2.1875,-68.0625,-68.0625,-68.0625,2.916463,3.033504,7.547335,6.841305,3.204048,3.376408,-0.09248853,-0.4477303,1.694397,0.2966741,-0.4499147,1.623844,0.1588186,0.3972186,1.792494,-0.0562304,-0.4732008,1.66025,0.3431632,-0.4407099,1.623392,0.1312176,-0.06986128,1.783473,0.1187671,-0.3986019,1.761305,-0.03809057,0.1266411,1.767185,0.03201393,-0.388321,1.727644,-0.08587704,-0.1448978,1.781743,0.3425046,-0.142097,1.742031,NA,NA,NotTracked,NotTracked,
0.9394531,-0.3115234,0.08105469,0.9912109,0.484375,0.3227539,-5,-3,-3,-2,-2,0,1,0,-2,11,-11,-10,0,-4,0,3,0.75,0.75,0.75,-23.9375,-23.9375,-23.9375,2.916782,3.031692,7.549644,6.698451,3.343339,3.460038,-0.09050807,-0.441778,1.697014,0.2795646,-0.4238128,1.610632,0.1587479,0.3971569,1.792285,-0.04434526,-0.4466359,1.66288,0.3227525,-0.4353116,1.608429,0.130989,-0.06980126,1.78345,0.1181811,-0.3984017,1.761361,-0.03811443,0.1267375,1.767153,0.03121914,-0.3879673,1.727667,-0.08569045,-0.1440569,1.782082,0.3462337,-0.1375244,1.744633,NA,NA,NotTracked,Unknown,
0.9418945,-0.3115234,0.08496094,0.8886719,0.6088867,0.418457,-3,-2,0,0,0,0,1,-1,2,-3,4,0,-5,0,-2,-2,-3.625,-3.625,-3.625,-2.3125,-2.3125,-2.3125,2.912715,3.026376,7.551187,6.600025,3.570529,3.561286,-0.0908879,-0.4418215,1.698923,0.2548262,-0.3797351,1.588183,0.1586667,0.3971964,1.791765,-0.04484391,-0.4378478,1.664524,0.2737717,-0.4153884,1.573833,0.1296286,-0.06954028,1.783294,0.1141689,-0.3979585,1.761657,-0.03813208,0.1267379,1.767017,0.02725827,-0.3869512,1.727818,-0.08572496,-0.1437752,1.782272,0.355972,-0.1243675,1.74908,NA,NA,NotTracked,Unknown,
0.9453125,-0.3085938,0.08496094,0.6879883,0.7285156,0.5063477,0,-1,-1,-1,-3,-2,-1,0,11,-2,-7,-8,-4,-1,0,5,-3.75,-3.75,-3.75,-9.3125,-9.3125,-9.3125,2.901109,3.017131,7.555255,6.528416,3.868634,3.653953,-0.09061202,-0.4412848,1.698355,0.1994619,-0.3310071,1.588623,0.1587272,0.3971659,1.791044,-0.04426241,-0.4297607,1.662659,0.2260402,-0.4045937,1.615843,0.1286279,-0.06944837,1.782962,0.1121,-0.3978986,1.761663,-0.03802111,0.1268466,1.766386,0.02558273,-0.3864682,1.727857,-0.0857207,-0.1433981,1.781996,0.362579,-0.1119618,1.753404,NA,NA,NotTracked,Unknown,
