ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8994141,-0.4633789,0.07470703,0.8920898,0.3833008,0.06884766,-3,5,17,1,2,0,-13,3,5,0,1,-1,13,4,-13,-21,1.8125,1.8125,1.8125,-2.1875,-2.1875,-2.1875,2.784952,3.26585,3.369576,7.243233,3.144008,9.956676,-0.03642333,-0.4215612,1.487977,0.3656417,-0.435351,1.477484,0.2100999,0.3981491,1.653655,0.003227154,-0.4070813,1.434631,0.4115092,-0.4219449,1.496055,0.1934721,-0.06752136,1.639088,0.1887138,-0.3946119,1.619876,0.02268554,0.1198669,1.622598,0.1014444,-0.3850626,1.587556,-0.03865171,-0.1351754,1.618681,0.4026415,-0.1382162,1.599511,NA,NA,Unknown,Unknown,
0.8876953,-0.4521484,0.08691406,0.8925781,0.3813477,0.06298828,-5,-5,42,4,-3,-4,-47,-15,18,0,0,4,24,-14,17,-5,2.0625,2.0625,2.0625,-0.5625,-0.5625,-0.5625,2.783751,3.261274,3.377032,7.24369,3.14322,9.954789,-0.03740533,-0.4218364,1.490077,0.3658932,-0.436498,1.478642,0.2104077,0.3980933,1.654431,0.002718982,-0.4071863,1.436683,0.3647698,-0.4334124,1.501333,0.1936369,-0.06763835,1.639636,0.188856,-0.3948129,1.620478,0.02663685,0.1191149,1.622026,0.1015349,-0.3852159,1.588255,-0.03910705,-0.1351793,1.619039,0.4030628,-0.138225,1.600337,NA,NA,Unknown,Unknown,
0.8930664,-0.4853516,0.08154297,0.8911133,0.3925781,0.06591797,-6,-14,-39,-1,0,-2,10,2,-23,-2,-3,-4,-9,9,3,-2,7,7,7,1.3125,1.3125,1.3125,2.785425,3.266426,3.378918,7.243967,3.142359,9.955606,-0.03736467,-0.4219626,1.489737,0.365668,-0.4367502,1.479484,0.2106453,0.397984,1.655081,0.001865941,-0.4051571,1.4374,0.3626385,-0.4267652,1.503061,0.1936377,-0.06760439,1.640151,0.1887931,-0.3947651,1.620915,0.02583154,0.1193656,1.622781,0.1014969,-0.3851562,1.588636,-0.03940339,-0.1355193,1.619517,0.4032095,-0.1385749,1.601113,NA,NA,Unknown,Unknown,
0.90625,-0.4462891,0.09863281,0.9013672,0.3920898,0.06689453,4,-4,-15,-3,-21,-10,-27,1,18,2,-1,1,-2,-1,18,1,-1.1875,-1.1875,-1.1875,-1.625,-1.625,-1.625,2.806643,3.278668,3.36318,7.243264,3.143046,9.956008,-0.0342444,-0.420113,1.486836,0.3659474,-0.4364625,1.481137,0.2109225,0.3978621,1.656156,0.002495286,-0.4029656,1.437802,0.360376,-0.434362,1.502069,0.193765,-0.06763795,1.640733,0.1888653,-0.3947666,1.621383,0.02849098,0.1191051,1.622421,0.1015657,-0.3851021,1.589117,-0.04047617,-0.1344111,1.620257,0.4034898,-0.1390239,1.601771,NA,NA,Unknown,Unknown,
0.9067383,-0.4853516,0.1079102,0.8916016,0.3837891,0.05664063,-2,9,17,8,5,-4,-5,-4,1,-1,-2,1,-8,8,15,5,21.125,21.125,21.125,-2.4375,-2.4375,-2.4375,2.857478,3.305975,3.324936,7.238663,3.14665,9.957623,-0.02959783,-0.4127658,1.481768,0.366193,-0.4348289,1.481637,0.2109998,0.3978509,1.656694,0.003814171,-0.386948,1.43368,0.3635984,-0.4296397,1.504429,0.1938996,-0.06757259,1.641075,0.189,-0.3946235,1.621597,0.02670649,0.1195332,1.623918,0.101669,-0.3849834,1.589292,-0.04084172,-0.134375,1.621648,0.4036016,-0.1391463,1.602223,NA,NA,Unknown,Unknown,
0.9555664,-0.5332031,0.1899414,0.9057617,0.40625,0.0703125,1,5,-8,-3,-3,15,9,-1,-23,-1,1,3,10,-3,-9,-8,40.3125,40.3125,40.3125,-4.625,-4.625,-4.625,3.035586,3.425873,3.211952,7.225059,3.154785,9.968061,-0.01937543,-0.392389,1.470752,0.3665269,-0.4333815,1.481572,0.2111039,0.397922,1.657306,0.01213593,-0.3904781,1.505,0.3676051,-0.4300161,1.50251,0.1940644,-0.06750182,1.641662,0.1894224,-0.3945189,1.621972,0.02596316,0.1196783,1.625126,0.1020338,-0.3848954,1.58966,-0.04059702,-0.1330727,1.625612,0.4038874,-0.1391995,1.602556,NA,NA,Unknown,Unknown,
0.8671875,-0.6708984,0.3041992,0.9658203,0.4638672,0.07080078,16,4,10,14,33,-17,-5,0,-18,4,4,3,-14,-17,-7,-10,29.5625,29.5625,29.5625,-89.125,-89.125,-89.125,3.163817,3.584332,3.113237,7.112249,3.195971,9.984957,-0.0006567845,-0.3555244,1.448762,0.3645635,-0.4324319,1.478209,0.2111697,0.3979623,1.657742,0.03682492,-0.3781474,1.480615,0.3453053,-0.4316197,1.506115,0.1944154,-0.06744147,1.642147,0.1904138,-0.3943515,1.622387,0.02529278,0.1197445,1.626465,0.1028973,-0.384939,1.590131,-0.04270569,-0.1198524,1.636095,0.4041387,-0.1391451,1.602845,NA,NA,Unknown,Unknown,
0.753418,-0.7207031,0.3969727,0.9428711,0.3935547,0.1533203,-5,0,-11,-5,-7,5,-23,4,-9,-12,2,0,14,1,-17,-10,29.375,29.375,29.375,-73.4375,-73.4375,-73.4375,3.293095,3.802591,3.010299,6.927357,3.277957,0.0217351,0.04936307,-0.3118356,1.448364,0.3602499,-0.4218604,1.470446,0.2111467,0.3979717,1.65786,0.07336307,-0.374016,1.477186,0.3395097,-0.4239991,1.505,0.1948576,-0.06739065,1.642381,0.1917851,-0.3941028,1.622538,0.02450397,0.1196127,1.627505,0.1041613,-0.3850915,1.590298,-0.04597603,-0.1060706,1.643296,0.4043579,-0.1387783,1.60408,NA,NA,Unknown,Unknown,
0.3876953,-0.7675781,0.4594727,0.8027344,0.5766602,0.2543945,-17,11,-12,0,-6,-2,13,15,-12,-1,4,-3,2,-8,-16,1,13.375,13.375,13.375,-13.75,-13.75,-13.75,3.411233,4.154595,2.863103,6.828362,3.413827,0.07984479,0.06040296,-0.2387062,1.398049,0.3519197,-0.4029603,1.450069,0.2110191,0.3979601,1.658103,0.1198766,-0.2514884,1.472889,0.3272064,-0.4205467,1.486167,0.1947881,-0.06739186,1.642669,0.1916571,-0.3941031,1.622791,0.02727816,0.1193008,1.627509,0.1041221,-0.3850791,1.590697,-0.04806012,-0.09927888,1.647348,0.4058842,-0.1398772,1.60746,NA,NA,Unknown,Unknown,
0.2280273,-0.7089844,0.4150391,0.6743164,0.6000977,0.2836914,-9,-8,-9,3,9,-8,14,3,8,1,0,11,9,-5,21,5,6.5625,6.5625,6.5625,0.5,0.5,0.5,3.461586,4.399087,2.790823,6.797338,3.612425,0.1100994,0.0769425,-0.1817305,1.385709,0.3423786,-0.3770545,1.426828,0.2106415,0.397963,1.658456,0.1193903,-0.2388274,1.47675,0.3266896,-0.3760199,1.4831,0.1941282,-0.06711906,1.643513,0.1901809,-0.3933777,1.623645,0.02616688,0.1206522,1.629664,0.1025956,-0.3838139,1.591631,-0.04926696,-0.08981495,1.645748,0.4083995,-0.1373563,1.610996,NA,NA,Unknown,Unknown,
