ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.01269531,-0.9770508,0.2363281,-0.9418945,0.2255859,0.2695313,-6,2,-8,-5,-6,-2,7,9,1,-1,-5,-2,3,6,-5,8,-3.75,-3.75,-3.75,0.375,0.375,0.375,2.872371,4.98557,1.036006,6.13174,6.932014,9.591375,0.229387,-0.08833722,1.508778,0.3439992,0.2827992,1.406004,0.2311251,0.3949827,1.70454,0.2658845,-0.1273028,1.529573,0.3404706,0.2857529,1.354903,0.2199793,-0.0701315,1.684214,0.2116331,-0.3882501,1.661093,0.06109154,0.1189041,1.661144,0.1228858,-0.3797659,1.633793,-0.002286131,-0.08254097,1.563236,0.3649367,-0.02394567,1.439829,NA,NA,Unknown,Lasso,
-0.002441406,-1.000488,0.2495117,-0.9682617,0.2109375,0.2661133,7,-7,-45,-5,-1,1,-17,-11,2,-3,1,0,-3,0,-2,-6,-0.125,-0.125,-0.125,-3.1875,-3.1875,-3.1875,2.872717,4.983754,1.039144,6.125684,6.936596,9.588019,0.2152371,-0.08972429,1.510073,0.3446885,0.2830838,1.407566,0.231168,0.3951039,1.704575,0.2467171,-0.1253595,1.535367,0.3406782,0.2859598,1.356545,0.2199222,-0.07012714,1.68428,0.2116234,-0.3881418,1.661088,0.06006944,0.1192764,1.661867,0.1228576,-0.3796726,1.633817,-0.001864874,-0.08230097,1.563212,0.3650261,-0.02392413,1.439856,NA,NA,Unknown,Unknown,
-0.006347656,-0.9833984,0.2358398,-0.9785156,0.2358398,0.2509766,-6,-7,4,3,6,4,2,-1,5,2,5,-3,4,1,-11,-10,-1.5,-1.5,-1.5,2.75,2.75,2.75,2.875371,4.981605,1.040264,6.117017,6.939373,9.576234,0.2264511,-0.08922521,1.509802,0.3452944,0.2834977,1.407242,0.23107,0.3952051,1.704643,0.2574961,-0.1267562,1.53257,0.3414763,0.2861236,1.356575,0.2198633,-0.07012306,1.684323,0.2116025,-0.3879999,1.661033,0.06002255,0.1193946,1.661999,0.1228586,-0.3795761,1.633771,-0.001750419,-0.082295,1.563493,0.3651177,-0.02429121,1.440149,NA,NA,Unknown,Unknown,
0.01806641,-0.9921875,0.2358398,-0.9897461,0.2475586,0.2788086,-22,-1,-2,-3,-1,4,-30,-63,3,7,9,11,1,0,-13,11,2.5625,2.5625,2.5625,4.375,4.375,4.375,2.875042,4.982802,1.041946,6.07708,6.935206,9.524257,0.2915493,-0.06619804,1.486099,0.3490412,0.282974,1.408811,0.2309148,0.3952175,1.704786,0.2874407,-0.02373678,1.532296,0.3426332,0.2862929,1.356147,0.2197307,-0.07020652,1.684407,0.2115779,-0.3879924,1.661034,0.05996283,0.1192201,1.662103,0.1228137,-0.3795745,1.633803,-0.00166433,-0.08259513,1.563795,0.3652549,-0.0244616,1.440336,NA,NA,Unknown,Lasso,
-0.01464844,-1.020996,0.2314453,-0.9658203,0.1918945,0.315918,3,-1,0,-1,26,5,29,-6,-13,-1,-1,31,17,0,4,10,2.6875,2.6875,2.6875,1.875,1.875,1.875,2.874071,4.987323,1.039595,6.011145,6.93497,9.448662,0.20992,-0.09291577,1.516751,0.3535231,0.2826671,1.407951,0.2307749,0.3953529,1.704903,0.2381942,-0.1358777,1.535373,0.3472699,0.2877207,1.356613,0.219906,-0.06984889,1.684406,0.211583,-0.3879559,1.661039,0.05942687,0.1192954,1.662502,0.1228557,-0.3795627,1.633746,-0.001559338,-0.08256564,1.563846,0.3646805,-0.02488009,1.440876,NA,NA,Unknown,Lasso,
-0.01904297,-0.9951172,0.2207031,-0.9628906,0.1904297,0.3007813,5,-1,-9,2,-1,-4,-6,3,-4,-4,-3,-11,1,-2,4,-6,-4.1875,-4.1875,-4.1875,-1.3125,-1.3125,-1.3125,2.871921,4.991811,1.038738,6.01576,6.942332,9.457285,0.2102585,-0.09304915,1.516995,0.3527271,0.2839037,1.412128,0.2306378,0.3954043,1.704937,0.2424507,-0.1316453,1.536015,0.3494997,0.2844053,1.359757,0.220021,-0.0695861,1.684409,0.211621,-0.387923,1.661041,0.05905338,0.1193764,1.662665,0.1229135,-0.3795324,1.633735,-0.001226096,-0.08269277,1.564002,0.3646598,-0.0250421,1.441264,NA,NA,Unknown,Lasso,
0.006347656,-0.9770508,0.2485352,-0.9614258,0.215332,0.2734375,10,-2,3,-2,-3,7,-6,-4,9,3,0,-3,-2,-3,-11,-5,-0.125,-0.125,-0.125,1.3125,1.3125,1.3125,2.872025,4.991181,1.036709,6.062485,6.947282,9.505886,0.2870775,-0.06808703,1.491134,0.3513595,0.2830397,1.411814,0.2305062,0.395415,1.704976,0.2692293,-0.02248036,1.5365,0.3448043,0.2856207,1.357974,0.2198697,-0.06969488,1.684503,0.211611,-0.3878891,1.661041,0.05864609,0.119252,1.662821,0.1228978,-0.3794984,1.633781,-0.000794933,-0.08295397,1.563901,0.3648076,-0.02521165,1.441457,NA,NA,Unknown,Unknown,
0.01074219,-0.9892578,0.2495117,-0.9560547,0.2133789,0.2797852,-24,-7,20,7,-4,-33,28,-57,13,-1,-3,1,12,0,2,4,0.625,0.625,0.625,0.1875,0.1875,0.1875,2.874231,4.989958,1.0348,6.072851,6.942027,9.515837,0.2825021,-0.06998241,1.493659,0.3502807,0.2837874,1.41134,0.2304084,0.395421,1.705102,0.267545,-0.02530513,1.5355,0.345967,0.2875814,1.359287,0.2197531,-0.06986462,1.684591,0.2116165,-0.3879113,1.661033,0.05892944,0.1191544,1.662778,0.1228989,-0.3795176,1.633767,-0.0002514834,-0.08329131,1.564249,0.3652278,-0.02535065,1.441664,NA,NA,Unknown,Lasso,
-0.01611328,-1.001465,0.2416992,-0.9658203,0.1845703,0.2797852,-14,-1,14,-2,0,29,34,14,8,-2,-4,2,-5,2,0,21,1.6875,1.6875,1.6875,0.375,0.375,0.375,2.876654,4.990983,1.033779,6.101918,6.934737,9.550492,0.2835097,-0.06853955,1.494511,0.3489138,0.2828696,1.409816,0.2301969,0.395462,1.70514,0.2676704,-0.02373774,1.535676,0.3445373,0.2842315,1.358355,0.2197315,-0.06983712,1.684607,0.2116154,-0.3878945,1.661003,0.05899912,0.1193733,1.66286,0.1229041,-0.3795184,1.633693,-2.513908E-06,-0.0832087,1.564529,0.3655297,-0.02561766,1.442077,NA,NA,Unknown,Lasso,
-0.02783203,-0.9956055,0.2260742,-0.9555664,0.1591797,0.2880859,7,0,-8,-4,-7,-6,-73,-9,9,2,3,9,10,-34,-27,-7,2.75,2.75,2.75,-11.125,-11.125,-11.125,2.882137,4.993745,1.034321,6.262239,6.903961,9.740076,0.215799,-0.09383252,1.518709,0.3410125,0.282184,1.40197,0.22996,0.395439,1.70507,0.2397051,-0.1441488,1.532368,0.3469224,0.2871246,1.358962,0.2196015,-0.0699423,1.684709,0.2115727,-0.3879001,1.661026,0.05850596,0.1195036,1.663182,0.1228284,-0.3795589,1.633833,0.0003236715,-0.08325073,1.564701,0.3657092,-0.02570495,1.442141,NA,NA,Unknown,Lasso,
-0.02636719,-0.9682617,0.2612305,-0.8486328,0.2265625,0.3286133,18,-4,-11,1,25,30,102,13,15,2,-3,-11,10,2,11,-23,0.375,0.375,0.375,-23.1875,-23.1875,-23.1875,2.885225,4.991559,1.024913,6.499071,6.82799,0.02740936,0.2610001,-0.07490026,1.489994,0.317715,0.2771507,1.389746,0.2298888,0.3954065,1.705057,0.250687,-0.1163474,1.530487,0.3178872,0.2809724,1.337853,0.2195103,-0.06992758,1.684744,0.2114912,-0.3876927,1.660994,0.05844282,0.1195605,1.663304,0.1227338,-0.3792726,1.63384,0.001271795,-0.08347933,1.564821,0.3658775,-0.02596595,1.442402,NA,NA,Unknown,Unknown,
-0.01318359,-0.9829102,0.2353516,-0.8354492,0.2949219,0.1699219,-4,-10,-8,-8,-21,-51,-22,-16,-17,-12,-3,-13,-58,-14,-7,-7,-0.125,-0.125,-0.125,7.75,7.75,7.75,2.884728,4.988616,1.019847,6.840505,6.627712,0.4618905,0.2180934,-0.08704328,1.51875,0.2635156,0.2545706,1.372943,0.2264467,0.3955356,1.703338,0.2402823,-0.1384012,1.529129,0.2685792,0.2660321,1.314818,0.219333,-0.07026677,1.684821,0.2114028,-0.3881587,1.66105,0.05857547,0.1170357,1.661399,0.1229346,-0.3802757,1.635047,0.001121687,-0.08624449,1.563722,0.3618454,-0.01785942,1.436854,NA,NA,Unknown,Lasso,
0.02490234,-0.9790039,0.2421875,-0.6943359,0.7612305,0.1669922,1,8,13,3,9,42,28,22,6,4,7,1,-3,1,-6,2,-5.5625,-5.5625,-5.5625,-0.6875,-0.6875,-0.6875,2.879825,4.967825,0.9797401,7.176515,6.265512,0.8579569,0.267809,-0.08257823,1.494127,0.1999143,0.2140037,1.372918,0.2280815,0.4027609,1.705866,0.27377,-0.04474885,1.50681,0.1877599,0.2100629,1.319714,0.2170351,-0.07560598,1.68447,0.2109453,-0.3937648,1.661064,0.05821341,0.1167843,1.661454,0.1227394,-0.3860561,1.637143,0.002172686,-0.08671545,1.563364,0.3726671,-0.07248443,1.458109,NA,NA,Unknown,Unknown,
0.08154297,-1.025879,0.2456055,-0.659668,0.9160156,0.1708984,-7,-2,-4,0,3,-2,-26,-32,1,-1,2,24,18,-2,-2,-17,-7,-7,-7,-8.1875,-8.1875,-8.1875,2.869277,4.935343,0.9354945,7.288157,6.046762,1.034492,0.2907069,-0.05817084,1.488732,0.159848,0.1642374,1.375052,0.2308661,0.4016776,1.706218,0.360473,-0.09150523,1.447087,0.1510865,0.1768654,1.337342,0.2181462,-0.07744586,1.683754,0.2119427,-0.396931,1.661045,0.05686477,0.1162878,1.66168,0.1239782,-0.389698,1.63571,0.004410293,-0.08763407,1.562335,0.4047012,-0.08454533,1.49031,NA,NA,NotTracked,Lasso,
0.02148438,-0.9980469,0.1699219,-0.5791016,0.925293,0.08007813,-1,-2,-3,-9,-12,-9,-13,-36,3,2,-2,-14,-15,-12,-10,8,-8.5,-8.5,-8.5,-15,-15,-15,2.85887,4.926338,0.9127963,7.360002,5.87454,1.193676,0.2791148,-0.08266581,1.486963,0.1067052,0.1435772,1.393449,0.232833,0.3995467,1.706192,0.3516448,-0.08658503,1.4375,0.1036685,0.1198904,1.34516,0.2188199,-0.07694688,1.684005,0.2124392,-0.3969753,1.661111,0.05716063,0.1146275,1.660094,0.1250605,-0.3897174,1.633603,0.005283676,-0.08946223,1.560816,0.374231,-0.05046824,1.463536,NA,NA,Unknown,Lasso,
0.03710938,-0.9770508,0.2231445,-0.4633789,1.008301,-0.01611328,5,-3,-1,1,22,23,-5,2,1,-11,-8,9,13,0,17,-10,-2.125,-2.125,-2.125,7.1875,7.1875,7.1875,2.847753,4.925495,0.8987082,7.465429,5.675697,1.37809,0.2801203,-0.078019,1.476195,0.0786096,0.1103958,1.415311,0.2332099,0.3986286,1.70641,0.3449002,-0.08308164,1.433119,0.08715896,0.1547707,1.463231,0.2199793,-0.07517116,1.684462,0.2128665,-0.3962478,1.661412,0.05326903,0.1131304,1.65975,0.1258131,-0.3889051,1.633424,0.008463822,-0.09132006,1.557444,0.3729153,-0.04910813,1.464589,NA,NA,Unknown,Unknown,
0.03857422,-0.9858398,0.2060547,-0.3671875,0.9765625,-0.005371094,12,-4,-4,8,-1,14,-12,-6,-6,-6,0,-40,0,-5,-28,-6,-1.8125,-1.8125,-1.8125,27,27,27,2.847914,4.919275,0.8935808,7.555192,5.577378,1.467747,0.2806906,-0.1052346,1.494343,0.1072325,0.06373545,1.416024,0.2334003,0.3979142,1.706433,0.2884392,-0.1622846,1.52349,0.0836271,0.1080539,1.458,0.2206908,-0.07325516,1.684712,0.2130625,-0.3939447,1.661729,0.05258732,0.1154076,1.660275,0.1264542,-0.3864342,1.63403,0.01339269,-0.08883578,1.554862,0.371616,-0.04839024,1.465064,NA,NA,NotTracked,NotTracked,
