ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9228516,-0.3500977,0.144043,0.9135742,0.3144531,0.121582,0,0,-1,-1,-3,-1,0,2,0,1,0,-1,-1,-2,-1,1,1.25,1.25,1.25,4.1875,4.1875,4.1875,3.111516,3.126665,7.222785,6.987338,3.028631,3.311321,-0.04298013,-0.4254044,1.688927,0.3547532,-0.4503395,1.659998,0.1771902,0.3994217,1.77618,-0.08900619,-0.4255714,1.710093,0.3038314,-0.4434106,1.639958,0.1581355,-0.06750094,1.779839,0.1469858,-0.3944992,1.762569,-0.01564003,0.1293965,1.773083,0.06076026,-0.3845862,1.732117,-0.05700018,-0.1423428,1.78293,0.37669,-0.142178,1.751056,NA,NA,NotTracked,NotTracked,
0.921875,-0.3525391,0.1459961,0.9067383,0.3056641,0.112793,0,0,-1,-1,0,1,1,2,-1,-4,0,-1,-1,-3,2,-2,0.875,0.875,0.875,-1.875,-1.875,-1.875,3.111988,3.126713,7.222864,7.000152,3.024544,3.296762,-0.04298101,-0.4258269,1.689159,0.3562529,-0.4498284,1.661702,0.1772856,0.399371,1.77597,-0.08944449,-0.4256899,1.712675,0.3036734,-0.4474323,1.639801,0.1581017,-0.06751666,1.779773,0.1469631,-0.3945051,1.762562,-0.01568594,0.1294813,1.773109,0.06072696,-0.3845906,1.732095,-0.05694659,-0.1421576,1.782998,0.3769459,-0.1424509,1.750928,NA,NA,NotTracked,NotTracked,
0.9160156,-0.3540039,0.1450195,0.9404297,0.2866211,0.1123047,-4,-2,-1,0,0,1,-3,-4,-1,1,2,-1,-5,0,-1,2,0.5625,0.5625,0.5625,4.625,4.625,4.625,3.111864,3.126743,7.223133,7.020527,3.012409,3.273536,-0.04223483,-0.4416445,1.685966,0.3585949,-0.4513071,1.662848,0.1773148,0.3993672,1.775892,-0.08855862,-0.4259019,1.710064,0.3035704,-0.4477059,1.638775,0.1580846,-0.06751582,1.779755,0.1469739,-0.3945065,1.762551,-0.01568862,0.1294957,1.773098,0.06075094,-0.3845751,1.732058,-0.05705991,-0.1423275,1.783034,0.3772659,-0.1426919,1.750768,NA,NA,NotTracked,NotTracked,
0.9370117,-0.3681641,0.1420898,0.9238281,0.3066406,0.08642578,1,1,0,1,-1,0,2,3,0,1,1,-2,-1,-2,1,0,0.5625,0.5625,0.5625,6.9375,6.9375,6.9375,3.111864,3.126743,7.223133,7.032077,3.005896,3.276437,-0.04282312,-0.4247826,1.687822,0.3607365,-0.4515601,1.663462,0.1773863,0.3993675,1.775814,-0.08806261,-0.4263362,1.70259,0.3066233,-0.4483534,1.641475,0.1580172,-0.06752204,1.779662,0.1468832,-0.3945002,1.762477,-0.01563337,0.1295798,1.772964,0.0606132,-0.3845153,1.73193,-0.05717016,-0.1415027,1.782901,0.3776662,-0.1430138,1.750549,NA,NA,NotTracked,NotTracked,
0.9086914,-0.3540039,0.140625,0.9711914,0.3330078,0.05029297,1,1,-2,-1,-3,-2,-3,0,2,6,1,-3,-2,-4,-8,-2,0.4375,0.4375,0.4375,-4.625,-4.625,-4.625,3.111019,3.126479,7.223845,7.019863,3.009022,3.29456,-0.04319305,-0.4246019,1.689978,0.3607343,-0.4528679,1.66546,0.1774585,0.3994139,1.775817,-0.08723165,-0.4176114,1.7022,0.3090872,-0.4348337,1.647267,0.1580206,-0.0675219,1.779662,0.1468801,-0.3945022,1.762479,-0.01562051,0.129595,1.772931,0.06060211,-0.3845053,1.731931,-0.05712428,-0.1411488,1.783068,0.3778523,-0.1432129,1.750509,NA,NA,NotTracked,NotTracked,
0.9316406,-0.3486328,0.1513672,1.074707,0.3623047,-0.01074219,-2,0,-1,-3,-2,-1,-1,-2,-16,-35,-18,-13,-7,0,2,-2,0.4375,0.4375,0.4375,-87.8125,-87.8125,-87.8125,3.111419,3.126601,7.223713,6.962987,3.037699,3.282255,-0.04228345,-0.4320191,1.687596,0.3569183,-0.4501458,1.660189,0.1776535,0.399414,1.775856,-0.08757854,-0.4180747,1.705912,0.3076355,-0.4415056,1.643623,0.1580905,-0.06751364,1.779637,0.1468974,-0.3945079,1.762471,-0.01560499,0.1296124,1.772942,0.06062357,-0.3845091,1.73193,-0.05709451,-0.1410424,1.78311,0.3781252,-0.1432517,1.750625,NA,NA,NotTracked,NotTracked,
0.9189453,-0.3500977,0.1298828,1.037109,0.5170898,0.3496094,0,-2,-1,-1,-1,-1,-1,0,4,-1,17,34,27,4,-6,-9,2.1875,2.1875,2.1875,-9.4375,-9.4375,-9.4375,3.11483,3.126643,7.222982,6.665071,3.238467,3.483905,-0.04305887,-0.4250019,1.688728,0.3340875,-0.4293758,1.636802,0.1777274,0.3993738,1.775775,-0.08861554,-0.4246745,1.708305,0.2922787,-0.4216292,1.628707,0.157887,-0.06749744,1.779517,0.1462956,-0.3943469,1.762384,-0.01559948,0.1296056,1.772913,0.05990234,-0.3843378,1.731818,-0.05705581,-0.1411758,1.782998,0.3805154,-0.1418608,1.752306,NA,NA,NotTracked,NotTracked,
0.9194336,-0.3808594,0.1611328,0.8569336,0.7285156,0.5908203,-1,0,0,-1,-1,-2,0,0,-24,-13,3,1,4,1,6,1,-7,-7,-7,10.625,10.625,10.625,3.109567,3.124017,7.219881,6.506409,3.681814,3.671177,-0.04307571,-0.425255,1.68968,0.2907746,-0.3775627,1.602517,0.1777937,0.3993621,1.77576,-0.08827457,-0.4282157,1.70519,0.2557044,-0.4132392,1.60725,0.1564775,-0.06699635,1.779415,0.1417519,-0.3929552,1.762387,-0.01560751,0.1296264,1.772882,0.05470361,-0.3826044,1.731756,-0.05716245,-0.1398474,1.783172,0.3901134,-0.1303242,1.760225,NA,NA,NotTracked,NotTracked,
0.921875,-0.3549805,0.1542969,0.4555664,0.6904297,0.5732422,0,0,-1,-2,0,-1,-1,-3,13,29,18,-8,1,2,0,2,-3.9375,-3.9375,-3.9375,-41.6875,-41.6875,-41.6875,3.106109,3.124038,7.215176,6.422184,4.131404,3.732666,-0.04408719,-0.4228604,1.689788,0.2354622,-0.2858168,1.599975,0.1780225,0.399348,1.775609,-0.08998117,-0.4266652,1.716,0.250449,-0.3536373,1.622389,0.15533,-0.06672932,1.779351,0.1388296,-0.3921978,1.762397,-0.01561453,0.1296969,1.772846,0.05192189,-0.3816744,1.731913,-0.05710507,-0.1386641,1.783488,0.3948062,-0.1121134,1.765105,NA,NA,NotTracked,Unknown,
0.9199219,-0.3300781,0.1445313,0.2158203,0.6938477,0.5234375,-2,-3,-2,-1,-2,-2,-4,0,-3,-29,6,12,-10,-1,17,2,-0.4375,-0.4375,-0.4375,-37.875,-37.875,-37.875,3.105978,3.125177,7.211812,6.341584,4.593274,3.770049,-0.04390838,-0.4386612,1.685902,0.2061455,-0.1681122,1.564819,0.178209,0.3992369,1.775409,-0.08928632,-0.4425305,1.703222,0.176386,-0.188812,1.619105,0.1552647,-0.06659235,1.779329,0.1386546,-0.3917656,1.762399,-0.0155472,0.1297328,1.772713,0.0518664,-0.3814616,1.731942,-0.05724139,-0.1365947,1.783333,0.3954896,-0.09799337,1.762929,NA,NA,NotTracked,Unknown,
