ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9462891,-0.2890625,0.06884766,0.921875,0.2895508,0.1411133,-4,-9,0,-1,1,1,-4,-3,-2,-3,-2,-1,0,-13,-2,-3,0.25,0.25,0.25,-0.4375,-0.4375,-0.4375,2.882102,2.993764,7.309063,6.760562,3.046091,3.585876,0.01519724,-0.4471765,1.694624,0.3718243,-0.4477291,1.650744,0.2394233,0.4000263,1.79443,-0.02429848,-0.4380074,1.70319,0.327395,-0.4370276,1.617067,0.2164103,-0.06940944,1.779467,0.2046125,-0.3993883,1.764394,0.04293139,0.1216916,1.766875,0.1174146,-0.3902933,1.73368,0.003971893,-0.1460155,1.775009,0.415981,-0.1415465,1.741758,NA,NA,NotTracked,NotTracked,
0.9526367,-0.3012695,0.0703125,0.9189453,0.3139648,0.1455078,-1,0,0,-3,-1,-2,-2,1,-1,-1,0,-2,1,5,0,-1,0.9375,0.9375,0.9375,1.125,1.125,1.125,2.882102,2.993764,7.309063,6.764632,3.047324,3.585061,0.01472846,-0.4472001,1.69459,0.3718997,-0.4473386,1.650124,0.2394067,0.3999225,1.794433,-0.02427176,-0.4432562,1.700586,0.3281004,-0.4497446,1.614194,0.216385,-0.06942429,1.779474,0.2045979,-0.3994119,1.764376,0.04295942,0.1216235,1.76688,0.1173999,-0.390318,1.733665,0.003980584,-0.1461091,1.775118,0.4160275,-0.1415767,1.741712,NA,NA,NotTracked,NotTracked,
0.9433594,-0.2958984,0.0703125,0.9189453,0.2929688,0.15625,-5,3,-2,-4,-2,-3,-1,-4,-1,1,0,0,-1,4,2,0,0.5,0.5,0.5,-0.9375,-0.9375,-0.9375,2.881149,2.993781,7.310157,6.762917,3.04767,3.585406,0.01494902,-0.4468921,1.694584,0.3719761,-0.4477159,1.650314,0.2394072,0.399933,1.794426,-0.02401333,-0.4531337,1.701432,0.3279383,-0.439472,1.616392,0.2163799,-0.06942166,1.779507,0.2045728,-0.3993936,1.764411,0.04295983,0.1215459,1.766972,0.1173662,-0.3902951,1.733722,0.003988525,-0.1459163,1.775348,0.4160876,-0.1415526,1.74177,NA,NA,NotTracked,NotTracked,
0.9482422,-0.2988281,0.06884766,0.9248047,0.3066406,0.1547852,0,27,-1,-3,-1,0,2,-2,-1,0,1,0,-2,-7,-3,1,0.3125,0.3125,0.3125,2.0625,2.0625,2.0625,2.88181,2.993901,7.309359,6.763446,3.046796,3.58678,0.01371205,-0.4351711,1.696454,0.3715777,-0.4475155,1.650079,0.2394046,0.3999351,1.794431,-0.02416521,-0.4514419,1.70315,0.3279084,-0.4394387,1.616375,0.216362,-0.06944843,1.779562,0.204581,-0.399418,1.764442,0.04301586,0.1215178,1.767073,0.1173658,-0.3903064,1.733747,0.004100344,-0.145685,1.775588,0.416022,-0.1417458,1.741878,NA,NA,NotTracked,NotTracked,
0.9482422,-0.3022461,0.0703125,0.9179688,0.3032227,0.1293945,-1,9,1,-1,0,0,0,-3,-1,-1,-3,0,0,6,-2,1,0.5625,0.5625,0.5625,-0.75,-0.75,-0.75,2.88182,2.994332,7.309347,6.766684,3.046333,3.58468,0.01473725,-0.4467753,1.694294,0.3720221,-0.4480639,1.649762,0.239434,0.3999353,1.794458,-0.02427997,-0.437656,1.701905,0.3279452,-0.4394439,1.616405,0.2163508,-0.06944053,1.779585,0.2045523,-0.399404,1.764475,0.04307811,0.1215239,1.76709,0.1173397,-0.390289,1.733776,0.00385481,-0.1448831,1.775785,0.4160294,-0.1417172,1.741899,NA,NA,NotTracked,NotTracked,
0.9506836,-0.2963867,0.07177734,0.9692383,0.3745117,0.0859375,-3,-4,0,-1,-2,-1,-2,1,-21,5,3,0,2,4,-6,7,0.8125,0.8125,0.8125,-36.6875,-36.6875,-36.6875,2.88096,2.993876,7.310208,6.768044,3.064311,3.55838,0.0144628,-0.4473649,1.694622,0.3723762,-0.4475778,1.649508,0.2394148,0.3999676,1.794462,-0.02567567,-0.4194179,1.710778,0.3277749,-0.4386376,1.616279,0.2163383,-0.06944883,1.779606,0.2045334,-0.3994083,1.764473,0.04308921,0.1215277,1.76712,0.1173092,-0.3902903,1.733754,0.003851241,-0.1448884,1.775768,0.4158909,-0.1421052,1.742121,NA,NA,NotTracked,NotTracked,
0.9506836,-0.3007813,0.07128906,1.026367,0.3110352,0.1279297,1,-2,-3,-3,1,-1,0,0,-17,-7,-21,-6,-7,-13,6,-13,2.3125,2.3125,2.3125,-9.6875,-9.6875,-9.6875,2.883566,2.996779,7.31111,6.711441,3.129815,3.559576,0.01492381,-0.4462424,1.694019,0.3734776,-0.4515572,1.643288,0.2393831,0.3999877,1.794489,-0.02456138,-0.4364315,1.704749,0.3276948,-0.4394832,1.615886,0.2163085,-0.0694669,1.77966,0.2045324,-0.3994304,1.764502,0.04305266,0.1215032,1.76729,0.1173092,-0.3903119,1.733774,0.003934509,-0.1452877,1.775829,0.4162723,-0.1419294,1.7424,NA,NA,NotTracked,NotTracked,
0.9394531,-0.2871094,0.05664063,0.9111328,0.7290039,0.1992188,2,-5,3,1,0,-3,0,0,-22,18,10,5,53,41,80,11,4.5625,4.5625,4.5625,-22,-22,-22,2.8914,3.001917,7.313225,6.707204,3.289377,3.570616,0.01480641,-0.4313666,1.696056,0.3694786,-0.4475652,1.614618,0.2392634,0.3999726,1.794551,-0.02410024,-0.4275052,1.704286,0.3265779,-0.450189,1.600293,0.2162902,-0.06947615,1.779688,0.2045482,-0.3994477,1.764418,0.04297132,0.1214196,1.767601,0.1173009,-0.3903336,1.733653,0.003915391,-0.1455718,1.775752,0.4184993,-0.1399943,1.744097,NA,NA,NotTracked,NotTracked,
0.9453125,-0.3071289,0.07714844,0.8745117,0.8666992,0.4873047,3,8,2,-1,-1,-1,4,0,-8,-18,-6,-6,-6,14,12,-1,-0.9375,-0.9375,-0.9375,-52.875,-52.875,-52.875,2.894361,3.003326,7.312786,6.654428,3.672424,3.479609,0.01828601,-0.4243565,1.694943,0.3587426,-0.3888227,1.552543,0.23899,0.4000612,1.794695,-0.02369946,-0.4362348,1.699777,0.3596314,-0.3865013,1.493615,0.2159693,-0.06941041,1.779833,0.2041155,-0.3993057,1.764343,0.04286844,0.1213112,1.767927,0.1166751,-0.3899949,1.733278,0.003763381,-0.1453693,1.775862,0.4220851,-0.1358827,1.745287,NA,NA,NotTracked,Lasso,
0.9296875,-0.296875,0.08398438,0.6035156,0.8745117,0.5742188,0,7,-1,-6,-1,-3,-1,-1,-4,-18,0,-6,-11,-1,-1,-6,0.0625,0.0625,0.0625,-29.625,-29.625,-29.625,2.896641,3.003888,7.311208,6.638302,4.123467,3.403885,0.01440408,-0.446725,1.694402,0.3464351,-0.2886482,1.483168,0.2388498,0.3999835,1.794748,-0.02557733,-0.4348812,1.705253,0.3635225,-0.2977034,1.434,0.2153037,-0.06935633,1.780123,0.2026183,-0.3990127,1.764438,0.04261794,0.1211111,1.768543,0.1151847,-0.3894119,1.733227,0.003552024,-0.1462101,1.776133,0.4310836,-0.1148118,1.746714,NA,NA,NotTracked,Unknown,
