ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9233398,-0.3652344,0.1333008,-0.8876953,0.4370117,-0.07324219,-1,0,-2,-1,-1,-1,-1,-2,1,-2,-1,-3,-4,3,2,-14,0.875,0.875,0.875,5.1875,5.1875,5.1875,3.072454,3.11885,7.358572,7.683966,6.769612,4.460205,-0.005512998,-0.419228,1.595872,0.2833702,0.3458444,1.460664,0.2177611,0.3988864,1.6778,-0.05199512,-0.4219092,1.61152,0.2526592,0.3596471,1.526627,0.1969361,-0.05684439,1.699529,0.181688,-0.3804973,1.678363,0.04034553,0.1393257,1.687763,0.090999,-0.3684457,1.649114,-0.02020894,-0.1131641,1.69623,0.3984542,0.04356843,1.437388,NA,NA,NotTracked,Open,
0.9233398,-0.3564453,0.1333008,-0.8867188,0.4321289,-0.07324219,0,0,-1,-1,0,0,1,0,-1,-1,0,-4,-3,1,9,-7,1,1,1,3.3125,3.3125,3.3125,3.072366,3.119436,7.359251,7.7236,6.783001,4.497082,-0.005535379,-0.4225716,1.596293,0.2828701,0.3507863,1.46516,0.218008,0.3980041,1.675816,-0.05502994,-0.4369995,1.610072,0.2492513,0.3624644,1.533,0.196822,-0.05693451,1.699437,0.1815811,-0.3804281,1.678325,0.0413148,0.1397159,1.688597,0.09088879,-0.3682429,1.648977,-0.02021876,-0.1140519,1.696086,0.397937,0.04678176,1.436478,NA,NA,NotTracked,Open,
0.9238281,-0.3535156,0.1357422,-0.8671875,0.4291992,-0.08642578,-2,0,-2,-1,-1,-1,-1,0,3,-8,-8,-5,4,4,1,-3,-0.4375,-0.4375,-0.4375,4.6875,4.6875,4.6875,3.072011,3.121991,7.358387,7.775516,6.792266,4.539743,-0.005934503,-0.4253574,1.595371,0.2830805,0.348869,1.46749,0.2184839,0.3973735,1.674295,-0.05464134,-0.4366473,1.608316,0.2419194,0.3590599,1.534765,0.1968738,-0.0570133,1.699487,0.1814792,-0.3803634,1.678306,0.04096217,0.139752,1.688652,0.09083588,-0.36809,1.648936,-0.02022716,-0.1148195,1.696051,0.3970176,0.05070696,1.435975,NA,NA,NotTracked,Unknown,
0.921875,-0.3505859,0.1298828,-0.8925781,0.3818359,-0.06787109,-1,-2,-2,1,-2,-1,-2,0,2,-4,-4,-5,-3,14,18,3,-0.4375,-0.4375,-0.4375,1.4375,1.4375,1.4375,3.071628,3.121488,7.358764,7.778398,6.798407,4.545801,-0.005854039,-0.4220563,1.596687,0.2883183,0.3302141,1.469916,0.2186621,0.3969737,1.673467,-0.05432763,-0.4295,1.610975,0.2199224,0.31672,1.53386,0.1971258,-0.056979,1.699814,0.181372,-0.3801595,1.678369,0.04055506,0.1398962,1.689034,0.09078336,-0.3677469,1.648905,-0.02042142,-0.1155709,1.696192,0.3967264,0.0539903,1.435389,NA,NA,NotTracked,Open,
0.9160156,-0.3413086,0.1303711,-0.8881836,0.4272461,-0.0546875,0,-4,1,-3,-1,-1,-1,-1,8,32,11,2,2,10,21,-6,-1.625,-1.625,-1.625,-4.4375,-4.4375,-4.4375,3.070998,3.120632,7.358522,7.770216,6.8021,4.536884,-0.005748577,-0.4224352,1.597768,0.2881342,0.3315344,1.470586,0.218727,0.3966092,1.672948,-0.05223484,-0.4292756,1.605863,0.2195658,0.3191898,1.535153,0.1972088,-0.05701308,1.70008,0.1812201,-0.3800469,1.678512,0.04118022,0.1401006,1.689524,0.09065969,-0.3675386,1.649089,-0.02042351,-0.1163517,1.696471,0.3966354,0.05486961,1.435223,NA,NA,NotTracked,Open,
0.9301758,-0.3535156,0.1401367,-0.9599609,0.449707,-0.07324219,-1,-3,-2,-1,-1,-1,-1,-2,53,3,3,2,-4,16,21,17,-0.3125,-0.3125,-0.3125,0.375,0.375,0.375,3.068515,3.120392,7.361136,7.746729,6.793444,4.51353,-0.006186103,-0.4255563,1.597407,0.2879989,0.3336224,1.467106,0.219006,0.3961216,1.672038,-0.05504211,-0.4378472,1.609353,0.2724475,0.2993087,1.519333,0.1972926,-0.0570483,1.700256,0.1811437,-0.3800366,1.678547,0.04177142,0.140236,1.690054,0.09061527,-0.3674917,1.649071,-0.02074021,-0.1167953,1.696355,0.3963562,0.05516762,1.435167,NA,NA,NotTracked,Open,
0.921875,-0.3574219,0.1347656,-0.9165039,0.4111328,-0.07128906,-3,-1,-2,-2,-1,-1,0,-1,19,7,4,-2,7,-2,12,-6,1.25,1.25,1.25,-1.8125,-1.8125,-1.8125,3.069259,3.120892,7.36112,7.753359,6.792723,4.524338,-0.006128966,-0.4231543,1.598293,0.2894812,0.3237665,1.469648,0.2192334,0.395743,1.671548,-0.05384234,-0.4275956,1.610786,0.2322232,0.30922,1.5392,0.1974005,-0.05716474,1.700742,0.1810234,-0.3800225,1.678759,0.04107315,0.140091,1.690622,0.09052892,-0.3674385,1.649196,-0.02122081,-0.1116757,1.698214,0.3958074,0.05612421,1.434945,NA,NA,NotTracked,Open,
0.921875,-0.3588867,0.1313477,-0.9389648,0.4238281,-0.09179688,-2,-2,0,-2,0,-2,0,-3,17,-2,-12,-1,3,6,5,6,0.8125,0.8125,0.8125,1.4375,1.4375,1.4375,3.068643,3.123149,7.36349,7.802219,6.801684,4.572262,-0.005946596,-0.4226429,1.598544,0.2817535,0.3457777,1.472364,0.2194353,0.3952602,1.670889,-0.05402406,-0.4319103,1.60998,0.2412825,0.3550813,1.537489,0.197489,-0.05722926,1.701025,0.1809372,-0.3800152,1.678919,0.04042419,0.1399422,1.691022,0.09049679,-0.3674134,1.649307,-0.02155071,-0.1114785,1.69915,0.3948099,0.0571143,1.434561,NA,NA,NotTracked,Open,
0.9204102,-0.3549805,0.1425781,-0.8076172,0.4707031,-0.03320313,-2,-1,-2,-1,-1,-2,-1,-1,-23,-27,-31,-9,-7,8,5,-16,1,1,1,-3.625,-3.625,-3.625,3.069899,3.124521,7.365237,7.82012,6.796431,4.597851,-0.005740797,-0.4260758,1.599564,0.2819994,0.3464664,1.475964,0.219546,0.3950913,1.670552,-0.05378696,-0.4308859,1.609937,0.2450642,0.3447778,1.538722,0.1972381,-0.0576675,1.701084,0.1808007,-0.3800325,1.679131,0.04095189,0.1400973,1.691429,0.09041005,-0.3673948,1.649423,-0.0218257,-0.1088928,1.700378,0.3940203,0.05851281,1.433948,NA,NA,NotTracked,Open,
0.918457,-0.3579102,0.137207,-0.9077148,0.3706055,-0.1386719,-2,-1,-2,-2,0,-2,0,0,-8,5,1,0,-16,-25,6,14,3.5625,3.5625,3.5625,-6.875,-6.875,-6.875,3.07146,3.124979,7.368215,7.906443,6.798533,4.711674,-0.006473379,-0.4221126,1.599897,0.2780818,0.3466924,1.486482,0.219667,0.3947826,1.669982,-0.0538681,-0.4302074,1.610729,0.2428609,0.3452648,1.538886,0.1971814,-0.05785089,1.701264,0.1807192,-0.3800818,1.679314,0.04131847,0.1401457,1.691797,0.09037124,-0.3674145,1.64961,-0.02180688,-0.1119698,1.700182,0.3933822,0.05965137,1.433737,NA,NA,NotTracked,Unknown,
