ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.934082,-0.340332,0.1411133,0.9301758,0.2680664,0.1328125,-1,-3,1,-1,-2,-3,-1,-2,8,0,-2,-2,-2,-2,-2,1,-0.75,-0.75,-0.75,-1.3125,-1.3125,-1.3125,3.114701,3.0976,5.138999,6.7799,3.048363,3.388216,-0.01279383,-0.4257968,1.501768,0.3398115,-0.452379,1.466235,0.2007442,0.4039597,1.611212,-0.05871874,-0.4359829,1.525696,0.2887443,-0.4629107,1.445417,0.183925,-0.06504644,1.604441,0.1772773,-0.3912809,1.587658,0.006279429,0.123117,1.595293,0.08945975,-0.3818807,1.556764,-0.03089389,-0.1417885,1.600548,0.3856405,-0.142906,1.565396,NA,NA,NotTracked,NotTracked,
0.9316406,-0.3369141,0.1303711,0.9399414,0.2661133,0.1425781,-2,-2,-3,-6,-1,-2,-1,-1,0,0,0,-1,1,0,-1,-1,1.75,1.75,1.75,-14.3125,-14.3125,-14.3125,3.115115,3.098063,5.140326,6.789681,3.044445,3.359959,-0.01321583,-0.4262733,1.502397,0.3413061,-0.453558,1.466112,0.2006881,0.4039365,1.61144,-0.05841731,-0.4365859,1.523787,0.2898369,-0.4551764,1.446379,0.1839556,-0.06511582,1.604518,0.177265,-0.3913341,1.587695,0.006190546,0.1231092,1.595422,0.08945041,-0.3819218,1.556792,-0.03090038,-0.1417397,1.600601,0.3855805,-0.1430426,1.565352,NA,NA,NotTracked,NotTracked,
0.925293,-0.3442383,0.1323242,0.9306641,0.3349609,0.1123047,-1,-1,0,1,0,0,-1,-1,2,-3,-2,-2,-3,-2,-1,0,1.25,1.25,1.25,-23.5625,-23.5625,-23.5625,3.113464,3.097886,5.142528,6.796835,3.048906,3.325068,-0.0130984,-0.4264809,1.502017,0.3423696,-0.4535323,1.464427,0.2006728,0.4039419,1.611535,-0.0582289,-0.4356354,1.523472,0.2910038,-0.4552923,1.446781,0.1839841,-0.06514826,1.604524,0.1772926,-0.3913725,1.587703,0.006048913,0.1228691,1.595562,0.08946279,-0.3819602,1.556781,-0.03095245,-0.1417554,1.600728,0.3854411,-0.143864,1.565261,NA,NA,NotTracked,NotTracked,
0.9204102,-0.3432617,0.1376953,0.9594727,0.3374023,0.1293945,0,-2,-2,-2,0,-1,-1,-2,2,9,3,0,-2,-2,-2,-1,1.375,1.375,1.375,-62.1875,-62.1875,-62.1875,3.115962,3.097076,5.142763,6.746806,3.084021,3.278346,-0.01324315,-0.4260796,1.500925,0.341663,-0.4526439,1.460304,0.2006466,0.4039239,1.611541,-0.05820642,-0.4351026,1.523684,0.2918665,-0.4374679,1.448,0.1839624,-0.06520081,1.604478,0.177299,-0.3914258,1.587673,0.005996121,0.1228278,1.595599,0.08947976,-0.3820148,1.556747,-0.03094085,-0.1418499,1.6008,0.3853952,-0.1442688,1.565197,NA,NA,NotTracked,NotTracked,
0.9228516,-0.3530273,0.1347656,0.9291992,0.4697266,0.253418,0,1,0,-1,-1,1,0,0,-2,-3,0,6,1,-3,-2,0,2.25,2.25,2.25,-38.4375,-38.4375,-38.4375,3.121403,3.0977,5.140602,6.66998,3.172335,3.288007,-0.01339133,-0.426227,1.502841,0.3383131,-0.45061,1.44902,0.200606,0.4039174,1.611531,-0.05816171,-0.4344309,1.523843,0.3389203,-0.438236,1.401456,0.1839114,-0.06518295,1.604493,0.1772811,-0.3914214,1.587689,0.00596607,0.1228354,1.595612,0.0894535,-0.3820097,1.556769,-0.03086216,-0.1422649,1.601041,0.3856428,-0.1443885,1.565407,NA,NA,NotTracked,NotTracked,
0.9179688,-0.3510742,0.1401367,1.031738,0.3613281,0.2807617,-1,-2,-2,0,-3,-3,-2,-1,-5,-31,-14,-8,5,2,3,5,-5.5625,-5.5625,-5.5625,-75.125,-75.125,-75.125,3.119936,3.097661,5.1375,6.552399,3.319204,3.293411,-0.01334813,-0.4267974,1.502812,0.3320394,-0.4271311,1.426767,0.2004699,0.4040182,1.611402,-0.05827943,-0.4354051,1.523945,0.3269419,-0.4073326,1.37818,0.1839016,-0.06518851,1.604491,0.1772053,-0.3914489,1.587758,0.00592959,0.1228613,1.5956,0.08936375,-0.3820114,1.556829,-0.03083146,-0.1424433,1.60112,0.3861773,-0.1441929,1.566105,NA,NA,NotTracked,NotTracked,
0.9287109,-0.3447266,0.1538086,0.9931641,0.7299805,0.6230469,-2,-3,0,-1,-1,-1,0,-1,5,11,11,-8,-9,0,4,4,-3.375,-3.375,-3.375,-86.125,-86.125,-86.125,3.121144,3.098345,5.129428,6.367689,3.681151,3.324045,-0.01335265,-0.4265043,1.501856,0.3183657,-0.3799514,1.367086,0.2003183,0.404018,1.611336,-0.05904161,-0.4329609,1.527097,0.3048174,-0.3559874,1.328315,0.1834567,-0.06532132,1.604525,0.1762047,-0.3916829,1.587827,0.005824393,0.122683,1.595542,0.08816666,-0.3820415,1.556837,-0.03089434,-0.1422706,1.601071,0.3875229,-0.1424197,1.568035,NA,NA,NotTracked,Unknown,
0.9423828,-0.3291016,0.137207,0.6049805,0.8320313,0.7226563,0,0,-1,-1,-1,0,0,-1,1,-15,-23,-12,-4,-3,-5,-2,1.9375,1.9375,1.9375,-33.875,-33.875,-33.875,3.127899,3.101251,5.12333,6.286877,4.121032,3.311147,-0.01365738,-0.4272137,1.501748,0.2976711,-0.2834598,1.300186,0.1999263,0.403926,1.611257,-0.05912663,-0.4427052,1.526427,0.3114859,-0.2810693,1.239,0.1822575,-0.06537363,1.604466,0.1729118,-0.391627,1.587888,0.005657722,0.1225682,1.595492,0.08477917,-0.3814972,1.556827,-0.03092402,-0.1410912,1.60098,0.3891297,-0.1322904,1.57348,NA,NA,NotTracked,Unknown,
0.9379883,-0.3251953,0.1328125,-0.01513672,0.7514648,0.6831055,-1,-3,0,-1,0,-2,-3,-1,9,17,9,-12,-11,1,-4,1,-0.1875,-0.1875,-0.1875,-35.3125,-35.3125,-35.3125,3.129842,3.10052,5.121954,6.216173,4.86195,3.298678,-0.01315362,-0.4287114,1.502067,0.2689629,-0.1430781,1.260121,0.199446,0.4038652,1.611118,-0.05636879,-0.4332328,1.518968,0.2898084,-0.1757324,1.246471,0.1819806,-0.06528001,1.604457,0.1726462,-0.3913732,1.587921,0.005571636,0.1225323,1.595483,0.08463107,-0.3813702,1.556892,-0.03095798,-0.1411897,1.600984,0.4304844,-0.1247236,1.514507,NA,NA,NotTracked,Closed,
0.9189453,-0.3603516,0.1533203,-0.3813477,0.5913086,0.6787109,0,1,-2,-2,-1,-2,-1,-1,-4,-15,-13,-15,-11,-3,-1,-4,-6.6875,-6.6875,-6.6875,9.9375,9.9375,9.9375,3.113317,3.093934,5.122835,6.205803,5.439768,3.302872,-0.01370165,-0.4258633,1.502746,0.2700406,0.00587286,1.275068,0.1990238,0.4039319,1.610994,-0.05830257,-0.433903,1.523796,0.2877061,-0.008110336,1.238565,0.1818401,-0.0651734,1.604569,0.17257,-0.3910386,1.588168,0.005612825,0.1224105,1.595278,0.08460181,-0.381197,1.557403,-0.03108053,-0.1408223,1.600991,0.3800543,-0.1260951,1.478883,NA,NA,NotTracked,Unknown,
