ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9472656,-0.315918,0.1337891,-0.4350586,0.6679688,0.5732422,-1,7,0,-2,-2,-1,-3,0,12,10,13,8,9,1,7,12,-3.1875,-3.1875,-3.1875,9.5,9.5,9.5,3.149475,3.003626,3.134636,6.434414,5.775613,9.927143,-0.02293066,-0.432115,1.693822,0.3068309,0.0835622,1.495985,0.1989203,0.3967211,1.743896,-0.05338299,-0.4346066,1.704651,0.2517588,0.08758649,1.497,0.189829,-0.06793478,1.751438,0.1817431,-0.3890304,1.740612,0.01716429,0.1218217,1.744261,0.09516289,-0.3803675,1.710526,-0.02631589,-0.1479091,1.77267,0.4134361,-0.08659685,1.641539,NA,NA,NotTracked,Unknown,
0.9423828,-0.3076172,0.1342773,-0.4931641,0.628418,0.5478516,-3,3,-1,-1,-2,-2,-1,-1,-1,-6,-10,-10,-8,-1,2,7,1,1,1,4.5625,4.5625,4.5625,3.149945,3.005678,3.13344,6.451017,5.947399,9.95435,-0.02303006,-0.4310606,1.694017,0.3087438,0.1277046,1.507767,0.1976516,0.3968385,1.745035,-0.0531304,-0.4365801,1.703031,0.2520979,0.1256769,1.495647,0.1896103,-0.06793646,1.751724,0.1815474,-0.3893314,1.740706,0.01658691,0.1218829,1.745055,0.09476805,-0.3809445,1.711044,-0.02676159,-0.1467015,1.773181,0.4182112,-0.08731807,1.63692,NA,NA,NotTracked,Unknown,
0.9555664,-0.2709961,0.1230469,-0.6430664,0.6298828,0.4521484,0,-2,-1,0,-2,-2,-4,-3,-8,1,0,0,2,-4,5,2,4.5,4.5,4.5,-8.1875,-8.1875,-8.1875,3.156741,3.014013,3.132815,6.476192,6.123319,0.02014097,-0.01538297,-0.4310007,1.690833,0.3129,0.1533867,1.520766,0.1966948,0.3969433,1.74589,-0.05716012,-0.4631775,1.711333,0.2557604,0.1537666,1.51325,0.1894289,-0.06794002,1.752127,0.1812487,-0.3899303,1.740758,0.0165326,0.1220433,1.745484,0.09406306,-0.382039,1.711788,-0.02673477,-0.1464806,1.773462,0.4286875,-0.09434456,1.626555,NA,NA,NotTracked,Unknown,
0.9560547,-0.2861328,0.1137695,-0.6542969,0.5996094,0.4365234,0,-4,1,0,0,-2,0,-2,19,12,0,-1,-2,-1,-6,-9,-0.25,-0.25,-0.25,3.3125,3.3125,3.3125,3.159632,3.013345,3.132232,6.511106,6.240811,0.07336777,-0.01509673,-0.4275165,1.693046,0.3168808,0.1686021,1.534147,0.1956731,0.3968056,1.746626,-0.05327456,-0.4221405,1.710303,0.2624015,0.1697309,1.523385,0.1885561,-0.06782854,1.752837,0.1801964,-0.3904877,1.741375,0.01622149,0.1225491,1.746491,0.09248483,-0.3827837,1.713375,-0.02689962,-0.1435769,1.773998,0.4301202,-0.09012935,1.620098,NA,NA,NotTracked,Open,
0.9414063,-0.3105469,0.1230469,-0.7387695,0.6206055,0.4169922,-2,-1,0,-1,0,2,2,-1,-11,-1,1,2,-2,-2,-4,-4,-1.875,-1.875,-1.875,-2.6875,-2.6875,-2.6875,3.151944,3.010959,3.135612,6.549913,6.331917,0.1263271,-0.0163558,-0.4192609,1.695465,0.3179044,0.1846911,1.545484,0.1950684,0.3970194,1.746998,-0.05619967,-0.3786618,1.726889,0.2615222,0.1863341,1.544895,0.1883715,-0.06762323,1.752986,0.1799275,-0.3904493,1.741519,0.01625357,0.1227401,1.746949,0.09205496,-0.3826323,1.713828,-0.02715076,-0.1414277,1.774374,0.4301824,-0.08538993,1.615878,NA,NA,NotTracked,Open,
0.9506836,-0.3032227,0.1357422,-0.824707,0.5454102,0.3383789,0,-2,-2,-3,-1,-3,-2,-1,-10,-13,-14,-9,-9,0,2,2,1.3125,1.3125,1.3125,4.0625,4.0625,4.0625,3.152584,3.012179,3.136283,6.61441,6.462062,0.2096154,-0.01620266,-0.4198266,1.695671,0.3234069,0.1927826,1.555516,0.1947994,0.3969328,1.747145,-0.05247442,-0.4189751,1.708837,0.2712135,0.1919453,1.5702,0.1883723,-0.0675294,1.753318,0.1797222,-0.390329,1.74171,0.01636957,0.1228954,1.747396,0.09178803,-0.3824602,1.714306,-0.02727191,-0.1398959,1.77484,0.4305509,-0.07967799,1.60908,NA,NA,NotTracked,Open,
0.9423828,-0.2885742,0.1328125,-0.8569336,0.4946289,0.2832031,1,3,-1,-1,0,1,-1,1,-10,-13,-5,1,0,-3,0,-1,0.625,0.625,0.625,12,12,12,3.154274,3.013104,3.13543,6.694431,6.569211,0.2905738,-0.01530847,-0.41793,1.695489,0.3259062,0.203938,1.566639,0.1948158,0.3968584,1.747202,-0.05126338,-0.4349646,1.702072,0.2823111,0.1968413,1.584615,0.1888888,-0.06725884,1.753999,0.1794112,-0.3899494,1.74213,0.01660292,0.1229442,1.7476,0.09126263,-0.3819016,1.714949,-0.02729243,-0.13742,1.77522,0.4272958,-0.08192323,1.61039,NA,NA,NotTracked,Unknown,
0.9379883,-0.3046875,0.1230469,-0.8481445,0.4746094,0.2338867,0,2,1,-1,-2,-1,-1,-1,7,-6,3,6,6,0,0,5,-4.625,-4.625,-4.625,5.375,5.375,5.375,3.149336,3.012151,3.134748,6.810643,6.654267,0.4068515,-0.01454492,-0.4181627,1.694729,0.3232904,0.215857,1.578394,0.1949984,0.3965965,1.746883,-0.05183385,-0.440385,1.698667,0.2780778,0.2150181,1.585192,0.1900363,-0.0666168,1.754621,0.179169,-0.3892735,1.742373,0.01704205,0.12301,1.747761,0.09086362,-0.3810797,1.71536,-0.02724809,-0.137064,1.775422,0.4366697,-0.04976325,1.56959,NA,NA,NotTracked,Unknown,
0.9472656,-0.2807617,0.1230469,-0.8007813,0.4672852,0.1855469,0,-12,-2,0,1,-1,-2,0,-1,-9,-3,-7,-2,0,5,-17,-3.5,-3.5,-3.5,5.875,5.875,5.875,3.141598,3.013837,3.131336,6.939734,6.702359,0.5468562,-0.01506008,-0.417016,1.694483,0.2459662,0.3187384,1.632879,0.1956325,0.3955452,1.745795,-0.05160876,-0.4433127,1.699875,0.2310301,0.2730754,1.664391,0.1911889,-0.06615593,1.755233,0.1788975,-0.3887242,1.74276,0.01785899,0.1231452,1.747856,0.09040751,-0.3803955,1.71591,-0.02717984,-0.1359747,1.775805,0.435216,-0.04075783,1.55999,NA,NA,NotTracked,Unknown,
0.9462891,-0.2851563,0.1259766,-0.8129883,0.4487305,0.1411133,-1,-1,-2,0,0,-2,-2,0,11,8,9,11,4,1,4,5,1.6875,1.6875,1.6875,1.875,1.875,1.875,3.142773,3.016329,3.128303,7.068895,6.72359,0.6892036,-0.01539995,-0.4164916,1.694201,0.2462582,0.3125328,1.63216,0.1969431,0.3940277,1.744683,-0.05221239,-0.4212989,1.707313,0.2116074,0.2565245,1.645334,0.1921128,-0.06631045,1.755575,0.1788417,-0.3886519,1.742827,0.01873277,0.1232325,1.747938,0.09026915,-0.3803041,1.715975,-0.02701255,-0.1351561,1.775896,0.4341817,-0.03358169,1.551887,NA,NA,NotTracked,Unknown,
0.9516602,-0.2954102,0.1157227,-0.8271484,0.4589844,0.1079102,2,-1,-1,-1,-2,1,-1,-1,16,-3,-5,-13,-11,-1,-1,7,0.625,0.625,0.625,-4.4375,-4.4375,-4.4375,3.14522,3.016566,3.128205,7.118751,6.721036,0.746901,-0.01524437,-0.4137709,1.694587,0.2454331,0.3134192,1.633749,0.1979776,0.3927268,1.743386,-0.0555232,-0.3804876,1.730125,0.2405097,0.2717115,1.674478,0.1918927,-0.06695801,1.754156,0.1787077,-0.3888254,1.742839,0.01993472,0.1231487,1.747817,0.09000033,-0.380492,1.715939,-0.02696541,-0.1343098,1.775802,0.4342512,-0.0294943,1.546078,NA,NA,NotTracked,NotTracked,
0.9453125,-0.2973633,0.1176758,-0.8623047,0.46875,0.105957,0,-1,-2,-2,-1,-2,-3,0,-1,-1,2,4,2,-1,0,-6,1.75,1.75,1.75,3.0625,3.0625,3.0625,3.146064,3.015256,3.129011,7.122796,6.717428,0.7492243,-0.01550718,-0.4138774,1.694537,0.2445584,0.3137904,1.632941,0.198695,0.3914748,1.742037,-0.05182052,-0.4411915,1.698267,0.2211097,0.2577487,1.662183,0.1909765,-0.06751725,1.752727,0.1785385,-0.3888513,1.742935,0.02036327,0.1230281,1.747756,0.08973573,-0.3803723,1.71602,-0.02690816,-0.1338964,1.775897,0.4347768,-0.02719694,1.54271,NA,NA,NotTracked,NotTracked,
0.9394531,-0.2958984,0.1274414,-0.8945313,0.4584961,0.1245117,-3,-6,0,-1,0,-2,-3,2,3,2,-9,-5,0,0,-5,-10,0.5,0.5,0.5,-3.8125,-3.8125,-3.8125,3.144469,3.014879,3.130816,7.106741,6.715858,0.7344959,-0.01541809,-0.4167831,1.694665,0.2851875,0.2638402,1.610222,0.1993708,0.3910322,1.741129,-0.05168934,-0.4415533,1.695539,0.2449221,0.2366827,1.627375,0.1916652,-0.06750084,1.752192,0.1784755,-0.3890274,1.742806,0.02089925,0.1230486,1.747699,0.08961827,-0.3805304,1.715786,-0.02674234,-0.1326876,1.776046,0.4354008,-0.02624941,1.540038,NA,NA,NotTracked,Unknown,
0.9433594,-0.296875,0.1210938,-0.8828125,0.4804688,0.1171875,-3,1,-1,-1,0,-1,-4,-4,6,5,7,6,0,-3,-3,-6,-1.125,-1.125,-1.125,0.6875,0.6875,0.6875,3.144141,3.015012,3.131335,7.096773,6.713048,0.7232928,-0.01545479,-0.4137767,1.694895,0.3071298,0.2339265,1.59546,0.1999765,0.3906916,1.740514,-0.05208347,-0.4188393,1.70375,0.2573927,0.2354912,1.594367,0.1925401,-0.06735527,1.752076,0.1785114,-0.3890826,1.742771,0.0212489,0.1231619,1.747604,0.08967056,-0.380605,1.715702,-0.02675074,-0.1314113,1.775936,0.4355572,-0.02605776,1.539345,NA,NA,NotTracked,NotTracked,
0.9443359,-0.2880859,0.1157227,-0.7631836,0.4887695,0.1137695,-1,3,0,-2,-3,-1,2,2,1,-7,-6,-2,-3,-4,-10,-7,-1.25,-1.25,-1.25,11.125,11.125,11.125,3.140857,3.012528,3.131427,7.068243,6.704918,0.6704581,-0.01614504,-0.4131117,1.695616,0.2735312,0.275516,1.61554,0.2005842,0.3903427,1.740029,-0.05166185,-0.4268832,1.705638,0.2415782,0.241629,1.6235,0.1931283,-0.06701004,1.751894,0.1784972,-0.3890564,1.742787,0.02178668,0.1231627,1.747234,0.08962581,-0.380514,1.715677,-0.02673171,-0.1312587,1.775934,0.4354818,-0.02639382,1.539819,NA,NA,NotTracked,Unknown,
0.9350586,-0.2822266,0.1191406,-0.7905273,0.480957,0.15625,-1,-2,-3,0,0,-1,-1,0,13,7,4,5,3,4,8,2,-2.0625,-2.0625,-2.0625,28.625,28.625,28.625,3.138165,3.01042,3.132134,6.959807,6.683036,0.5076205,-0.01697524,-0.4136553,1.695593,0.2995414,0.2489996,1.599407,0.2009625,0.3902081,1.739518,-0.05592876,-0.3777536,1.725923,0.2459405,0.2464913,1.593684,0.1920938,-0.06734864,1.751127,0.178367,-0.3890211,1.742851,0.02209186,0.1231783,1.747139,0.08947565,-0.3804243,1.715704,-0.02664307,-0.1312837,1.775856,0.4358276,-0.02706642,1.539684,NA,NA,NotTracked,NotTracked,
0.9438477,-0.2734375,0.1313477,-0.8115234,0.3974609,0.2304688,-1,0,-1,-1,0,-2,-2,0,3,0,-4,-5,7,-13,-17,-16,4.625,4.625,4.625,75.75,75.75,75.75,3.142111,3.009709,3.13263,6.780935,6.6426,0.1904027,-0.01684896,-0.4139544,1.695364,0.3207192,0.2259583,1.570328,0.2010713,0.3905089,1.739314,-0.05619398,-0.3992232,1.720572,0.2446079,0.2490357,1.5564,0.1927317,-0.0666161,1.751811,0.1785153,-0.3886552,1.742785,0.02219214,0.1232008,1.747092,0.08955251,-0.3799686,1.715479,-0.02646589,-0.1326325,1.775771,0.4310672,-0.05474449,1.571143,NA,NA,NotTracked,Unknown,
0.9628906,-0.2832031,0.1142578,-0.934082,0.4936523,0.1923828,-1,-2,-1,-1,-1,0,0,-1,-15,-8,-5,-3,-6,-5,-22,-2,6.5625,6.5625,6.5625,123.375,123.375,123.375,3.150234,3.007999,3.139855,6.703685,6.535244,9.781645,-0.01703389,-0.4136061,1.69496,0.3442396,0.2089118,1.534813,0.201319,0.3913726,1.739621,-0.05242425,-0.4198302,1.707375,0.3301413,0.2157667,1.4815,0.1923787,-0.0666685,1.752313,0.178562,-0.3885809,1.742729,0.02226126,0.1232614,1.747086,0.0896978,-0.3797939,1.715126,-0.02640862,-0.1338673,1.775242,0.4303754,-0.07130533,1.59626,NA,NA,NotTracked,Unknown,
0.9291992,-0.3144531,0.1176758,-0.8686523,0.6694336,0.3442383,-1,-3,-2,-1,-1,-1,-2,-3,-5,0,0,-2,-11,-8,-11,-21,-0.1875,-0.1875,-0.1875,27,27,27,3.148333,3.006097,3.144859,6.635403,6.373383,9.548261,-0.01708602,-0.4130776,1.694546,0.3669243,0.1910504,1.504298,0.2014911,0.3919528,1.740144,-0.05169208,-0.428692,1.700389,0.3548317,0.207552,1.428964,0.1900915,-0.0679819,1.750286,0.1786597,-0.3886575,1.742467,0.0216395,0.1232441,1.747096,0.09011984,-0.3799275,1.714019,-0.02636504,-0.1369704,1.775308,0.4227766,-0.09264075,1.640979,NA,NA,NotTracked,Closed,
0.9370117,-0.3139648,0.1289063,-0.7988281,0.5478516,0.4038086,-2,-1,-1,-1,0,0,0,-3,-6,-2,2,3,30,13,-3,-8,-5.1875,-5.1875,-5.1875,-27.125,-27.125,-27.125,3.14229,3.008068,3.146614,6.471611,6.216572,9.343468,-0.01737109,-0.4191992,1.693146,0.3881173,0.1750675,1.470284,0.2016163,0.3924437,1.740734,-0.05597023,-0.3888074,1.722641,0.3554853,0.1688021,1.403571,0.1899213,-0.06840821,1.751008,0.1786747,-0.3890981,1.742207,0.0211304,0.1231075,1.74692,0.09048426,-0.3806229,1.713026,-0.02735234,-0.1391638,1.774828,0.4221186,-0.09417319,1.64315,NA,NA,NotTracked,Unknown,
