ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.1381519,-0.08338425,0.5388803,-0.02576512,0.0149769,0.5428266,-0.4644237,0.3563897,1.221327,-0.1162627,-0.1561891,0.541875,-0.000629862,0.06883535,0.5269474,-0.3486373,0.01024921,1.197075,-0.2380137,-0.2277582,1.156002,-0.5578381,0.06292071,1.232691,-0.2687221,-0.2596132,1.150009,-0.5963639,-0.09340633,1.160229,-0.1859661,0.08007374,1.125584,NA,NA,NotTracked,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.4034478,-0.07748076,0.9350983,-0.04919941,0.02215109,0.5417961,-0.4800609,0.3952383,1.202362,-0.3776109,-0.1514567,0.9363635,-0.01088627,0.07394712,0.5193,-0.3327712,0.02259767,1.182075,-0.2116791,-0.2385379,1.156636,-0.5611144,0.1052248,1.204887,-0.2451317,-0.2737077,1.13576,-0.5943685,-0.07903759,1.173036,-0.2258895,0.1206059,1.056618,NA,NA,NotTracked,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.4173864,0.01350934,1.077936,-0.1235197,0.1029282,0.7767003,-0.4905012,0.4012241,1.198469,-0.4087243,0.0152725,1.04835,-0.08354233,0.1525807,0.7530718,-0.3254773,0.006193978,1.17475,-0.1724339,-0.3095427,1.144794,-0.5674664,0.1096235,1.20176,-0.207917,-0.3400316,1.122797,-0.6012015,-0.08818945,1.178322,-0.2209007,0.1131857,1.046441,NA,NA,Unknown,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.4223726,0.007465433,1.067231,-0.1200814,0.04638692,0.5428634,-0.5049033,0.4052082,1.1882,-0.4188248,0.0122484,1.0422,-0.04639719,0.1223261,0.5135,-0.3163066,-0.01531267,1.170148,-0.1518085,-0.3507412,1.136264,-0.5685673,0.1097873,1.203933,-0.187997,-0.3792632,1.113869,-0.6107558,-0.09560008,1.179973,-0.2138398,0.1052897,1.042708,NA,NA,Unknown,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.6092072,0.09719861,1.184223,-0.111131,0.06154993,0.5434247,-0.5211471,0.4113192,1.176049,-0.6207472,0.08043428,1.1225,-0.05449172,0.1297742,0.5214286,-0.3294695,-0.02293558,1.163301,-0.1634686,-0.3633572,1.138646,-0.5934302,0.1171058,1.184851,-0.199277,-0.3914486,1.118935,-0.5729426,-0.109376,1.160976,-0.2490478,0.1301855,0.9871188,NA,NA,NotTracked,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.636317,0.06879999,1.15438,-0.09128973,0.05967204,0.5457014,-0.5385217,0.4163254,1.167422,-0.6457435,0.0735351,1.113333,-0.07326414,0.1261596,0.5221667,-0.3401275,-0.025563,1.157463,-0.1703696,-0.3693803,1.137037,-0.6048266,0.1198242,1.179045,-0.205127,-0.396479,1.119017,-0.5192072,-0.1599353,1.113305,-0.2543312,0.1307159,0.9823289,NA,NA,NotTracked,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.6532207,0.06891726,1.150709,-0.08764613,0.05756125,0.5477261,-0.5530331,0.4092775,1.162642,-0.6714081,0.05661679,1.101421,-0.0634293,0.1275734,0.5247113,-0.3491967,-0.0214682,1.154961,-0.1876919,-0.3592918,1.136281,-0.6081257,0.120553,1.177517,-0.2245177,-0.3857896,1.108687,-0.5229106,-0.1619507,1.110038,-0.255149,0.1296329,0.9802215,NA,NA,NotTracked,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.6758589,0.06763589,1.144243,-0.08393373,0.05610577,0.5504693,-0.5724343,0.4056757,1.156208,-0.6903433,0.05334216,1.0994,-0.06396307,0.1273879,0.5249363,-0.359424,-0.01723318,1.151558,-0.1976668,-0.3527223,1.134224,-0.6122246,0.1211708,1.175809,-0.237436,-0.3777272,1.089599,-0.5317616,-0.1611911,1.099947,-0.2567818,0.1285641,0.9786506,NA,NA,NotTracked,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.1839423,-0.244842,0.6107905,-0.07993247,0.059413,0.5441824,-0.06870887,0.08017236,0.6542779,-0.2121822,-0.2600633,0.5866191,-0.1264199,0.0325072,0.553353,0.007408831,-0.2593894,0.8262947,0.06308513,-0.4758948,1.040318,-0.1597221,-0.2202522,0.6179216,0.01410482,-0.4858817,0.9968491,-0.07955208,-0.4925402,0.5321501,0.164809,-0.2754431,0.6528041,NA,NA,NotTracked,Unknown,
0.08251953,-0.1791992,1.094727,-0.253418,-0.6225586,0.8994141,-1,4,6,-31,0,-1,1,-5,-58,-62,-31,-15,-37,-5,-5,0,-2.6875,-2.6875,-2.6875,18.125,18.125,18.125,4.815609,4.833382,1.402061,4.069271,5.178019,4.898407,-0.1181995,-0.2242561,0.612521,-0.07796158,0.05968374,0.5457329,-0.06637893,0.08091369,0.6518961,-0.1675664,-0.2289822,0.5915806,-0.1259087,0.04724343,0.5589445,0.0007447324,-0.2587046,0.8250481,0.05475612,-0.4742312,1.03671,-0.1650605,-0.2202818,0.6191337,0.005036803,-0.486625,0.9925037,-0.08623333,-0.4876048,0.5350742,0.1567864,-0.2578745,0.6757491,NA,NA,NotTracked,NotTracked,
