ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9169922,-0.3618164,0.1259766,0.8701172,0.4077148,0.1333008,-1,-1,0,0,1,0,-2,-1,-3,-2,-1,-1,-1,-2,-2,0,0,0,0,0.3125,0.3125,0.3125,3.024991,3.131736,2.710802,7.005913,3.206248,8.516782,0.007410846,-0.4361777,1.514382,0.3853179,-0.4275571,1.465503,0.2310831,0.4030424,1.619569,-0.04061371,-0.4313139,1.517512,0.3460138,-0.408719,1.476344,0.2178926,-0.0652522,1.61601,0.2127123,-0.3896742,1.59881,0.0431037,0.1248558,1.613779,0.1243007,-0.3801717,1.568469,0.002238725,-0.1411971,1.616899,0.4307958,-0.1312749,1.586385,NA,NA,NotTracked,NotTracked,
0.9233398,-0.3652344,0.1191406,0.8818359,0.4013672,0.1230469,-1,0,-2,-1,0,-1,0,-1,-2,-2,-2,-2,-3,2,1,-2,0.625,0.625,0.625,-0.25,-0.25,-0.25,3.02632,3.131777,2.710049,7.001943,3.204969,8.519559,0.007532546,-0.4365624,1.514626,0.3853289,-0.4274694,1.465452,0.2311118,0.4030794,1.619548,-0.04074294,-0.4442177,1.517004,0.3407686,-0.4097871,1.472254,0.2178464,-0.06523678,1.615948,0.2126014,-0.3896614,1.59875,0.04311843,0.1248635,1.61374,0.1241786,-0.3801581,1.56837,0.00221008,-0.1412584,1.616653,0.4308971,-0.1313988,1.586052,NA,NA,NotTracked,NotTracked,
0.9257813,-0.3642578,0.1181641,0.8955078,0.4047852,0.137207,-1,0,-1,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-1,-1,1,1.4375,1.4375,1.4375,1.5,1.5,1.5,3.028054,3.131206,2.708728,7.002943,3.203178,8.521473,0.007676466,-0.4357649,1.51433,0.3851469,-0.4252788,1.464978,0.2311096,0.4031315,1.61942,-0.04223897,-0.4458632,1.521214,0.3478721,-0.4112321,1.476175,0.217785,-0.06517557,1.61583,0.2125059,-0.3896278,1.598665,0.04300177,0.1248323,1.613529,0.1240766,-0.3801132,1.56829,0.002010178,-0.1413716,1.616405,0.4307105,-0.1313271,1.585957,NA,NA,NotTracked,NotTracked,
0.918457,-0.3603516,0.1201172,0.8730469,0.3950195,0.1230469,-2,-1,-1,-1,-1,-1,0,-2,-1,-3,-1,-1,0,0,-2,-2,-0.0625,-0.0625,-0.0625,0.8125,0.8125,0.8125,3.031157,3.129132,2.705772,7.002683,3.200414,8.525856,0.007812012,-0.436107,1.515158,0.3853706,-0.4265532,1.465853,0.2311065,0.4032681,1.619319,-0.04086689,-0.4366331,1.522522,0.3504787,-0.4065171,1.479528,0.2177466,-0.06506265,1.615717,0.212433,-0.3895512,1.598615,0.04302505,0.1248741,1.613422,0.123996,-0.3800316,1.568208,0.001909053,-0.1412147,1.616348,0.4308488,-0.130964,1.585744,NA,NA,NotTracked,NotTracked,
0.9145508,-0.3681641,0.1196289,0.925293,0.4130859,0.1220703,-4,1,-1,-1,0,-1,-1,0,-8,5,4,-1,0,-4,-8,-2,-0.5,-0.5,-0.5,1.25,1.25,1.25,3.032166,3.127607,2.704662,7.004368,3.20005,8.525907,0.007820705,-0.4365664,1.514799,0.3848921,-0.4260546,1.465522,0.2310731,0.4033726,1.619141,-0.04109508,-0.4430846,1.522256,0.3474801,-0.4111475,1.476293,0.2176503,-0.06497978,1.615474,0.2123265,-0.3895196,1.598513,0.04300173,0.1249137,1.613282,0.1239021,-0.3799984,1.56812,0.001867507,-0.1411532,1.616264,0.43075,-0.1310794,1.585529,NA,NA,NotTracked,NotTracked,
0.9326172,-0.3598633,0.1181641,1.117676,0.3686523,-0.002441406,-1,0,-3,0,1,-2,0,-3,0,-17,-9,6,7,2,-1,0,2.375,2.375,2.375,-33.5,-33.5,-33.5,3.03281,3.126441,2.706825,6.958578,3.231203,8.541943,0.008019871,-0.4361862,1.516129,0.3835705,-0.4244901,1.463195,0.2310086,0.4033899,1.618952,-0.04145541,-0.4471046,1.521282,0.3396387,-0.3996883,1.472379,0.2176227,-0.06495532,1.615431,0.212269,-0.3894887,1.598482,0.04297515,0.1249135,1.613206,0.1238434,-0.3799751,1.568124,0.001892413,-0.1412752,1.616371,0.4309401,-0.1314687,1.58536,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3618164,0.1088867,1.086914,0.7548828,0.378418,-1,-2,0,-2,-1,-1,0,-2,1,11,5,5,0,-6,-11,-4,6.375,6.375,6.375,14.6875,14.6875,14.6875,3.03419,3.127954,2.711023,6.800567,3.463138,8.712871,0.007218752,-0.4371307,1.515954,0.3684814,-0.3932263,1.448931,0.2309518,0.4033893,1.618836,-0.0417119,-0.4465848,1.523175,0.3411959,-0.3659902,1.479875,0.2174562,-0.06487416,1.615367,0.2114902,-0.3891988,1.598434,0.04292682,0.1249089,1.613131,0.1230228,-0.3796887,1.568017,0.001917276,-0.141139,1.61639,0.4330551,-0.1309574,1.586409,NA,NA,NotTracked,Unknown,
0.9150391,-0.3632813,0.1210938,0.6933594,0.8818359,0.4892578,-1,-2,0,-1,-1,-2,-3,0,1,-15,2,0,7,4,1,0,-3.0625,-3.0625,-3.0625,19.8125,19.8125,19.8125,3.031304,3.127896,2.714484,6.740022,3.81655,8.83479,0.007247316,-0.4363461,1.516095,0.3251943,-0.3274434,1.440614,0.230943,0.4033943,1.618568,-0.04144516,-0.4389564,1.522914,0.3472458,-0.4048119,1.465,0.2164033,-0.06460746,1.615086,0.2081395,-0.3885154,1.598152,0.04289716,0.1249709,1.613099,0.1194896,-0.3785267,1.567707,0.001395101,-0.1408482,1.616209,0.4570749,-0.104508,1.595636,NA,NA,NotTracked,Unknown,
0.8930664,-0.3632813,0.1303711,0.2802734,0.8691406,0.4145508,0,-1,-1,-1,0,-1,0,-1,7,10,-10,-4,-6,-3,-6,-9,-5.3125,-5.3125,-5.3125,8.6875,8.6875,8.6875,3.016058,3.12555,2.720033,6.725485,4.25846,8.897823,0.005793974,-0.4370324,1.516385,0.3048035,-0.2262516,1.411545,0.2309952,0.4033834,1.618256,-0.04192878,-0.4442221,1.521646,0.2833209,-0.2782612,1.454648,0.2157347,-0.06436693,1.614975,0.2066049,-0.3880396,1.597973,0.04287677,0.1250015,1.613075,0.1183841,-0.3780445,1.567587,0.001356551,-0.1396546,1.616299,0.4661734,-0.08942452,1.596473,NA,NA,NotTracked,Unknown,
0.9228516,-0.3574219,0.1245117,-0.01367188,0.8100586,0.3823242,-2,-1,0,-1,0,-1,-2,-1,4,13,21,9,-3,-2,3,-3,-3.0625,-3.0625,-3.0625,33.75,33.75,33.75,3.001883,3.124235,2.729282,6.751965,4.854269,8.93961,0.00455519,-0.4371178,1.515607,0.2785552,-0.1170276,1.386212,0.2310228,0.4033839,1.618058,-0.04308964,-0.4459837,1.52147,0.2430557,-0.131728,1.455949,0.2155889,-0.06419442,1.614974,0.2064606,-0.387629,1.597992,0.04287324,0.1250309,1.613055,0.1183311,-0.3778265,1.567721,0.001193784,-0.1390568,1.616221,0.4757417,-0.08540709,1.581964,NA,NA,NotTracked,Unknown,
