ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.6982422,-0.4077148,0.4594727,0.6884766,0.5258789,0.4692383,-1,-3,-5,-11,-7,-23,-20,-1,22,3,2,-9,1,-9,2,10,83.5,83.5,83.5,-32.8125,-32.8125,-32.8125,3.683365,3.680626,3.118686,6.310102,3.77889,6.176926,-0.01061113,-0.3490682,1.380017,0.295229,-0.3584971,1.365689,0.1821319,0.4073444,1.600815,-0.04574571,-0.3005529,1.353636,0.30491,-0.3399611,1.307744,0.1686997,-0.06500493,1.600764,0.1622719,-0.3914128,1.580895,-0.006170895,0.1300672,1.584412,0.0741697,-0.3824852,1.548327,-0.04197947,-0.121448,1.596778,0.3628033,-0.1377086,1.575204,NA,NA,Open,Unknown,
0.652832,-0.4707031,0.4785156,0.6088867,0.4887695,0.5380859,-4,1,-2,-1,-5,3,13,3,-4,-14,-10,3,2,-3,-4,1,20.625,20.625,20.625,-41.9375,-41.9375,-41.9375,3.770322,3.849698,3.085919,6.231073,3.944347,6.192526,-0.01953929,-0.2997049,1.345481,0.2827364,-0.325421,1.340671,0.1819659,0.4072523,1.600579,-0.0544113,-0.2784587,1.304772,0.3081758,-0.2887561,1.303045,0.169304,-0.06512611,1.60143,0.162341,-0.3915663,1.581118,-0.006076313,0.1301121,1.584367,0.07427078,-0.382578,1.548531,-0.0411934,-0.1199769,1.596729,0.3624774,-0.1317662,1.576943,NA,NA,Unknown,Unknown,
0.5693359,-0.402832,0.4951172,0.4926758,0.5107422,0.5356445,4,3,-1,4,26,16,23,9,15,11,6,1,6,-2,4,35,33.6875,33.6875,33.6875,-22.9375,-22.9375,-22.9375,3.840055,3.982405,3.068949,6.141539,4.126691,6.210923,-0.02152273,-0.2698108,1.333678,0.2845186,-0.2823739,1.312063,0.1818545,0.4070766,1.600444,-0.05413208,-0.2525128,1.293464,0.3054852,-0.2596843,1.27675,0.1691203,-0.0651613,1.601483,0.1623522,-0.3916184,1.58146,-0.00603065,0.1301324,1.58436,0.07438749,-0.382581,1.548731,-0.04011363,-0.1153709,1.595233,0.3610551,-0.1264556,1.57761,NA,NA,Unknown,Unknown,
0.5883789,-0.5336914,0.5244141,0.5117188,0.574707,0.6166992,11,0,3,-2,-4,1,-7,-15,-17,5,8,-2,8,0,9,-14,17.75,17.75,17.75,-25.4375,-25.4375,-25.4375,3.871671,4.058761,3.059975,6.104452,4.219294,6.212397,-0.02274524,-0.255285,1.331317,0.2908128,-0.2522997,1.308335,0.1817817,0.4069366,1.600385,-0.05646447,-0.2428925,1.289523,0.3104307,-0.2471326,1.2545,0.1690359,-0.06517969,1.601509,0.1625064,-0.3915701,1.581723,-0.005940261,0.1301763,1.58432,0.07467503,-0.3824644,1.548993,-0.03983125,-0.1126146,1.594325,0.3595182,-0.1208512,1.576705,NA,NA,Unknown,Unknown,
0.6206055,-0.519043,0.628418,0.4570313,0.5473633,0.7382813,-1,3,6,-12,-2,30,-19,9,-40,1,4,-8,-2,-25,-12,-11,7.3125,7.3125,7.3125,-6,-6,-6,3.88604,4.092347,3.048381,6.073168,4.294018,6.215158,-0.02508633,-0.2456919,1.332136,0.294038,-0.2329695,1.303911,0.1817792,0.40687,1.60043,-0.05716804,-0.2341556,1.297455,0.3138884,-0.2188121,1.261231,0.1689744,-0.06514571,1.601553,0.1625905,-0.3914771,1.581972,-0.005831513,0.1302146,1.584278,0.07487286,-0.3823169,1.5492,-0.0394971,-0.1084193,1.593948,0.3589129,-0.1165891,1.576536,NA,NA,Unknown,Unknown,
0.5332031,-0.5361328,0.6630859,0.2900391,0.5756836,0.7890625,6,2,-2,0,-1,-9,-16,-9,-4,-11,-5,12,-4,1,-7,-1,7.6875,7.6875,7.6875,-14.625,-14.625,-14.625,3.90975,4.119376,3.039259,6.053133,4.387035,6.206132,-0.02967437,-0.2310383,1.327484,0.2974465,-0.2140021,1.298505,0.1817804,0.4068274,1.600571,-0.05997833,-0.2220948,1.292462,0.3157791,-0.2119274,1.2551,0.1689075,-0.06506933,1.601658,0.1626534,-0.3912812,1.582324,-0.005693361,0.1302995,1.584314,0.0750649,-0.3820218,1.549749,-0.03920044,-0.1066745,1.593836,0.3588956,-0.1146065,1.57608,NA,NA,Unknown,Unknown,
0.3945313,-0.6894531,0.7636719,0.2651367,0.5952148,0.7568359,-9,-7,-14,-2,-2,-5,-11,-9,4,5,2,-2,7,1,8,15,23.375,23.375,23.375,-17.5625,-17.5625,-17.5625,3.946663,4.260032,3.072773,6.043761,4.518753,6.175951,-0.03707067,-0.2074954,1.295853,0.2940008,-0.1941766,1.275868,0.1817672,0.4067884,1.600645,-0.02488642,-0.194745,1.198667,0.310387,-0.2123727,1.251325,0.1686602,-0.06500025,1.601851,0.1623369,-0.391131,1.582992,-0.005582083,0.1303562,1.58434,0.0748388,-0.3818399,1.55044,-0.03849449,-0.1062683,1.593989,0.3760596,-0.1158094,1.553997,NA,NA,Unknown,Unknown,
0.3056641,-0.5830078,0.7373047,0.2822266,0.6323242,0.6933594,0,4,3,0,-3,2,-7,-5,-13,-4,-10,17,0,-3,-8,-13,12.625,12.625,12.625,-13.5625,-13.5625,-13.5625,3.964928,4.436123,3.129814,6.044862,4.603373,6.119631,-0.04534495,-0.1821085,1.265634,0.2981723,-0.1746803,1.25751,0.1816808,0.4067024,1.600864,-0.08105878,-0.1722139,1.268,0.3045299,-0.1969416,1.243833,0.1683355,-0.06498162,1.602323,0.1619465,-0.3909895,1.583913,-0.005497024,0.1304417,1.584423,0.07455532,-0.3816474,1.551214,-0.03855178,-0.108153,1.584443,0.3581802,-0.1071379,1.571861,NA,NA,Closed,Unknown,
0.3447266,-0.5527344,0.6987305,0.2426758,0.5805664,0.722168,-1,2,-8,5,7,14,67,31,-2,2,5,2,0,-2,4,13,22.375,22.375,22.375,-3.9375,-3.9375,-3.9375,3.972189,4.542268,3.187956,6.051175,4.65648,5.99923,-0.06082542,-0.1557489,1.255015,0.3139812,-0.1586814,1.245568,0.1814526,0.4064831,1.601109,-0.05634762,-0.121106,1.1955,0.3158033,-0.1816184,1.240143,0.167916,-0.06508248,1.602896,0.1613844,-0.3909942,1.584925,-0.005417595,0.1305222,1.584492,0.07400589,-0.3815493,1.552211,-0.04053742,-0.1109544,1.569543,0.3556057,-0.1072064,1.573173,NA,NA,Closed,Unknown,
0.2856445,-0.5864258,0.7006836,0.2197266,0.5224609,0.7875977,-7,6,2,-5,7,12,-34,14,1,-7,-12,-6,-5,3,-4,-15,24.1875,24.1875,24.1875,-17.875,-17.875,-17.875,3.984903,4.612963,3.285855,6.044594,4.646442,5.898221,-0.08480251,-0.1416392,1.257812,0.3394543,-0.1568497,1.2545,0.1812482,0.4064667,1.60153,-0.06012753,-0.1245598,1.23375,0.3467807,-0.1792881,1.237455,0.1676761,-0.06505572,1.603398,0.1612358,-0.3910848,1.585672,-0.005304326,0.1306966,1.584581,0.07381535,-0.3816664,1.553045,-0.03623493,-0.1197002,1.552429,0.3597952,-0.1110654,1.566531,NA,NA,Closed,Closed,
0.190918,-0.4584961,0.762207,0.2509766,0.5449219,0.7998047,15,-4,24,-7,-3,-2,7,23,-12,4,-2,-8,1,0,1,10,14.1875,14.1875,14.1875,-16,-16,-16,4.001209,4.633379,3.396233,6.033324,4.61444,5.812978,-0.1086783,-0.1460357,1.271755,0.3649947,-0.162965,1.264532,0.1810956,0.4064714,1.602027,-0.1026646,-0.1218174,1.218125,0.3933189,-0.1430051,1.2602,0.1675837,-0.06503619,1.603832,0.1611459,-0.3910858,1.586249,-0.005144324,0.1309357,1.584643,0.07366111,-0.3816576,1.553613,-0.02569323,-0.123314,1.563933,0.3594282,-0.1209547,1.568841,NA,NA,Unknown,Unknown,
0.2719727,-0.5283203,0.765625,0.2260742,0.5253906,0.8574219,4,2,2,-1,-3,-10,-23,0,2,-10,-1,16,13,23,-5,-9,12.875,12.875,12.875,-2.8125,-2.8125,-2.8125,3.997214,4.596627,3.495292,6.021131,4.574518,5.777189,-0.1217708,-0.1629584,1.282559,0.3798253,-0.1737727,1.273162,0.1809407,0.4064345,1.602716,-0.1263181,-0.1413605,1.208143,0.4084807,-0.1561789,1.262417,0.1674311,-0.0650316,1.604186,0.1610785,-0.3910825,1.586586,-0.005042243,0.1310841,1.584688,0.07360376,-0.3816684,1.553926,-0.03025434,-0.1283406,1.555361,0.3588559,-0.1262995,1.571608,NA,NA,Unknown,Unknown,
0.3041992,-0.4204102,0.8413086,0.2143555,0.4863281,0.8911133,9,-2,24,-7,-3,-4,22,24,3,4,0,-17,-11,-3,-8,-15,-15.375,-15.375,-15.375,11.375,11.375,11.375,4.008715,4.479528,3.500982,6.001343,4.513861,5.830263,-0.1111977,-0.1864152,1.296615,0.3780541,-0.1881598,1.279655,0.1808152,0.4064662,1.603414,-0.1054477,-0.15458,1.320161,0.3699268,-0.1645828,1.281765,0.1672543,-0.06498638,1.604644,0.160921,-0.3910994,1.587101,-0.00499867,0.1311639,1.584753,0.07349519,-0.3816568,1.554354,-0.02654956,-0.1163952,1.606612,0.3610104,-0.123567,1.58996,NA,NA,Unknown,Unknown,
0.3344727,-0.5322266,0.793457,0.3388672,0.5947266,0.8276367,0,-3,-5,0,-2,-5,0,-14,-38,-9,0,8,-15,-7,13,13,-27.25,-27.25,-27.25,3.5625,3.5625,3.5625,4.014683,4.397051,3.399746,5.986889,4.474292,5.902263,-0.08678345,-0.2088592,1.301223,0.362467,-0.2025716,1.283924,0.1809019,0.4063818,1.603997,-0.08533607,-0.1782751,1.311923,0.3959405,-0.1945712,1.257556,0.1671014,-0.06499484,1.605074,0.1608877,-0.3911152,1.587411,-0.004972525,0.1311719,1.584793,0.07348295,-0.3816552,1.554657,-0.02684361,-0.1164624,1.606117,0.362574,-0.1190849,1.596141,NA,NA,Unknown,Unknown,
0.5004883,-0.628418,0.7441406,0.340332,0.5942383,0.8105469,14,1,16,-10,-3,3,4,-3,13,-1,-3,-21,-38,8,0,-7,-36.875,-36.875,-36.875,11.75,11.75,11.75,4.003974,4.319673,3.274191,5.980371,4.445828,5.988749,-0.06100657,-0.2256754,1.303204,0.342372,-0.2106665,1.284597,0.1808213,0.4062274,1.604441,-0.09699281,-0.2186733,1.271824,0.3458875,-0.1813533,1.2889,0.1671398,-0.06493982,1.605248,0.1610593,-0.3910103,1.58759,-0.004939413,0.1311745,1.584821,0.0736427,-0.3815876,1.554829,-0.02982413,-0.1082405,1.597825,0.3640305,-0.1176036,1.593754,NA,NA,Closed,Unknown,
0.4570313,-0.5664063,0.7910156,0.3149414,0.5917969,0.8037109,11,0,-28,-3,4,2,8,12,16,-3,-4,-2,9,2,11,-7,-42.6875,-42.6875,-42.6875,17.6875,17.6875,17.6875,3.995931,4.26563,3.140554,5.979908,4.440058,6.099689,-0.03385616,-0.2355961,1.307246,0.3215278,-0.2125883,1.287282,0.1807058,0.4062176,1.605018,-0.06881771,-0.2327928,1.267444,0.3480615,-0.1963728,1.265063,0.1673266,-0.06484432,1.60552,0.1614736,-0.3908691,1.58777,-0.004896991,0.1311472,1.584865,0.07404722,-0.3815061,1.555041,-0.03142848,-0.1053274,1.593865,0.3696478,-0.114362,1.583971,NA,NA,Unknown,Unknown,
0.484375,-0.5942383,0.7329102,0.3828125,0.5898438,0.7924805,6,-10,-18,2,7,17,4,8,-37,-5,-3,2,10,-8,-11,-9,-27.75,-27.75,-27.75,10.4375,10.4375,10.4375,3.99372,4.248407,2.987076,5.97972,4.460833,6.163853,-0.009417255,-0.2359701,1.314028,0.3052466,-0.2093147,1.2861,0.1805463,0.4061489,1.605458,-0.04751299,-0.2288623,1.274,0.3326069,-0.2008515,1.251143,0.1673799,-0.06482903,1.605618,0.1617183,-0.3907861,1.587797,-0.004875244,0.1311535,1.584919,0.07435853,-0.3814652,1.55504,-0.03230969,-0.1023342,1.590727,0.3696003,-0.1208758,1.555541,NA,NA,Unknown,Closed,
