ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9482422,-0.3125,0.09423828,0.9042969,0.34375,0.1201172,-1,0,-2,-1,0,-2,-1,1,-40,-3,0,4,-6,-3,4,-2,-0.75,-0.75,-0.75,-0.3125,-0.3125,-0.3125,2.97837,3.033326,3.458923,6.991083,3.091808,2.77176,0.02726642,-0.454115,1.52982,0.3639885,-0.4444262,1.490591,0.2305094,0.4021542,1.663049,-0.02270894,-0.4602655,1.546667,0.4001308,-0.4603038,1.483572,0.214847,-0.06306154,1.64914,0.2089522,-0.3891251,1.629717,0.03948255,0.1227794,1.624726,0.120366,-0.3798033,1.59693,0.00713051,-0.1378748,1.624471,0.4146586,-0.1330499,1.608712,NA,NA,NotTracked,Unknown,
0.9414063,-0.3154297,0.09667969,0.9018555,0.347168,0.1162109,-1,-3,-2,-1,-2,-3,-2,-3,18,1,1,-1,-6,0,-10,-1,-0.6875,-0.6875,-0.6875,1.375,1.375,1.375,2.97837,3.033326,3.458923,6.987535,3.095791,2.776376,0.02725269,-0.4549913,1.530185,0.3635485,-0.4444626,1.490279,0.2304868,0.4021779,1.662983,-0.02133289,-0.4730132,1.54433,0.4054845,-0.4415262,1.485857,0.2147992,-0.06311645,1.649046,0.2089233,-0.3892207,1.629604,0.03941736,0.1226619,1.62456,0.120312,-0.3799031,1.59677,0.007129938,-0.1386254,1.624226,0.4147095,-0.1328591,1.60863,NA,NA,NotTracked,Unknown,
0.9433594,-0.300293,0.09570313,0.9101563,0.3349609,0.125,-1,0,-2,-1,0,-2,-3,-3,-21,-1,1,-6,-25,8,-1,-8,1.375,1.375,1.375,-0.5,-0.5,-0.5,2.979473,3.03364,3.459878,6.980538,3.101134,2.782444,0.02719576,-0.4549333,1.528698,0.3621859,-0.4443128,1.487679,0.2304057,0.4021019,1.662832,-0.02115541,-0.4664964,1.544228,0.391384,-0.4904045,1.465286,0.21477,-0.0632022,1.648867,0.2088571,-0.3893425,1.629322,0.03940049,0.1225293,1.624332,0.1202547,-0.3799932,1.596497,0.006805944,-0.1381305,1.623856,0.4138857,-0.1341406,1.608239,NA,NA,NotTracked,Unknown,
0.9418945,-0.3164063,0.1015625,0.9091797,0.3662109,0.1303711,-2,-2,-2,0,-1,0,1,-2,15,5,2,-2,6,4,-8,-1,-0.4375,-0.4375,-0.4375,2.375,2.375,2.375,2.979602,3.033013,3.45703,6.973806,3.111603,2.797319,0.02753219,-0.4540864,1.529465,0.3607706,-0.4459984,1.485654,0.2303071,0.4021358,1.662645,-0.02011147,-0.46358,1.543845,0.3945494,-0.4589514,1.4808,0.2146933,-0.06318008,1.648693,0.2087846,-0.389314,1.629147,0.03939581,0.122537,1.624061,0.120195,-0.3799523,1.596333,0.006596854,-0.137525,1.62354,0.4137698,-0.1342759,1.607934,NA,NA,NotTracked,Unknown,
0.9423828,-0.3061523,0.08837891,0.934082,0.3637695,0.1113281,-1,-1,-2,-3,-2,-1,2,1,19,-1,-2,0,6,18,33,1,0,0,0,-0.4375,-0.4375,-0.4375,2.981614,3.032856,3.456001,6.968655,3.118984,2.80475,0.02760551,-0.4542123,1.528623,0.3593272,-0.4424048,1.48455,0.2303097,0.402262,1.662425,-0.02005693,-0.4780452,1.539769,0.3934482,-0.4682935,1.475257,0.2146587,-0.0629541,1.648375,0.2086641,-0.3890423,1.628912,0.03937221,0.122701,1.623868,0.1200894,-0.3797491,1.59619,0.00654286,-0.1370887,1.623517,0.4135717,-0.1333752,1.60761,NA,NA,NotTracked,Unknown,
0.949707,-0.3100586,0.1000977,1.078613,0.4282227,0.09326172,0,-1,-3,0,-2,0,-1,3,-15,-4,-5,0,5,-2,-3,0,-0.3125,-0.3125,-0.3125,-57.5,-57.5,-57.5,2.980787,3.032739,3.457036,6.89917,3.159921,2.825058,0.02767029,-0.4538761,1.529096,0.3573764,-0.4345817,1.484146,0.2303752,0.4022909,1.662185,-0.02190475,-0.4797826,1.541375,0.3925913,-0.4505407,1.47325,0.2145121,-0.06292323,1.648166,0.2084468,-0.3889683,1.628724,0.0393741,0.1228359,1.623738,0.1198523,-0.3796924,1.596015,0.006452736,-0.1368615,1.623359,0.4135434,-0.1323247,1.607698,NA,NA,NotTracked,Unknown,
0.9379883,-0.3095703,0.08544922,0.9272461,0.5766602,0.4135742,-1,0,-1,-3,-1,-3,-1,-1,3,4,-9,-16,-12,0,-29,-7,-2.125,-2.125,-2.125,4.3125,4.3125,4.3125,2.980221,3.031379,3.455849,6.640277,3.352593,3.050676,0.02739887,-0.4545013,1.529858,0.3383754,-0.409175,1.477313,0.2304478,0.402165,1.662042,-0.02011331,-0.4632465,1.54328,0.346011,-0.4810946,1.455857,0.2140057,-0.06302725,1.647937,0.207172,-0.3891043,1.628396,0.03939069,0.1224471,1.62331,0.1184019,-0.3796897,1.595775,0.006249458,-0.1368376,1.62325,0.4141772,-0.1303004,1.608496,NA,NA,NotTracked,Unknown,
0.9179688,-0.3037109,0.1201172,0.722168,0.6796875,0.5366211,-2,-1,0,-1,-1,-3,-3,-1,0,12,18,7,13,6,12,-1,-10.625,-10.625,-10.625,59.1875,59.1875,59.1875,2.979801,3.024637,3.444704,6.543281,3.638115,3.25391,0.02666232,-0.4479937,1.532704,0.293986,-0.3684957,1.45328,0.2305352,0.4020912,1.661809,-0.01926679,-0.4533995,1.540231,0.3221769,-0.4065673,1.461154,0.2131369,-0.06313426,1.647672,0.2051118,-0.38943,1.628265,0.0385942,0.1186216,1.619027,0.1160476,-0.3797398,1.595773,0.006488353,-0.1372074,1.623157,0.4211746,-0.1130604,1.610336,NA,NA,NotTracked,Unknown,
0.9501953,-0.3266602,0.1176758,0.5253906,0.9741211,0.6811523,-1,-2,-2,-3,0,0,0,-2,-14,10,20,1,1,7,11,2,-8.3125,-8.3125,-8.3125,39.4375,39.4375,39.4375,2.975986,3.017616,3.429076,6.507625,4.14581,3.504227,0.02729059,-0.4471757,1.532087,0.2253684,-0.2936367,1.466627,0.2306145,0.4022767,1.661503,-0.01910009,-0.4549602,1.542143,0.2344723,-0.317641,1.397797,0.21295,-0.06302919,1.647696,0.2049012,-0.3893767,1.628441,0.03936398,0.1191888,1.618728,0.1159553,-0.3794917,1.595946,0.006594073,-0.1367194,1.622723,0.4269712,-0.1018675,1.606237,NA,NA,NotTracked,Unknown,
0.9677734,-0.3105469,0.07666016,0.08935547,0.6606445,0.59375,-1,-3,0,-2,-2,1,-1,-1,-6,-11,-7,-4,-6,14,22,-3,-14.9375,-14.9375,-14.9375,82.9375,82.9375,82.9375,2.975012,3.015808,3.40907,6.51645,4.578595,3.727142,0.02871567,-0.4469379,1.529881,0.1378029,-0.217652,1.453615,0.2309734,0.4026233,1.661171,-0.01780154,-0.4569265,1.54131,0.1608111,-0.2786808,1.484122,0.2129237,-0.06290466,1.647692,0.2049123,-0.3892817,1.62851,0.0401973,0.1190388,1.616968,0.1161537,-0.3793738,1.596054,0.006918677,-0.1351162,1.621532,0.4257511,-0.1030248,1.591445,NA,NA,NotTracked,Unknown,
