ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9238281,-0.3618164,0.1508789,0.9199219,0.2988281,0.1889648,0,-2,-6,-1,-1,-2,-1,0,1,0,0,2,1,2,2,3,-0.1875,-0.1875,-0.1875,1.0625,1.0625,1.0625,3.140862,3.138235,3.834906,6.644245,3.085052,8.142925,0.01517529,-0.429531,1.481801,0.3614872,-0.4356079,1.462998,0.2198138,0.4026313,1.603838,0.05860015,-0.4187184,1.457357,0.3152927,-0.4196329,1.441034,0.2081586,-0.06345,1.595909,0.2040408,-0.3888083,1.574736,0.02989035,0.122999,1.586235,0.1155085,-0.3793947,1.544649,-0.003621151,-0.1381148,1.586957,0.4090011,-0.1348179,1.569413,NA,NA,NotTracked,NotTracked,
0.921875,-0.3535156,0.1538086,0.9091797,0.3022461,0.1835938,-1,0,-3,0,-2,-1,-3,-1,0,0,-1,1,-1,9,0,0,-0.25,-0.25,-0.25,1.75,1.75,1.75,3.140862,3.138235,3.834906,6.644377,3.084821,8.144081,0.0153615,-0.4152825,1.484307,0.3621274,-0.4319048,1.463091,0.2197501,0.4026317,1.603646,0.06069098,-0.3956825,1.460954,0.3152433,-0.4144667,1.440555,0.2080729,-0.06342185,1.595816,0.2040147,-0.3888016,1.574702,0.02981478,0.1229685,1.586057,0.1154637,-0.37939,1.544566,-0.003658237,-0.138106,1.586935,0.4089827,-0.1348143,1.569177,NA,NA,NotTracked,NotTracked,
0.9238281,-0.3549805,0.15625,0.9135742,0.3027344,0.1821289,0,-1,0,-1,-1,-2,-1,-1,-7,-3,-2,0,1,2,-5,-12,-2.25,-2.25,-2.25,0.5,0.5,0.5,3.139925,3.13775,3.834436,6.645736,3.085107,8.145762,0.01555994,-0.4344408,1.479482,0.3613462,-0.4330154,1.462722,0.2197513,0.4026573,1.603522,0.06037947,-0.4079454,1.458577,0.3146325,-0.4214138,1.440159,0.2080754,-0.06341546,1.595764,0.2039989,-0.3887892,1.574671,0.0297832,0.12296,1.585972,0.1154471,-0.3793665,1.544545,-0.003780885,-0.137893,1.586689,0.4089786,-0.1347852,1.569116,NA,NA,NotTracked,NotTracked,
0.9194336,-0.3579102,0.1533203,0.9145508,0.3212891,0.1762695,-1,-1,-5,-1,-2,-2,0,-1,-4,-3,-2,-2,-8,-3,-5,-4,-1.9375,-1.9375,-1.9375,1.6875,1.6875,1.6875,3.140098,3.13755,3.832162,6.648608,3.085578,8.148285,0.0155005,-0.4320844,1.480733,0.3604289,-0.4344766,1.462328,0.2197565,0.4025839,1.603461,0.05909676,-0.4279766,1.456025,0.3152058,-0.4195119,1.44076,0.208079,-0.06341697,1.595735,0.2039942,-0.3887863,1.574657,0.02977888,0.122976,1.585876,0.1154371,-0.3793588,1.544515,-0.003843674,-0.1374021,1.586653,0.4089119,-0.1349283,1.569025,NA,NA,NotTracked,NotTracked,
0.9165039,-0.3530273,0.1489258,0.9033203,0.2983398,0.1816406,0,1,-2,-1,0,-1,0,0,-1,-2,-1,-1,-1,0,0,-1,0.125,0.125,0.125,2.5,2.5,2.5,3.140098,3.13755,3.832162,6.647871,3.085943,8.150219,0.01496801,-0.4291674,1.479979,0.3603373,-0.4343415,1.460764,0.2197941,0.4025238,1.603261,0.06026143,-0.4060015,1.458854,0.3147961,-0.4202914,1.439606,0.2080446,-0.06340387,1.595635,0.2040091,-0.3887466,1.574485,0.02976211,0.1230253,1.58576,0.1154481,-0.379333,1.544378,-0.003873559,-0.1376055,1.58641,0.4088192,-0.1349989,1.568881,NA,NA,NotTracked,NotTracked,
0.9213867,-0.3554688,0.15625,0.9624023,0.3657227,0.09912109,-2,-1,-2,0,-2,-2,1,-1,4,-15,-12,-2,7,-1,0,0,-0.375,-0.375,-0.375,-36.0625,-36.0625,-36.0625,3.140098,3.13755,3.832162,6.649375,3.095758,8.128152,0.01397405,-0.4269664,1.481161,0.3604122,-0.4362797,1.460021,0.2198392,0.4025309,1.603191,0.0569264,-0.419525,1.456732,0.3159068,-0.4089777,1.441376,0.208056,-0.06336737,1.595562,0.2040118,-0.3887173,1.574422,0.02979054,0.1231124,1.585682,0.1154637,-0.3792779,1.544302,-0.003835952,-0.1376464,1.58633,0.4088278,-0.1348343,1.568748,NA,NA,NotTracked,NotTracked,
0.9326172,-0.3613281,0.1542969,1.13916,0.4692383,0.3125,1,0,0,-2,0,-1,-1,2,2,9,3,-11,1,0,2,8,0.75,0.75,0.75,-69.75,-69.75,-69.75,3.140149,3.137254,3.831605,6.502896,3.2126,8.106077,0.01492078,-0.4319818,1.479913,0.3564726,-0.4306441,1.452375,0.2198606,0.4025817,1.603109,0.05738823,-0.4183574,1.45697,0.3141233,-0.4089081,1.441545,0.2080018,-0.06337259,1.595474,0.2039616,-0.3887312,1.574328,0.02978469,0.1231222,1.585587,0.1153757,-0.3792622,1.54409,-0.003744777,-0.137568,1.586178,0.409522,-0.1355763,1.569158,NA,NA,NotTracked,NotTracked,
0.925293,-0.3486328,0.1357422,1.004395,0.6450195,0.6396484,-2,1,2,-1,0,-4,-1,-1,-11,6,8,1,-3,-3,-8,-11,6.25,6.25,6.25,-63.8125,-63.8125,-63.8125,3.144881,3.13987,3.834422,6.374377,3.484131,8.121951,0.01470839,-0.4305371,1.481685,0.3398241,-0.3952615,1.427248,0.2198676,0.4025859,1.603105,0.05949795,-0.4135823,1.459639,0.3074508,-0.3875483,1.443694,0.2077698,-0.06328555,1.595372,0.2031826,-0.3885437,1.574195,0.02975225,0.123134,1.58554,0.1144257,-0.3789114,1.543723,-0.00376503,-0.1378497,1.58611,0.4132298,-0.1336117,1.572796,NA,NA,NotTracked,NotTracked,
0.890625,-0.3632813,0.1552734,0.5708008,0.855957,0.6738281,-1,0,-3,0,-1,0,-2,0,1,19,24,16,6,2,6,13,-6.5,-6.5,-6.5,-16.9375,-16.9375,-16.9375,3.143636,3.136951,3.83335,6.362041,4.061122,8.060046,0.01491217,-0.4290237,1.480174,0.3070751,-0.3404761,1.389078,0.2199614,0.4025972,1.602901,0.06047915,-0.4061584,1.458838,0.2855586,-0.3759722,1.432641,0.2070437,-0.06321702,1.595054,0.2004984,-0.3882594,1.573778,0.0297388,0.1231124,1.585236,0.1116918,-0.3782403,1.543066,-0.004105289,-0.1370673,1.585928,0.415926,-0.1268471,1.576825,NA,NA,NotTracked,Unknown,
0.9287109,-0.3476563,0.1723633,0.1689453,0.6928711,0.6464844,-3,-1,-3,-1,0,-2,-1,-1,0,-1,-8,-2,-1,-1,-2,0,-5,-5,-5,-35,-35,-35,3.138519,3.135962,3.819368,6.317879,4.606276,8.019444,0.016415,-0.4314207,1.47948,0.2985482,-0.2024178,1.299469,0.2200842,0.4025164,1.602758,0.06090776,-0.4171838,1.456913,0.2883011,-0.2608955,1.325778,0.2065955,-0.06308109,1.594961,0.1994632,-0.3879808,1.573673,0.02975329,0.1231045,1.585073,0.1108958,-0.3780795,1.543059,-0.004189235,-0.1370199,1.585676,0.4163965,-0.1115166,1.577262,NA,NA,NotTracked,Unknown,
0.9208984,-0.3364258,0.1621094,-0.1894531,0.7182617,0.5449219,-2,-5,-4,-2,-1,-1,-1,-1,-3,5,11,-1,3,-1,6,7,-6.5,-6.5,-6.5,14.75,14.75,14.75,3.14315,3.138559,3.807038,6.324456,5.161322,8.019178,0.01712659,-0.4288864,1.478354,0.2884231,-0.05685181,1.280197,0.220201,0.4024898,1.602524,0.06213091,-0.417154,1.456418,0.271605,-0.08464276,1.249625,0.2066244,-0.06302941,1.59497,0.1995011,-0.3877854,1.573699,0.02997273,0.1230151,1.584795,0.1109766,-0.3780212,1.543266,-0.004064693,-0.1366618,1.585385,0.4122077,-0.09980226,1.515844,NA,NA,NotTracked,Closed,
