User,Gesture,Machine,Accuracy,Precision,Recall,F1
DM07,About,DT,0.76389,0.15385,0.25,0.19048
DM07,About,SVM,0.88889,NaN,0,NaN
DM07,About,NN,0.875,0,0,NaN
DM07,And,DT,0.76389,0.090909,0.125,0.10526
DM07,And,SVM,0.88889,NaN,0,NaN
DM07,And,NN,0.81944,0,0,NaN
DM07,Can,DT,0.83333,0.14286,0.14286,0.14286
DM07,Can,SVM,0.90278,NaN,0,NaN
DM07,Can,NN,0.90278,NaN,0,NaN
DM07,Cop,DT,0.875,0,0,NaN
DM07,Cop,SVM,0.90278,NaN,0,NaN
DM07,Cop,NN,0.88889,0,0,NaN
DM07,Deaf,DT,0.90278,0.5,0.14286,0.22222
DM07,Deaf,SVM,0.90278,NaN,0,NaN
DM07,Deaf,NN,0.90278,NaN,0,NaN
DM07,Decide,DT,0.875,0,0,NaN
DM07,Decide,SVM,0.90278,NaN,0,NaN
DM07,Decide,NN,0.90278,NaN,0,NaN
DM07,Father,DT,0.77778,0,0,NaN
DM07,Father,SVM,0.90278,NaN,0,NaN
DM07,Father,NN,0.90278,NaN,0,NaN
DM07,Find,DT,0.875,0,0,NaN
DM07,Find,SVM,0.90278,NaN,0,NaN
DM07,Find,NN,0.72222,0.066667,0.14286,0.090909
DM07,GoOut,DT,0.875,0,0,NaN
DM07,GoOut,SVM,0.90278,NaN,0,NaN
DM07,GoOut,NN,0.90278,NaN,0,NaN
DM07,Hearing,DT,0.88889,0,0,NaN
DM07,Hearing,SVM,0.90278,NaN,0,NaN
DM07,Hearing,NN,0.88889,0,0,NaN
DM09,About,DT,0.85135,0,0,NaN
DM09,About,SVM,0.90541,NaN,0,NaN
DM09,About,NN,0.89189,0,0,NaN
DM09,And,DT,0.82432,0.125,0.14286,0.13333
DM09,And,SVM,0.90541,NaN,0,NaN
DM09,And,NN,0.81081,0,0,NaN
DM09,Can,DT,0.86486,0.44444,0.44444,0.44444
DM09,Can,SVM,0.87838,NaN,0,NaN
DM09,Can,NN,0.86486,0,0,NaN
DM09,Cop,DT,0.7973,0.18182,0.25,0.21053
DM09,Cop,SVM,0.89189,NaN,0,NaN
DM09,Cop,NN,0.86486,0,0,NaN
DM09,Deaf,DT,0.67568,0.055556,0.125,0.076923
DM09,Deaf,SVM,0.89189,NaN,0,NaN
DM09,Deaf,NN,0.83784,0,0,NaN
DM09,Decide,DT,0.7973,0,0,NaN
DM09,Decide,SVM,0.91892,NaN,0,NaN
DM09,Decide,NN,0.91892,NaN,0,NaN
DM09,Father,DT,0.82432,0,0,NaN
DM09,Father,SVM,0.91892,NaN,0,NaN
DM09,Father,NN,0.91892,NaN,0,NaN
DM09,Find,DT,0.71622,0,0,NaN
DM09,Find,SVM,0.89189,NaN,0,NaN
DM09,Find,NN,0.89189,NaN,0,NaN
DM09,GoOut,DT,0.86486,0.33333,0.25,0.28571
DM09,GoOut,SVM,0.89189,NaN,0,NaN
DM09,GoOut,NN,0.89189,NaN,0,NaN
DM09,Hearing,DT,0.89189,0,0,NaN
DM09,Hearing,SVM,0.90541,NaN,0,NaN
DM09,Hearing,NN,0.90541,NaN,0,NaN
DM11,About,DT,0.86301,0,0,NaN
DM11,About,SVM,0.90411,NaN,0,NaN
DM11,About,NN,0.89041,0,0,NaN
DM11,And,DT,0.84932,0,0,NaN
DM11,And,SVM,0.90411,NaN,0,NaN
DM11,And,NN,0.90411,0.5,0.14286,0.22222
DM11,Can,DT,0.73973,0,0,NaN
DM11,Can,SVM,0.90411,NaN,0,NaN
DM11,Can,NN,0.78082,0.090909,0.14286,0.11111
DM11,Cop,DT,0.84932,0,0,NaN
DM11,Cop,SVM,0.90411,NaN,0,NaN
DM11,Cop,NN,0.87671,0,0,NaN
DM11,Deaf,DT,0.82192,0,0,NaN
DM11,Deaf,SVM,0.89041,NaN,0,NaN
DM11,Deaf,NN,0.89041,NaN,0,NaN
DM11,Decide,DT,0.76712,0.090909,0.125,0.10526
DM11,Decide,SVM,0.89041,NaN,0,NaN
DM11,Decide,NN,0.87671,0,0,NaN
DM11,Father,DT,0.86301,0.28571,0.28571,0.28571
DM11,Father,SVM,0.90411,NaN,0,NaN
DM11,Father,NN,0.90411,NaN,0,NaN
DM11,Find,DT,0.89041,0,0,NaN
DM11,Find,SVM,0.90411,NaN,0,NaN
DM11,Find,NN,0.87671,0,0,NaN
DM11,GoOut,DT,0.87671,0,0,NaN
DM11,GoOut,SVM,0.90411,NaN,0,NaN
DM11,GoOut,NN,0.90411,NaN,0,NaN
