ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9316406,-0.3164063,0.1401367,0.9199219,0.2587891,0.1689453,4,-2,0,1,-3,1,2,2,1,0,-2,-3,-2,0,-10,-3,0.8125,0.8125,0.8125,-2.1875,-2.1875,-2.1875,3.1508,3.067508,5.349596,6.688063,3.011642,8.495665,-0.07744569,-0.4120063,1.629842,0.2680522,-0.4242493,1.602221,0.1287036,0.414885,1.720722,-0.03203487,-0.4020154,1.60104,0.2220862,-0.4017716,1.585014,0.1106484,-0.05883383,1.729244,0.09978273,-0.3895433,1.716943,-0.06075806,0.1378493,1.706562,0.01372603,-0.3795441,1.686969,-0.09181756,-0.1282081,1.719774,0.3115962,-0.1252462,1.690497,NA,NA,NotTracked,NotTracked,
0.9311523,-0.3203125,0.1352539,0.9262695,0.2773438,0.1748047,-1,-3,-3,-2,-1,-2,0,-1,3,-4,0,-2,-1,1,8,-2,2.0625,2.0625,2.0625,-2.875,-2.875,-2.875,3.152049,3.067873,5.350387,6.682723,3.014172,8.492037,-0.07735709,-0.41059,1.628862,0.2677286,-0.4222321,1.602191,0.1287021,0.4148901,1.720688,-0.03246796,-0.4034924,1.600558,0.2213964,-0.4088233,1.582155,0.1106383,-0.05879028,1.729185,0.09978437,-0.3895344,1.716868,-0.06079663,0.1378446,1.706571,0.01372541,-0.3795373,1.686902,-0.09169931,-0.128418,1.719782,0.3116212,-0.1251078,1.690258,NA,NA,NotTracked,NotTracked,
0.9399414,-0.3208008,0.1396484,0.9189453,0.296875,0.1728516,-6,-4,-2,1,-1,-3,-1,-2,-3,-1,-1,-1,0,-6,-7,-9,5.75,5.75,5.75,-18.5,-18.5,-18.5,3.155583,3.067983,5.353796,6.679643,3.018348,8.476071,-0.07778871,-0.414102,1.629094,0.267548,-0.4221453,1.602131,0.1286874,0.4148526,1.720728,-0.03263729,-0.403473,1.600711,0.2205682,-0.4083105,1.582258,0.1106514,-0.05881011,1.72915,0.09978588,-0.3895543,1.716845,-0.06081842,0.137798,1.706633,0.01372304,-0.3795719,1.686875,-0.0915989,-0.1288124,1.719828,0.3116162,-0.1251145,1.690162,NA,NA,NotTracked,NotTracked,
0.9257813,-0.3115234,0.1289063,0.9101563,0.3046875,0.1860352,7,2,-1,-1,2,2,0,3,8,4,-2,-2,-1,-1,-6,-2,7.125,7.125,7.125,-24.75,-24.75,-24.75,3.162752,3.071109,5.37179,6.662079,3.025531,8.44956,-0.07809082,-0.414225,1.628899,0.2676623,-0.4242797,1.601258,0.1286663,0.4148578,1.720731,-0.03254503,-0.403593,1.600574,0.2214458,-0.4021936,1.584327,0.11063,-0.05878577,1.729135,0.09974994,-0.3895528,1.716859,-0.06095476,0.1378075,1.706721,0.01370024,-0.3795665,1.686905,-0.09179358,-0.1277888,1.720038,0.3115943,-0.1251491,1.690024,NA,NA,NotTracked,NotTracked,
0.9399414,-0.3144531,0.1401367,0.9316406,0.1865234,0.1958008,-7,-1,1,-1,-2,-2,-2,0,-3,-3,-3,-2,-1,-1,-5,1,1,1,1,-20.875,-20.875,-20.875,3.165433,3.070798,5.374547,6.61391,3.034316,8.386926,-0.07851763,-0.4141567,1.628454,0.2679269,-0.4234921,1.599735,0.128645,0.4148625,1.720728,-0.03216919,-0.4068402,1.599654,0.221226,-0.407894,1.582622,0.1106385,-0.05875473,1.72907,0.09970948,-0.3895385,1.716817,-0.06098349,0.1378419,1.70672,0.01362075,-0.3794805,1.686762,-0.0917937,-0.1276394,1.720024,0.3115533,-0.1251192,1.689899,NA,NA,NotTracked,NotTracked,
0.9306641,-0.3295898,0.1367188,0.9208984,0.2939453,0.1914063,2,-2,-2,-1,-1,-2,-1,1,1,1,1,-1,-1,-3,2,1,2.0625,2.0625,2.0625,10.875,10.875,10.875,3.165196,3.071228,5.375205,6.627098,3.037562,8.387574,-0.07863436,-0.4139975,1.627094,0.2670593,-0.4228983,1.597577,0.1285885,0.4148468,1.720544,-0.03215524,-0.405139,1.59947,0.2219497,-0.3977961,1.583695,0.1106459,-0.05873018,1.72891,0.09968042,-0.3895545,1.716699,-0.06106434,0.1378449,1.706696,0.01358551,-0.3794928,1.686664,-0.09170477,-0.1279769,1.71992,0.3114209,-0.1250934,1.68982,NA,NA,NotTracked,NotTracked,
0.9296875,-0.3188477,0.1396484,0.9174805,0.2729492,0.1972656,2,4,2,0,-2,-1,2,5,-2,-2,-1,0,0,-1,-2,5,1.125,1.125,1.125,7.5,7.5,7.5,3.167605,3.070271,5.376349,6.624127,3.043405,8.402381,-0.07851905,-0.4135135,1.628388,0.2667618,-0.4232891,1.598258,0.1285492,0.4148462,1.720506,-0.03243828,-0.4033797,1.600374,0.2212483,-0.4012452,1.583611,0.1105447,-0.05872313,1.728827,0.09961876,-0.3895831,1.71663,-0.06115358,0.1378696,1.706671,0.01353291,-0.3795448,1.686588,-0.0923132,-0.1269306,1.720252,0.3113315,-0.1250499,1.689687,NA,NA,NotTracked,NotTracked,
0.934082,-0.3203125,0.152832,0.9140625,0.2709961,0.1875,-4,-2,2,-1,-2,-3,-1,-1,4,3,0,1,0,-1,7,1,0.4375,0.4375,0.4375,-0.625,-0.625,-0.625,3.168558,3.070297,5.376902,6.629266,3.045118,8.405208,-0.07836622,-0.4144172,1.627407,0.2665945,-0.4222492,1.596721,0.1284942,0.4148449,1.720417,-0.03235278,-0.4031971,1.600408,0.2211942,-0.3927538,1.583864,0.1105073,-0.05870052,1.728713,0.09954244,-0.3895579,1.716493,-0.06118445,0.1379167,1.706586,0.01347553,-0.3794788,1.686468,-0.09227303,-0.127111,1.720024,0.311209,-0.1249139,1.689508,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3173828,0.1376953,0.9213867,0.2734375,0.206543,5,1,0,-1,-2,-3,3,1,1,2,0,-1,-3,-1,1,-8,0.625,0.625,0.625,1.5,1.5,1.5,3.169063,3.070881,5.377017,6.62852,3.046076,8.403616,-0.0787959,-0.4135067,1.626517,0.266423,-0.4223151,1.596136,0.1283901,0.4148298,1.720325,-0.03242093,-0.4038589,1.599961,0.2212845,-0.3987896,1.583638,0.1104216,-0.05872394,1.728582,0.09950475,-0.3896028,1.716345,-0.06124163,0.1379382,1.706535,0.01343091,-0.3795018,1.68635,-0.09236651,-0.1275035,1.720016,0.3111472,-0.1248978,1.689382,NA,NA,NotTracked,NotTracked,
0.9394531,-0.3154297,0.1479492,0.9194336,0.2851563,0.1967773,-5,-2,0,-2,-2,-2,-1,-3,5,6,1,-1,1,-2,2,-1,0.3125,0.3125,0.3125,-4.375,-4.375,-4.375,3.16953,3.070714,5.376612,6.628129,3.048748,8.401708,-0.07897326,-0.4141211,1.625769,0.2661541,-0.4220858,1.594686,0.1282509,0.4148866,1.720021,-0.03262566,-0.4033113,1.600022,0.2210268,-0.395538,1.583498,0.1103256,-0.0586997,1.72836,0.09941511,-0.3896208,1.716214,-0.06127278,0.1380154,1.706453,0.01334991,-0.3795505,1.686244,-0.09234414,-0.1276858,1.719787,0.3110646,-0.1248572,1.689027,NA,NA,NotTracked,NotTracked,
