ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9267578,-0.3574219,0.1142578,0.8686523,0.3989258,0.1708984,-1,0,-3,0,-1,-2,0,0,-2,-1,-3,-1,-2,-2,1,-1,0.5625,0.5625,0.5625,1.1875,1.1875,1.1875,3.017426,3.123045,2.830818,6.891457,3.215615,9.683742,0.007381785,-0.4386619,1.520447,0.384469,-0.4388289,1.467206,0.2299588,0.3992446,1.619808,-0.04183138,-0.4456469,1.53056,0.3407361,-0.4230149,1.470098,0.2177375,-0.06782846,1.61681,0.2122338,-0.3919322,1.599629,0.0425167,0.1221543,1.61434,0.1240944,-0.3823864,1.569587,0.001497118,-0.1443099,1.620121,0.4317648,-0.1363846,1.592625,NA,NA,NotTracked,NotTracked,
0.9272461,-0.3569336,0.1191406,0.8676758,0.3974609,0.1630859,-2,1,-2,-1,-2,-2,-1,-1,2,-2,0,0,0,0,1,-2,-0.3125,-0.3125,-0.3125,-0.25,-0.25,-0.25,3.0176,3.122905,2.830913,6.882797,3.219056,9.69294,0.007693604,-0.4384488,1.520153,0.3839751,-0.4384156,1.465929,0.2299624,0.3992499,1.619717,-0.04292418,-0.4536906,1.535572,0.3398929,-0.4069927,1.471229,0.2175841,-0.06780201,1.61675,0.2120733,-0.3918943,1.599605,0.04249831,0.1221412,1.614252,0.1239085,-0.3823012,1.569579,0.001553992,-0.1443081,1.620109,0.4318255,-0.1364041,1.592462,NA,NA,NotTracked,NotTracked,
0.9272461,-0.3598633,0.1191406,0.8891602,0.3935547,0.1665039,-1,-2,-1,-1,-2,0,-1,-1,-2,-1,-1,0,-2,-1,-2,-2,0.1875,0.1875,0.1875,2.5,2.5,2.5,3.017017,3.122584,2.830989,6.879548,3.219393,9.699587,0.007045551,-0.4391641,1.520594,0.3830706,-0.4372416,1.465982,0.2299504,0.3992195,1.619666,-0.04179616,-0.441804,1.532136,0.3403714,-0.4132644,1.47114,0.2175266,-0.06780415,1.616729,0.2119394,-0.3918809,1.59958,0.04249348,0.1221286,1.614228,0.1237542,-0.382275,1.569572,0.001500929,-0.1444719,1.62007,0.4317897,-0.1363856,1.592464,NA,NA,NotTracked,NotTracked,
0.921875,-0.3500977,0.121582,0.8847656,0.390625,0.1523438,-1,-1,-4,0,-1,-2,-1,-2,1,-3,-2,0,1,1,1,-2,0.625,0.625,0.625,0.875,0.875,0.875,3.017083,3.122421,2.831013,6.88137,3.216996,9.701901,0.007556538,-0.4416296,1.519851,0.3827441,-0.4354376,1.466768,0.2299218,0.3992225,1.619609,-0.04200314,-0.4465789,1.531125,0.3430545,-0.4173705,1.472291,0.217428,-0.06780607,1.616695,0.2117884,-0.3918944,1.599546,0.04247254,0.1221212,1.614221,0.1235951,-0.3822768,1.569574,0.001518829,-0.1444663,1.620121,0.4317261,-0.1362253,1.592634,NA,NA,NotTracked,NotTracked,
0.9272461,-0.3598633,0.1220703,0.9873047,0.425293,0.09716797,-1,-2,-2,0,0,-1,-1,1,7,-9,-14,0,4,-1,-4,1,0.9375,0.9375,0.9375,-1.25,-1.25,-1.25,3.017257,3.122281,2.831109,6.886684,3.218361,9.7001,0.007551324,-0.4414204,1.519109,0.3815983,-0.4370985,1.465958,0.2298706,0.3992315,1.619549,-0.04100174,-0.4456733,1.527421,0.3406307,-0.4164555,1.470656,0.2173814,-0.0678196,1.616667,0.2116645,-0.3919036,1.599493,0.0424627,0.122086,1.614215,0.1234571,-0.3822598,1.569559,0.001589831,-0.144806,1.619951,0.4316917,-0.1362078,1.592621,NA,NA,NotTracked,NotTracked,
0.9272461,-0.3569336,0.1220703,1.22168,0.4243164,0.06347656,-1,-1,-3,0,0,-1,-2,0,-1,2,-5,8,-2,0,6,3,0.6875,0.6875,0.6875,-63.75,-63.75,-63.75,3.018899,3.122675,2.831425,6.795966,3.284899,9.721077,0.007656488,-0.441605,1.520495,0.3741136,-0.4243222,1.458658,0.2298179,0.3992558,1.619522,-0.0420597,-0.4475245,1.531111,0.3380626,-0.3975845,1.471352,0.2172385,-0.06779017,1.616686,0.2112712,-0.3918628,1.599429,0.0424278,0.1220699,1.614203,0.122974,-0.3821923,1.569447,0.001513226,-0.144701,1.620045,0.4319044,-0.1362634,1.592875,NA,NA,NotTracked,NotTracked,
0.9360352,-0.3574219,0.1049805,1.014648,0.9228516,0.5419922,0,0,-1,-1,0,0,-1,-2,-11,-19,2,-13,-23,-5,-27,-10,1.8125,1.8125,1.8125,45.75,45.75,45.75,3.023439,3.121789,2.832179,6.654241,3.651498,9.929453,0.007788308,-0.4410263,1.519429,0.3433957,-0.3667166,1.430534,0.2298141,0.3992261,1.619457,-0.04169848,-0.4457659,1.530273,0.345155,-0.4300414,1.435714,0.2162854,-0.06765404,1.616548,0.2081116,-0.3913259,1.59938,0.04236956,0.1220498,1.614233,0.1196254,-0.3813489,1.569232,0.001418976,-0.1446002,1.620217,0.4370714,-0.132489,1.59655,NA,NA,NotTracked,Unknown,
0.9160156,-0.3710938,0.1245117,0.4521484,1.043945,0.5336914,-1,-3,-2,-2,-1,-1,-1,2,11,24,4,-1,-9,-8,12,-11,-8.6875,-8.6875,-8.6875,-0.875,-0.875,-0.875,3.016819,3.118578,2.831682,6.625261,4.151874,0.03037808,0.00675143,-0.4393854,1.521957,0.3026303,-0.246826,1.427121,0.229858,0.3992062,1.61941,-0.04316379,-0.444237,1.533049,0.3058696,-0.3206971,1.456079,0.2154593,-0.06761105,1.616434,0.2054127,-0.3911489,1.59981,0.04236678,0.1221133,1.614106,0.1175956,-0.3808796,1.569545,0.001389125,-0.1443145,1.620313,0.4542972,-0.1061796,1.603465,NA,NA,NotTracked,Unknown,
0.9091797,-0.3457031,0.1176758,-0.03076172,0.7416992,0.3745117,-2,0,-2,-3,7,14,-2,-3,-11,-28,-20,-8,-6,-4,-12,-29,-7.375,-7.375,-7.375,-1.5,-1.5,-1.5,2.989658,3.109357,2.841504,6.586044,4.732614,0.104424,0.004576726,-0.4393435,1.522179,0.2707726,-0.111353,1.409512,0.23009,0.3991286,1.619233,-0.04346448,-0.4452207,1.529186,0.243098,-0.1462557,1.465346,0.2152953,-0.06739988,1.616526,0.205307,-0.3905205,1.600078,0.04244507,0.1221632,1.613913,0.1176165,-0.3804627,1.569887,0.0006640076,-0.1431522,1.619908,0.4690548,-0.09110984,1.591391,NA,NA,NotTracked,Unknown,
0.9389648,-0.362793,0.121582,-0.3564453,0.7641602,0.3544922,0,0,-2,-2,-11,-18,-1,-1,16,10,-5,7,5,6,-5,18,13.0625,13.0625,13.0625,50.5,50.5,50.5,2.979751,3.115511,2.853844,6.659551,5.268362,0.171689,0.003978039,-0.4380389,1.520186,0.2783902,0.01786541,1.411764,0.2303699,0.3989657,1.619081,-0.04476044,-0.4404216,1.530903,0.2800751,0.05869084,1.472923,0.2152533,-0.06725115,1.616831,0.205043,-0.3899984,1.600477,0.04251055,0.122234,1.613847,0.1173945,-0.380086,1.570349,2.999233E-05,-0.1411036,1.619787,0.4682131,-0.08940896,1.544559,NA,NA,NotTracked,Unknown,
0.9311523,-0.3608398,0.1445313,-0.5048828,0.6420898,0.3974609,0,-2,-2,-1,-2,-4,0,-1,-14,15,3,-4,-14,-2,4,-14,-2.25,-2.25,-2.25,69.875,69.875,69.875,3.006944,3.131291,2.831766,6.876155,5.822671,0.3340179,0.004816903,-0.4377749,1.515751,0.2881463,0.101528,1.437277,0.2304363,0.3989424,1.619011,-0.04594653,-0.4513634,1.526567,0.2704812,0.06482029,1.495993,0.2152455,-0.06733634,1.617034,0.2050217,-0.3901597,1.600537,0.0424296,0.1223468,1.613896,0.1171662,-0.3805675,1.570832,-0.0003898885,-0.1391297,1.619878,0.4681522,-0.08281962,1.519069,NA,NA,NotTracked,Unknown,
0.8945313,-0.3642578,0.1503906,-0.4091797,0.6611328,0.3515625,0,-2,-3,-2,-2,-2,0,-1,7,8,3,-1,9,-3,14,-2,1.3125,1.3125,1.3125,69.875,69.875,69.875,3.035098,3.15293,2.801491,7.071912,6.040349,0.4699467,0.006116998,-0.4359601,1.512554,0.2946104,0.1524862,1.451535,0.2301715,0.3989507,1.618972,-0.042263,-0.4459045,1.517958,0.2862715,0.1175672,1.515416,0.2142907,-0.06727577,1.617393,0.2047772,-0.3910447,1.600598,0.04232489,0.1223926,1.614096,0.1162797,-0.3821647,1.572356,-0.0006007066,-0.1370872,1.619552,0.4715327,-0.06846861,1.484228,NA,NA,NotTracked,Closed,
0.9233398,-0.3613281,0.1352539,-0.53125,0.6611328,0.2592773,-1,-1,-1,-2,-2,-2,-2,-1,-24,-29,-13,-6,-5,-5,-13,-4,10.9375,10.9375,10.9375,24,24,24,3.063715,3.178099,2.7865,7.215366,6.151408,0.6040975,0.007263437,-0.4360638,1.508413,0.2951428,0.1842,1.44713,0.2295744,0.3989322,1.6191,-0.03865753,-0.4554104,1.506615,0.2958992,0.122539,1.517938,0.2138029,-0.06731976,1.617574,0.204305,-0.3919552,1.600538,0.04248584,0.1223615,1.614465,0.1153463,-0.3832579,1.573284,-0.0006365504,-0.1360888,1.619538,0.4738157,-0.05763875,1.463567,NA,NA,NotTracked,Unknown,
0.9360352,-0.3613281,0.1201172,-0.7592773,0.7070313,0.1445313,-2,-3,-3,-5,-4,-1,-5,0,1,-20,-15,-3,-8,-3,-20,-2,11.0625,11.0625,11.0625,-2.875,-2.875,-2.875,3.078694,3.1876,2.791799,7.318102,6.262811,0.766806,0.009042143,-0.4354677,1.507864,0.2990054,0.1996215,1.452991,0.2287547,0.3989815,1.619003,-0.03678742,-0.4332714,1.513188,0.3075038,0.1309114,1.524467,0.2136545,-0.0672539,1.617738,0.2040094,-0.3923036,1.600543,0.04296146,0.1222565,1.615046,0.114699,-0.3836611,1.573946,-0.0001145976,-0.1346397,1.620163,0.4730312,-0.04652355,1.446007,NA,NA,NotTracked,Lasso,
0.9238281,-0.3564453,0.1225586,-0.6542969,0.5751953,-0.03076172,-1,-2,-1,-2,-4,6,-1,0,0,0,-1,-4,5,7,23,1,9.5,9.5,9.5,49.875,49.875,49.875,3.096374,3.18643,2.790831,7.430767,6.389362,0.8580986,0.01029977,-0.4348005,1.511178,0.305016,0.2193578,1.459092,0.228189,0.398804,1.618682,-0.03678603,-0.4355371,1.521454,0.3294952,0.1440947,1.533556,0.2138489,-0.06694969,1.617892,0.2037586,-0.3924305,1.600504,0.0433125,0.1221508,1.615556,0.1142031,-0.3836881,1.57422,0.0006884985,-0.1318895,1.621687,0.47226,-0.0407331,1.436338,NA,NA,NotTracked,Closed,
0.8935547,-0.4135742,0.1679688,-0.5922852,0.5961914,-0.01074219,-1,-3,-1,-2,-2,-5,0,-1,8,-2,6,12,6,-3,8,14,-4.3125,-4.3125,-4.3125,48.5625,48.5625,48.5625,3.097267,3.17261,2.778922,7.516387,6.399131,0.8514908,0.01023057,-0.4356429,1.514321,0.3035678,0.2243337,1.448811,0.2276459,0.3983292,1.617936,-0.03791002,-0.4370696,1.523307,0.3473378,0.1513913,1.5225,0.2141525,-0.06639673,1.618192,0.203659,-0.3923926,1.600495,0.04378133,0.1220944,1.615818,0.1138911,-0.3834708,1.574348,0.001213127,-0.1309166,1.622156,0.4707038,-0.03532631,1.428629,NA,NA,NotTracked,Closed,
