ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9243164,-0.3632813,0.1342773,0.949707,0.394043,0.04443359,-1,-1,0,-1,-2,-1,0,0,-11,-2,1,0,0,0,3,3,1.75,1.75,1.75,-46,-46,-46,3.071332,3.133105,3.940153,6.846696,3.092938,6.84447,0.01182783,-0.4374529,1.478501,0.3812581,-0.4345425,1.460306,0.219189,0.4001552,1.598161,0.05987391,-0.4232507,1.458279,0.4209818,-0.4293136,1.449179,0.2127292,-0.06664678,1.592026,0.209899,-0.3920388,1.573574,0.0330985,0.1190403,1.584526,0.1214944,-0.3830028,1.54312,-0.002774557,-0.1419488,1.582707,0.4230807,-0.1398183,1.57038,NA,NA,NotTracked,NotTracked,
0.9243164,-0.3725586,0.1269531,0.9941406,0.3959961,0.1430664,0,0,-1,0,0,-1,-1,0,-12,10,-3,1,-1,3,2,-1,1.125,1.125,1.125,-57.25,-57.25,-57.25,3.069975,3.135818,3.943245,6.791605,3.161186,6.794937,0.01194444,-0.435523,1.47805,0.3790455,-0.4358397,1.447665,0.2193841,0.4001322,1.597805,0.05993854,-0.4197563,1.458737,0.420687,-0.4262809,1.4405,0.2127406,-0.06663534,1.591919,0.2098515,-0.3920179,1.573417,0.0331352,0.119054,1.584482,0.1214317,-0.38298,1.542947,-0.002741439,-0.1419297,1.582749,0.4234156,-0.140026,1.570094,NA,NA,NotTracked,NotTracked,
0.9072266,-0.3491211,0.1191406,0.9536133,0.5522461,0.3129883,-3,0,-2,-2,1,0,-1,-1,9,38,32,11,8,-6,-2,2,-2.0625,-2.0625,-2.0625,-49.5,-49.5,-49.5,3.07042,3.135804,3.942727,6.70631,3.370127,6.775545,0.01180688,-0.4353825,1.478478,0.3737631,-0.4150849,1.429691,0.2196624,0.4000557,1.597764,0.05993477,-0.4209975,1.458722,0.4130047,-0.4018466,1.423,0.2126674,-0.06668051,1.591767,0.2094832,-0.3921011,1.573179,0.03317129,0.1190605,1.584441,0.1210418,-0.383021,1.542645,-0.002757766,-0.1419295,1.582676,0.4267493,-0.1420074,1.569711,NA,NA,NotTracked,NotTracked,
0.9106445,-0.3671875,0.1494141,0.9448242,0.5541992,0.4970703,-2,0,0,-1,1,-1,-1,0,-7,18,27,1,0,-3,-2,-1,-2.3125,-2.3125,-2.3125,-54,-54,-54,3.064579,3.136439,3.94182,6.630158,3.617548,6.763232,0.01142244,-0.4395495,1.476973,0.3659619,-0.3743858,1.377829,0.219841,0.4000487,1.597723,0.0595748,-0.4219266,1.458688,0.3801691,-0.4367435,1.393333,0.2124809,-0.0666577,1.59166,0.2086282,-0.3919389,1.572786,0.03318845,0.119015,1.584414,0.1201593,-0.3827484,1.542189,-0.002783972,-0.1419195,1.58263,0.4370754,-0.1353016,1.569539,NA,NA,NotTracked,NotTracked,
0.9267578,-0.347168,0.1396484,0.581543,0.6621094,0.5761719,-1,0,2,-2,-1,-2,0,-1,0,18,-8,-10,-1,0,4,2,-0.1875,-0.1875,-0.1875,-30.875,-30.875,-30.875,3.065982,3.136363,3.940536,6.574639,3.939306,6.744212,0.01131446,-0.4369574,1.477403,0.3457357,-0.3111574,1.342602,0.2199999,0.4000199,1.597745,0.05915266,-0.4247986,1.458135,0.3396822,-0.38366,1.3859,0.2116534,-0.06650415,1.591423,0.2055758,-0.3912189,1.572114,0.03319344,0.1190279,1.58441,0.1171222,-0.3818531,1.541481,-0.002796085,-0.1419596,1.582619,0.4424954,-0.1244112,1.572302,NA,NA,NotTracked,Unknown,
0.9160156,-0.3588867,0.1489258,0.3955078,0.8759766,0.6791992,0,0,-1,-2,-1,-2,0,0,-18,-22,-21,0,-7,-7,-11,-11,0.6875,0.6875,0.6875,-59.625,-59.625,-59.625,3.07363,3.137703,3.93612,6.477262,4.434063,6.715474,0.01268648,-0.439696,1.476918,0.3336137,-0.2149883,1.296411,0.2200669,0.4000404,1.597734,0.05961831,-0.4392028,1.456838,0.3283775,-0.2555665,1.278833,0.2108967,-0.06626625,1.591316,0.2036328,-0.3906358,1.571852,0.03321641,0.1190638,1.584538,0.1154186,-0.3813436,1.541451,-0.002656976,-0.1411476,1.582847,0.4453426,-0.0998464,1.573698,NA,NA,NotTracked,Unknown,
0.9306641,-0.3574219,0.1171875,-0.08007813,0.784668,0.625,-1,-2,0,-1,-2,-2,-2,-2,7,16,31,-5,19,8,6,11,5.5625,5.5625,5.5625,-43.4375,-43.4375,-43.4375,3.078753,3.137091,3.937656,6.384413,4.894282,6.731541,0.01292831,-0.4379578,1.479442,0.3199416,-0.1028176,1.28978,0.2202205,0.3999841,1.597806,0.05822971,-0.4482855,1.456667,0.3092827,-0.1285197,1.2498,0.2106201,-0.06618011,1.591381,0.2029848,-0.3903857,1.571948,0.03338947,0.1190893,1.584727,0.1147464,-0.3811376,1.541719,-0.002752858,-0.1406903,1.583147,0.4505235,-0.09775362,1.540421,NA,NA,NotTracked,Unknown,
0.9047852,-0.3813477,0.1376953,-0.46875,0.6538086,0.5600586,0,-2,-2,-1,0,-2,-2,-1,-5,1,2,3,2,-2,3,-1,-4.8125,-4.8125,-4.8125,-11.875,-11.875,-11.875,3.074641,3.135183,3.939282,6.350584,5.556452,6.825678,0.01332965,-0.4380559,1.479242,0.3126934,0.0170216,1.319932,0.2205158,0.3998846,1.59764,0.06035805,-0.4221572,1.457378,0.2889128,0.007278019,1.276647,0.2105945,-0.06615786,1.591405,0.2028355,-0.3901879,1.571922,0.03350311,0.1190533,1.584806,0.1146229,-0.3810798,1.54186,-0.002593887,-0.1403784,1.583298,0.4267607,-0.1020737,1.50649,NA,NA,NotTracked,Unknown,
0.9130859,-0.3808594,0.1503906,-0.581543,0.6044922,0.484375,-1,-1,-1,0,0,-1,-1,1,2,44,2,5,1,-1,-3,7,-7.0625,-7.0625,-7.0625,14.375,14.375,14.375,3.064234,3.135821,3.936393,6.426615,5.989171,6.954922,0.01317319,-0.4404506,1.477973,0.3115294,0.1099844,1.351348,0.2209102,0.3997393,1.597359,0.05806389,-0.4521932,1.45558,0.2926795,0.08174778,1.335318,0.2104646,-0.06644904,1.591481,0.2024917,-0.3907188,1.571924,0.03369954,0.1191287,1.584893,0.114128,-0.3818671,1.542292,-0.002560652,-0.1404645,1.583338,0.4380395,-0.1276424,1.507491,NA,NA,NotTracked,Unknown,
0.9316406,-0.3544922,0.1464844,-0.53125,0.6020508,0.4404297,-1,0,-1,-1,-1,0,-3,-2,1,-10,-11,4,6,-2,-1,0,-1.75,-1.75,-1.75,42.375,42.375,42.375,3.066752,3.142996,3.929366,6.594088,6.278115,7.12908,0.01360895,-0.4383146,1.47739,0.3159569,0.1632193,1.380587,0.2208976,0.399669,1.597219,0.06065627,-0.4204809,1.458223,0.2999432,0.1283042,1.3912,0.2102996,-0.06660745,1.59169,0.20237,-0.3909092,1.571917,0.03389474,0.1192421,1.585469,0.1137703,-0.3821695,1.54295,-0.002226813,-0.1395809,1.583654,0.4234433,-0.09397633,1.465018,NA,NA,NotTracked,Unknown,
