Gesture,Machine,Accuracy,Precision,Recall,F1
About,DT,0.90268,0.53371,0.56548,0.54913
About,SVM,0.95696,0.91597,0.64881,0.75958
About,NN,0.91703,0.59162,0.67262,0.62953
And,DT,0.94386,0.74675,0.69277,0.71875
And,SVM,0.96569,0.97436,0.68675,0.80565
And,NN,0.98129,0.91975,0.89759,0.90854
Can,DT,0.9189,0.60127,0.58642,0.59375
Can,SVM,0.93949,0.82178,0.51235,0.63118
Can,NN,0.932,0.68794,0.59877,0.64026
Cop,DT,0.92514,0.65354,0.52201,0.58042
Cop,SVM,0.96631,0.93388,0.71069,0.80714
Cop,NN,0.97006,0.83234,0.87421,0.85276
Deaf,DT,0.96694,0.85333,0.80503,0.82848
Deaf,SVM,0.99688,1,0.96855,0.98403
Deaf,NN,0.9844,0.8764,0.98113,0.92582
Decide,DT,0.90954,0.54491,0.56875,0.55657
Decide,SVM,0.97879,1,0.7875,0.88112
Decide,NN,0.9476,0.69588,0.84375,0.76271
Father,DT,0.96007,0.77778,0.81818,0.79747
Father,SVM,0.98565,0.98519,0.86364,0.92042
Father,NN,0.97941,0.86228,0.93506,0.8972
Find,DT,0.94635,0.73684,0.70886,0.72258
Find,SVM,0.97318,0.98319,0.74051,0.84477
Find,NN,0.9738,0.89726,0.82911,0.86184
GoOut,DT,0.94011,0.71329,0.64968,0.68
GoOut,SVM,0.9738,0.96,0.76433,0.85106
GoOut,NN,0.97567,0.88312,0.86624,0.8746
Hearing,DT,0.92015,0.625,0.5,0.55556
Hearing,SVM,0.96694,0.98198,0.68125,0.80443
Hearing,NN,0.95197,0.832,0.65,0.72982
