ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9335938,-0.3349609,-0.02099609,0.8979492,0.3740234,0.1030273,0,-2,4,-1,0,2,-11,6,-6,-1,-3,-2,-2,2,0,-2,-3.75,-3.75,-3.75,-0.8125,-0.8125,-0.8125,2.298435,3.063047,5.771956,7.146213,3.162997,3.122576,-0.1948302,-0.4238047,1.665957,0.3764984,-0.4517023,1.568403,0.1241545,0.397351,1.711566,-0.1605051,-0.4297079,1.662968,0.3499353,-0.4577357,1.54103,0.1053937,-0.07303427,1.720802,0.09230302,-0.3999795,1.703965,-0.06700896,0.1271932,1.723036,0.006225375,-0.3906788,1.674545,-0.1396876,-0.1367691,1.753399,0.3374494,-0.1494206,1.682582,NA,NA,NotTracked,Unknown,
0.9399414,-0.3569336,-0.02441406,0.8691406,0.4140625,0.1162109,6,1,0,-2,-1,-1,-11,-13,0,-1,0,-1,0,-1,-2,-2,1.75,1.75,1.75,3.4375,3.4375,3.4375,2.29945,3.068499,5.770745,7.148273,3.166193,3.126218,-0.1953187,-0.423515,1.664598,0.3763634,-0.4511123,1.567413,0.12417,0.3973425,1.711577,-0.1605637,-0.4332628,1.658545,0.349525,-0.457275,1.542633,0.1053989,-0.0730186,1.720817,0.09228792,-0.3999342,1.703978,-0.06678004,0.127261,1.723227,0.006210868,-0.3905863,1.674552,-0.1397513,-0.1368025,1.753522,0.337428,-0.1494671,1.682601,NA,NA,NotTracked,Unknown,
0.9375,-0.3515625,-0.01855469,0.8881836,0.371582,0.09570313,-11,-8,-13,-1,0,2,9,-13,0,-3,-1,-1,-2,-2,2,0,1.25,1.25,1.25,1.875,1.875,1.875,2.305788,3.070645,5.765447,7.147694,3.166841,3.121304,-0.1953352,-0.4233273,1.663471,0.3763782,-0.4517573,1.566406,0.1242313,0.3973051,1.711659,-0.1611335,-0.4403613,1.665529,0.3493056,-0.4566642,1.544562,0.1054408,-0.07300433,1.720855,0.09238346,-0.3999189,1.703992,-0.06661428,0.1271673,1.723385,0.006284773,-0.3905591,1.674549,-0.1397514,-0.1364536,1.753849,0.3374256,-0.1495328,1.682591,NA,NA,NotTracked,Closed,
0.9291992,-0.3364258,-0.015625,0.8925781,0.3862305,0.1083984,1,-6,-18,-3,-5,-4,-24,-2,1,-1,1,-2,-3,-4,-2,-2,3.3125,3.3125,3.3125,-0.9375,-0.9375,-0.9375,2.314831,3.075778,5.758988,7.149241,3.167168,3.120465,-0.1951488,-0.4233603,1.663663,0.3763447,-0.4521331,1.566836,0.1242992,0.3972599,1.71176,-0.1611323,-0.4352446,1.660685,0.3490941,-0.4546745,1.545876,0.1054453,-0.07299544,1.720858,0.09241625,-0.3999119,1.703968,-0.06651546,0.1271595,1.72346,0.006302958,-0.3905511,1.674568,-0.1400251,-0.137105,1.753694,0.3374864,-0.1495597,1.682399,NA,NA,NotTracked,Unknown,
0.9399414,-0.3535156,-0.04638672,0.9125977,0.3759766,0.09765625,-5,3,25,-2,-7,-3,5,7,2,-3,1,0,0,-1,-2,-1,-4,-4,-4,-0.1875,-0.1875,-0.1875,2.312047,3.074443,5.758523,7.145228,3.16522,3.121203,-0.1940824,-0.4224193,1.661847,0.3760719,-0.4510548,1.566095,0.1243538,0.3972674,1.711805,-0.1609662,-0.4288956,1.658751,0.3494027,-0.4557824,1.545056,0.105456,-0.07299452,1.720888,0.0923832,-0.399933,1.703946,-0.06625272,0.1270252,1.723406,0.006284218,-0.3905583,1.674545,-0.1399787,-0.1369773,1.753765,0.3374907,-0.1495638,1.682399,NA,NA,NotTracked,Unknown,
1.143066,-0.3779297,-0.08251953,0.9301758,0.3789063,0.09375,2,1,-28,1,19,52,6,5,-2,-3,2,-4,5,2,0,-1,85.8125,85.8125,85.8125,5.375,5.375,5.375,2.519456,3.116944,5.635997,7.103587,3.176717,3.168836,-0.1862387,-0.4163244,1.650014,0.3751696,-0.4509442,1.566418,0.1245048,0.3973567,1.711886,-0.1513992,-0.4346746,1.648294,0.3464555,-0.4526609,1.550558,0.1054929,-0.0729721,1.720918,0.09236403,-0.3999281,1.703977,-0.06596509,0.1270573,1.723464,0.006265148,-0.3905566,1.674584,-0.1399562,-0.1349004,1.755156,0.337666,-0.1497837,1.682372,NA,NA,NotTracked,Unknown,
0.9990234,-0.5644531,0.2885742,0.9316406,0.4262695,0.2192383,-9,-3,-7,-1,-9,-12,-23,-13,-4,-5,-7,-4,5,-1,-7,-3,-38.3125,-38.3125,-38.3125,24.8125,24.8125,24.8125,2.85281,3.243335,5.285795,7.005616,3.220355,3.303592,-0.1583571,-0.3848016,1.605604,0.3685143,-0.4457323,1.557249,0.124588,0.3974248,1.71193,-0.1237949,-0.411526,1.601769,0.3399939,-0.4451759,1.538155,0.1054913,-0.07295569,1.720929,0.09238874,-0.3999306,1.704022,-0.06553567,0.1270619,1.723668,0.006293308,-0.3905612,1.674654,-0.1400184,-0.129886,1.758611,0.3382683,-0.1500778,1.682626,NA,NA,NotTracked,Unknown,
0.8994141,-0.7397461,0.4526367,0.8950195,0.4956055,0.2446289,-2,-4,-60,-17,8,26,8,-2,-4,-4,-6,-3,-5,2,-5,-3,44,44,44,29.8125,29.8125,29.8125,3.162155,3.535736,4.963308,6.858935,3.344297,3.533815,-0.09227362,-0.3357702,1.563431,0.3554775,-0.4321169,1.538511,0.1245241,0.397412,1.711837,-0.04688743,-0.3806729,1.597347,0.3272301,-0.4332594,1.519152,0.1055279,-0.07295077,1.720853,0.09256859,-0.3999547,1.703879,-0.06514922,0.1270656,1.724049,0.00648117,-0.3906016,1.674554,-0.1385518,-0.1151416,1.762894,0.3396237,-0.1497111,1.68341,NA,NA,Unknown,Unknown,
0.5014648,-0.7451172,0.4619141,0.7592773,0.5537109,0.284668,1,-1,14,1,-1,12,14,29,-5,-8,-5,-11,-19,1,-3,-12,-10.75,-10.75,-10.75,35.875,35.875,35.875,3.348723,3.925734,4.726451,6.788805,3.483604,3.688875,-0.06083892,-0.2401771,1.491106,0.3368771,-0.4059459,1.517108,0.1241965,0.3972294,1.711683,-0.00870336,-0.2787844,1.564267,0.3053441,-0.4130644,1.5092,0.1057701,-0.07306598,1.720704,0.09322461,-0.4000514,1.703534,-0.0650131,0.1272667,1.724324,0.007274959,-0.3907847,1.674187,-0.1326689,-0.09781015,1.760659,0.3421368,-0.1456766,1.686679,NA,NA,Unknown,NotTracked,
0.3081055,-0.6577148,0.3413086,0.765625,0.5732422,0.3139648,-2,-3,4,3,1,-23,-34,11,-4,-18,-1,9,18,-5,1,-8,-4.625,-4.625,-4.625,26.6875,26.6875,26.6875,3.444142,4.385552,4.555884,6.754181,3.643304,3.793223,-0.03500652,-0.1727509,1.453525,0.3184977,-0.3742067,1.492493,0.1237054,0.3972006,1.711772,0.01838515,-0.2048251,1.544667,0.2861624,-0.374164,1.457756,0.1057974,-0.07298478,1.720817,0.09324943,-0.3999514,1.703594,-0.06489056,0.1273516,1.724595,0.007352907,-0.3906761,1.67421,-0.1298991,-0.08314282,1.754322,0.3450849,-0.1391299,1.690083,NA,NA,Closed,NotTracked,
