ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9326172,-0.3271484,0.1152344,0.9189453,0.2998047,0.1088867,-3,-3,1,-1,-1,0,1,0,11,2,-2,0,-4,2,2,3,-1.4375,-1.4375,-1.4375,2.75,2.75,2.75,3.059308,3.077189,4.664616,7.008857,2.994534,0.3768185,-0.08616684,-0.4294542,1.642309,0.3012963,-0.4632754,1.613746,0.1353571,0.404151,1.722017,-0.1305071,-0.4145788,1.649014,0.2528237,-0.452861,1.576812,0.1188971,-0.06677444,1.723705,0.1074438,-0.3955553,1.705073,-0.05638282,0.131205,1.71787,0.02182746,-0.3852797,1.673584,-0.0970313,-0.1415038,1.735188,0.3302688,-0.1347179,1.68988,NA,NA,NotTracked,NotTracked,
0.9316406,-0.3276367,0.1220703,0.9233398,0.2851563,0.1132813,0,-4,-1,-2,0,1,-3,-2,-6,-2,-3,-3,-8,-1,0,-2,2.4375,2.4375,2.4375,0.0625,0.0625,0.0625,3.060084,3.077518,4.66559,7.016137,2.993917,0.3713187,-0.08627757,-0.4295196,1.640976,0.3015741,-0.4629954,1.613118,0.1352531,0.4041135,1.721772,-0.1322163,-0.4148199,1.654529,0.2535615,-0.4661422,1.575737,0.1188722,-0.06677558,1.72368,0.1074524,-0.3955536,1.705056,-0.05639168,0.1312457,1.717736,0.0218355,-0.3852678,1.673567,-0.09704675,-0.1414144,1.735225,0.3301768,-0.1348274,1.689841,NA,NA,NotTracked,NotTracked,
0.9350586,-0.3432617,0.1196289,0.9243164,0.2861328,0.1230469,-1,1,1,-1,0,0,-1,-3,4,-1,0,3,1,-1,-2,0,0.8125,0.8125,0.8125,0.375,0.375,0.375,3.058675,3.077483,4.66548,7.012124,2.993199,0.3738275,-0.08598075,-0.4295222,1.641547,0.3010315,-0.4630108,1.613739,0.1352513,0.4041468,1.721705,-0.130826,-0.3988113,1.65468,0.253188,-0.4504963,1.577727,0.1188348,-0.06680887,1.72365,0.1074247,-0.3955919,1.705062,-0.05635474,0.1312081,1.717688,0.02181065,-0.3853038,1.673565,-0.09703613,-0.1414692,1.735251,0.3301923,-0.1348204,1.689859,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3344727,0.1210938,0.9257813,0.2871094,0.1240234,0,-3,-1,-1,0,-3,-1,-2,-3,1,-2,-7,-11,0,-1,-2,-0.625,-0.625,-0.625,3,3,3,3.058751,3.076926,4.665805,7.008811,2.994269,0.3770009,-0.08637996,-0.4298831,1.641848,0.3010222,-0.4632744,1.613694,0.1352552,0.4041241,1.721596,-0.1317545,-0.412354,1.65304,0.2530454,-0.455619,1.576608,0.1187973,-0.06684154,1.723577,0.1073973,-0.3956152,1.705,-0.05643313,0.1312056,1.717692,0.02177601,-0.385347,1.673488,-0.09714155,-0.1415044,1.735176,0.3301333,-0.1349264,1.689755,NA,NA,NotTracked,NotTracked,
0.934082,-0.3266602,0.1206055,0.9335938,0.3706055,0.07666016,-2,-1,0,-2,1,1,-3,-2,-5,8,7,-5,-19,-28,-2,5,-0.375,-0.375,-0.375,-12.375,-12.375,-12.375,3.058751,3.076926,4.665805,7.017983,3.002285,0.3626922,-0.08608296,-0.4289423,1.64076,0.301212,-0.4633259,1.612452,0.1352417,0.4041124,1.721483,-0.1303912,-0.4262225,1.647231,0.2532415,-0.4527219,1.577353,0.1187662,-0.06684033,1.723486,0.107372,-0.3955981,1.70497,-0.05648839,0.1312155,1.717558,0.0217447,-0.3853296,1.673449,-0.09707424,-0.1413634,1.735183,0.3301597,-0.1348111,1.68979,NA,NA,NotTracked,NotTracked,
0.9267578,-0.3378906,0.1254883,0.9912109,0.3476563,-0.05712891,-1,3,0,-3,-1,-2,1,-3,0,5,-2,-4,-7,0,-1,1,1.0625,1.0625,1.0625,-69.125,-69.125,-69.125,3.059228,3.077661,4.666061,6.961499,3.059303,0.3193772,-0.08611746,-0.4286188,1.64068,0.3006759,-0.4643701,1.607915,0.1352659,0.4042187,1.721134,-0.1306011,-0.4179107,1.647884,0.2532921,-0.4528055,1.576652,0.118742,-0.06682797,1.723444,0.107367,-0.3955942,1.704942,-0.05648705,0.1311996,1.717506,0.02173524,-0.3853198,1.673423,-0.09710331,-0.1414212,1.735166,0.3302622,-0.134695,1.689756,NA,NA,NotTracked,NotTracked,
0.9370117,-0.324707,0.1049805,1.037109,0.6689453,0.4145508,-1,-2,-3,-1,-2,0,-1,-2,8,-9,-24,3,2,8,-5,-1,4.0625,4.0625,4.0625,-2.375,-2.375,-2.375,3.064213,3.07968,4.669527,6.849745,3.291534,0.3550457,-0.08667963,-0.4293752,1.641495,0.2899436,-0.4558763,1.586843,0.1352284,0.4042332,1.72104,-0.1299614,-0.410953,1.643386,0.244502,-0.4420337,1.567,0.1185819,-0.06679048,1.723364,0.1069884,-0.3955157,1.704888,-0.05651697,0.1311795,1.717476,0.02136303,-0.3851874,1.673275,-0.0970706,-0.1413492,1.735168,0.3313687,-0.1348771,1.690596,NA,NA,NotTracked,NotTracked,
0.9101563,-0.3413086,0.1044922,0.8452148,0.8291016,0.4985352,0,-3,-1,-2,-4,-2,1,-2,-3,7,-28,-15,12,6,-5,-5,-8.125,-8.125,-8.125,56.5625,56.5625,56.5625,3.060328,3.074964,4.666433,6.796255,3.605282,0.4916193,-0.08649912,-0.4264288,1.64131,0.2510676,-0.4132148,1.542963,0.1352151,0.4042019,1.720947,-0.1301898,-0.4106532,1.64775,0.2152134,-0.3966784,1.560279,0.1173113,-0.06643809,1.723027,0.1035209,-0.3945079,1.704362,-0.05649009,0.1314464,1.717289,0.01719844,-0.3838289,1.672467,-0.09706575,-0.1414593,1.73514,0.340726,-0.1247526,1.690237,NA,NA,NotTracked,NotTracked,
0.9326172,-0.3569336,0.1479492,0.5537109,0.8066406,0.6103516,0,2,3,0,0,-1,-3,-1,13,14,5,10,9,-5,-9,-13,-8.6875,-8.6875,-8.6875,24.625,24.625,24.625,3.051807,3.073723,4.65775,6.750628,4.026662,0.6318505,-0.08688031,-0.4295126,1.640694,0.1781535,-0.3347341,1.524208,0.1351658,0.4040984,1.720841,-0.1316926,-0.4007267,1.6543,0.2394769,-0.3805067,1.561455,0.114177,-0.06607074,1.722729,0.0955365,-0.393793,1.703797,-0.0565411,0.131292,1.716975,0.008655147,-0.3818525,1.672215,-0.09724337,-0.1406425,1.735135,0.3495526,-0.1002902,1.685434,NA,NA,NotTracked,Unknown,
0.9233398,-0.3085938,0.140625,0.1025391,0.7441406,0.4731445,-2,-3,1,0,-2,-3,-1,-2,28,3,-2,3,-12,4,23,29,-2.875,-2.875,-2.875,15.8125,15.8125,15.8125,3.06062,3.076589,4.641079,6.713871,4.459867,0.7906635,-0.08642451,-0.4296798,1.638931,0.1345647,-0.2246249,1.479915,0.1351661,0.4041041,1.720823,-0.1300764,-0.4235795,1.641131,0.1495896,-0.2789106,1.538591,0.1139816,-0.06591213,1.722789,0.09571993,-0.3934633,1.704021,-0.05653544,0.1311976,1.716654,0.009306171,-0.3816185,1.672619,-0.09718248,-0.1397954,1.734746,0.3522075,-0.09758971,1.671172,NA,NA,NotTracked,Unknown,
