ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8959961,-0.4287109,0.1816406,0.8618164,0.4204102,0.2089844,2,0,-1,-1,-2,-2,-3,-11,0,1,0,4,-10,3,-3,0,-1.0625,-1.0625,-1.0625,-6.625,-6.625,-6.625,3.136915,3.226796,5.017635,6.807781,3.273416,9.077858,-0.08997633,-0.4024076,1.603922,0.2512662,-0.4056525,1.544098,0.1266172,0.4052907,1.738081,-0.04325299,-0.396292,1.601737,0.2234113,-0.382153,1.580583,0.1085417,-0.06251623,1.734706,0.09610643,-0.392706,1.714677,-0.0588598,0.1335767,1.71657,0.009264689,-0.3833361,1.68487,-0.1009024,-0.1305905,1.718496,0.3110967,-0.1197368,1.68298,NA,NA,Unknown,Closed,
0.8974609,-0.4077148,0.1699219,0.859375,0.4282227,0.1962891,-2,-1,0,1,0,0,-1,1,3,-8,0,-1,6,-1,6,5,-5,-5,-5,1.3125,1.3125,1.3125,3.151671,3.216191,5.005359,6.82297,3.257736,9.062746,-0.08956489,-0.403404,1.606166,0.2530052,-0.4084449,1.545067,0.1266201,0.4053372,1.737896,-0.0427936,-0.379658,1.610046,0.2274359,-0.3828197,1.585125,0.1082795,-0.06249387,1.734513,0.09583107,-0.3926944,1.714534,-0.05899898,0.1335823,1.716483,0.00900003,-0.383285,1.684744,-0.100973,-0.1306553,1.718587,0.3110642,-0.1195778,1.682909,NA,NA,Unknown,Closed,
0.890625,-0.4082031,0.1542969,0.875,0.3535156,0.2094727,3,0,-3,-1,-3,-1,-1,5,-1,-4,-5,-29,-14,0,-2,-3,4.6875,4.6875,4.6875,11.3125,11.3125,11.3125,3.151831,3.210869,5.004669,6.830859,3.238902,9.056475,-0.0893056,-0.4056715,1.608508,0.2566082,-0.4116127,1.549155,0.1266024,0.4053926,1.737796,-0.04287836,-0.38303,1.607901,0.2291362,-0.3837718,1.586943,0.1081477,-0.06248344,1.734376,0.09576634,-0.3927359,1.714472,-0.05909991,0.1335951,1.716499,0.008954627,-0.383313,1.68472,-0.1010279,-0.1310046,1.718792,0.3109668,-0.1195907,1.682922,NA,NA,Unknown,Unknown,
0.9013672,-0.4052734,0.1757813,0.847168,0.5541992,0.1899414,-1,-2,-3,-2,0,-3,-4,10,1,-5,-4,-4,-1,-4,-8,0,-3.625,-3.625,-3.625,2.5,2.5,2.5,3.144854,3.205644,5.011911,6.876409,3.235278,9.037125,-0.08974791,-0.4059375,1.60945,0.2575448,-0.4133951,1.556143,0.1265976,0.4055356,1.737297,-0.04259236,-0.3937469,1.597961,0.2296695,-0.3805954,1.589841,0.1079954,-0.06249391,1.734089,0.0957365,-0.3927596,1.714305,-0.05927907,0.133636,1.716372,0.008946723,-0.3833291,1.68453,-0.101135,-0.1312422,1.71874,0.3108048,-0.1200042,1.682582,NA,NA,Unknown,Unknown,
0.902832,-0.3789063,0.1474609,0.9091797,0.1640625,0.2216797,-8,-4,-3,-3,-2,-5,-8,-9,-1,1,3,1,-2,-2,5,3,0.4375,0.4375,0.4375,0.8125,0.8125,0.8125,3.14177,3.201736,5.023561,6.836605,3.206319,9.02932,-0.08955514,-0.4041927,1.609814,0.2607628,-0.4157185,1.563164,0.1265929,0.4055215,1.736874,-0.04243332,-0.3815685,1.608436,0.2277914,-0.3852305,1.58826,0.1079783,-0.06252173,1.733885,0.09584355,-0.392826,1.714064,-0.05942567,0.13357,1.716244,0.009082235,-0.383388,1.684239,-0.1011379,-0.1316274,1.718795,0.3106776,-0.1201497,1.682436,NA,NA,Unknown,Unknown,
0.9082031,-0.4013672,0.168457,0.8989258,0.3652344,0.2001953,-9,-5,-2,0,-3,-1,-1,-1,-2,3,1,1,-3,-1,-1,-5,5.125,5.125,5.125,-22.4375,-22.4375,-22.4375,3.136374,3.203111,5.032235,6.87762,3.18812,9.005327,-0.08995877,-0.404377,1.609495,0.2633933,-0.4169879,1.567182,0.1265824,0.4055723,1.736501,-0.0421583,-0.3804979,1.608039,0.2250323,-0.3905864,1.584878,0.1080849,-0.06250429,1.733586,0.09614585,-0.3928849,1.713738,-0.05949932,0.1335186,1.716109,0.00937426,-0.3834535,1.683979,-0.101329,-0.1325993,1.718765,0.3107179,-0.1211732,1.681863,NA,NA,Unknown,Unknown,
0.9008789,-0.4121094,0.184082,0.8847656,0.4365234,0.1933594,0,-4,-1,2,0,-2,-2,-6,-2,-5,-3,-1,5,0,-2,7,3.3125,3.3125,3.3125,2.75,2.75,2.75,3.139173,3.204929,5.033738,6.881608,3.184385,9.001864,-0.08948545,-0.4040315,1.607668,0.2642798,-0.4178407,1.567017,0.1264867,0.4056435,1.735954,-0.04251802,-0.3841745,1.604965,0.2261733,-0.3902317,1.58492,0.108157,-0.06253839,1.733029,0.09653466,-0.3929976,1.713192,-0.0596655,0.1334242,1.715816,0.00983147,-0.3836053,1.683423,-0.1015278,-0.1327871,1.718597,0.3107814,-0.1225774,1.681208,NA,NA,Unknown,Unknown,
0.8979492,-0.4033203,0.1606445,0.8935547,0.425293,0.1889648,0,-2,-3,-6,-4,-3,5,7,-22,-3,5,4,3,-1,-2,-21,5,5,5,-10.625,-10.625,-10.625,3.147722,3.211282,5.042075,6.864673,3.198634,8.999239,-0.08976095,-0.403945,1.607262,0.2647676,-0.4182822,1.565659,0.1265009,0.4056084,1.735564,-0.04251643,-0.3836052,1.605942,0.2261179,-0.3919103,1.584625,0.1082839,-0.06260824,1.732659,0.09679709,-0.3931282,1.712874,-0.05971059,0.1333237,1.715593,0.01012252,-0.3837758,1.683018,-0.1014456,-0.1332223,1.71862,0.3110036,-0.123141,1.680942,NA,NA,NotTracked,Unknown,
0.9692383,-0.4008789,0.1435547,0.9038086,0.3632813,0.2412109,2,0,-3,-1,-2,-1,4,-5,-1,-1,1,6,-1,2,-3,2,64.375,64.375,64.375,-5.6875,-5.6875,-5.6875,3.197438,3.2442,5.055027,6.78861,3.265396,8.998176,-0.08939545,-0.399021,1.596475,0.2613695,-0.4135693,1.553872,0.1266317,0.405579,1.734909,-0.04264587,-0.3840633,1.604794,0.2262418,-0.3900718,1.583614,0.1084852,-0.06259964,1.732209,0.09700443,-0.3931546,1.71257,-0.05977027,0.1333127,1.715324,0.01029276,-0.3838196,1.682747,-0.1014636,-0.1332182,1.718628,0.311233,-0.1231475,1.68086,NA,NA,Unknown,Unknown,
0.9365234,-0.578125,0.3374023,0.7910156,0.597168,0.2265625,-13,-12,-14,4,-7,-4,-9,-22,-15,-18,-28,-13,-6,-6,-16,-3,-12.4375,-12.4375,-12.4375,-71.3125,-71.3125,-71.3125,3.243422,3.335263,5.032391,6.767679,3.352413,8.993099,-0.0875788,-0.3865533,1.581525,0.2562045,-0.4026835,1.538199,0.1267484,0.4055663,1.734464,-0.03859264,-0.4089789,1.580154,0.2189101,-0.3985761,1.565677,0.1085871,-0.06268729,1.731752,0.09709479,-0.3932914,1.712231,-0.05996977,0.1332262,1.714989,0.01037868,-0.3840259,1.682484,-0.101878,-0.1328369,1.719219,0.3126833,-0.1221317,1.681025,NA,NA,Unknown,Closed,
