ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9453125,-0.2949219,0.1083984,0.9365234,0.6264648,0.3676758,-1,8,-1,-1,-1,-2,-1,1,-5,-5,-7,-6,2,-3,2,7,3.9375,3.9375,3.9375,-46.5,-46.5,-46.5,3.049891,3.023555,3.668406,6.60077,3.292612,0.1623584,0.005876109,-0.4134925,1.470741,0.3650872,-0.4492371,1.40485,0.2203078,0.4054494,1.555943,-0.03570736,-0.3886289,1.485046,0.3166454,-0.4489192,1.397958,0.2084882,-0.06177483,1.552269,0.2057116,-0.3878623,1.535436,0.03124957,0.1245034,1.536762,0.1166809,-0.3778653,1.502257,-0.007694513,-0.1390368,1.553667,0.4137443,-0.136398,1.536738,NA,NA,NotTracked,NotTracked,
0.9462891,-0.3266602,0.128418,0.8154297,0.5571289,0.449707,-1,1,-1,1,-1,-1,-2,1,-1,-29,-41,-11,-8,-10,-3,-3,1,1,1,-24.375,-24.375,-24.375,3.059791,3.027907,3.666186,6.549718,3.514109,0.1331651,0.006415438,-0.413884,1.469677,0.355413,-0.4113726,1.374663,0.2193803,0.4054531,1.556692,-0.03695498,-0.3927034,1.489021,0.357841,-0.4504527,1.402714,0.2080902,-0.06179423,1.55229,0.204811,-0.387821,1.534978,0.03091906,0.1244872,1.537291,0.1156718,-0.3777558,1.50158,-0.007750656,-0.1390643,1.553934,0.4185628,-0.1344329,1.540375,NA,NA,NotTracked,NotTracked,
0.9384766,-0.3295898,0.1074219,0.7299805,0.8330078,0.5126953,-3,0,0,-1,0,-2,-1,-1,-1,0,25,6,-1,3,1,5,-3,-3,-3,-5.5625,-5.5625,-5.5625,3.062004,3.03227,3.66095,6.593078,3.917572,0.0938775,0.005836976,-0.4105098,1.471516,0.3441099,-0.3512903,1.319098,0.2181251,0.405366,1.557664,-0.03733943,-0.3890554,1.489029,0.3368336,-0.3827954,1.358,0.2070364,-0.06164141,1.552578,0.2029332,-0.3875156,1.534838,0.03052522,0.1243283,1.537958,0.1138847,-0.3771901,1.501491,-0.007885696,-0.1388821,1.554404,0.423003,-0.1265023,1.542238,NA,NA,NotTracked,Lasso,
0.9379883,-0.3222656,0.1118164,0.4135742,0.7724609,0.5629883,0,1,-2,-2,0,0,-1,0,18,56,13,-5,-2,5,1,-3,-4.1875,-4.1875,-4.1875,5.5,5.5,5.5,3.062256,3.033496,3.65806,6.583446,4.298671,0.08539327,0.006108997,-0.4160495,1.468297,0.3235596,-0.2617662,1.270715,0.2168894,0.4052556,1.558724,-0.03440395,-0.4121256,1.4902,0.2847116,-0.2576694,1.2656,0.2056272,-0.0614226,1.552915,0.2001309,-0.3867899,1.534807,0.03024492,0.1242969,1.538404,0.1112589,-0.3762536,1.501523,-0.007742202,-0.1390078,1.554588,0.4281226,-0.1057551,1.542869,NA,NA,NotTracked,Lasso,
0.9501953,-0.2885742,0.1118164,0.09521484,0.8793945,0.5385742,2,0,-4,1,0,0,-1,-1,1,-14,0,0,12,8,2,-11,-4.9375,-4.9375,-4.9375,17.4375,17.4375,17.4375,3.061557,3.034322,3.649558,6.600926,4.723057,0.1071181,0.00647314,-0.4164554,1.469845,0.3043543,-0.154799,1.231349,0.2162731,0.4052872,1.55937,-0.03742175,-0.3910132,1.495273,0.2866206,-0.123025,1.231063,0.2050065,-0.06109542,1.553504,0.1992764,-0.3861464,1.535213,0.03007526,0.1242878,1.538869,0.1104633,-0.3756622,1.502045,-0.007912667,-0.1386676,1.554733,0.4681341,-0.1019608,1.497186,NA,NA,NotTracked,Unknown,
0.9404297,-0.3193359,0.1201172,-0.1918945,0.8486328,0.5297852,0,-4,-5,-1,1,0,1,1,-36,23,22,0,-3,-2,6,12,-4.0625,-4.0625,-4.0625,21.5,21.5,21.5,3.059993,3.032663,3.639208,6.629715,5.165969,0.1643181,0.00427548,-0.4119431,1.470417,0.291254,-0.02855747,1.24801,0.2158646,0.4052764,1.560119,-0.03811354,-0.3786064,1.491263,0.2638503,-0.01864028,1.275167,0.2045472,-0.06080779,1.554028,0.1989861,-0.3856438,1.535455,0.02999753,0.1243781,1.539305,0.1102043,-0.3753254,1.502717,-0.00810021,-0.1386152,1.554823,0.4342029,-0.09484032,1.484531,NA,NA,NotTracked,Unknown,
0.9375,-0.2900391,0.1069336,-0.4580078,0.8378906,0.3803711,-2,-5,1,0,-2,-1,-1,-1,-36,7,8,10,6,2,1,8,-2.4375,-2.4375,-2.4375,52.875,52.875,52.875,3.060675,3.03162,3.637559,6.764819,5.694188,0.3086632,0.003960311,-0.4115365,1.470829,0.2844428,0.07981213,1.29506,0.2157375,0.4052573,1.560474,-0.03096332,-0.4269136,1.484077,0.2417895,0.1055664,1.303857,0.2043443,-0.06101615,1.554366,0.1988951,-0.3859568,1.535682,0.0299909,0.1242881,1.539555,0.1100349,-0.375895,1.503114,-0.008162975,-0.138539,1.554916,0.4157871,-0.09241641,1.45151,NA,NA,NotTracked,Open,
0.9262695,-0.3017578,0.1171875,-0.5395508,0.7397461,0.3564453,0,0,0,0,-1,0,2,0,6,-25,-25,-16,-3,4,-2,-2,-3.4375,-3.4375,-3.4375,45.5625,45.5625,45.5625,3.054548,3.032137,3.637751,6.922517,5.986628,0.4664085,0.001597183,-0.4107751,1.472382,0.2853309,0.1594664,1.316761,0.2147449,0.4052836,1.560777,-0.03712858,-0.3810502,1.487846,0.2522288,0.1713495,1.330333,0.203721,-0.06125677,1.554738,0.1981745,-0.3867967,1.53624,0.02971075,0.1242631,1.540263,0.1083993,-0.3773755,1.505628,-0.008661818,-0.1362823,1.555259,0.4227242,-0.08715367,1.435114,NA,NA,NotTracked,Unknown,
0.9355469,-0.2954102,0.1220703,-0.5722656,0.6328125,0.25,-1,-7,-2,-2,0,-3,-3,0,23,30,12,5,4,-26,0,14,4.625,4.625,4.625,39.875,39.875,39.875,3.057956,3.036633,3.636115,7.194377,6.235775,0.7398985,0.003033894,-0.4078428,1.473131,0.2848822,0.2101439,1.348013,0.2120859,0.4059079,1.560983,-0.0346394,-0.3923704,1.483735,0.2711496,0.231432,1.393778,0.2039514,-0.06046174,1.554536,0.1977375,-0.3867244,1.536514,0.03017404,0.1240483,1.540965,0.1071856,-0.3772586,1.507104,-0.008879293,-0.1331623,1.556354,0.4283187,-0.07620038,1.412615,NA,NA,NotTracked,Unknown,
0.9472656,-0.3154297,0.1113281,-0.6445313,0.6010742,0.1206055,0,-12,-3,1,0,-1,0,-3,48,-5,-13,-8,0,25,0,-16,4.375,4.375,4.375,23.8125,23.8125,23.8125,3.059823,3.03775,3.643758,7.385829,6.342507,0.9422961,0.002907306,-0.4054528,1.474491,0.2919684,0.2223191,1.366265,0.2107464,0.4054703,1.560114,-0.03247305,-0.4090661,1.481165,0.2649233,0.212405,1.4076,0.2040665,-0.05969554,1.55464,0.1972264,-0.386245,1.537011,0.03104961,0.1286319,1.543394,0.1064521,-0.3764773,1.5083,-0.009021088,-0.1306211,1.557032,0.4269684,-0.05325036,1.376476,NA,NA,NotTracked,Open,
