ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9375,-0.3354492,0.1137695,0.9223633,0.3271484,0.1181641,-6,-12,-3,0,-2,-2,2,-1,5,-2,-3,-1,-1,1,-2,1,2.375,2.375,2.375,1.375,1.375,1.375,3.042692,3.069726,6.653602,7.076802,3.052717,5.150702,-0.07205937,-0.4198973,1.680629,0.3051269,-0.4611496,1.63422,0.1427588,0.4062779,1.771496,-0.113377,-0.4296313,1.685329,0.2558585,-0.4336627,1.622505,0.1251189,-0.0644365,1.770107,0.1121637,-0.3931143,1.750843,-0.04942954,0.1326956,1.756891,0.02644859,-0.3835931,1.719109,-0.08981223,-0.1375143,1.767233,0.3349407,-0.1346453,1.73185,NA,NA,NotTracked,NotTracked,
0.9321289,-0.3359375,0.1137695,0.9169922,0.3100586,0.08691406,0,-1,-2,0,-2,1,0,1,-4,-1,-2,-1,0,-1,0,-3,1,1,1,-0.5625,-0.5625,-0.5625,3.043221,3.069693,6.65771,7.079803,3.049278,5.146559,-0.07157256,-0.4202627,1.679734,0.3050753,-0.4612671,1.634548,0.1427136,0.4063687,1.77169,-0.1106226,-0.4168624,1.679588,0.2558078,-0.4342651,1.622553,0.1250998,-0.06442425,1.770144,0.1121755,-0.3931087,1.750855,-0.04944903,0.1327295,1.757062,0.02648978,-0.3835734,1.719137,-0.08976101,-0.137437,1.767336,0.3349898,-0.134731,1.731731,NA,NA,NotTracked,NotTracked,
0.9384766,-0.3378906,0.1201172,0.9130859,0.3295898,0.1044922,1,4,-2,-5,-5,-3,-2,-2,0,7,4,1,-1,-1,0,1,-0.625,-0.625,-0.625,3.5625,3.5625,3.5625,3.043573,3.070134,6.657227,7.085041,3.045351,5.148512,-0.07269385,-0.4203775,1.679618,0.3050883,-0.4624648,1.634257,0.1425821,0.4063756,1.771936,-0.1135343,-0.4358349,1.682846,0.2548634,-0.4611707,1.618091,0.1251043,-0.0645394,1.770218,0.1121348,-0.3933133,1.75088,-0.04950984,0.1326506,1.757103,0.02648634,-0.383734,1.71914,-0.08975504,-0.1375493,1.767568,0.3348869,-0.1352213,1.731353,NA,NA,NotTracked,NotTracked,
0.9287109,-0.3344727,0.1142578,0.9262695,0.2924805,0.1074219,-1,-6,-2,1,-2,-1,0,0,-10,-4,-2,-1,-1,-4,-1,-2,-0.6875,-0.6875,-0.6875,3.4375,3.4375,3.4375,3.043213,3.070184,6.656183,7.087422,3.037986,5.146446,-0.07233456,-0.4202688,1.680731,0.3054915,-0.4627244,1.635737,0.1425027,0.4063595,1.772127,-0.1166332,-0.3924519,1.7006,0.2556303,-0.4430167,1.621381,0.1250951,-0.06458658,1.770274,0.1121505,-0.3934212,1.750898,-0.04958099,0.1325836,1.757231,0.02652485,-0.3838472,1.719144,-0.08973669,-0.1375497,1.767583,0.3347884,-0.1355137,1.731021,NA,NA,NotTracked,NotTracked,
0.9384766,-0.324707,0.1162109,0.9355469,0.2910156,0.0859375,-1,-1,-2,-1,-2,-3,-6,-5,9,1,0,-2,-1,-1,-1,3,0.4375,0.4375,0.4375,-0.375,-0.375,-0.375,3.043658,3.070058,6.655748,7.087557,3.031971,5.148424,-0.0722792,-0.4203332,1.679025,0.3050832,-0.4621859,1.635862,0.1424789,0.406367,1.772089,-0.1163174,-0.4490198,1.693,0.2570831,-0.43519,1.622925,0.1250899,-0.06456964,1.770264,0.1122302,-0.3934065,1.750864,-0.04962698,0.1326237,1.757225,0.02666216,-0.3838323,1.719097,-0.0896953,-0.1375139,1.767575,0.3346939,-0.1354729,1.730797,NA,NA,NotTracked,NotTracked,
0.9301758,-0.3222656,0.1088867,0.9375,0.4082031,0.04589844,3,1,-1,1,1,-1,2,2,-4,-6,-3,-2,4,-2,2,-2,0.0625,0.0625,0.0625,-23.5625,-23.5625,-23.5625,3.044429,3.069526,6.656371,7.070202,3.044411,5.159143,-0.07201223,-0.4195582,1.679751,0.3038473,-0.4621598,1.63564,0.1424676,0.4063914,1.772045,-0.1152307,-0.4219655,1.690786,0.2571934,-0.4299524,1.623765,0.1251295,-0.06447823,1.770202,0.1124265,-0.3932454,1.750767,-0.04962842,0.1326524,1.757197,0.02678842,-0.3836433,1.719019,-0.08967327,-0.1374009,1.767578,0.3345332,-0.1356411,1.730727,NA,NA,NotTracked,NotTracked,
0.9399414,-0.34375,0.1181641,1.086426,0.3325195,0.1293945,-3,2,-2,-2,-4,-2,-2,-3,0,-3,-2,23,5,-2,-7,-6,-0.8125,-0.8125,-0.8125,-51.5625,-51.5625,-51.5625,3.043816,3.069196,6.656431,6.932197,3.108735,5.204434,-0.07243455,-0.4200285,1.680781,0.2996776,-0.4595996,1.629972,0.1424422,0.4063966,1.772088,-0.1151041,-0.4113098,1.692889,0.2572424,-0.4257594,1.624263,0.1251347,-0.06445864,1.770198,0.1125157,-0.3932603,1.750692,-0.04963364,0.1326304,1.757168,0.02682565,-0.3836823,1.718958,-0.08972369,-0.1376049,1.767533,0.3345784,-0.1354908,1.731048,NA,NA,NotTracked,NotTracked,
0.9301758,-0.3232422,0.112793,1.023438,0.4599609,0.2993164,-3,1,-4,-2,-1,-1,-2,1,7,-2,5,22,13,2,-5,-1,-1.375,-1.375,-1.375,-20.25,-20.25,-20.25,3.047675,3.068608,6.651605,6.730787,3.274356,5.37056,-0.07264522,-0.4201902,1.679631,0.2765585,-0.4330154,1.607542,0.1424119,0.4063638,1.772114,-0.1113498,-0.4228742,1.682281,0.2382089,-0.4241887,1.610021,0.1248702,-0.06450915,1.770096,0.1119184,-0.3932537,1.750576,-0.04969175,0.1325795,1.757165,0.02613417,-0.3836886,1.718777,-0.08983745,-0.1379008,1.767622,0.3370563,-0.1333627,1.733348,NA,NA,NotTracked,NotTracked,
0.934082,-0.3413086,0.1333008,0.9594727,0.6489258,0.4555664,-1,-9,-6,-1,-1,-3,1,1,-2,14,-24,-13,-12,-5,0,-2,-5.5625,-5.5625,-5.5625,21.6875,21.6875,21.6875,3.048338,3.064467,6.641904,6.6005,3.555482,5.551527,-0.07126853,-0.4360246,1.677676,0.2390334,-0.3748957,1.577654,0.1423853,0.4062695,1.772087,-0.112059,-0.4318376,1.684479,0.2568921,-0.4323345,1.581,0.1232194,-0.0642504,1.770231,0.1081115,-0.3927487,1.750994,-0.04970813,0.1325431,1.75708,0.02178395,-0.3824523,1.719005,-0.08991071,-0.1376621,1.767664,0.3474197,-0.1154488,1.738997,NA,NA,NotTracked,NotTracked,
0.9370117,-0.331543,0.1176758,0.4833984,0.777832,0.6533203,-1,-2,0,-1,-2,-1,0,2,-1,-21,-29,5,-9,-2,-12,-10,-4.5625,-4.5625,-4.5625,-14.625,-14.625,-14.625,3.045825,3.061084,6.636761,6.480209,4.11821,5.744091,-0.071872,-0.4249318,1.679211,0.1797858,-0.2923426,1.578221,0.1423905,0.4063196,1.771856,-0.1169033,-0.3967269,1.7002,0.2029212,-0.3586431,1.611638,0.1228391,-0.06406736,1.770179,0.1073566,-0.3925205,1.751132,-0.04974407,0.1325406,1.756837,0.0211865,-0.3820854,1.719099,-0.08984458,-0.1371653,1.767349,0.3570208,-0.1004281,1.73912,NA,NA,NotTracked,Unknown,
0.9262695,-0.3271484,0.1279297,0.04150391,0.6196289,0.5058594,0,0,-3,-3,-3,-2,-3,-6,31,23,11,18,14,6,3,3,-4.5625,-4.5625,-4.5625,-17.25,-17.25,-17.25,3.039986,3.058009,6.631132,6.389494,4.61102,5.888702,-0.07179096,-0.4242348,1.679053,0.08872709,-0.1601914,1.535354,0.1425124,0.4064918,1.771433,-0.1157768,-0.4047254,1.693572,0.04507216,-0.1572879,1.600875,0.1228625,-0.06381468,1.770145,0.1074816,-0.3920383,1.751322,-0.04918552,0.1327286,1.755927,0.02144071,-0.3816617,1.719262,-0.08950458,-0.1354983,1.766549,0.3611977,-0.09447658,1.737427,NA,NA,NotTracked,Unknown,
