ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.8930664,-0.409668,0.1025391,0.890625,0.3911133,0.1132813,1,0,-2,0,0,-2,-6,-3,-12,-2,-2,1,0,1,-18,-11,-0.6875,-0.6875,-0.6875,-0.625,-0.625,-0.625,2.893528,3.177287,3.194586,7.052969,3.179794,0.08128946,-0.01122213,-0.4267886,1.513854,0.3675365,-0.4317761,1.480903,0.2159266,0.3992939,1.650839,0.0224026,-0.4240956,1.45409,0.3484258,-0.4278075,1.509647,0.1983375,-0.06805611,1.640997,0.1938848,-0.3953843,1.627503,0.02894294,0.1183306,1.62025,0.1061613,-0.3857332,1.594718,-0.02769832,-0.1383716,1.625814,0.4082918,-0.1408206,1.605071,NA,NA,NotTracked,Unknown,
0.9179688,-0.4042969,0.1049805,0.8837891,0.3945313,0.1191406,1,-2,-2,-3,-4,-4,-18,-1,1,0,-1,0,1,5,-11,2,1.9375,1.9375,1.9375,0.125,0.125,0.125,2.893136,3.180905,3.19782,7.052703,3.179908,0.08166012,-0.01261747,-0.4277318,1.512389,0.3675315,-0.4324214,1.481589,0.2157918,0.3991826,1.651194,0.02183752,-0.4246206,1.453238,0.3527606,-0.429095,1.505838,0.1983292,-0.06807471,1.641349,0.1939351,-0.3954072,1.627904,0.02810765,0.1184667,1.620738,0.1061961,-0.3857597,1.595082,-0.02855765,-0.1376472,1.62626,0.4084028,-0.1412216,1.605455,NA,NA,NotTracked,Unknown,
0.9399414,-0.4150391,0.08984375,0.8959961,0.3945313,0.1103516,4,2,2,3,13,6,-2,-2,0,-1,-1,1,-3,-6,9,1,9.1875,9.1875,9.1875,0.125,0.125,0.125,2.911566,3.196319,3.191138,7.052424,3.180461,0.08159126,-0.01296887,-0.4263464,1.510046,0.3674954,-0.4318624,1.4824,0.2157936,0.3991939,1.651611,0.02017096,-0.4159422,1.452417,0.3541245,-0.4289304,1.508176,0.1983576,-0.06806282,1.641716,0.1939637,-0.3953842,1.628186,0.02755463,0.1185278,1.621246,0.1062314,-0.3857492,1.595343,-0.02923091,-0.1375027,1.626445,0.4085642,-0.1412779,1.605697,NA,NA,NotTracked,Unknown,
0.9311523,-0.3950195,0.1181641,0.8828125,0.390625,0.1147461,-5,-1,0,-1,2,4,-9,16,4,-1,-2,-4,-2,4,-7,1,-13.8125,-13.8125,-13.8125,0.1875,0.1875,0.1875,2.956686,3.217164,3.143192,7.046808,3.180729,0.08755552,-0.009261761,-0.4225448,1.505933,0.3674182,-0.431346,1.481619,0.2158122,0.3991996,1.651754,0.02226941,-0.4040075,1.453428,0.3521511,-0.4303597,1.503867,0.1984449,-0.0680685,1.641828,0.1940699,-0.3953353,1.628358,0.02727755,0.1186633,1.621435,0.1063342,-0.3857392,1.595548,-0.03058133,-0.1374586,1.626865,0.4086212,-0.1415723,1.605767,NA,NA,NotTracked,Unknown,
0.8530273,-0.4311523,0.1791992,0.890625,0.3920898,0.1152344,-3,-3,2,2,6,-3,18,10,-30,-4,-2,0,-1,-5,0,-9,-2.9375,-2.9375,-2.9375,-2.375,-2.375,-2.375,3.016215,3.260002,3.041784,7.040252,3.18118,0.09248524,-0.005442332,-0.4123044,1.503833,0.3666983,-0.4313109,1.483554,0.2158171,0.3991685,1.651881,0.02802277,-0.3973037,1.450517,0.3578263,-0.4258843,1.503769,0.1985184,-0.06803907,1.641948,0.1941917,-0.3952676,1.628407,0.02693497,0.1188465,1.621676,0.1064304,-0.3857163,1.595603,-0.03357619,-0.1351354,1.627619,0.4086259,-0.1415615,1.606038,NA,NA,NotTracked,Unknown,
0.8916016,-0.4770508,0.1674805,0.8916016,0.3833008,0.1206055,5,5,7,-1,20,19,13,9,-2,3,0,0,-3,-1,6,2,18.8125,18.8125,18.8125,-2.5625,-2.5625,-2.5625,3.071035,3.302262,2.995,7.028444,3.180847,0.09996223,0.001273563,-0.4045231,1.498765,0.3668655,-0.4315099,1.484074,0.2158859,0.3991941,1.652088,0.030222,-0.3866797,1.445655,0.3693738,-0.4389237,1.494263,0.1985939,-0.06802581,1.641997,0.1944035,-0.3951876,1.628421,0.02663425,0.1190826,1.621881,0.1065944,-0.3856637,1.595647,-0.03488024,-0.1334523,1.628539,0.408693,-0.1415928,1.606133,NA,NA,Unknown,Unknown,
1.023438,-0.512207,0.2128906,0.8989258,0.3891602,0.1171875,8,-3,0,-6,-18,-27,-15,-5,6,2,0,-3,-4,-3,-17,-2,19.5,19.5,19.5,0.6875,0.6875,0.6875,3.192687,3.415689,2.915823,7.018707,3.180948,0.111654,0.01381435,-0.3825053,1.48689,0.3650809,-0.4312015,1.483831,0.2159597,0.3992076,1.652126,0.03938769,-0.3612438,1.431643,0.3471674,-0.4610891,1.48535,0.198671,-0.06805439,1.642014,0.1947085,-0.3953,1.628387,0.02920847,0.1186659,1.621087,0.1068509,-0.385964,1.595625,-0.03863918,-0.124507,1.632262,0.40871,-0.1416742,1.606167,NA,NA,Unknown,Unknown,
0.9189453,-0.6640625,0.3618164,0.8828125,0.3867188,0.1196289,6,10,-3,-7,0,-9,2,5,-7,0,-2,1,0,-10,-6,2,0.75,0.75,0.75,2.8125,2.8125,2.8125,3.254856,3.531848,2.845705,7.010908,3.18216,0.1236539,0.05925883,-0.3538491,1.480045,0.3630181,-0.4310178,1.482535,0.2159333,0.3990698,1.65181,0.06355757,-0.315765,1.407304,0.3504032,-0.4500895,1.491889,0.1988508,-0.06814223,1.641863,0.1953373,-0.3953887,1.628194,0.02858827,0.118763,1.621127,0.107417,-0.386236,1.595484,-0.04719298,-0.1033299,1.639812,0.4086993,-0.1415685,1.606143,NA,NA,Unknown,Unknown,
0.730957,-0.6904297,0.4345703,0.8833008,0.3945313,0.1240234,0,-1,-7,-6,-5,-23,9,12,23,-2,0,-4,-2,-6,9,15,24.125,24.125,24.125,-0.875,-0.875,-0.875,3.351082,3.767247,2.759401,7.010282,3.180095,0.128585,0.06470539,-0.2774945,1.468384,0.3626015,-0.4297107,1.48372,0.2158115,0.3990011,1.651677,0.06999616,-0.2445291,1.39888,0.3760018,-0.4296362,1.486294,0.198907,-0.06812209,1.641849,0.1956616,-0.395261,1.628262,0.02788609,0.1193179,1.621632,0.1079224,-0.3862064,1.595699,-0.05242488,-0.08962442,1.644126,0.4086613,-0.1413503,1.606139,NA,NA,Unknown,Unknown,
0.4370117,-0.7353516,0.4101563,0.8916016,0.3876953,0.1308594,11,2,-8,-2,-11,-17,26,6,-9,1,0,0,-6,-14,5,-8,16.4375,16.4375,16.4375,0.5,0.5,0.5,3.433797,4.117834,2.688243,7.001693,3.180059,0.1390337,0.0927406,-0.2323634,1.42376,0.3621897,-0.4292854,1.483164,0.215214,0.3988339,1.651219,0.07504186,-0.1763782,1.37664,0.357973,-0.4437428,1.485197,0.1986675,-0.06815304,1.641828,0.1952041,-0.3953069,1.628411,0.02938895,0.1200519,1.621367,0.1076337,-0.3861659,1.595867,-0.05505747,-0.08608525,1.643834,0.4086357,-0.1410462,1.605925,NA,NA,Unknown,Unknown,
