ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9438477,-0.3134766,0.03320313,0.9130859,0.3447266,0.06347656,2,1,2,0,-1,-2,9,-1,-4,-2,-1,-2,-24,-8,-5,-3,-0.25,-0.25,-0.25,1.9375,1.9375,1.9375,2.711167,3.023608,2.723761,7.199715,3.067319,9.372584,0.005101992,-0.4603817,1.598539,0.4380258,-0.4778232,1.501221,0.23082,0.3956524,1.695652,0.05122884,-0.4515691,1.58033,0.4474273,-0.4859453,1.501833,0.2211897,-0.07330401,1.684211,0.2135176,-0.3996203,1.668687,0.048088,0.1092177,1.670824,0.1260745,-0.390793,1.641623,-0.003000961,-0.1513988,1.679566,0.4340365,-0.1458945,1.630561,NA,NA,NotTracked,NotTracked,
0.9458008,-0.3222656,0.03125,0.9135742,0.3432617,0.07519531,-4,-1,-3,-2,-1,-1,1,0,-1,-2,-1,1,18,3,0,3,-0.6875,-0.6875,-0.6875,0.3125,0.3125,0.3125,2.711955,3.02342,2.722031,7.198051,3.067898,9.374558,0.005026111,-0.4601505,1.598211,0.4381555,-0.477623,1.502331,0.2307957,0.3957053,1.695647,0.05103139,-0.4501809,1.580052,0.4123775,-0.5015771,1.534,0.2211769,-0.07327934,1.684212,0.2135443,-0.3996193,1.668658,0.04804439,0.1092397,1.670927,0.1260919,-0.3907646,1.641588,-0.002822182,-0.1517863,1.679682,0.4339479,-0.1459298,1.63061,NA,NA,NotTracked,NotTracked,
0.9423828,-0.3173828,0.04003906,0.9086914,0.3393555,0.06396484,-1,-1,-2,-1,-2,-2,1,-3,3,-2,-1,-1,-10,-3,1,1,-1.8125,-1.8125,-1.8125,-0.25,-0.25,-0.25,2.710118,3.023473,2.722709,7.198133,3.068094,9.374745,0.005149611,-0.4602092,1.597826,0.439401,-0.4702961,1.503776,0.2307777,0.3957103,1.69566,0.05139052,-0.4502862,1.579589,0.4642437,-0.4638275,1.504333,0.2211836,-0.07328265,1.684205,0.2136137,-0.3996374,1.668578,0.04794868,0.1091598,1.671022,0.1261788,-0.3908311,1.641493,-0.002457672,-0.1520762,1.68004,0.4338458,-0.1458697,1.63069,NA,NA,NotTracked,NotTracked,
0.934082,-0.3242188,0.03613281,0.9135742,0.3466797,0.07324219,-3,-3,-3,-3,-1,-1,-8,-4,-2,-1,2,-1,-5,-1,-3,-1,0.125,0.125,0.125,2.0625,2.0625,2.0625,2.706231,3.024258,2.724674,7.200171,3.070894,9.374536,0.004559613,-0.4600115,1.598006,0.4380694,-0.4779971,1.500976,0.2306962,0.3956832,1.695684,0.05130786,-0.4510821,1.580005,0.4519965,-0.4742781,1.511286,0.221195,-0.07329685,1.684161,0.213603,-0.3996674,1.668496,0.04786539,0.1090058,1.671068,0.1261602,-0.390865,1.641372,-0.002388475,-0.1525377,1.680052,0.433776,-0.1457807,1.630845,NA,NA,NotTracked,NotTracked,
0.9453125,-0.3242188,0.04541016,0.9160156,0.3417969,0.06933594,-1,1,-2,-1,-3,-1,-1,-1,2,-2,-1,-2,-2,3,-9,-5,-0.9375,-0.9375,-0.9375,0.75,0.75,0.75,2.701539,3.025334,2.729151,7.205449,3.073161,9.370171,0.004085589,-0.4605486,1.596905,0.4406056,-0.4646347,1.504328,0.2305863,0.3956887,1.695637,0.05284481,-0.4153291,1.576036,0.4634567,-0.4495368,1.511083,0.221225,-0.07333283,1.684105,0.2136086,-0.3997077,1.668421,0.04786494,0.1090055,1.671072,0.1261627,-0.3909006,1.64131,-0.002371201,-0.1525474,1.680037,0.4336911,-0.1459995,1.630897,NA,NA,NotTracked,Lasso,
0.9555664,-0.3222656,0.03222656,0.9038086,0.3378906,0.0625,-1,-2,-2,0,0,-2,-7,-1,5,0,0,0,-31,-5,-4,-2,3,3,3,0.0625,0.0625,0.0625,2.69628,3.028114,2.736243,7.207926,3.074811,9.367618,0.003725594,-0.4597203,1.595977,0.4387827,-0.4765753,1.496721,0.2304797,0.3957531,1.695585,0.0523335,-0.4553249,1.578242,0.4609712,-0.4449706,1.503778,0.2212386,-0.07329213,1.684031,0.2136371,-0.3996196,1.668201,0.04783164,0.1090068,1.671076,0.1261644,-0.3908482,1.641053,-0.002419441,-0.1520485,1.679715,0.4335632,-0.1451669,1.630852,NA,NA,NotTracked,Lasso,
1.002441,-0.3417969,0.02978516,0.9165039,0.3500977,0.06884766,-3,-1,-5,-7,5,11,8,-2,-2,0,-2,-1,11,-1,-15,-1,2.3125,2.3125,2.3125,0.5,0.5,0.5,2.713322,3.035262,2.717428,7.204709,3.077861,9.372684,0.003785533,-0.4600454,1.59311,0.4383175,-0.4777736,1.495278,0.2304493,0.3957516,1.695529,0.05198229,-0.4394736,1.576605,0.4661298,-0.4456286,1.4996,0.2212819,-0.07332608,1.68384,0.2136662,-0.3996534,1.66798,0.04779929,0.1089389,1.6711,0.1261646,-0.3908596,1.640845,-0.002586834,-0.15206,1.679615,0.4335671,-0.1451041,1.630759,NA,NA,NotTracked,Lasso,
1.094727,-0.2314453,-0.001953125,0.8935547,0.3647461,0.08496094,4,3,-1,-7,9,23,5,4,3,1,0,1,9,3,2,2,51.8125,51.8125,51.8125,-25.625,-25.625,-25.625,2.897963,3.079928,2.607055,7.14424,3.09972,9.393029,0.01140801,-0.4543904,1.578784,0.4372534,-0.4790775,1.492226,0.2303792,0.3957165,1.695381,0.05394208,-0.4453144,1.557678,0.4058728,-0.4878787,1.443829,0.2214008,-0.07337952,1.683519,0.2139002,-0.3996679,1.667578,0.04777106,0.1089684,1.671116,0.1263091,-0.3909025,1.640505,-0.003863819,-0.1489127,1.680788,0.4336246,-0.1451973,1.630665,NA,NA,NotTracked,Lasso,
1.028809,-0.5209961,0.1660156,0.9038086,0.3964844,0.137207,-1,1,22,21,-25,-37,-27,-11,0,-1,0,-1,10,6,-10,-3,-50.5,-50.5,-50.5,-6.125,-6.125,-6.125,3.100838,3.198121,2.335942,7.107474,3.119057,9.407886,0.04548502,-0.4158374,1.551767,0.4380725,-0.461187,1.495418,0.2303354,0.3956872,1.695305,0.08566707,-0.3809782,1.551492,0.4124531,-0.4652179,1.446483,0.2218649,-0.07335234,1.683012,0.2158199,-0.3992805,1.666333,0.04762232,0.1089336,1.671296,0.1276256,-0.3909891,1.639395,-0.01124523,-0.1359998,1.687029,0.4337648,-0.144867,1.630597,NA,NA,NotTracked,Lasso,
0.8608398,-0.6577148,0.3554688,0.9067383,0.3554688,0.06005859,-5,-2,-20,-19,4,-19,2,-9,5,-2,-3,-1,-18,-1,-3,-3,-72.5625,-72.5625,-72.5625,0.5625,0.5625,0.5625,3.257849,3.443328,2.050875,7.126306,3.126901,9.388445,0.09800735,-0.3641754,1.511328,0.4379396,-0.4540206,1.492124,0.2300876,0.3957599,1.694975,0.1289366,-0.3360527,1.496711,0.4151156,-0.454948,1.445773,0.222832,-0.07306261,1.682195,0.2187475,-0.3985361,1.664977,0.04748609,0.109961,1.671925,0.1302882,-0.3905362,1.638047,-0.0286427,-0.1081511,1.693055,0.4338523,-0.1448017,1.630003,NA,NA,Unknown,NotTracked,
