ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9199219,-0.3530273,0.1533203,0.9213867,0.2900391,0.1176758,-1,1,-2,0,-1,0,-1,0,-3,-3,0,-2,-2,-4,-3,0,-1.0625,-1.0625,-1.0625,0.25,0.25,0.25,3.157473,3.130469,6.938801,6.839295,3.017284,3.584168,-0.02832995,-0.4194762,1.670282,0.3352216,-0.4387213,1.656662,0.1803031,0.4097725,1.784948,-0.07306648,-0.424979,1.673353,0.3824545,-0.4424458,1.656269,0.1638256,-0.05916337,1.781128,0.1558076,-0.3890293,1.763698,-0.01178178,0.1348556,1.763436,0.06837648,-0.3804128,1.733498,-0.04884546,-0.1332568,1.767961,0.3696713,-0.1329667,1.745806,NA,NA,NotTracked,NotTracked,
0.9169922,-0.347168,0.1533203,0.9248047,0.2827148,0.1220703,-1,-1,-2,0,-1,-2,-2,-2,-3,0,-1,0,-2,-3,3,1,0.8125,0.8125,0.8125,-0.5,-0.5,-0.5,3.157473,3.130469,6.938801,6.840155,3.016943,3.583205,-0.0286135,-0.4194483,1.670646,0.3350314,-0.4385539,1.656537,0.1803389,0.409829,1.785006,-0.0746377,-0.4315748,1.678058,0.3827544,-0.4428864,1.657132,0.1638258,-0.05912401,1.781183,0.1558167,-0.3890173,1.763732,-0.01176129,0.134927,1.763577,0.06838571,-0.3803977,1.733528,-0.04879518,-0.133307,1.768063,0.369707,-0.1328378,1.745882,NA,NA,NotTracked,NotTracked,
0.9228516,-0.359375,0.1552734,0.9233398,0.2841797,0.128418,-3,-1,0,0,-1,0,1,-2,-1,0,1,1,0,-1,-3,-2,-1.0625,-1.0625,-1.0625,0.25,0.25,0.25,3.156368,3.130177,6.938787,6.840155,3.016943,3.583205,-0.02833792,-0.4195305,1.669782,0.3351185,-0.4381945,1.655989,0.1803784,0.4097878,1.785,-0.07427184,-0.4270201,1.677629,0.3837698,-0.4467564,1.65877,0.1637565,-0.05913146,1.781194,0.1556989,-0.389035,1.763737,-0.01173334,0.1349471,1.763566,0.06827416,-0.3804019,1.733541,-0.04877928,-0.1333817,1.768045,0.3697526,-0.132965,1.745824,NA,NA,NotTracked,NotTracked,
0.9169922,-0.3525391,0.1542969,0.9213867,0.2910156,0.125,1,-1,-1,0,-1,-3,0,-2,4,-1,-1,-2,-1,-1,-4,-2,-0.125,-0.125,-0.125,0.25,0.25,0.25,3.156239,3.130232,6.939058,6.839846,3.017403,3.583634,-0.02838493,-0.4197686,1.670776,0.3351179,-0.4385434,1.656573,0.1804275,0.4097818,1.785025,-0.07462059,-0.4288388,1.679148,0.3824492,-0.4410846,1.655973,0.1637563,-0.05913138,1.781196,0.1557042,-0.3890351,1.763742,-0.01172502,0.1349362,1.763561,0.06828472,-0.3804008,1.733552,-0.04871546,-0.1335184,1.768085,0.3697661,-0.1329061,1.745767,NA,NA,NotTracked,NotTracked,
0.9248047,-0.3520508,0.152832,0.9331055,0.284668,0.1147461,-1,-1,0,-3,0,-1,-2,-2,-2,1,-1,0,-2,6,1,0,0.3125,0.3125,0.3125,-0.5,-0.5,-0.5,3.156239,3.130232,6.939058,6.841364,3.017681,3.581847,-0.02857319,-0.4195862,1.670504,0.3352005,-0.4381236,1.656671,0.1805076,0.4098028,1.785093,-0.07548913,-0.440864,1.67925,0.3823904,-0.44103,1.657137,0.1637635,-0.05912591,1.781188,0.1557,-0.3890362,1.763719,-0.01167314,0.1349365,1.763509,0.06829697,-0.3803777,1.733516,-0.04873746,-0.1335251,1.76813,0.3697909,-0.1328511,1.745691,NA,NA,NotTracked,NotTracked,
0.9140625,-0.355957,0.1547852,0.8979492,0.3740234,0.06738281,-1,1,0,-1,-1,-2,-1,-3,7,-2,4,3,1,-2,5,7,0.0625,0.0625,0.0625,-18.75,-18.75,-18.75,3.15626,3.130555,6.939032,6.863,3.024021,3.554145,-0.02875552,-0.4195265,1.671029,0.3350951,-0.4381828,1.656336,0.1805024,0.4098111,1.785099,-0.07935619,-0.4479972,1.689,0.3816884,-0.4428819,1.653836,0.1637805,-0.05911851,1.781184,0.1557209,-0.3890206,1.763722,-0.01169383,0.1349385,1.763524,0.06832787,-0.3803311,1.733513,-0.04868604,-0.1336913,1.768126,0.3698443,-0.1327344,1.745629,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3525391,0.1586914,1.156738,0.3666992,0.1157227,-1,-2,-2,-1,0,-2,-1,0,6,-11,2,1,5,-1,4,1,-1,-1,-1,-76.3125,-76.3125,-76.3125,3.15686,3.130607,6.938434,6.721015,3.130393,3.512323,-0.02861592,-0.4201051,1.669782,0.3337638,-0.4361858,1.64964,0.1805087,0.4098375,1.785062,-0.0783939,-0.4413298,1.6878,0.3814358,-0.4416745,1.650265,0.1637806,-0.05908465,1.781158,0.1557218,-0.388951,1.763632,-0.0116731,0.1349515,1.763468,0.06829636,-0.3802252,1.733363,-0.04868232,-0.1337252,1.768155,0.3698978,-0.1326189,1.745759,NA,NA,NotTracked,NotTracked,
0.9316406,-0.34375,0.1464844,0.9838867,0.5058594,0.5029297,-1,-2,0,-2,-4,-1,-1,-1,1,11,10,-2,-3,0,-5,-1,3.4375,3.4375,3.4375,-39.1875,-39.1875,-39.1875,3.160836,3.131443,6.937967,6.549958,3.353915,3.602833,-0.02841421,-0.4199336,1.671377,0.3129979,-0.416648,1.627317,0.1805151,0.4098477,1.785082,-0.07525685,-0.4320182,1.679983,0.3346369,-0.4243832,1.580542,0.1634836,-0.05905028,1.781202,0.1548261,-0.3889072,1.763853,-0.01171559,0.1349594,1.763488,0.06738979,-0.3801568,1.733479,-0.04856151,-0.1339075,1.768281,0.3721014,-0.1318572,1.748022,NA,NA,NotTracked,NotTracked,
0.8984375,-0.3466797,0.1552734,0.7407227,0.7265625,0.5307617,-1,-2,-1,0,-1,0,0,1,-9,-7,0,3,5,6,-2,-5,-1.6875,-1.6875,-1.6875,7.1875,7.1875,7.1875,3.161846,3.130172,6.93681,6.511717,3.689924,3.654227,-0.02856351,-0.4199578,1.671675,0.2831188,-0.3632888,1.579578,0.1804992,0.4098502,1.785047,-0.07434154,-0.4230997,1.678625,0.2869065,-0.3602801,1.524603,0.1621447,-0.0587956,1.781145,0.1509711,-0.3882392,1.763957,-0.01168503,0.1349725,1.763374,0.0632314,-0.3788653,1.733651,-0.04855792,-0.1337674,1.768251,0.3816373,-0.1155212,1.755139,NA,NA,NotTracked,NotTracked,
0.9179688,-0.3671875,0.1748047,0.4731445,0.6870117,0.5410156,0,0,0,-2,-1,0,0,-2,2,4,9,0,-2,-1,0,1,-1.25,-1.25,-1.25,-15.8125,-15.8125,-15.8125,3.157563,3.127788,6.932246,6.468028,4.089287,3.685536,-0.02868055,-0.4196435,1.670525,0.2381824,-0.2724816,1.573655,0.1805183,0.409855,1.784778,-0.07572164,-0.4347169,1.68008,0.2536063,-0.2543707,1.504425,0.1606494,-0.05855176,1.780935,0.1475963,-0.387762,1.763582,-0.01166171,0.1349932,1.763292,0.06011423,-0.3779034,1.733409,-0.04846654,-0.1337494,1.768275,0.3851771,-0.100019,1.756659,NA,NA,NotTracked,Unknown,
