ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9487305,-0.331543,0.1191406,0.9111328,0.3212891,0.1425781,1,-3,-1,-1,-1,-1,0,-1,0,1,-2,-1,0,3,-1,0,3.8125,3.8125,3.8125,-2.0625,-2.0625,-2.0625,2.992978,3.053232,7.157437,6.744366,3.077611,3.647821,0.002332344,-0.395684,1.575934,0.3474672,-0.4298812,1.527248,0.2149497,0.4031035,1.65232,0.04059869,-0.4032387,1.534539,0.3012801,-0.4250283,1.500353,0.197549,-0.06056953,1.665169,0.188771,-0.3864343,1.645104,0.02257663,0.1342282,1.648967,0.1006086,-0.3765235,1.614385,-0.01612526,-0.1297584,1.657527,0.3973868,-0.1228516,1.624948,NA,NA,NotTracked,NotTracked,
0.9379883,-0.3071289,0.1015625,0.9169922,0.3095703,0.1459961,-3,2,0,0,-1,0,4,0,0,-1,-1,-1,0,-5,-1,0,5.1875,5.1875,5.1875,0.9375,0.9375,0.9375,3.002711,3.051445,7.157326,6.745348,3.076034,3.643054,0.002339626,-0.4070993,1.572506,0.346805,-0.4304311,1.52599,0.2149789,0.4031278,1.65222,0.03757593,-0.4025971,1.532564,0.3012495,-0.4251367,1.499007,0.197429,-0.06057347,1.664895,0.188641,-0.3863949,1.644831,0.02254835,0.1342251,1.648901,0.1004632,-0.376482,1.614214,-0.01605326,-0.1297348,1.65743,0.3972034,-0.1229971,1.624431,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3237305,0.09472656,0.9111328,0.3149414,0.1630859,-3,-7,-4,-2,-1,-1,-2,-3,-1,0,0,-1,-3,-2,1,0,0.0625,0.0625,0.0625,-1.4375,-1.4375,-1.4375,3.002111,3.049975,7.160707,6.745086,3.076658,3.643467,0.001612957,-0.3949793,1.575217,0.3468437,-0.4314297,1.526018,0.2150558,0.4031844,1.65214,0.03992449,-0.3889061,1.535126,0.3009228,-0.4236994,1.4991,0.197353,-0.06058087,1.664641,0.1885609,-0.3864228,1.644584,0.02251395,0.1341854,1.648832,0.1003659,-0.3764758,1.613914,-0.01589051,-0.1302793,1.65741,0.3971087,-0.123079,1.624176,NA,NA,NotTracked,NotTracked,
0.9321289,-0.3125,0.1157227,0.9116211,0.3115234,0.1665039,-1,1,-2,-2,-2,-2,0,-1,0,-2,-1,-1,-1,-5,-1,4,-1.0625,-1.0625,-1.0625,0.0625,0.0625,0.0625,3.004133,3.050547,7.158126,6.744632,3.077179,3.643754,0.00203536,-0.3950556,1.575288,0.3472418,-0.4308976,1.526499,0.2151984,0.4031698,1.652275,0.04070883,-0.3874974,1.53647,0.3009761,-0.4247622,1.500257,0.1973792,-0.06068186,1.664523,0.188546,-0.3865736,1.644434,0.02254098,0.1341052,1.64881,0.1003528,-0.3766462,1.613741,-0.01589723,-0.1302981,1.657386,0.3970789,-0.1231514,1.624091,NA,NA,NotTracked,NotTracked,
0.9414063,-0.3242188,0.1157227,0.9262695,0.3144531,0.1552734,-2,2,-2,0,-1,-1,-3,-4,-1,-1,-2,0,2,0,0,0,-1.3125,-1.3125,-1.3125,-1.25,-1.25,-1.25,3.005099,3.050823,7.155763,6.737617,3.078718,3.648257,0.002071303,-0.3953912,1.574852,0.3472798,-0.4329988,1.526298,0.2152271,0.4031684,1.652288,0.0404483,-0.3962005,1.534767,0.3011017,-0.4251621,1.499959,0.1973991,-0.06075971,1.664453,0.1885455,-0.3866612,1.644353,0.02262761,0.1340221,1.648616,0.1003482,-0.3767375,1.613659,-0.01586053,-0.1302997,1.657319,0.3970674,-0.1232196,1.624059,NA,NA,NotTracked,NotTracked,
0.9389648,-0.3237305,0.1147461,0.9140625,0.3041992,0.1513672,-3,10,0,-1,-2,-2,-3,-3,2,0,-2,0,0,2,3,6,-0.5625,-0.5625,-0.5625,-1.3125,-1.3125,-1.3125,3.005084,3.050443,7.155782,6.734594,3.077664,3.648458,0.002239055,-0.3948442,1.575114,0.347127,-0.4339165,1.526223,0.2151487,0.4032795,1.652322,0.04088724,-0.3924952,1.534976,0.3010616,-0.4244075,1.499907,0.197452,-0.06075804,1.664317,0.188614,-0.3867224,1.644225,0.02263338,0.1339669,1.64852,0.1004044,-0.3767896,1.61355,-0.01563474,-0.1305291,1.657054,0.3970404,-0.1232321,1.623994,NA,NA,NotTracked,NotTracked,
0.9423828,-0.3164063,0.1069336,0.9057617,0.3129883,0.1743164,1,-5,-1,-2,-1,-3,-3,-3,-1,0,-2,-1,-2,-1,-3,-4,-1.3125,-1.3125,-1.3125,1.4375,1.4375,1.4375,3.004809,3.049837,7.155494,6.730738,3.076597,3.654652,0.001966613,-0.3953987,1.574593,0.3475154,-0.4331968,1.5262,0.2149197,0.4034815,1.652346,0.03930276,-0.3976493,1.534121,0.3011957,-0.4243503,1.500293,0.1975432,-0.0607559,1.664128,0.1886877,-0.386768,1.644117,0.02257626,0.1338001,1.648271,0.1004768,-0.3768698,1.613452,-0.0153544,-0.1303242,1.656537,0.397042,-0.1232624,1.623863,NA,NA,NotTracked,NotTracked,
0.9521484,-0.3203125,0.1069336,0.9121094,0.3100586,0.1469727,-3,-2,-2,-1,-1,-3,-5,-5,-1,-1,0,0,0,2,-2,1,-0.25,-0.25,-0.25,1.625,1.625,1.625,3.003209,3.047987,7.15344,6.730597,3.076476,3.657173,0.002364629,-0.3949068,1.575376,0.3473607,-0.4341931,1.526332,0.2142015,0.4038721,1.652384,0.04101377,-0.37166,1.539138,0.3009266,-0.4245273,1.500006,0.1975842,-0.06078163,1.663949,0.1887507,-0.3868316,1.644072,0.02264495,0.1334485,1.647738,0.1005386,-0.3769336,1.613409,-0.01510508,-0.1305598,1.656455,0.3970406,-0.1232634,1.62379,NA,NA,NotTracked,NotTracked,
0.9355469,-0.3149414,0.09472656,0.9125977,0.3310547,0.1162109,-2,-2,-1,-1,-2,-2,1,1,49,-2,-5,-1,-3,-6,-7,-2,0.25,0.25,0.25,-0.5625,-0.5625,-0.5625,3.006918,3.048164,7.149314,6.738532,3.083263,3.652097,0.004173712,-0.4097557,1.572363,0.3484237,-0.4338165,1.527053,0.2138181,0.4039393,1.652591,0.03834835,-0.4111165,1.531955,0.3013852,-0.4231237,1.500161,0.1977021,-0.06083025,1.663875,0.1889033,-0.3869871,1.644041,0.02262308,0.1330413,1.647478,0.1007083,-0.3771243,1.613419,-0.01471377,-0.1308249,1.656578,0.3970724,-0.1232818,1.623795,NA,NA,NotTracked,NotTracked,
0.9404297,-0.324707,0.1118164,1.054688,0.2885742,0.07958984,-1,0,2,0,0,-1,-1,1,-22,-3,0,-5,-29,-39,-8,3,-2.0625,-2.0625,-2.0625,-51.375,-51.375,-51.375,3.007443,3.049258,7.146853,6.677389,3.130393,3.647376,0.002816504,-0.3945827,1.57491,0.3497072,-0.4384447,1.520924,0.2134272,0.4041564,1.65276,0.04135565,-0.3862678,1.5372,0.3014108,-0.4283074,1.497747,0.197672,-0.06084016,1.663766,0.1889831,-0.3870649,1.643986,0.02234617,0.1328513,1.647508,0.1008195,-0.3772598,1.613353,-0.01457905,-0.130856,1.656491,0.3972506,-0.1233536,1.623853,NA,NA,NotTracked,NotTracked,
0.9433594,-0.3193359,0.105957,1.024414,0.7294922,0.2353516,-1,-1,0,-2,-3,-1,-2,-2,-6,20,20,-3,-30,-25,-49,-13,3,3,3,-45.5,-45.5,-45.5,3.012691,3.052455,7.146095,6.648636,3.279402,3.613618,0.002781351,-0.394273,1.574729,0.3450314,-0.4257221,1.496542,0.2131086,0.4043052,1.652858,0.03954772,-0.4008534,1.533636,0.347194,-0.4252612,1.443882,0.1976807,-0.06085595,1.663477,0.1890221,-0.3871318,1.643856,0.02228132,0.1327384,1.647403,0.1008625,-0.3773239,1.613164,-0.01449545,-0.1309345,1.656266,0.4005824,-0.122871,1.626002,NA,NA,NotTracked,NotTracked,
0.9375,-0.3105469,0.09716797,0.8979492,0.7148438,0.5742188,2,8,-2,-2,-1,-1,-1,-1,10,28,1,3,-2,-31,-15,5,4.1875,4.1875,4.1875,-102.5625,-102.5625,-102.5625,3.016026,3.054672,7.148785,6.51593,3.68916,3.51727,0.005466621,-0.4157886,1.569909,0.3326601,-0.3722848,1.443362,0.2128347,0.4044398,1.652897,0.04282865,-0.421436,1.529194,0.3440204,-0.3754744,1.386658,0.197445,-0.06077796,1.663289,0.1887638,-0.3870684,1.643744,0.02212501,0.1326337,1.647252,0.1003832,-0.3770732,1.61294,-0.01469693,-0.130818,1.655931,0.4055457,-0.1181542,1.630952,NA,NA,NotTracked,Lasso,
0.9145508,-0.3310547,0.1108398,0.4633789,0.8818359,0.6953125,1,2,0,-1,-1,-3,-3,0,-11,23,45,7,1,-6,-2,2,-5.5625,-5.5625,-5.5625,15,15,15,3.014613,3.053115,7.14725,6.525551,4.13562,3.447474,0.001594042,-0.4061334,1.571727,0.3182401,-0.2757564,1.379787,0.2125741,0.4045444,1.653088,0.03722132,-0.4127393,1.531144,0.3339142,-0.2806913,1.325645,0.1971025,-0.0608066,1.663153,0.1873469,-0.3870499,1.643707,0.02203897,0.1325443,1.647134,0.0989132,-0.3767962,1.612865,-0.01515038,-0.1294665,1.655782,0.412231,-0.1030656,1.635918,NA,NA,NotTracked,Closed,
0.9321289,-0.3227539,0.1259766,0.1494141,0.9506836,0.6264648,-2,0,-2,0,-1,-1,0,-1,1,-11,-8,-9,-3,2,-9,-1,-2.75,-2.75,-2.75,-33.9375,-33.9375,-33.9375,3.014143,3.055614,7.141456,6.527158,4.678033,3.399261,0.002262536,-0.4025425,1.57241,0.3057324,-0.150298,1.307753,0.2123509,0.4045482,1.653308,0.03815008,-0.4081193,1.531101,0.321562,-0.1745159,1.276222,0.1969675,-0.06084231,1.663138,0.18723,-0.3870602,1.643673,0.02204128,0.1322194,1.646912,0.09880616,-0.3768174,1.61279,-0.01504416,-0.1289769,1.655857,0.4199775,-0.08841872,1.629402,NA,NA,NotTracked,Closed,
