ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9272461,-0.3515625,0.1376953,0.8764648,0.4223633,0.1445313,-2,-2,0,0,-2,-1,0,0,4,1,1,-1,-1,0,1,3,1.1875,1.1875,1.1875,-1.8125,-1.8125,-1.8125,3.099955,3.11695,7.363973,6.907284,3.194692,3.980042,0.01658755,-0.4161024,1.596746,0.3540702,-0.4214915,1.536075,0.2187933,0.4060157,1.709351,-0.02795752,-0.4171097,1.612165,0.3177987,-0.4234598,1.481287,0.2073144,-0.05427439,1.702061,0.2024022,-0.3791556,1.681542,0.03432667,0.1351422,1.687512,0.1153186,-0.3705033,1.651722,0.0008405884,-0.1297349,1.693797,0.4105267,-0.119564,1.655775,NA,NA,NotTracked,Unknown,
0.9204102,-0.3515625,0.1391602,0.8833008,0.3916016,0.1616211,-1,-1,-1,-1,-1,-2,-1,-1,-5,-2,0,-1,0,1,-4,-4,-1.625,-1.625,-1.625,-12.625,-12.625,-12.625,3.099158,3.116891,7.363921,6.89781,3.203212,3.959728,0.01632446,-0.4156574,1.595763,0.3543868,-0.4211937,1.535401,0.219015,0.4059663,1.709466,-0.02782615,-0.4180246,1.610869,0.3187843,-0.4220996,1.480631,0.2073635,-0.0542774,1.702135,0.2023838,-0.3791302,1.681633,0.03440868,0.135242,1.687628,0.1152986,-0.3704718,1.651805,0.0009651359,-0.1295612,1.694052,0.4106004,-0.1196546,1.655837,NA,NA,NotTracked,Unknown,
0.9155273,-0.3457031,0.1376953,0.8916016,0.4160156,0.15625,-1,-1,-1,-2,0,0,-2,-1,43,4,0,0,-4,-8,0,9,2.0625,2.0625,2.0625,1,1,1,3.099471,3.1182,7.364487,6.916456,3.215357,3.940493,0.01641036,-0.4115576,1.595982,0.3548165,-0.4204681,1.532911,0.2190801,0.405986,1.709397,-0.02766482,-0.4149622,1.610515,0.320005,-0.4209053,1.478953,0.2074744,-0.05424406,1.702198,0.2024226,-0.379088,1.681746,0.03444641,0.1352415,1.687745,0.1153276,-0.3704494,1.651943,0.0009555962,-0.1296564,1.694156,0.4106126,-0.1196567,1.655853,NA,NA,NotTracked,Unknown,
0.9243164,-0.3583984,0.1445313,0.9018555,0.3647461,0.1855469,-1,-1,-2,-1,-1,-1,-1,-2,15,2,0,-1,0,-1,-1,1,-2.25,-2.25,-2.25,-8.625,-8.625,-8.625,3.098618,3.118711,7.362664,6.916278,3.231223,3.926774,0.01638759,-0.4115312,1.596533,0.3564474,-0.4190504,1.528297,0.2191631,0.4060324,1.709407,-0.02788718,-0.4182375,1.611197,0.3212287,-0.4193916,1.47365,0.2074959,-0.05424121,1.702273,0.2024457,-0.3791015,1.681824,0.03446525,0.1351671,1.687859,0.1153584,-0.3704567,1.652018,0.0009249101,-0.1299395,1.694272,0.4105918,-0.1197568,1.655844,NA,NA,NotTracked,Unknown,
0.9223633,-0.3422852,0.1274414,0.8857422,0.4667969,0.1176758,-1,-4,1,-1,0,-1,-1,0,-1,9,17,1,1,1,0,-8,2.5625,2.5625,2.5625,-21.4375,-21.4375,-21.4375,3.102537,3.121203,7.363763,6.921072,3.251155,3.90203,0.01678143,-0.4154764,1.593452,0.3565017,-0.4168371,1.52192,0.2191675,0.406053,1.709412,-0.02818903,-0.4180349,1.612415,0.3218587,-0.4151298,1.466189,0.2075088,-0.05424636,1.702327,0.2024968,-0.3791161,1.681877,0.03446071,0.1351013,1.687936,0.115405,-0.3704765,1.652081,0.0008068556,-0.1299504,1.694329,0.410542,-0.1198082,1.655482,NA,NA,NotTracked,Unknown,
0.9262695,-0.3579102,0.1425781,1.013672,0.5224609,0.1704102,-2,-1,-1,1,-1,-3,0,-3,-16,-4,-3,0,-5,-4,-4,-9,2.25,2.25,2.25,-89.0625,-89.0625,-89.0625,3.104054,3.122663,7.365267,6.837871,3.314842,3.854588,0.01598313,-0.4148887,1.594385,0.3567398,-0.414406,1.511601,0.2191765,0.4060426,1.709378,-0.02796266,-0.4171759,1.611062,0.3220533,-0.4091377,1.455971,0.207476,-0.05424646,1.702335,0.202475,-0.379127,1.681837,0.03443602,0.1350989,1.688,0.1153867,-0.3704795,1.652044,0.0007496895,-0.129882,1.694395,0.4101641,-0.1199133,1.654854,NA,NA,NotTracked,Lasso,
0.9213867,-0.3564453,0.1279297,0.8984375,0.8149414,0.3720703,-1,0,-1,0,-1,-2,0,-1,16,-2,3,-3,-3,6,0,3,-0.25,-0.25,-0.25,-34.6875,-34.6875,-34.6875,3.105688,3.121159,7.368255,6.76035,3.492445,3.850589,0.01571553,-0.4151072,1.593976,0.349773,-0.3928579,1.464817,0.2191681,0.4060417,1.70939,-0.02788726,-0.417748,1.610509,0.3110067,-0.3812204,1.420656,0.2074521,-0.05426324,1.70231,0.2023834,-0.3791253,1.681799,0.03443053,0.1350393,1.688012,0.1152224,-0.370446,1.651936,0.0003991576,-0.1299989,1.694391,0.4103298,-0.1193969,1.655113,NA,NA,NotTracked,Unknown,
0.894043,-0.3725586,0.1533203,0.671875,0.9165039,0.4970703,0,0,-2,-1,0,-3,-1,0,2,-16,-7,2,1,0,1,1,-14.875,-14.875,-14.875,-2.9375,-2.9375,-2.9375,3.100398,3.116299,7.355732,6.71927,3.912285,3.86799,0.01562556,-0.4116246,1.595812,0.3349541,-0.3286257,1.413288,0.2191662,0.4060358,1.709498,-0.02790403,-0.4170006,1.610235,0.2956783,-0.3123717,1.3745,0.2067292,-0.05417617,1.702444,0.200686,-0.3788729,1.681844,0.03440278,0.1350218,1.68803,0.1133391,-0.3699652,1.651775,7.353533E-05,-0.1298166,1.694448,0.4146187,-0.1059343,1.652727,NA,NA,NotTracked,Unknown,
0.9135742,-0.3701172,0.1601563,0.4379883,1.001465,0.5297852,-1,-2,-1,0,-1,0,-2,2,-29,-2,2,-3,-4,0,-1,0,-11.3125,-11.3125,-11.3125,14.0625,14.0625,14.0625,3.092359,3.119488,7.339816,6.737659,4.349735,3.859311,0.01581941,-0.4154807,1.593143,0.3122055,-0.2401213,1.329902,0.2192627,0.4059898,1.70958,-0.02896586,-0.4207801,1.612713,0.2829465,-0.2029165,1.327428,0.2061566,-0.05412523,1.702515,0.1991773,-0.3786599,1.681819,0.0343872,0.1349852,1.687955,0.1117827,-0.3696017,1.651646,-0.0004052565,-0.129223,1.694075,0.4219091,-0.09059305,1.643564,NA,NA,NotTracked,Unknown,
0.9365234,-0.3476563,0.152832,0.1625977,0.9916992,0.4702148,-2,-1,0,-2,0,-1,1,0,39,0,0,1,3,-4,0,9,-8.875,-8.875,-8.875,36.9375,36.9375,36.9375,3.089176,3.127109,7.325108,6.785577,4.829803,3.850978,0.01691092,-0.4147681,1.589549,0.2924809,-0.1170814,1.266898,0.2195168,0.4058094,1.709622,-0.0277948,-0.4183133,1.604756,0.2740682,-0.07708307,1.297182,0.2060414,-0.05401169,1.702757,0.1991319,-0.3782964,1.681888,0.03456966,0.1349552,1.687854,0.1116821,-0.3693584,1.651651,-0.0006537799,-0.1281559,1.693642,0.4299911,-0.0863908,1.618825,NA,NA,NotTracked,Unknown,
