ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9550781,-0.2822266,0.1235352,0.9008789,0.2734375,0.1782227,-2,-1,0,-2,-1,-1,-1,-3,1,-1,-1,-2,-2,-2,0,-1,0.125,0.125,0.125,-6.5,-6.5,-6.5,3.122978,2.979,6.265539,6.582145,3.129988,3.974972,-0.001076555,-0.4327475,1.534143,0.3539628,-0.4415666,1.477914,0.2196562,0.4061196,1.608924,0.03995632,-0.4244123,1.493918,0.3947095,-0.4495353,1.470542,0.2011768,-0.06274573,1.616185,0.1926085,-0.3892663,1.602065,0.02722937,0.1249595,1.602477,0.1050462,-0.3781973,1.572707,-0.01015931,-0.139986,1.622321,0.4108208,-0.1397092,1.58714,NA,NA,NotTracked,NotTracked,
0.9467773,-0.2666016,0.1181641,0.9023438,0.3276367,0.15625,0,4,1,-2,-3,-3,0,1,1,-1,-1,1,-1,0,-1,-1,0.5,0.5,0.5,6.125,6.125,6.125,3.12711,2.979822,6.263333,6.594271,3.127435,3.971291,-0.0006430895,-0.4328406,1.534751,0.3530813,-0.4394035,1.479026,0.2196595,0.4061084,1.608932,0.03988371,-0.4258265,1.494135,0.3910949,-0.4488166,1.466955,0.2011679,-0.06274102,1.616207,0.192623,-0.3892125,1.602076,0.02721081,0.1249407,1.602548,0.105064,-0.3781701,1.572735,-0.01018038,-0.1400034,1.62242,0.4100239,-0.1399768,1.586981,NA,NA,NotTracked,NotTracked,
0.9614258,-0.2724609,0.1147461,0.9091797,0.3300781,0.1958008,0,1,0,-1,0,0,0,2,-1,4,0,-1,-1,-3,-1,-1,2.6875,2.6875,2.6875,4.625,4.625,4.625,3.129988,2.98052,6.26328,6.607498,3.127098,3.967709,-0.0009383475,-0.4334834,1.535789,0.3538145,-0.4383051,1.480806,0.2196629,0.406092,1.608999,0.03998786,-0.4300298,1.494026,0.3918793,-0.4698178,1.462133,0.2011659,-0.06273131,1.616228,0.1926215,-0.389176,1.602107,0.02715271,0.1248489,1.602844,0.1050695,-0.3781458,1.57287,-0.01015081,-0.1398688,1.622657,0.4095984,-0.1399052,1.587011,NA,NA,NotTracked,NotTracked,
0.9443359,-0.2832031,0.1103516,0.9145508,0.2939453,0.2294922,-2,-1,-1,-1,-2,0,0,1,0,-2,-3,0,-1,0,0,-1,2.0625,2.0625,2.0625,-6,-6,-6,3.126489,2.982006,6.269596,6.594013,3.129218,3.976751,-0.0007312793,-0.4326919,1.536406,0.3535962,-0.4400946,1.479711,0.2196676,0.4060707,1.609062,0.0397038,-0.4184257,1.496731,0.3909849,-0.4508412,1.465219,0.2011528,-0.06275351,1.61629,0.1926584,-0.3891638,1.602143,0.02716623,0.1248737,1.602938,0.1051175,-0.3781348,1.572912,-0.01020513,-0.1398317,1.622975,0.4093908,-0.1401825,1.586972,NA,NA,NotTracked,NotTracked,
0.9570313,-0.2792969,0.1298828,0.918457,0.3637695,0.190918,2,0,-1,-1,-1,-1,-1,-1,-14,1,2,0,-1,-3,-3,1,-0.8125,-0.8125,-0.8125,-2,-2,-2,3.126634,2.982564,6.27038,6.594023,3.136674,3.979265,-0.0009629345,-0.4327499,1.536176,0.3543298,-0.4398457,1.479471,0.2196884,0.4061418,1.609134,0.03992486,-0.4245015,1.494435,0.3919958,-0.4588423,1.4645,0.201121,-0.06268718,1.616365,0.1925426,-0.3890341,1.602256,0.02669183,0.1259435,1.604035,0.1050244,-0.3779718,1.57308,-0.01031069,-0.1399474,1.623386,0.4093847,-0.1401514,1.587039,NA,NA,NotTracked,NotTracked,
0.9477539,-0.2797852,0.1108398,1.054688,0.1625977,0.1738281,2,1,2,-1,-2,-3,0,-2,0,2,6,2,2,-2,-3,2,-0.875,-0.875,-0.875,-74,-74,-74,3.129129,2.983279,6.268596,6.527259,3.17354,3.946752,-0.0006972455,-0.4392906,1.535747,0.3534909,-0.4388961,1.477593,0.2197174,0.4061662,1.60933,0.04003465,-0.4408419,1.495613,0.3869881,-0.4748563,1.448,0.2011468,-0.06269198,1.616459,0.1925108,-0.3890451,1.602306,0.02673101,0.1258696,1.604362,0.1049797,-0.3779694,1.573169,-0.01044639,-0.1395735,1.623963,0.4096629,-0.1406072,1.587715,NA,NA,NotTracked,NotTracked,
0.9599609,-0.2753906,0.1044922,1.04541,0.6230469,0.4516602,3,0,-2,-1,-2,0,-1,1,22,-2,-13,-4,-2,-8,10,-2,4.875,4.875,4.875,-10.5625,-10.5625,-10.5625,3.12695,2.984664,6.274492,6.448117,3.361762,3.988381,-0.0007266191,-0.4330969,1.536527,0.3436238,-0.4205696,1.462368,0.2197542,0.4061443,1.609547,0.04010224,-0.4279902,1.495154,0.3706017,-0.4358923,1.417889,0.2010375,-0.06269891,1.616537,0.1921355,-0.3889928,1.60241,0.02684084,0.1257882,1.6046,0.1045881,-0.3778909,1.573321,-0.01030202,-0.1393604,1.624405,0.4111836,-0.1406781,1.591245,NA,NA,NotTracked,NotTracked,
0.9599609,-0.2705078,0.1113281,0.6518555,0.5268555,0.5004883,2,1,-1,0,-2,-3,-2,0,-25,12,-3,0,3,3,5,1,1.3125,1.3125,1.3125,17.5625,17.5625,17.5625,3.129723,2.985524,6.277974,6.433357,3.614549,3.995721,-0.0006827557,-0.4373745,1.535292,0.3277078,-0.3716094,1.439372,0.2198802,0.406107,1.609702,0.03949272,-0.4344406,1.495081,0.3305205,-0.3702348,1.362917,0.2002247,-0.0623196,1.617377,0.1902234,-0.3887447,1.602701,0.02692115,0.1256758,1.604745,0.1025931,-0.3774195,1.573536,-0.01021875,-0.1387786,1.624839,0.4195733,-0.13188,1.600868,NA,NA,NotTracked,NotTracked,
0.9130859,-0.2939453,0.1108398,0.5024414,0.6835938,0.4130859,-3,-2,-3,0,1,0,0,-2,6,12,3,-1,2,11,-14,-3,-4.6875,-4.6875,-4.6875,21.25,21.25,21.25,3.12298,2.982217,6.279007,6.497612,3.8643,3.975672,-0.001043741,-0.4376462,1.536595,0.3010912,-0.3427655,1.446892,0.2200543,0.4060792,1.609765,0.03977566,-0.4303448,1.495506,0.2984055,-0.4103293,1.463669,0.1998627,-0.06226249,1.617426,0.1886044,-0.3884073,1.60307,0.02696859,0.1256939,1.604849,0.101108,-0.3769436,1.573994,-0.01014811,-0.138128,1.625288,0.4280818,-0.1136114,1.608279,NA,NA,NotTracked,Unknown,
0.9506836,-0.3022461,0.1323242,0.4335938,0.5717773,0.4379883,-2,-4,-1,-1,0,-1,1,4,4,-7,0,0,-3,7,-15,-4,-4.9375,-4.9375,-4.9375,8.8125,8.8125,8.8125,3.105786,2.980143,6.280543,6.509854,4.078131,3.970019,-0.001496978,-0.4374295,1.536643,0.2875206,-0.2643679,1.416194,0.2202006,0.40612,1.609777,0.03948625,-0.4323933,1.496059,0.2561375,-0.2652407,1.362833,0.1995408,-0.0621358,1.617574,0.1878895,-0.387993,1.603437,0.02700127,0.1256869,1.604892,0.10058,-0.3766286,1.574462,-0.01018166,-0.1372872,1.625435,0.43088,-0.1065235,1.609607,NA,NA,NotTracked,Closed,
