ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.9267578,-0.3457031,0.1396484,0.9360352,0.2929688,0.1264648,-1,-1,0,-1,-1,-1,-2,-1,-1,-1,-1,2,3,13,-3,-3,0.5,0.5,0.5,4.125,4.125,4.125,3.075066,3.101209,3.306655,6.78266,2.991893,6.83268,0.01997033,-0.4228261,1.446519,0.3746635,-0.438939,1.435527,0.2378544,0.4097296,1.587207,0.06443799,-0.4098771,1.422162,0.3261909,-0.4516249,1.404444,0.2145435,-0.05839112,1.559821,0.2084799,-0.3883311,1.541085,0.03659572,0.1305473,1.543234,0.1198944,-0.3790969,1.509849,-0.001114432,-0.1356804,1.546222,0.4208311,-0.1331395,1.523471,NA,NA,NotTracked,NotTracked,
0.9316406,-0.3417969,0.1401367,0.9331055,0.2490234,0.1508789,0,0,0,-2,-1,-1,1,0,-1,1,0,1,0,2,1,0,-0.125,-0.125,-0.125,-0.6875,-0.6875,-0.6875,3.075454,3.100921,3.30633,6.787177,2.994433,6.828068,0.0200469,-0.4215994,1.445831,0.3739153,-0.4389629,1.434644,0.2376193,0.4096435,1.586973,0.06398747,-0.4143453,1.420982,0.3263173,-0.4239629,1.408352,0.2143134,-0.05846019,1.559655,0.2083116,-0.3884008,1.540945,0.03654267,0.1301715,1.543228,0.1197413,-0.3791656,1.509765,-0.001130861,-0.135856,1.546232,0.4206714,-0.133198,1.523333,NA,NA,NotTracked,NotTracked,
0.9208984,-0.3442383,0.1352539,0.9306641,0.2641602,0.1411133,2,-2,0,0,-1,-1,-1,-1,2,-1,-4,-8,-4,-2,4,3,-0.5625,-0.5625,-0.5625,2.0625,2.0625,2.0625,3.076194,3.100911,3.305608,6.789295,2.991238,6.833103,0.01946916,-0.4202616,1.44733,0.3745039,-0.4382826,1.435472,0.2374038,0.4096746,1.586682,0.06427034,-0.4117944,1.422026,0.3263644,-0.4208155,1.408768,0.2142051,-0.05845476,1.559533,0.2082532,-0.388413,1.540877,0.0365333,0.1301333,1.543226,0.1196833,-0.3791739,1.509733,-0.001100509,-0.1358864,1.546267,0.42046,-0.1332248,1.523001,NA,NA,NotTracked,NotTracked,
0.9316406,-0.3486328,0.1308594,0.9394531,0.2949219,0.1347656,-3,0,-2,-2,-2,-2,1,0,-1,-2,-4,-1,-2,-1,-2,-6,-0.5,-0.5,-0.5,-0.875,-0.875,-0.875,3.076627,3.100001,3.307095,6.793081,2.987664,6.831817,0.01920346,-0.4202377,1.448346,0.3736985,-0.4387179,1.436143,0.2372294,0.4096668,1.586397,0.06446419,-0.4108822,1.422075,0.3264566,-0.4217191,1.408927,0.2141335,-0.05842225,1.559479,0.2081582,-0.3883737,1.540821,0.03649082,0.1301365,1.543254,0.1196132,-0.379171,1.509713,-0.001088822,-0.1357903,1.546339,0.4203868,-0.1332735,1.522866,NA,NA,NotTracked,NotTracked,
0.9301758,-0.3378906,0.1303711,0.9111328,0.3056641,0.128418,0,-2,0,-2,0,-2,0,-2,13,-9,-4,-1,0,0,-1,-10,2.625,2.625,2.625,-5.8125,-5.8125,-5.8125,3.079131,3.09931,3.306932,6.789999,2.9877,6.825123,0.0196643,-0.419745,1.448376,0.3747652,-0.4391125,1.435958,0.2370052,0.4096623,1.586092,0.06391739,-0.4123112,1.421951,0.3268269,-0.435962,1.408444,0.2140426,-0.05843545,1.559413,0.2080255,-0.3884363,1.54076,0.03649789,0.1299755,1.543248,0.1194764,-0.3792465,1.509682,-0.00106909,-0.1359214,1.546476,0.4202532,-0.133347,1.522695,NA,NA,NotTracked,NotTracked,
0.9262695,-0.3481445,0.1342773,1.004883,0.3603516,0.03173828,-2,-3,-1,-1,-3,-2,0,1,20,-2,-1,0,-2,-2,0,-2,-0.375,-0.375,-0.375,-120.5625,-120.5625,-120.5625,3.079131,3.09931,3.306932,6.753438,3.03562,6.74194,0.02128964,-0.4270619,1.446423,0.3737856,-0.4419577,1.432441,0.2367279,0.4096192,1.585874,0.06129364,-0.4280824,1.417777,0.3234147,-0.4443783,1.40556,0.2139172,-0.05848745,1.559319,0.207891,-0.3885264,1.540658,0.03649794,0.129654,1.543302,0.1193552,-0.3793353,1.509615,-0.001056819,-0.1359807,1.546503,0.4199267,-0.1341345,1.522592,NA,NA,NotTracked,NotTracked,
0.9335938,-0.3496094,0.1362305,1.001465,0.6142578,0.3125,1,-1,-2,-1,-2,-1,-2,-1,-6,-4,-6,-10,0,-1,-3,-2,3.9375,3.9375,3.9375,-63.9375,-63.9375,-63.9375,3.082326,3.101186,3.307208,6.627889,3.224957,6.650406,0.02096479,-0.42632,1.446023,0.3653804,-0.447961,1.410276,0.2363504,0.4096271,1.58553,0.06258886,-0.4219374,1.41962,0.3202038,-0.4300198,1.401761,0.21381,-0.05849599,1.559244,0.2077949,-0.3885771,1.540581,0.03641707,0.129493,1.543338,0.119211,-0.3793784,1.50949,-0.001104839,-0.1361658,1.546593,0.4203469,-0.1347827,1.52284,NA,NA,NotTracked,NotTracked,
0.9091797,-0.3579102,0.1367188,0.8339844,0.65625,0.4667969,-2,0,0,-1,-1,-1,1,0,13,3,-1,-20,-11,2,13,17,-9.25,-9.25,-9.25,-114,-114,-114,3.081887,3.098617,3.302613,6.527302,3.480852,6.579854,0.02020385,-0.4249005,1.447272,0.3424444,-0.4070928,1.363868,0.2358542,0.4095863,1.584974,0.0637011,-0.4166288,1.421891,0.3400078,-0.3874728,1.32134,0.2132139,-0.05841254,1.559008,0.2064193,-0.3883686,1.54034,0.03635212,0.1293478,1.543276,0.1174595,-0.3790058,1.508958,-0.001181735,-0.1361881,1.546617,0.4213951,-0.1334087,1.524504,NA,NA,NotTracked,Unknown,
0.9257813,-0.3618164,0.1586914,0.6113281,0.7744141,0.4790039,-1,0,0,-2,-1,-2,-2,0,-10,-9,-7,-19,-7,0,-7,-9,-7.1875,-7.1875,-7.1875,-45.1875,-45.1875,-45.1875,3.078966,3.097164,3.292848,6.45351,3.937828,6.455083,0.01946832,-0.4198461,1.447763,0.3119383,-0.3425167,1.325878,0.2353332,0.4095176,1.584435,0.06234017,-0.4137661,1.421901,0.3501702,-0.2922848,1.300111,0.2115702,-0.05812157,1.558892,0.2020697,-0.3874867,1.540276,0.0363152,0.1292494,1.543148,0.1126143,-0.3774754,1.508514,-0.001579585,-0.1359465,1.546342,0.4218265,-0.1277314,1.527087,NA,NA,NotTracked,Unknown,
0.9443359,-0.3242188,0.1367188,0.5371094,0.640625,0.6484375,-1,-1,-1,-2,-2,-2,0,1,-14,21,11,40,-5,2,5,-1,-1.6875,-1.6875,-1.6875,-83.6875,-83.6875,-83.6875,3.081929,3.101814,3.284576,6.349175,4.30983,6.388214,0.02031325,-0.4195758,1.446093,0.306171,-0.2416633,1.242849,0.2351468,0.4093777,1.584422,0.06383692,-0.4122055,1.421332,0.3172688,-0.256655,1.200727,0.2107482,-0.05811278,1.558946,0.2006869,-0.3872867,1.540249,0.03625096,0.1289961,1.543095,0.1116173,-0.3772365,1.508562,-0.001653102,-0.1359037,1.546245,0.4193406,-0.1185625,1.527606,NA,NA,NotTracked,Unknown,
